turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus, SkillStatus
1, 19.649614686313,19.649614686313,21.222668543693086,0.060221132,10,99.98651791339961,First,non,non,False,None,False
2, 19.63630237872934,19.63630237872934,21.222668543693086,0.18066339,10,99.97751390323089,First,non,non,False,None,False
3, 19.705133086465583,19.705133086465583,21.222668543693086,0.36132678,10,99.97207184393378,First,non,non,False,None,False
4, 19.707546571785503,19.707546571785503,21.222668543693086,0.6022113,10,99.96931663049565,First,non,non,False,None,False
5, 19.63541556923764,19.63541556923764,21.222668543693086,0.903317,10,99.96834581087231,First,non,non,False,None,False
6, 19.707044558924437,19.707044558924437,21.222668543693086,1.2646438,10,99.96823642274573,First,non,non,False,None,False
7, 19.751567977376276,19.751567977376276,21.222668543693086,1.6861917,10,99.96811336110333,First,non,non,False,None,False
8, 19.644188042179028,19.644188042179028,21.222668543693086,2.1679606,10,99.96707417390087,First,non,non,False,None,False
9, 19.702160973055943,19.702160973055943,21.222668543693086,2.709951,10,99.96420957233617,First,non,non,False,None,False
10, 19.64973683911573,19.64973683911573,21.222668543693086,3.3121622,10,99.95862394112294,First,non,non,False,None,False
11, 19.711127255075493,19.711127255075493,21.222668543693086,3.9745946,10,99.94942850173271,First,non,non,False,None,False
12, 19.719928208197356,19.719928208197356,21.222668543693086,4.697248,10,99.93570029184752,First,non,non,False,None,False
13, 19.649671072106532,19.649671072106532,21.222668543693086,5.4801226,10,99.91656420645477,First,non,non,False,None,False
14, 19.694756629914146,19.694756629914146,21.222668543693086,6.3232183,10,99.89112463026812,First,non,non,False,None,False
15, 19.635329516190776,19.635329516190776,21.222668543693086,7.2265353,10,99.85845176421171,First,non,non,False,None,False
16, 19.71088528967139,19.71088528967139,21.222668543693086,8.190073,10,99.8176705032729,First,non,non,False,None,False
17, 19.634920183551085,19.634920183551085,21.222668543693086,9.213832,10,99.76787839540745,First,non,non,False,None,False
18, 19.66842753750755,19.66842753750755,21.222668543693086,10.2345915,10,99.71855802383786,First,non,non,False,None,False
19, 19.718343697574984,19.718343697574984,21.222668543693086,11.252351,10,99.6696957150483,First,non,non,False,None,False
20, 20.485959056025024,19.752146430723748,21.222668543693086,12.269102,9.95,99.6208060592271,First,non,InsideOvertaking,False,None,False
21, 20.81067880539875,19.679314382899943,21.222668543693086,13.286076,9.9,99.57188905637426,First,non,InsideOvertaking,False,None,False
22, 19.874463316262176,19.640531775203314,21.222668543693086,14.300045,9.849999,99.52342327954354,First,non,InsideOvertaking,False,None,False
23, 21.654085348688618,19.645978447178514,21.222668543693086,15.314236,9.799999,99.47493699243908,First,non,InsideOvertaking,False,None,False
24, 20.81968589442715,19.706471592129123,21.222668543693086,16.328648,9.749999,99.42640284802926,First,non,InsideOvertaking,False,None,False
25, 20.612110686433656,19.743713176023828,21.222668543693086,17.34328,9.699999,99.3778413565878,First,non,InsideOvertaking,False,None,False
