turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus, SkillStatus
1, 19.714683323773013,19.714683323773013,21.290335848806976,0,9,100,First,non,non,False,Late Start,False
2, 20.00913266030368,19.73268440876952,21.290335848806976,0.033564635,8.95,99.98651791339961,First,non,InsideOvertaking,False,Late Start,False
3, 20.78974063836256,19.69256688449228,21.290335848806976,0.14313808,8.9,99.97751390323089,First,non,InsideOvertaking,False,Late Start,False
4, 21.229275789332945,19.642928981495075,21.290335848806976,0.31674471,8.849999,99.97207184393378,First,non,InsideOvertaking,False,Late Start,False
5, 20.980957156215975,19.68954903944118,21.290335848806976,0.5523829,8.799999,99.96931663049565,First,non,InsideOvertaking,False,Late Start,False
6, 21.906581130881843,19.73595473129847,21.290335848806976,0.84930813,8.749999,99.96834581087231,First,non,InsideOvertaking,False,Late Start,False
7, 20.291917602552754,19.73638216444153,21.290335848806976,1.2071588,8.699999,99.96823642274573,First,non,InsideOvertaking,False,Late Start,False
8, 21.10646526152542,19.667711329875598,21.290335848806976,1.625731,8.649999,99.96811336110333,First,non,InsideOvertaking,False,Late Start,False
9, 21.560753963611987,19.71981417697999,21.290335848806976,2.1048985,8.599998,99.96707417390087,First,non,InsideOvertaking,False,Late Start,False
10, 21.744449203995586,19.637421821614474,21.290335848806976,2.6445775,8.549998,99.96420957233617,First,non,InsideOvertaking,False,Late Start,False
11, 21.315970836497833,19.696703575494112,21.290335848806976,3.2447095,8.499998,99.95862394112294,First,non,InsideOvertaking,False,Late Start,False
12, 21.063430788929736,19.7214619625242,21.290335848806976,3.9052522,8.449998,99.94942850173271,First,non,InsideOvertaking,False,Late Start,False
13, 20.027818131820435,19.631388830973947,21.290335848806976,4.626174,8.399998,99.93570029184752,First,non,InsideOvertaking,False,Late Start,False
14, 21.431251878916324,19.71600290741251,21.290335848806976,5.40745,8.3499975,99.91656420645477,First,non,InsideOvertaking,False,Late Start,False
15, 21.52430268434662,19.74413396314897,21.290335848806976,6.249062,8.299997,99.89112463026812,First,non,InsideOvertaking,False,Late Start,False
16, 20.5294572486899,19.640578004108097,21.290335848806976,7.1509943,8.249997,99.85845176421171,First,non,InsideOvertaking,False,Late Start,False
17, 20.941159795415746,19.740645982501313,21.290335848806976,8.1132345,8.199997,99.8176705032729,First,non,InsideOvertaking,False,Late Start,False
18, 21.849559212322195,19.71958545582323,21.290335848806976,9.135772,8.149997,99.76787839540745,First,non,InsideOvertaking,False,Late Start,False
19, 20.69723184946383,19.72979450205255,21.290335848806976,10.218598,8.099997,99.70817298857112,First,non,InsideOvertaking,False,Late Start,False
20, 21.198600288287004,19.72866428115136,21.290335848806976,11.298422,8.049996,99.64898033857813,First,non,InsideOvertaking,False,Late Start,False
21, 20.751647855373292,19.755474037129098,21.290335848806976,12.375242,7.999996,99.59030728218636,First,non,InsideOvertaking,False,None,False
22, 21.732170977131304,19.6983896053972,21.290335848806976,13.452284,7.949996,99.53158636848922,First,non,InsideOvertaking,False,None,False
23, 21.350295483602572,19.709124706153837,21.290335848806976,14.526322,7.899996,99.47337821163539,First,non,InsideOvertaking,False,None,False
24, 21.634035006266192,19.755814386181054,21.290335848806976,15.600582,7.8499956,99.41513587099202,First,non,InsideOvertaking,False,None,False
25, 21.337904826794695,19.654625717926784,21.290335848806976,16.671839,7.7999954,99.35739261367614,First,non,InsideOvertaking,False,None,False
26, 20.11595175665066,19.699711526104785,21.290335848806976,17.740091,7.749995,99.30016894996149,First,non,InsideOvertaking,False,None,False
27, 20.955277516581525,19.63964309090468,21.290335848806976,18.805342,7.699995,99.24344436957435,First,non,InsideOvertaking,False,None,False
28, 19.874139427136672,19.635330991606953,21.290335848806976,19.867588,7.649995,99.18722570927261,First,non,InsideOvertaking,False,None,False
29, 19.974069968739,19.748686318376105,21.290335848806976,20.92683,7.5999947,99.13150613229837,First,non,InsideOvertaking,False,None,False
30, 21.496186993913682,19.670890299302343,21.290335848806976,21.986296,7.5499945,99.07574553477667,First,non,InsideOvertaking,False,None,False
31, 21.37613777308617,19.72944121673383,21.290335848806976,23.045982,7.4999943,99.01995075346541,First,non,InsideOvertaking,False,None,False
32, 21.6693917344214,19.728801431985307,21.290335848806976,24.10589,7.449994,98.96412178836461,First,non,InsideOvertaking,False,None,False
33, 20.33384947238097,19.66134293664063,21.290335848806976,25.162794,7.399994,98.90878506983337,First,non,InsideOvertaking,False,None,False
34, 21.294602145890487,19.694663166756644,21.290335848806976,26.21992,7.3499937,98.85342100427052,First,non,InsideOvertaking,False,None,False
35, 19.978040835588832,19.73832288472196,21.290335848806976,27.27404,7.2999935,98.79854234851932,First,non,InsideOvertaking,False,None,False
36, 20.494883841733287,19.718758590075055,21.290335848806976,28.32516,7.2499933,98.74416277609564,First,non,InsideOvertaking,False,None,False
37, 21.729833046304808,19.6917937005613,21.290335848806976,29.3765,7.199993,98.68974218312447,First,non,InsideOvertaking,False,None,False
38, 20.260608808416997,19.66454956793102,21.290335848806976,30.424835,7.149993,98.63582067348082,First,non,InsideOvertaking,False,None,False
39, 19.964561482355055,19.692394732920327,21.290335848806976,31.47017,7.0999928,98.58238457364884,First,non,InsideOvertaking,False,None,False
40, 19.657123695047623,19.657123695047623,21.290335848806976,32.5137,7.0999928,98.52943388362853,First,non,non,False,None,False
41, 19.7113729181538,19.7113729181538,21.290335848806976,33.554226,7.0999928,98.4769686034199,First,non,non,False,None,False
42, 19.73885274737968,19.73885274737968,21.290335848806976,34.591755,7.0999928,98.42498873302296,First,non,non,False,None,False
43, 19.67973106511506,19.67973106511506,21.290335848806976,35.62628,7.0999928,98.37348743567978,First,non,non,False,None,False
44, 19.70695503009424,19.70695503009424,21.290335848806976,36.65781,7.0999928,98.32245787463245,First,non,non,False,None,False
45, 19.696903027783776,19.696903027783776,21.290335848806976,37.68634,7.0999928,98.27192056015471,First,non,non,False,None,False
46, 19.71287570076504,19.71287570076504,21.290335848806976,38.71187,7.0999928,98.22184130845702,First,non,non,False,None,False
47, 19.671821045023346,19.671821045023346,21.290335848806976,39.734398,7.0999928,98.17224062981307,First,non,non,False,None,False
48, 19.75066296746453,19.75066296746453,21.290335848806976,40.753925,7.0999928,98.1231185242229,First,non,non,False,None,False
49, 19.66568862991763,19.66568862991763,21.290335848806976,41.770454,7.0999928,98.07444764465485,First,non,non,False,None,False
50, 19.717321566426445,19.717321566426445,21.290335848806976,42.78398,7.0999928,98.02624850138267,First,non,non,False,None,False
51, 19.664080264057997,19.664080264057997,21.290335848806976,43.79451,7.0999928,97.97852109440633,First,non,non,False,None,False
52, 19.728656554546458,19.728656554546458,21.290335848806976,44.80204,7.0999928,97.9312380766942,First,non,non,False,None,False
53, 19.737385036121992,19.737385036121992,21.290335848806976,45.80657,7.0999928,97.88441312176211,First,non,non,False,None,False
54, 19.690034165857444,19.690034165857444,21.290335848806976,46.808098,7.0999928,97.83805306636796,First,non,non,False,None,False
55, 20.28487333618698,19.70380339916862,21.290335848806976,47.808598,7.0499926,97.79165882718426,First,non,InsideOvertaking,False,None,False
56, 20.78183701677231,19.649659900050985,21.290335848806976,48.80932,6.9999924,97.74523724096892,First,non,InsideOvertaking,False,None,False
57, 20.63429006698778,19.690186035873385,21.290335848806976,49.81026,6.949992,97.6987677974482,First,non,InsideOvertaking,False,None,False
58, 21.55011415786182,19.63000981417195,21.290335848806976,50.811424,6.899992,97.65227784365374,First,non,InsideOvertaking,False,None,False
59, 20.653680444155416,19.650083244663936,21.290335848806976,51.81281,6.849992,97.60574003255391,First,non,InsideOvertaking,False,None,False
60, 20.9447843384138,19.724767870878964,21.290335848806976,52.814415,6.7999916,97.55918171118034,First,non,InsideOvertaking,False,None,False
61, 20.484999026590405,19.63181241986697,21.290335848806976,53.816246,6.7499914,97.5125823692593,First,non,InsideOvertaking,False,None,False
62, 20.217410509130612,19.70301759275664,21.290335848806976,54.8183,6.699991,97.46595568030664,First,non,InsideOvertaking,False,None,False
63, 21.1482914464966,19.64973746165372,21.290335848806976,55.82057,6.649991,97.4192948075644,First,non,InsideOvertaking,False,None,False
64, 20.41255600746817,19.722675251702185,21.290335848806976,56.823067,6.599991,97.3725860775168,First,non,InsideOvertaking,False,None,False
65, 20.65652498786005,19.748910307029682,21.290335848806976,57.825783,6.5499907,97.32586367395338,First,non,InsideOvertaking,False,None,False
66, 20.776329898101192,19.692055754023006,21.290335848806976,58.82872,6.4999905,97.27909341308457,First,non,InsideOvertaking,False,None,False
67, 20.89823765596695,19.667578514512076,21.290335848806976,59.83188,6.4499903,97.23229580518412,First,non,InsideOvertaking,False,None,False
68, 21.571317898517602,19.736552560025107,21.290335848806976,60.83526,6.39999,97.18546401349411,First,non,InsideOvertaking,False,None,False
69, 21.585661985569374,19.697479832603385,21.290335848806976,61.83886,6.34999,97.13859803801456,First,non,InsideOvertaking,False,None,False
