turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 20.724262202065855,20.724262202065855,22.340839580728943,0.060253337,5,99.96883970663741,First,non,non, False
2, 20.714026067858295,20.714026067858295,22.340839580728943,0.18076001,5,99.94677770841112,First,non,non, False
3, 20.631700988000368,20.631700988000368,22.340839580728943,0.36152002,5,99.93225811784292,First,non,non, False
4, 20.605755585883312,20.605755585883312,22.340839580728943,0.60253334,5,99.92370073671272,First,non,non, False
5, 20.634980571257717,20.634980571257717,22.340839580728943,0.9038,5,99.91954359985685,First,non,non, False
6, 20.657184981248392,20.657184981248392,22.340839580728943,1.2653201,5,99.91821258674072,First,non,non, False
7, 20.725626679128403,20.725626679128403,22.340839580728943,1.6870935,5,99.91813357682972,First,non,non, False
8, 20.622231299418818,20.622231299418818,22.340839580728943,2.1691203,5,99.91775676033109,First,non,non, False
9, 20.636072706797396,20.636072706797396,22.340839580728943,2.7114003,5,99.91549586133931,First,non,non, False
10, 20.631395155356184,20.631395155356184,22.340839580728943,3.3139336,5,99.90978891469068,First,non,non, False
11, 20.609617303299196,20.609617303299196,22.340839580728943,3.9767203,5,99.89905572216517,First,non,non, False
12, 20.65823441321148,20.65823441321148,22.340839580728943,4.6997604,5,99.88174647397,First,non,non, False
13, 20.696753532350307,20.696753532350307,22.340839580728943,5.4830537,5,99.85628704957057,First,non,non, False
14, 20.634723038712792,20.634723038712792,22.340839580728943,6.3266006,5,99.82109117306136,First,non,non, False
15, 20.6827802176337,20.6827802176337,22.340839580728943,7.2304006,5,99.77460903464961,First,non,non, False
16, 20.68480105345016,20.68480105345016,22.340839580728943,8.194454,5,99.71525435842979,First,non,non, False
17, 20.64870333819302,20.64870333819302,22.340839580728943,9.218761,5,99.64147733460916,First,non,non, False
18, 20.664920848022817,20.664920848022817,22.340839580728943,10.303322,5,99.55169776496763,First,non,non, False
19, 20.715737726566477,20.715737726566477,22.340839580728943,11.384882,5,99.46275691591984,First,non,non, False
20, 22.301755672090188,20.71097711845134,22.340839580728943,12.465539,4.95,99.37374921233196,First,non,InsideOvertaking, False
21, 21.675350695869614,20.639296294134542,22.340839580728943,13.54645,4.8999996,99.28466249883309,First,non,InsideOvertaking, False
22, 21.92252597579022,20.602227201352132,22.340839580728943,14.627614,4.8499994,99.1954967754232,First,non,InsideOvertaking, False
23, 22.92484505529503,20.71688306332819,22.340839580728943,15.709032,4.799999,99.10628243052962,First,non,InsideOvertaking, False
24, 21.800656643917435,20.622839269599165,22.340839580728943,16.790705,4.749999,99.01697692035411,First,non,InsideOvertaking, False
25, 22.11068819293136,20.691638855252105,22.340839580728943,17.872631,4.699999,98.92761671100945,First,non,InsideOvertaking, False
26, 20.970569965232528,20.62015822944431,22.340839580728943,18.951553,4.6499987,98.8390830668876,First,non,InsideOvertaking, False
27, 22.711005344004857,20.682441438092475,22.340839580728943,20.03073,4.5999985,98.75047041285474,First,non,InsideOvertaking, False
28, 21.650711323213308,20.709817190877416,22.340839580728943,21.110159,4.5499983,98.66180305965273,First,non,InsideOvertaking, False
29, 21.440446013933965,20.62992744329804,22.340839580728943,22.186584,4.499998,98.57395011630258,First,non,InsideOvertaking, False
30, 21.772114602572856,20.71854689935817,22.340839580728943,23.263264,4.449998,98.48603639609783,First,non,InsideOvertaking, False
31, 22.005881993583543,20.720993510574512,22.340839580728943,24.340197,4.3999977,98.39804974366753,First,non,InsideOvertaking, False
32, 21.548758329010603,20.60543096663576,22.340839580728943,25.414127,4.3499975,98.31088965646003,First,non,InsideOvertaking, False
33, 21.650583534245314,20.67930821584783,22.340839580728943,26.488312,4.2999973,98.223656637027,First,non,InsideOvertaking, False
34, 20.90058765103974,20.691332476974278,22.340839580728943,27.559492,4.249997,98.13725018281677,First,non,InsideOvertaking, False
35, 21.75848825503058,20.679039520228393,22.340839580728943,28.630926,4.199997,98.05077687406646,First,non,InsideOvertaking, False
36, 21.987534383702815,20.647834032377578,22.340839580728943,29.702614,4.1499968,97.96422455540515,First,non,InsideOvertaking, False
37, 21.81422912019136,20.674119939854613,22.340839580728943,30.774555,4.0999966,97.87761145988922,First,non,InsideOvertaking, False
38, 22.6274148656367,20.661053056995634,22.340839580728943,31.84675,4.0499964,97.79092543214774,First,non,InsideOvertaking, False
39, 22.711390395630087,20.630784603261855,22.340839580728943,32.919197,3.9999964,97.70416647218073,First,non,InsideOvertaking, False
40, 22.258952093410244,20.642778313689874,22.340839580728943,33.991898,3.9499965,97.61734065767364,First,non,InsideOvertaking, False
41, 21.295632179276783,20.712197269374208,22.340839580728943,35.061596,3.8999965,97.53134140838934,First,non,InsideOvertaking, False
