turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 21.97647596331552,21.131226887803383,22.808118113497425,0.060257196,3,99.98138843711276,First,SpeedUp,non, False
2, 22.01040509331051,21.163851051260107,22.808118113497425,0.18077159,3,99.96821028887855,First,SpeedUp,non, False
3, 21.97722910400916,21.13195106154727,22.808118113497425,0.36154318,3,99.95953376703841,First,SpeedUp,non, False
4, 21.982995873341913,21.13749603205953,22.808118113497425,0.60257196,3,99.95442708333333,First,SpeedUp,non, False
5, 21.92006774045603,21.07698821197695,22.808118113497425,0.90385795,3,99.951940297785,First,SpeedUp,non, False
6, 22.007015938436467,21.160592248496602,22.808118113497425,1.2654011,3,99.95114767270755,First,SpeedUp,non, False
7, 22.007782599231202,21.161329422337694,22.808118113497425,1.6872015,3,99.95111136926889,First,SpeedUp,non, False
8, 21.95738463807358,21.11286984430152,22.808118113497425,2.169259,3,99.9508753969176,First,SpeedUp,non, False
9, 22.005458126264475,21.15909435217738,22.808118113497425,2.7115738,3,99.9495321696871,First,SpeedUp,non, False
10, 22.015192465383567,21.168454293638046,22.808118113497425,3.3141458,3,99.94611964645291,First,SpeedUp,non, False
11, 21.90762040581768,21.06501962097854,22.808118113497425,3.976975,3,99.939706038956,First,SpeedUp,non, False
12, 21.92307035624742,21.079875342545595,22.808118113497425,4.7000613,3,99.92936560951053,First,SpeedUp,non, False
13, 21.933154972182496,21.089572088637016,22.808118113497425,5.483405,3,99.91414236756505,First,SpeedUp,non, False
14, 21.981329512529616,21.135893762047708,22.808118113497425,6.327006,3,99.89311662600682,First,SpeedUp,non, False
15, 22.024979274795147,21.177864687303025,22.808118113497425,7.2308636,3,99.8653444954306,First,SpeedUp,non, False
16, 21.95348084095909,21.109116193229895,22.808118113497425,8.194979,3,99.82988813700433,First,SpeedUp,non, False
17, 22.03178576671583,21.184409391072915,22.808118113497425,9.219351,3,99.7858036613228,First,SpeedUp,non, False
18, 22.007836068876415,21.16138083545809,22.808118113497425,10.30398,3,99.73217138127323,First,SpeedUp,non, False
19, 21.916857755635714,21.073901688111263,22.808118113497425,11.448867,3,99.6680353063042,First,SpeedUp,non, False
20, 21.925218716834788,21.0819410738796,22.808118113497425,12.590754,3,99.60444983348822,First,SpeedUp,non, False
21, 22.008960134295254,21.16246166759159,22.808118113497425,13.72964,3,99.54140286167906,First,SpeedUp,non, False
22, 21.9052190489422,21.062710623982884,22.808118113497425,14.865527,3,99.47888834030358,First,SpeedUp,non, False
23, 22.032293577493935,21.184897670667244,22.808118113497425,15.998414,3,99.41691837050806,First,SpeedUp,non, False
24, 21.978220454557256,21.13290428322813,22.808118113497425,17.128302,3,99.35548690171933,First,SpeedUp,non, False
25, 21.960781118832546,21.11613569118514,22.808118113497425,18.255188,3,99.2945818327912,First,SpeedUp,non, False
26, 21.96458081952417,21.11978924954247,22.808118113497425,19.379074,3,99.23420921429677,First,SpeedUp,non, False
27, 21.903289409998163,21.06085520192131,22.808118113497425,20.49996,3,99.17437509680917,First,SpeedUp,non, False
28, 21.93362138743214,21.090020564838596,22.808118113497425,21.617847,3,99.11506132860904,First,SpeedUp,non, False
29, 22.02330519343772,21.176254993690115,22.808118113497425,22.732735,3,99.0562679096964,First,SpeedUp,non, False
30, 21.905453793287638,21.06293633969965,22.808118113497425,23.844622,3,98.99799484007124,First,SpeedUp,non, False
