turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 18.30078242144999,18.30078242144999,19.67465735107649,0.060250767,8,99.99138898480663,First,non,non, False
2, 18.253915624393322,18.253915624393322,19.67465735107649,0.1807523,8,99.98587491367404,First,non,non, False
3, 18.24795570135942,18.24795570135942,19.67465735107649,0.3615046,8,99.98279955110497,First,non,non, False
4, 18.29612458330795,18.29612458330795,19.67465735107649,0.6025077,8,99.98143991712708,First,non,non, False
5, 18.24566575584334,18.24566575584334,19.67465735107649,0.9037615,8,99.98110540400552,First,non,non, False
6, 18.295186222824853,18.295186222824853,19.67465735107649,1.2652661,8,99.98110540400552,First,non,non, False
7, 18.291795352682698,18.291795352682698,19.67465735107649,1.6870215,8,99.98074930939227,First,non,non, False
8, 18.29210340602371,18.29210340602371,19.67465735107649,2.1690276,8,99.97931414019337,First,non,non, False
9, 18.29425825435845,18.29425825435845,19.67465735107649,2.7112844,8,99.97613087016575,First,non,non, False
10, 18.24668270942191,18.24668270942191,19.67465735107649,3.313792,8,99.97048731008287,First,non,non, False
11, 18.218841039285735,18.218841039285735,19.67465735107649,3.9765503,8,99.96169285220995,First,non,non, False
12, 18.18672921567323,18.18672921567323,19.67465735107649,4.6995597,8,99.94905688881215,First,non,non, False
13, 18.29930705828656,18.29930705828656,19.67465735107649,5.4828196,8,99.93187802140883,First,non,non, False
14, 18.255599228352903,18.255599228352903,19.67465735107649,6.32633,8,99.90945485151934,First,non,non, False
15, 18.19561723990946,18.19561723990946,19.67465735107649,7.2300916,8,99.88108598066299,First,non,non, False
16, 18.22794103231023,18.22794103231023,19.67465735107649,8.194104,8,99.84610238259668,First,non,non, False
17, 18.276752499341402,18.276752499341402,19.67465735107649,9.155116,8,99.81145329765194,First,non,non, False
18, 18.261725961424787,18.261725961424787,19.67465735107649,10.113129,8,99.77714951657458,First,non,non, False
19, 18.242430261857972,18.242430261857972,19.67465735107649,11.068141,8,99.74319103936465,First,non,non, False
20, 18.261531086326034,18.261531086326034,19.67465735107649,12.020153,8,99.70956707527624,First,non,non, False
21, 18.289622558376138,18.289622558376138,19.67465735107649,12.969166,8,99.6762992058011,First,non,non, False
22, 18.188354229509645,18.188354229509645,19.67465735107649,13.915178,8,99.64335505870166,First,non,non, False
23, 19.805954422391878,18.20469543326093,19.67465735107649,14.86012,7.95,99.6103893301105,First,non,InsideOvertaking, False
24, 20.16359377385773,18.234714469864553,19.67465735107649,15.805312,7.8999996,99.57739122928177,First,non,InsideOvertaking, False
25, 20.10157789974815,18.30355646563467,19.67465735107649,16.750755,7.8499994,99.54437154696133,First,non,InsideOvertaking, False
26, 19.23866618735388,18.255787538013106,19.67465735107649,17.69645,7.799999,99.51130870165746,First,non,InsideOvertaking, False
27, 18.960724012473,18.262392367099277,19.67465735107649,18.642395,7.749999,99.47823506560773,First,non,InsideOvertaking, False
28, 19.46709382516365,18.30125996913124,19.67465735107649,19.588593,7.699999,99.44512905732044,First,non,InsideOvertaking, False
29, 18.243290892480257,18.243290892480257,19.67465735107649,20.53311,7.699999,99.41234677140883,First,non,non, False
30, 18.22780004961909,18.22780004961909,19.67465735107649,21.474627,7.699999,99.3799205801105,First,non,non, False
31, 18.187883435339803,18.187883435339803,19.67465735107649,22.413143,7.699999,99.34781811118785,First,non,non, False
32, 18.191198431884843,18.191198431884843,19.67465735107649,23.34866,7.699999,99.31603936464089,First,non,non, False
33, 18.20111203286132,18.20111203286132,19.67465735107649,24.281176,7.699999,99.28460592196133,First,non,non, False
34, 18.19858688766276,18.19858688766276,19.67465735107649,25.210693,7.699999,99.25349620165746,First,non,non, False
35, 18.229286924514724,18.229286924514724,19.67465735107649,26.13721,7.699999,99.22271020372928,First,non,non, False
36, 18.25904381839465,18.25904381839465,19.67465735107649,27.060728,7.699999,99.19225871892266,First,non,non, False
37, 18.297339723290367,18.297339723290367,19.67465735107649,27.981245,7.699999,99.16212016574586,First,non,non, False
38, 18.25677506606336,18.25677506606336,19.67465735107649,28.898762,7.699999,99.13230533494475,First,non,non, False
39, 18.289501421142305,18.289501421142305,19.67465735107649,29.813278,7.699999,99.10280343577348,First,non,non, False
40, 18.18707661776307,18.18707661776307,19.67465735107649,30.724794,7.699999,99.07363604972376,First,non,non, False
41, 18.25004787531675,18.25004787531675,19.67465735107649,31.636562,7.699999,99.04443629143647,First,non,non, False
42, 18.217167464803,18.217167464803,19.67465735107649,32.54533,7.699999,99.015549464779,First,non,non, False
43, 18.275172354908197,18.275172354908197,19.67465735107649,33.45435,7.699999,98.98664105662984,First,non,non, False
44, 18.227015178681416,18.227015178681416,19.67465735107649,34.363617,7.699999,98.95770027624309,First,non,non, False
45, 19.056388665571227,18.26407691074602,19.67465735107649,35.271763,7.6499987,98.92872712361878,First,non,InsideOvertaking, False
46, 19.576146423191837,18.29217549476786,19.67465735107649,36.180157,7.5999985,98.89974318024862,First,non,InsideOvertaking, False
47, 18.68286264715441,18.25471652552184,19.67465735107649,37.088802,7.5499983,98.87072686464089,First,non,InsideOvertaking, False
