turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 21.137157385610063,20.32418979385583,21.993551606604193,0.060257196,5,99.99079475899006,First,SpeedUp,non, False
2, 21.16333025850246,20.349356017790825,21.993551606604193,0.18077159,5,99.98457823259373,First,SpeedUp,non, False
3, 21.155845404674558,20.342159042956304,21.993551606604193,0.36154318,5,99.98074520610177,First,SpeedUp,non, False
4, 21.15924974230164,20.345432444520807,21.993551606604193,0.60257196,5,99.97872782373757,First,SpeedUp,non, False
5, 21.17552654568067,20.36108321700064,21.993551606604193,0.90385795,5,99.97795822972456,First,SpeedUp,non, False
6, 21.183405745172553,20.368659370358223,21.993551606604193,1.2654011,5,99.97783868114003,First,SpeedUp,non, False
7, 21.11532275419713,20.30319495595878,21.993551606604193,1.6872015,5,99.97780132220736,First,SpeedUp,non, False
8, 21.083346806731715,20.27244885262665,21.993551606604193,2.169259,5,99.97727082536343,First,SpeedUp,non, False
9, 21.12466070809045,20.312173757779277,21.993551606604193,2.7115738,5,99.97564197589901,First,SpeedUp,non, False
10, 21.158555876484122,20.344765265850118,21.993551606604193,3.3141458,5,99.97237680518363,First,SpeedUp,non, False
11, 21.16588364017287,20.35181119247391,21.993551606604193,3.976975,5,99.96687757029457,First,SpeedUp,non, False
12, 21.149721637406003,20.33627080519808,21.993551606604193,4.7000613,5,99.95855400009565,First,SpeedUp,non, False
13, 21.09822704071271,20.286756769916067,21.993551606604193,5.483405,5,99.94684571059679,First,SpeedUp,non, False
14, 21.09615619555617,20.284765572650162,21.993551606604193,6.327006,5,99.9311549588753,First,SpeedUp,non, False
15, 21.096112350009086,20.284723413470275,21.993551606604193,7.2308636,5,99.91092136094109,First,SpeedUp,non, False
16, 21.125449339402035,20.31293205711734,21.993551606604193,8.194979,5,99.88556211744454,First,SpeedUp,non, False
17, 21.101538045622295,20.289940428482975,21.993551606604193,9.219351,5,99.85449442903597,First,SpeedUp,non, False
18, 21.105694572021005,20.293937088481734,21.993551606604193,10.30398,5,99.81713549636574,First,SpeedUp,non, False
19, 21.115530643208544,20.303394849238984,21.993551606604193,11.38561,5,99.78010532230299,First,SpeedUp,non, False
20, 21.155440001135005,20.34176923186058,21.993551606604193,12.464239,5,99.74340390684775,First,SpeedUp,non, False
21, 21.189322901069474,20.37434894333603,21.993551606604193,13.539868,5,99.70702377821347,First,SpeedUp,non, False
22, 21.178285463183084,20.363736022291427,21.993551606604193,14.612498,5,99.67095746461362,First,SpeedUp,non, False
23, 21.17362769811514,20.359257402033787,21.993551606604193,15.682128,5,99.63521990962128,First,SpeedUp,non, False
24, 21.0802432793669,20.269464691698943,21.993551606604193,16.748758,5,99.5998036414499,First,SpeedUp,non, False
25, 21.19230943086098,20.377220606597096,21.993551606604193,17.812387,5,99.56470866009947,First,SpeedUp,non, False
26, 21.208346737836067,20.39264109407314,21.993551606604193,18.873016,5,99.52992749378348,First,SpeedUp,non, False
27, 21.160194126324285,20.34634050608104,21.993551606604193,19.930645,5,99.49545267071538,First,SpeedUp,non, False
28, 21.12677488452711,20.314206619737604,21.993551606604193,20.985275,5,99.4613066062548,First,SpeedUp,non, False
29, 21.136085523174135,20.323159156898207,21.993551606604193,22.040161,5,99.42712318286152,First,SpeedUp,non, False
30, 21.156297765656237,20.342594005438688,21.993551606604193,23.095304,5,99.39291734410865,First,SpeedUp,non, False
31, 21.174253319621027,20.359858961174062,21.993551606604193,24.150705,5,99.35867414642311,First,SpeedUp,non, False
32, 21.13870557944945,20.325678441778315,21.993551606604193,25.206364,5,99.32441600516451,First,SpeedUp,non, False
33, 21.089915560670715,20.278764962183377,21.993551606604193,26.259022,5,99.29047167894034,First,SpeedUp,non, False
34, 21.122773915753218,20.310359534378094,21.993551606604193,27.311937,5,99.25649746557002,First,SpeedUp,non, False
35, 21.13566724786043,20.322756969096567,21.993551606604193,28.36511,5,99.22248589326703,First,SpeedUp,non, False
36, 21.113066759418754,20.301025730210338,21.993551606604193,29.418541,5,99.18845937739098,First,SpeedUp,non, False
37, 21.186362389368988,20.37150229747018,21.993551606604193,30.472229,5,99.1544029743688,First,SpeedUp,non, False
38, 21.078126591899544,20.26742941528802,21.993551606604193,31.526173,5,99.120324155987,First,SpeedUp,non, False
39, 21.07763663060027,20.266958298654107,21.993551606604193,32.577118,5,99.0865516808531,First,SpeedUp,non, False
40, 21.121983720234812,20.30959973099501,21.993551606604193,33.62832,5,99.05274931857308,First,SpeedUp,non, False
41, 21.13375741501876,20.320920591364192,21.993551606604193,34.67978,5,99.01893201271997,First,SpeedUp,non, False
42, 21.108303139780734,20.296445326712245,21.993551606604193,35.731495,5,98.98506987614768,First,SpeedUp,non, False
43, 21.087752496321745,20.27668509261706,21.993551606604193,36.783466,5,98.95120026778883,First,SpeedUp,non, False
44, 21.077505406069243,20.266832121220425,21.993551606604193,37.835697,5,98.91730077228387,First,SpeedUp,non, False
45, 21.187212015416293,20.37231924559259,21.993551606604193,38.888184,5,98.88336391784622,First,SpeedUp,non, False
46, 21.14796294413752,20.334579753978385,21.993551606604193,39.94093,5,98.8494121198355,First,SpeedUp,non, False
47, 21.126267590411224,20.31371883693387,21.993551606604193,40.99393,5,98.81543043467866,First,SpeedUp,non, False
48, 21.157523269746505,20.343772374756256,21.993551606604193,42.04719,5,98.78141139058914,First,SpeedUp,non, False
49, 21.149385328436765,20.335947431189197,21.993551606604193,43.100708,5,98.74737740292656,First,SpeedUp,non, False
50, 21.108735058295995,20.296860632976916,21.993551606604193,44.15448,5,98.7133060563313,First,SpeedUp,non, False
51, 21.124943749431463,20.312445912914868,21.993551606604193,45.20851,5,98.67921976616297,First,SpeedUp,non, False
52, 21.094911282511713,20.283568540876647,21.993551606604193,46.2628,5,98.64509611706198,First,SpeedUp,non, False
53, 21.12492536308553,20.312428233736085,21.993551606604193,47.317345,5,98.61095752438791,First,SpeedUp,non, False
54, 21.121160446740266,20.30880812186564,21.993551606604193,48.372147,5,98.57678904456772,First,SpeedUp,non, False
55, 21.089470898630843,20.278337402529655,21.993551606604193,49.42395,5,98.54291943620889,First,SpeedUp,non, False
56, 21.129838509235714,20.31715241272665,21.993551606604193,50.47601,5,98.50903488427699,First,SpeedUp,non, False
57, 21.15286584055748,20.339294077459115,21.993551606604193,51.528328,5,98.47512044519894,First,SpeedUp,non, False
58, 21.171920897141735,20.357616247251666,21.993551606604193,52.580902,5,98.4411835907613,First,SpeedUp,non, False
59, 21.171145835073776,20.356870995263247,21.993551606604193,53.63373,5,98.40720937739098,First,SpeedUp,non, False
60, 21.133174131539306,20.320359741864717,21.993551606604193,54.68682,5,98.37321274866106,First,SpeedUp,non, False
61, 21.14183332299539,20.328685887495567,21.993551606604193,55.740166,5,98.33919370457154,First,SpeedUp,non, False
62, 21.153697495229437,20.34009374541292,21.993551606604193,56.79377,5,98.30515224512243,First,SpeedUp,non, False
63, 21.19735844267231,20.382075425646452,21.993551606604193,57.84763,5,98.27107342674064,First,SpeedUp,non, False
64, 21.18796359525536,20.37304191851477,21.993551606604193,58.901745,5,98.23697966478578,First,SpeedUp,non, False
65, 21.13823211376393,20.325223186311472,21.993551606604193,59.95612,5,98.20284854389826,First,SpeedUp,non, False
66, 21.079682073667936,20.268925070834552,21.993551606604193,61.007492,5,98.16903870983168,First,SpeedUp,non, False
67, 21.12028722935251,20.30796848976203,21.993551606604193,62.059124,5,98.13519151683245,First,SpeedUp,non, False
68, 21.17683087449831,20.362337379325297,21.993551606604193,63.11101,5,98.10132190847361,First,SpeedUp,non, False
69, 21.10768960044129,20.2958553850397,21.993551606604193,64.163155,5,98.06742988475517,First,SpeedUp,non, False
70, 21.17135674174216,20.357073790136692,21.993551606604193,65.21556,5,98.0335079738906,First,SpeedUp,non, False
71, 21.20944414178246,20.39369629017544,21.993551606604193,66.26822,5,97.99955617587989,First,SpeedUp,non, False
72, 21.15502094619836,20.341366294421498,21.993551606604193,67.32114,5,97.96558196250957,First,SpeedUp,non, False
73, 21.08077398474949,20.26997498533605,21.993551606604193,68.37431,5,97.93157786199312,First,SpeedUp,non, False
74, 21.102206618976968,20.290583287477855,21.993551606604193,69.42774,5,97.89755134611707,First,SpeedUp,non, False
75, 21.10288849149285,20.291238934127737,21.993551606604193,70.48143,5,97.86349494309488,First,SpeedUp,non, False
76, 21.100049246160776,20.288508890539205,21.993551606604193,71.53538,5,97.82940865292656,First,SpeedUp,non, False
77, 21.094359721254463,20.283038193513907,21.993551606604193,72.589584,5,97.79529994739863,First,SpeedUp,non, False
78, 21.179845911983097,20.3652364538299,21.993551606604193,73.64404,5,97.76116135472456,First,SpeedUp,non, False
79, 21.102049376671484,20.29043209295335,21.993551606604193,74.69876,5,97.7270003466909,First,SpeedUp,non, False
80, 21.10162525024947,20.290024279086026,21.993551606604193,75.75374,5,97.6928094515111,First,SpeedUp,non, False
81, 21.091778104536854,20.280555869746973,21.993551606604193,76.80571,5,97.65893237136574,First,SpeedUp,non, False
82, 21.1475947086676,20.334225681411155,21.993551606604193,77.85794,5,97.62502540407422,First,SpeedUp,non, False
83, 21.158440002498104,20.34465384855587,21.993551606604193,78.91043,5,97.59109602142311,First,SpeedUp,non, False
84, 21.10775920524349,20.295922312734124,21.993551606604193,79.96318,5,97.55713675162588,First,SpeedUp,non, False
85, 21.082032592356033,20.271185184957723,21.993551606604193,81.01618,5,97.52315506646902,First,SpeedUp,non, False
86, 21.14734287749231,20.333983536050297,21.993551606604193,82.06944,5,97.48914349416604,First,SpeedUp,non, False
87, 21.109557420190445,20.297651365567734,21.993551606604193,83.12296,5,97.45510203471692,First,SpeedUp,non, False
88, 21.160340878982193,20.346481614405956,21.993551606604193,84.176735,5,97.42103815990819,First,SpeedUp,non, False
89, 21.195926248817425,20.3806983161706,21.993551606604193,85.23077,5,97.38694439795334,First,SpeedUp,non, False
90, 21.173665432729795,20.35929368531711,21.993551606604193,86.28506,5,97.35282822063887,First,SpeedUp,non, False
91, 21.146645991112546,20.333313452992833,21.993551606604193,87.33961,5,97.31868215617828,First,SpeedUp,non, False
92, 21.187656682416332,20.372746810015702,21.993551606604193,88.39441,5,97.28451367635807,First,SpeedUp,non, False
93, 21.182101023162314,20.367404829963764,21.993551606604193,89.44947,5,97.2503078376052,First,SpeedUp,non, False
94, 21.1806878997172,20.366046057420384,21.993551606604193,90.50479,5,97.21608705527927,First,SpeedUp,non, False
95, 21.183733182668725,20.368974214104544,21.993551606604193,91.56036,5,97.18182891402067,First,SpeedUp,non, False
96, 21.111704886448607,20.299716236969815,21.993551606604193,92.616196,5,97.14754835740246,First,SpeedUp,non, False
97, 21.172531622284588,20.358203482965948,21.993551606604193,93.67229,5,97.11324538542465,First,SpeedUp,non, False
98, 21.16236990955778,20.348432605344016,21.993551606604193,94.72864,5,97.07890505451417,First,SpeedUp,non, False
99, 21.10388730312311,20.292199329926067,21.993551606604193,95.78198,5,97.04488601042465,First,SpeedUp,non, False
100, 21.126214331132566,20.313667626089003,21.993551606604193,96.83559,5,97.01084455097552,First,SpeedUp,non, False
101, 21.15200093692676,20.338462439352654,21.993551606604193,97.88945,5,96.97676573259373,First,SpeedUp,non, False
102, 21.188041850150135,20.373117163605897,21.993551606604193,98.943565,5,96.94267197063887,First,SpeedUp,non, False
103, 21.176255366174633,20.361784005937146,21.993551606604193,99.99794,5,96.90854084975135,First,SpeedUp,non, False
104, 21.158183826065663,20.344407525063136,21.993551606604193,101.052574,5,96.87438731350422,First,SpeedUp,non, False
105, 21.149933174395606,20.33647420614962,21.993551606604193,102.10747,5,96.84020389011096,First,SpeedUp,non, False
106, 21.10382677257981,20.292141127480587,21.993551606604193,103.16261,5,96.80599805135807,First,SpeedUp,non, False
107, 21.144474572001187,20.33122555000114,21.993551606604193,104.21802,5,96.77176232545908,First,SpeedUp,non, False
108, 21.17089684934469,20.356631585908353,21.993551606604193,105.27368,5,96.73750418420046,First,SpeedUp,non, False
109, 21.16451983764737,20.3504998438917,21.993551606604193,106.3296,5,96.70320868400918,First,SpeedUp,non, False
110, 21.163659457644005,20.349672555426928,21.993551606604193,107.38577,5,96.66889076845831,First,SpeedUp,non, False
111, 21.168930080476915,20.354740461997032,21.993551606604193,108.44221,5,96.63455043754783,First,SpeedUp,non, False
112, 21.087884125972067,20.276811659588525,21.993551606604193,109.49564,5,96.60052392167178,First,SpeedUp,non, False
113, 21.09938668161533,20.28787180924551,21.993551606604193,110.54933,5,96.56646751864959,First,SpeedUp,non, False
114, 21.076557718166985,20.265920882852868,21.993551606604193,111.60328,5,96.53238122848126,First,SpeedUp,non, False
115, 21.197579590547953,20.38228806783457,21.993551606604193,112.657486,5,96.49827252295334,First,SpeedUp,non, False
116, 21.10047583146089,20.288919068712396,21.993551606604193,113.711945,5,96.4641414020658,First,SpeedUp,non, False
117, 21.1732836392341,20.358926576186633,21.993551606604193,114.76666,5,96.42997292224561,First,SpeedUp,non, False
