turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 20.68660761104201,20.68660761104201,22.33506378318659,0.06028953,6,99.96884578432288,First,non,non, False
2, 22.03192229676374,20.665041115212787,22.33506378318659,0.17001332,5.95,99.94679594146751,First,non,InsideOvertaking, False
3, 22.771651908528792,20.635948814103298,22.33506378318659,0.34383348,5.8999996,99.93228850627023,First,non,InsideOvertaking, False
4, 21.83591304868923,20.627985135473132,22.33506378318659,0.5797514,5.8499994,99.92373720282549,First,non,InsideOvertaking, False
5, 22.71326114927172,20.6196786276584,22.33506378318659,0.87702346,5.799999,99.91959222134055,First,non,InsideOvertaking, False
6, 22.249171839922486,20.627462643051427,22.33506378318659,1.2352884,5.749999,99.91826728590988,First,non,InsideOvertaking, False
7, 22.80371869682716,20.607853402588038,22.33506378318659,1.6543427,5.699999,99.9182004313698,First,non,InsideOvertaking, False
8, 21.042855569338336,20.67834227103364,22.33506378318659,2.1340601,5.6499987,99.91781145950024,First,non,InsideOvertaking, False
9, 21.743275159846366,20.62767695587308,22.33506378318659,2.6743574,5.5999985,99.91553232745207,First,non,InsideOvertaking, False
10, 21.419232154499024,20.6771684695885,22.33506378318659,3.2751758,5.5499983,99.9098010700616,First,non,InsideOvertaking, False
11, 22.668738935636743,20.671349487144514,22.33506378318659,3.9364731,5.499998,99.89903748910878,First,non,InsideOvertaking, False
12, 22.34900485886108,20.712753744307584,22.33506378318659,4.6582174,5.449998,99.88166746405899,First,non,InsideOvertaking, False
13, 21.559095242236207,20.721496361056687,22.33506378318659,5.440385,5.3999977,99.85613510743403,First,non,InsideOvertaking, False
14, 21.775316423127993,20.712775753481626,22.33506378318659,6.282956,5.3499975,99.82085414332835,First,non,InsideOvertaking, False
15, 21.389421119255626,20.727512337703224,22.33506378318659,7.185916,5.2999973,99.77426868426375,First,non,InsideOvertaking, False
16, 22.674961407645203,20.60240849591835,22.33506378318659,8.149252,5.249997,99.7147924543347,First,non,InsideOvertaking, False
17, 22.223071884330302,20.61276890991014,22.33506378318659,9.172954,5.199997,99.6408513330066,First,non,InsideOvertaking, False
18, 22.941700501952837,20.706251929917485,22.33506378318659,10.257012,5.1499968,99.55089551048668,First,non,InsideOvertaking, False
19, 22.34909873621871,20.60563430585873,22.33506378318659,11.401422,5.0999966,99.44333871086943,First,non,InsideOvertaking, False
20, 20.717077531370233,20.717077531370233,22.33506378318659,12.543922,5.0999966,99.33669356407144,First,non,non, False
21, 20.613583854270694,20.613583854270694,22.33506378318659,13.683424,5.0999966,99.23094791472181,First,non,non, False
22, 20.71997296792164,20.71997296792164,22.33506378318659,14.819925,5.0999966,99.12611999587689,First,non,non, False
23, 20.60294913487791,20.60294913487791,22.33506378318659,15.953426,5.0999966,99.02219157448033,First,non,non, False
24, 20.65862909024518,20.65862909024518,22.33506378318659,17.083927,5.0999966,98.91916265053212,First,non,non, False
25, 20.710160231538527,20.710160231538527,22.33506378318659,18.211428,5.0999966,98.8170210686613,First,non,non, False
26, 20.665520299118903,20.665520299118903,22.33506378318659,19.335928,5.0999966,98.7157729065534,First,non,non, False
27, 20.716682184547288,20.716682184547288,22.33506378318659,20.45743,5.0999966,98.61540600883744,First,non,non, False
28, 20.713489224521656,20.713489224521656,22.33506378318659,21.575932,5.0999966,98.5159264531989,First,non,non, False
29, 20.68286937111449,20.68286937111449,22.33506378318659,22.691433,5.0999966,98.4173160065814,First,non,non, False
30, 20.60718855305025,20.60718855305025,22.33506378318659,23.803934,5.0999966,98.31959290204132,First,non,non, False
31, 20.641494656616544,20.641494656616544,22.33506378318659,24.913435,5.0999966,98.22272675115136,First,non,non, False
32, 20.65615430749077,20.65615430749077,22.33506378318659,26.019936,5.0999966,98.12673578696788,First,non,non, False
33, 20.724917181823894,20.724917181823894,22.33506378318659,27.123436,5.0999966,98.03160177643453,First,non,non, False
34, 20.60485136021237,20.60485136021237,22.33506378318659,28.223938,5.0999966,97.93732471955128,First,non,non, False
35, 20.652143815867515,20.652143815867515,22.33506378318659,29.32144,5.0999966,97.84391069400361,First,non,non, False
36, 20.628537458904344,20.628537458904344,22.33506378318659,30.415941,5.0999966,97.75133538904966,First,non,non, False
