turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 19.844240482271957,19.844240482271957,21.422792224300938,0.06028659,8,99.96909360532408,First,non,non, False
2, 21.667471634898764,19.89251145595425,21.422792224300938,0.17000392,7.95,99.94722342785494,First,non,InsideOvertaking, False
3, 19.887063669194756,19.887063669194756,21.422792224300938,0.3508637,7.95,99.93283420138889,First,non,non, False
4, 20.254533626873926,19.83859430347273,21.422792224300938,0.5867695,7.8999996,99.92435860339506,First,non,InsideOvertaking, False
5, 20.73183073527907,19.869355367059374,21.422792224300938,0.88402665,7.8499994,99.92024136766975,First,non,InsideOvertaking, False
6, 21.70720275140593,19.879329576009585,21.422792224300938,1.2422738,7.799999,99.91893325617283,First,non,InsideOvertaking, False
7, 21.181018690923988,19.902527554717604,21.422792224300938,1.6613075,7.749999,99.91886694637346,First,non,InsideOvertaking, False
8, 20.243499333276528,19.79301128844725,21.422792224300938,2.1410015,7.699999,99.91848114390432,First,non,InsideOvertaking, False
9, 20.251478490211152,19.785815389221586,21.422792224300938,2.681272,7.6499987,99.91622058256173,First,non,InsideOvertaking, False
10, 20.974668930285443,19.853877542298772,21.422792224300938,3.2820609,7.5999985,99.91053602430556,First,non,InsideOvertaking, False
11, 20.16479274111582,19.80182065587314,21.422792224300938,3.9433258,7.5499983,99.89986617476852,First,non,InsideOvertaking, False
12, 21.79886404403989,19.844118942201302,21.422792224300938,4.665035,7.499998,99.88264973958333,First,non,InsideOvertaking, False
13, 20.312747217020608,19.863784787546575,21.422792224300938,5.447164,7.449998,99.85731939621914,First,non,InsideOvertaking, False
14, 20.565788228395864,19.80834755366394,21.422792224300938,6.289694,7.3999977,99.82233796296296,First,non,InsideOvertaking, False
15, 21.80134252706627,19.79994525279511,21.422792224300938,7.1926093,7.3499975,99.77612606095678,First,non,InsideOvertaking, False
16, 21.407775188432094,19.874472664153842,21.422792224300938,8.155898,7.2999973,99.71714650848766,First,non,InsideOvertaking, False
17, 20.29138891762357,19.832942429619155,21.422792224300938,9.17955,7.249997,99.6438319830247,First,non,InsideOvertaking, False
18, 21.63160920819587,19.881094253042864,21.422792224300938,10.2635565,7.199997,99.55461516203704,First,non,InsideOvertaking, False
19, 20.544542406074235,19.860947059701402,21.422792224300938,11.34456,7.1499968,99.46623625578704,First,non,InsideOvertaking, False
20, 19.86078001823407,19.86078001823407,21.422792224300938,12.423718,7.1499968,99.37867717978395,First,non,non, False
21, 19.86256523591803,19.86256523591803,21.422792224300938,13.499877,7.1499968,99.29193793402777,First,non,non, False
