turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 21.534262361086544,20.706021501044752,22.369396460903268,0.06029394,7,99.98725017738883,First,SpeedUp,non, False
2, 21.577918461290388,20.747998520471526,22.369396460903268,0.18088181,7,99.97841769157993,First,SpeedUp,non, False
3, 21.494540377707064,20.66782728625679,22.369396460903268,0.36176363,7,99.97278190042573,First,SpeedUp,non, False
4, 21.624601928977228,20.792886470170412,22.369396460903268,0.60293937,7,99.96963140078051,First,SpeedUp,non, False
5, 21.523847606446612,20.696007313890973,22.369396460903268,0.90440905,7,99.96824555049669,First,SpeedUp,non, False
6, 21.623209898302502,20.79154797913702,22.369396460903268,1.2661726,7,99.96790370742667,First,SpeedUp,non, False
7, 21.62114589525444,20.789563360821575,22.369396460903268,1.6882303,7,99.96790370742667,First,SpeedUp,non, False
8, 21.62092669221302,20.789352588666365,22.369396460903268,2.1705818,7,99.9675249083491,First,SpeedUp,non, False
9, 21.573931896494,20.744165285090382,22.369396460903268,2.7132273,7,99.96604666804636,First,SpeedUp,non, False
10, 21.545413019436097,20.716743287919325,22.369396460903268,3.3161666,7,99.96274834437085,First,SpeedUp,non, False
11, 21.544571515427435,20.715934149449456,22.369396460903268,3.9794,7,99.95690929517502,First,SpeedUp,non, False
12, 21.55250501608695,20.72356251546822,22.369396460903268,4.702927,7,99.94783659531693,First,SpeedUp,non, False
13, 21.50684527111305,20.679658914531778,22.369396460903268,5.486748,7,99.93479112464522,First,SpeedUp,non, False
14, 21.584738972383928,20.754556704215315,22.369396460903268,6.3308635,7,99.91706148001418,First,SpeedUp,non, False
15, 21.53975191586835,20.71129991910418,22.369396460903268,7.2352724,7,99.89393625827815,First,SpeedUp,non, False
16, 21.509458695197228,20.682171822305026,22.369396460903268,8.199975,7,99.86469481728949,First,SpeedUp,non, False
17, 21.512032868526752,20.68464698896803,22.369396460903268,9.224972,7,99.82862575390256,First,SpeedUp,non, False
18, 21.607162752971462,20.776118031703326,22.369396460903268,10.310263,7,99.78500842596972,First,SpeedUp,non, False
19, 21.509427587658084,20.682141911209698,22.369396460903268,11.392553,7,99.74177913611636,First,SpeedUp,non, False
20, 21.577677403822094,20.74776673444432,22.369396460903268,12.471844,7,99.69894712334437,First,SpeedUp,non, False
21, 21.489012438850178,20.662511960432862,22.369396460903268,13.548135,7,99.65650314865184,First,SpeedUp,non, False
22, 21.55953767440715,20.73032468692995,22.369396460903268,14.62472,7,99.61401297894986,First,SpeedUp,non, False
23, 21.533144034553303,20.704946187070483,22.369396460903268,15.701598,7,99.57149509224219,First,SpeedUp,non, False
24, 21.56182817303254,20.732527089454365,22.369396460903268,16.77877,7,99.52893101052507,First,SpeedUp,non, False
25, 21.566293319459735,20.736820499480515,22.369396460903268,17.856237,7,99.48632997280038,First,SpeedUp,non, False
26, 21.514633907757187,20.687147988228062,22.369396460903268,18.930704,7,99.44411697315515,First,SpeedUp,non, False
27, 21.58694484891112,20.756677739337615,22.369396460903268,20.005465,7,99.40187625650425,First,SpeedUp,non, False
28, 21.52332207332294,20.69550199357975,22.369396460903268,21.080519,7,99.359580105842,First,SpeedUp,non, False
29, 21.535330532369876,20.707048588817187,22.369396460903268,22.155867,7,99.31725623817408,First,SpeedUp,non, False
30, 21.50635716285079,20.67918957966422,22.369396460903268,23.228214,7,99.27532040858561,First,SpeedUp,non, False
31, 21.499324704138626,20.672427600133293,22.369396460903268,24.300858,7,99.23334762298958,First,SpeedUp,non, False
32, 21.59410118241483,20.763558829245028,22.369396460903268,25.373795,7,99.19132864238411,First,SpeedUp,non, False
33, 21.56452896130243,20.735124001252334,22.369396460903268,26.447025,7,99.14928194477294,First,SpeedUp,non, False
34, 21.538647111649304,20.7102376073551,22.369396460903268,27.52055,7,99.10718905215232,First,SpeedUp,non, False
35, 21.518912367968408,20.691261892277314,22.369396460903268,28.594368,7,99.06505920352413,First,SpeedUp,non, False
