turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 22.032211327665866,21.184818584294103,23.223896162154926,0.06045744,4,99.98728797935104,First,SpeedUp,non, False
2, 22.069135607575042,21.220322699591385,23.223896162154926,0.18137231,4,99.97849373156342,First,SpeedUp,non, False
3, 22.048033270914132,21.20003199126359,23.223896162154926,0.36274463,4,99.97288901179941,First,SpeedUp,non, False
4, 22.00049080606262,21.154318082752518,23.223896162154926,0.6045744,4,99.96977323008849,First,SpeedUp,non, False
5, 22.075350312055047,21.226298376976008,23.223896162154926,0.90686154,4,99.96840892330384,First,SpeedUp,non, False
6, 21.97103657488603,21.12599670662118,23.223896162154926,1.2696061,4,99.96808628318584,First,SpeedUp,non, False
7, 22.075479763277453,21.226422849305244,23.223896162154926,1.6928082,4,99.96808628318584,First,SpeedUp,non, False
8, 22.040722236069694,21.193002150067013,23.223896162154926,2.1764677,4,99.96768989675516,First,SpeedUp,non, False
9, 22.069485970620704,21.22065958713529,23.223896162154926,2.7205846,4,99.96616887905604,First,SpeedUp,non, False
10, 21.940821705581566,21.096943947674582,23.223896162154926,3.325159,4,99.96282264011799,First,SpeedUp,non, False
11, 21.964387140039392,21.119603019268645,23.223896162154926,3.990191,4,99.95692293510325,First,SpeedUp,non, False
12, 21.95267506744006,21.10834141100006,23.223896162154926,4.71568,4,99.94774151917404,First,SpeedUp,non, False
13, 22.012593358144127,21.16595515206166,23.223896162154926,5.501627,4,99.93457780235988,First,SpeedUp,non, False
14, 22.071514138389713,21.222609748451646,23.223896162154926,6.348031,4,99.91669432153392,First,SpeedUp,non, False
15, 21.98878728859035,21.143064700567642,23.223896162154926,7.254893,4,99.89339048672566,First,SpeedUp,non, False
16, 22.020717170995347,21.17376651057245,23.223896162154926,8.222212,4,99.86393805309734,First,SpeedUp,non, False
17, 21.990895908090316,21.14509221931761,23.223896162154926,9.249989,4,99.82760877581121,First,SpeedUp,non, False
18, 22.035585793388393,21.188063262873452,23.223896162154926,10.3382225,4,99.78371128318584,First,SpeedUp,non, False
19, 22.035786289570904,21.18825604766433,23.223896162154926,11.486914,4,99.73149889380531,First,SpeedUp,non, False
20, 22.03653349845295,21.188974517743222,23.223896162154926,12.632605,4,99.67971054572271,First,SpeedUp,non, False
21, 22.066077265855295,21.21738198639932,23.223896162154926,13.775296,4,99.62835545722714,First,SpeedUp,non, False
22, 22.037082167840826,21.189502084462333,23.223896162154926,14.914988,4,99.5774244100295,First,SpeedUp,non, False
23, 22.06113280924095,21.21262770119322,23.223896162154926,16.05168,4,99.52691740412979,First,SpeedUp,non, False
24, 21.94330987762471,21.09933642079299,23.223896162154926,17.185371,4,99.47684365781711,First,SpeedUp,non, False
25, 21.95070722838648,21.106449258063922,23.223896162154926,18.316063,4,99.42717551622418,First,SpeedUp,non, False
26, 21.953076481390017,21.108727385951937,23.223896162154926,19.443754,4,99.3779314159292,First,SpeedUp,non, False
