turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 19.679766599368993,19.679766599368993,21.573784723713135,0.06046584,3,99.97886624155828,First,non,non, False
2, 19.62818596282453,19.62818596282453,21.573784723713135,0.18139751,3,99.96423192327798,First,non,non, False
3, 19.700412783089014,19.700412783089014,21.573784723713135,0.36279503,3,99.95492335627631,First,non,non, False
4, 19.616785246482024,19.616785246482024,21.573784723713135,0.60465837,3,99.94973557782875,First,non,non, False
5, 19.60204839185385,19.60204839185385,21.573784723713135,0.90698755,3,99.9474728233995,First,non,non, False
6, 19.598779917919046,19.598779917919046,21.573784723713135,1.2697825,3,99.94693932845276,First,non,non, False
7, 19.585318323960816,19.585318323960816,21.573784723713135,1.6930435,3,99.94693932845276,First,non,non, False
8, 19.698696914742662,19.698696914742662,21.573784723713135,2.1767702,3,99.9462770588637,First,non,non, False
9, 19.695874755393014,19.695874755393014,21.573784723713135,2.7209628,3,99.9437567551498,First,non,non, False
10, 19.69219228219958,19.69219228219958,21.573784723713135,3.3256211,3,99.93817345458656,First,non,non, False
11, 19.701226916321716,19.701226916321716,21.573784723713135,3.9907453,3,99.92834978901563,First,non,non, False
12, 19.684974017698256,19.684974017698256,21.573784723713135,4.7163353,3,99.91307159752377,First,non,non, False
13, 19.678301569129644,19.678301569129644,21.573784723713135,5.5023913,3,99.89116151195265,First,non,non, False
14, 19.612192321612955,19.612192321612955,21.573784723713135,6.348913,3,99.86141456957775,First,non,non, False
15, 19.574450174871934,19.574450174871934,21.573784723713135,7.255901,3,99.82263500586329,First,non,non, False
16, 19.600209861658854,19.600209861658854,21.573784723713135,8.223354,3,99.7736270562735,First,non,non, False
17, 19.643897237263506,19.643897237263506,21.573784723713135,9.251274,3,99.71319495627255,First,non,non, False
18, 19.5934675869525,19.5934675869525,21.573784723713135,10.276194,3,99.6533607385395,First,non,non, False
19, 19.685019303180983,19.685019303180983,21.573784723713135,11.298113,3,99.59411520488561,First,non,non, False
20, 19.65405080683836,19.65405080683836,21.573784723713135,12.317032,3,99.53545835531088,First,non,non, False
21, 21.155545529733832,19.56965467849863,21.573784723713135,13.33519,2.95,99.47670952384877,First,non,InsideOvertaking, False
22, 20.410895616044144,19.578558771831656,21.573784723713135,14.353814,2.9,99.4178687104993,First,non,InsideOvertaking, False
23, 20.957639534533996,19.573562461817055,21.573784723713135,15.372905,2.8500001,99.3589451134512,First,non,InsideOvertaking, False
24, 20.147624104062693,19.685822332557873,21.573784723713135,16.388992,2.8000002,99.30060100229352,First,non,InsideOvertaking, False
25, 19.672696182744303,19.672696182744303,21.573784723713135,17.403309,2.8000002,99.24283637702625,First,non,non, False
26, 19.647317563980348,19.647317563980348,21.573784723713135,18.414625,2.8000002,99.18566043583814,First,non,non, False
27, 19.580001868748163,19.580001868748163,21.573784723713135,19.422941,2.8000002,99.12906398054047,First,non,non, False
28, 20.311588102355845,19.68770339350597,21.573784723713135,20.430485,2.7500002,99.0723755433554,First,non,InsideOvertaking, False
29, 21.732762387519756,19.629674306613943,21.573784723713135,21.438494,2.7000003,99.01559512428298,First,non,InsideOvertaking, False
30, 21.79094705869705,19.672771788834503,21.573784723713135,22.44697,2.6500003,98.95873192151193,First,non,InsideOvertaking, False
31, 20.27150470530356,19.680976031561652,21.573784723713135,23.455912,2.6000004,98.90176753866477,First,non,InsideOvertaking, False
32, 19.61702176171108,19.61702176171108,21.573784723713135,24.46309,2.6000004,98.84539183989678,First,non,non, False
33, 19.630582547375955,19.630582547375955,21.573784723713135,25.467272,2.6000004,98.78958642883045,First,non,non, False
34, 19.67031373379557,19.67031373379557,21.573784723713135,26.468452,2.6000004,98.73436050365456,First,non,non, False
35, 19.699631777710795,19.699631777710795,21.573784723713135,27.466633,2.6000004,98.6796956679916,First,non,non, False
36, 19.60836608813477,19.60836608813477,21.573784723713135,28.461813,2.6000004,98.62559192184159,First,non,non, False
37, 19.63525928928715,19.63525928928715,21.573784723713135,29.453993,2.6000004,98.57204926520454,First,non,non, False
38, 19.70097792449913,19.70097792449913,21.573784723713135,30.443172,2.6000004,98.51907689626915,First,non,non, False
39, 19.69091661551291,19.69091661551291,21.573784723713135,31.429352,2.6000004,98.46665641865799,First,non,non, False
40, 20.45119095295213,19.6836820970247,21.573784723713135,32.41473,2.5500004,98.4141531573482,First,non,InsideOvertaking, False
41, 20.769281093027416,19.597676813489873,21.573784723713135,33.400574,2.5000005,98.36156711233976,First,non,InsideOvertaking, False
42, 21.493760895165394,19.624556384484322,21.573784723713135,34.386887,2.4500005,98.30887988725523,First,non,InsideOvertaking, False
43, 21.39714578049636,19.620912325098654,21.573784723713135,35.373665,2.4000006,98.2561190766608,First,non,InsideOvertaking, False
44, 21.75131098128321,19.651633018020565,21.573784723713135,36.36091,2.3500006,98.203266284179,First,non,InsideOvertaking, False
