turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 19.480942229580837,19.480942229580837,20.98284660587047,0.06028659,10,99.97881043632076,First,non,non, False
2, 19.524872130004653,19.524872130004653,20.98284660587047,0.18085977,10,99.96411593455188,First,non,non, False
3, 19.48580943667164,19.48580943667164,20.98284660587047,0.36171955,10,99.95475567511792,First,non,non, False
4, 19.400528348675724,19.400528348675724,20.98284660587047,0.60286593,10,99.94951356132076,First,non,non, False
5, 19.406311233311794,19.406311233311794,20.98284660587047,0.9042989,10,99.94721034787736,First,non,non, False
6, 19.446906630253576,19.446906630253576,20.98284660587047,1.2660184,10,99.94665757665095,First,non,non, False
7, 19.477270884558013,19.477270884558013,20.98284660587047,1.6880245,10,99.94665757665095,First,non,non, False
8, 19.473343050108475,19.473343050108475,20.98284660587047,2.1703172,10,99.94602188974056,First,non,non, False
9, 19.526814494352717,19.526814494352717,20.98284660587047,2.7128963,10,99.94356205778301,First,non,non, False
10, 19.431321976789025,19.431321976789025,20.98284660587047,3.3157623,10,99.93808962264151,First,non,non, False
11, 19.479921415006906,19.479921415006906,20.98284660587047,3.9789147,10,99.92839770047169,First,non,non, False
12, 19.50108337133606,19.50108337133606,20.98284660587047,4.702354,10,99.91331625884433,First,non,non, False
13, 19.47929494440535,19.47929494440535,20.98284660587047,5.4860797,10,99.89165683962264,First,non,non, False
14, 19.489670906491458,19.489670906491458,20.98284660587047,6.330092,10,99.86220334610849,First,non,non, False
15, 19.525289084740603,19.525289084740603,20.98284660587047,7.2343907,10,99.82378574587264,First,non,non, False
16, 19.43071679926038,19.43071679926038,20.98284660587047,8.1989765,10,99.77522479363208,First,non,non, False
17, 19.455596847213105,19.455596847213105,20.98284660587047,9.223848,10,99.71529517983491,First,non,non, False
18, 19.43628471076349,19.43628471076349,20.98284660587047,10.24572,10,99.65596440153301,First,non,non, False
19, 19.513338813587033,19.513338813587033,20.98284660587047,11.264592,10,99.59722324587264,First,non,non, False
20, 19.400586661832843,19.400586661832843,20.98284660587047,12.280464,10,99.53907171285377,First,non,non, False
21, 19.428461777620367,19.428461777620367,20.98284660587047,13.293336,10,99.48150058962264,First,non,non, False
22, 19.523503380899612,19.523503380899612,20.98284660587047,14.303208,10,99.42450987617924,First,non,non, False
23, 19.4104336511816,19.4104336511816,20.98284660587047,15.310081,10,99.36809957252359,First,non,non, False
24, 19.52063854762394,19.52063854762394,20.98284660587047,16.313953,10,99.31226967865567,First,non,non, False
25, 19.486517868289905,19.486517868289905,20.98284660587047,17.314825,10,99.25700176886792,First,non,non, False
26, 19.427637389542422,19.427637389542422,20.98284660587047,18.312696,10,99.20231426886792,First,non,non, False
27, 21.440500197980885,19.453258508331665,20.98284660587047,19.309603,9.95,99.14756227889151,First,non,InsideOvertaking, False
28, 19.67691695948987,19.45802475875501,20.98284660587047,20.303505,9.9,99.09338148584905,First,non,InsideOvertaking, False
29, 20.92890615605542,19.51720027697917,20.98284660587047,21.297693,9.849999,99.03914541568396,First,non,InsideOvertaking, False
30, 20.11324016042782,19.403897757359065,20.98284660587047,22.29217,9.799999,98.98485406839623,First,non,InsideOvertaking, False
31, 20.878386720362183,19.513133282640126,20.98284660587047,23.286932,9.749999,98.93050744398585,First,non,InsideOvertaking, False
32, 21.356990001822222,19.474403295323814,20.98284660587047,24.281982,9.699999,98.8761147553066,First,non,InsideOvertaking, False
33, 20.310147712836265,19.487573884863224,20.98284660587047,25.277319,9.649999,98.82165757665095,First,non,InsideOvertaking, False
34, 20.946467042187283,19.411425624502254,20.98284660587047,26.272942,9.599998,98.76716354658019,First,non,InsideOvertaking, False
35, 20.313809176281737,19.496967594730496,20.98284660587047,27.268852,9.549998,98.71259581367924,First,non,InsideOvertaking, False
36, 20.959990615237423,19.49492419708385,20.98284660587047,28.265049,9.499998,98.65798201650944,First,non,InsideOvertaking, False
37, 20.445423045858192,19.47013603588425,20.98284660587047,29.261534,9.449998,98.60331294221699,First,non,InsideOvertaking, False
38, 20.059892870165626,19.40801822868994,20.98284660587047,30.258305,9.399998,98.54859780365567,First,non,InsideOvertaking, False
39, 21.61507102939149,19.526135624173847,20.98284660587047,31.255363,9.3499975,98.49381817511792,First,non,InsideOvertaking, False
40, 20.307954513968127,19.450670271179554,20.98284660587047,32.25271,9.299997,98.43899248231132,First,non,InsideOvertaking, False
41, 20.935660141822062,19.52790704319222,20.98284660587047,33.25034,9.249997,98.38410229952831,First,non,InsideOvertaking, False
42, 21.585018459564026,19.47757952161815,20.98284660587047,34.24826,9.199997,98.32916605247641,First,non,InsideOvertaking, False
43, 19.75997134532211,19.495113221956924,20.98284660587047,35.243176,9.149997,98.27479178950472,First,non,InsideOvertaking, False
44, 19.875758080260933,19.4219524325881,20.98284660587047,36.23509,9.099997,98.2209795106132,First,non,InsideOvertaking, False
45, 20.265889442168326,19.42546867472566,20.98284660587047,37.227287,9.049996,98.16712116745283,First,non,InsideOvertaking, False
46, 19.753838807778866,19.403733766514623,20.98284660587047,38.21648,8.999996,98.11382480837264,First,non,InsideOvertaking, False
47, 21.09805633331139,19.440990537872803,20.98284660587047,39.205963,8.949996,98.06047317216981,First,non,InsideOvertaking, False
48, 19.72174349469204,19.458851968672743,20.98284660587047,40.19244,8.899996,98.0076743071934,First,non,InsideOvertaking, False
49, 20.941498649663536,19.46046590389396,20.98284660587047,41.179203,8.849996,97.95482937794812,First,non,InsideOvertaking, False
50, 20.04077731956544,19.5166078469909,20.98284660587047,42.166256,8.799995,97.90192917158019,First,non,InsideOvertaking, False
51, 20.16138946836113,19.39666289642514,20.98284660587047,43.153595,8.749995,97.8489829009434,First,non,InsideOvertaking, False
52, 21.497416843347064,19.479423053624032,20.98284660587047,44.14122,8.699995,97.79597214033019,First,non,InsideOvertaking, False
53, 20.997733100326414,19.51046735429339,20.98284660587047,45.12913,8.649995,97.74291531544812,First,non,InsideOvertaking, False
54, 20.977673125591597,19.49401211460827,20.98284660587047,46.117332,8.599995,97.68979400058963,First,non,InsideOvertaking, False
55, 20.082339609252497,19.455896443912525,20.98284660587047,47.10582,8.549994,97.63663583431604,First,non,InsideOvertaking, False
56, 19.96178943813175,19.399369836450152,20.98284660587047,48.094593,8.499994,97.58341317806604,First,non,InsideOvertaking, False
57, 20.532759396074102,19.421809337355533,20.98284660587047,49.083652,8.449994,97.53014445754717,First,non,InsideOvertaking, False
58, 20.24318806781058,19.397107368338673,20.98284660587047,50.072998,8.399994,97.47681124705188,First,non,InsideOvertaking, False
59, 20.90163776492566,19.443642768964224,20.98284660587047,51.062634,8.349994,97.42343197228773,First,non,InsideOvertaking, False
60, 20.48216453744519,19.51722289922915,20.98284660587047,52.052555,8.2999935,97.36999742040095,First,non,InsideOvertaking, False
61, 19.65676513812364,19.448427475194134,20.98284660587047,53.03947,8.249993,97.31712485259433,First,non,InsideOvertaking, False
62, 20.306812220870686,19.427423526580654,20.98284660587047,54.026676,8.199993,97.26419700766509,First,non,InsideOvertaking, False
63, 19.42079044625053,19.42079044625053,20.98284660587047,55.012146,8.199993,97.21182193396227,First,non,non, False
64, 19.413293144223882,19.413293144223882,20.98284660587047,55.994617,8.199993,97.16000884433963,First,non,non, False
65, 19.47261496413087,19.47261496413087,20.98284660587047,56.974087,8.199993,97.10873931308963,First,non,non, False
66, 19.46165349487786,19.46165349487786,20.98284660587047,57.950558,8.199993,97.05802255306604,First,non,non, False
67, 19.42127932772128,19.42127932772128,20.98284660587047,58.924026,8.199993,97.00784935141509,First,non,non, False
68, 20.033103763138627,19.49349491914539,20.98284660587047,59.8965,8.149993,96.95763008549528,First,non,InsideOvertaking, False
69, 21.178835535927437,19.429263447758153,20.98284660587047,60.86926,8.099993,96.90735554245283,First,non,InsideOvertaking, False
70, 20.091432101646287,19.412200038630516,20.98284660587047,61.842304,8.049993,96.85701650943396,First,non,InsideOvertaking, False
71, 20.45099357276395,19.47206440836585,20.98284660587047,62.815636,7.9999924,96.806640625,First,non,InsideOvertaking, False
72, 20.077969436224638,19.504048241585153,20.98284660587047,63.789257,7.949992,96.7562094634434,First,non,InsideOvertaking, False
73, 20.64234746383617,19.438882388494925,20.98284660587047,64.76316,7.899992,96.70573223761792,First,non,InsideOvertaking, False
74, 20.824834821089045,19.458744431312216,20.98284660587047,65.73736,7.849992,96.65519052181604,First,non,InsideOvertaking, False
75, 20.021343833530235,19.508530107779798,20.98284660587047,66.71184,7.7999916,96.60460274174528,First,non,InsideOvertaking, False
76, 21.4249100396615,19.475271926963494,20.98284660587047,67.68661,7.7499914,96.55395968455188,First,non,InsideOvertaking, False
77, 20.842550351570175,19.424904228761548,20.98284660587047,68.66166,7.699991,96.50327056308963,First,non,InsideOvertaking, False
78, 20.36090978102941,19.468762471967455,20.98284660587047,69.637,7.649991,96.45252616450472,First,non,InsideOvertaking, False
79, 21.63454697438822,19.5094643693502,20.98284660587047,70.61263,7.599991,96.40172648879717,First,non,InsideOvertaking, False
80, 21.04287582090513,19.501683459157306,20.98284660587047,71.58855,7.5499907,96.35088074882076,First,non,InsideOvertaking, False
81, 20.502082667539657,19.424262622836196,20.98284660587047,72.56475,7.4999905,96.29997051886792,First,non,InsideOvertaking, False
82, 20.483923802723577,19.457134171498936,20.98284660587047,73.54124,7.4499903,96.2490234375,First,non,InsideOvertaking, False
83, 21.216268069648486,19.474444963150873,20.98284660587047,74.51801,7.39999,96.19801186615567,First,non,InsideOvertaking, False
84, 20.30060109159355,19.450698634665816,20.98284660587047,75.49508,7.34999,96.14695423054245,First,non,InsideOvertaking, False
85, 20.465803961721157,19.41320661038009,20.98284660587047,76.47243,7.2999897,96.0958413178066,First,non,InsideOvertaking, False
86, 20.932018656219537,19.51902630188501,20.98284660587047,77.450066,7.2499895,96.04468234080188,First,non,InsideOvertaking, False
87, 20.550612151263046,19.44664125854552,20.98284660587047,78.427986,7.1999893,95.99346808667453,First,non,InsideOvertaking, False
88, 21.210368672848436,19.513404061012853,20.98284660587047,79.4062,7.149989,95.94219855542453,First,non,InsideOvertaking, False
89, 20.040491372594182,19.48138018132871,20.98284660587047,80.3847,7.099989,95.89087374705188,First,non,InsideOvertaking, False
90, 21.55499165652166,19.42362082105962,20.98284660587047,81.36348,7.0499887,95.83950287441037,First,non,InsideOvertaking, False
91, 21.53839731215845,19.47398691309609,20.98284660587047,82.34255,6.9999886,95.78807672464623,First,non,InsideOvertaking, False
92, 19.74233217388047,19.44195636068841,20.98284660587047,83.321915,6.9499884,95.73659529775944,First,non,InsideOvertaking, False
93, 20.670547860556503,19.397634085249276,20.98284660587047,84.30156,6.899988,95.68506780660377,First,non,InsideOvertaking, False
94, 20.724278955941507,19.41685783344273,20.98284660587047,85.281494,6.849988,95.63348503832547,First,non,InsideOvertaking, False
95, 21.63906362049341,19.50144164151338,20.98284660587047,86.26171,6.799988,95.58183778007076,First,non,InsideOvertaking, False
96, 21.526948844440778,19.40119218429846,20.98284660587047,87.24222,6.7499876,95.53015367040095,First,non,InsideOvertaking, False
97, 20.67263059379443,19.492467397023642,20.98284660587047,88.223015,6.6999874,95.47841428360849,First,non,InsideOvertaking, False
98, 21.40444475446187,19.486803892752068,20.98284660587047,89.204094,6.649987,95.4266196196934,First,non,InsideOvertaking, False
99, 21.29619082698938,19.48726897707863,20.98284660587047,90.18546,6.599987,95.37476967865567,First,non,InsideOvertaking, False
100, 20.120690607213888,19.414140080848124,20.98284660587047,91.167114,6.549987,95.32286446049528,First,non,InsideOvertaking, False
101, 21.128736257838035,19.419817328457416,20.98284660587047,92.149055,6.4999866,95.27091317806604,First,non,InsideOvertaking, False
102, 21.512483309960498,19.41011098101636,20.98284660587047,93.13129,6.4499865,95.21890661851415,First,non,InsideOvertaking, False
103, 19.680339891842763,19.400541830155696,20.98284660587047,94.1138,6.3999863,95.16684478183963,First,non,InsideOvertaking, False
104, 20.54583168468069,19.443536567249577,20.98284660587047,95.0966,6.349986,95.11473688089623,First,non,InsideOvertaking, False
105, 20.43036151232551,19.413826704378025,20.98284660587047,96.0797,6.299986,95.06256448997641,First,non,InsideOvertaking, False
106, 19.809570979219,19.47693483784473,20.98284660587047,97.06307,6.2499857,95.01034603478773,First,non,InsideOvertaking, False
107, 20.54314696702667,19.39779989085063,20.98284660587047,98.04674,6.1999855,94.95808151533019,First,non,InsideOvertaking, False
108, 19.90665265508906,19.451338778098208,20.98284660587047,99.030685,6.1499853,94.90575250589623,First,non,InsideOvertaking, False
109, 20.474197082921872,19.503121200670684,20.98284660587047,100.01492,6.099985,94.8533774321934,First,non,InsideOvertaking, False
110, 19.68397573889567,19.4632847235894,20.98284660587047,101.05842,6.049985,94.80155512971699,First,non,InsideOvertaking, False
111, 21.12021558749238,19.45728727930507,20.98284660587047,102.10259,5.9999847,94.74967755011792,First,non,InsideOvertaking, False
112, 21.22020005482188,19.433732374164567,20.98284660587047,103.14744,5.9499846,94.69774469339623,First,non,InsideOvertaking, False
113, 21.594139351874723,19.48190706671289,20.98284660587047,104.19296,5.8999844,94.64576577240567,First,non,InsideOvertaking, False
114, 21.078006490986922,19.424421728553032,20.98284660587047,105.23916,5.849984,94.59372236143868,First,non,InsideOvertaking, False
115, 20.658397263576386,19.52788468777702,20.98284660587047,106.28603,5.799984,94.5416420990566,First,non,InsideOvertaking, False
116, 20.194874649118976,19.442025175361337,20.98284660587047,107.33359,5.749984,94.48949734669812,First,non,InsideOvertaking, False
117, 20.673723592218227,19.483753738363813,20.98284660587047,108.38182,5.6999836,94.43730653007076,First,non,InsideOvertaking, False
118, 21.15037786299214,19.452992996767588,20.98284660587047,109.43073,5.6499834,94.38506043632076,First,non,InsideOvertaking, False
119, 20.297526791111792,19.457332232705014,20.98284660587047,110.48032,5.599983,94.33275906544812,First,non,InsideOvertaking, False
120, 20.41406714049908,19.49323671358658,20.98284660587047,111.530594,5.549983,94.2804116303066,First,non,InsideOvertaking, False
121, 20.192002031559113,19.437396395499686,20.98284660587047,112.58154,5.499983,94.22799970518868,First,non,InsideOvertaking, False
122, 20.436813011348075,19.471699307266107,20.98284660587047,113.63317,5.4499826,94.17554171580188,First,non,InsideOvertaking, False
123, 20.532405898869047,19.47131959062622,20.98284660587047,114.685486,5.3999825,94.12302844929245,First,non,InsideOvertaking, False
124, 20.360148370569547,19.459792810658392,20.98284660587047,115.73848,5.3499823,94.07045990566037,First,non,InsideOvertaking, False
125, 19.794102551634413,19.426525749549704,20.98284660587047,116.79215,5.299982,94.01784529775944,First,non,InsideOvertaking, False
126, 20.62334318997139,19.485125885787767,20.98284660587047,117.84651,5.249982,93.96516619988208,First,non,InsideOvertaking, False
127, 19.62854768844783,19.407933470762377,20.98284660587047,118.89803,5.1999817,93.91304908608491,First,non,InsideOvertaking, False
128, 20.29320051789623,19.407931375384663,20.98284660587047,119.95023,5.1499815,93.86088590801887,First,non,InsideOvertaking, False
129, 21.073339150001644,19.4524339824484,20.98284660587047,121.00312,5.0999813,93.80866745283019,First,non,InsideOvertaking, False
130, 20.141346907961296,19.42198352910341,20.98284660587047,122.05669,5.049981,93.75639372051887,First,non,InsideOvertaking, False
131, 20.062096614536326,19.45918753877194,20.98284660587047,123.11094,4.999981,93.70406471108491,First,non,InsideOvertaking, False
132, 20.27885629053775,19.41418603362352,20.98284660587047,124.16588,4.9499807,93.65168042452831,First,non,InsideOvertaking, False
133, 20.232721860147723,19.484052626135774,20.98284660587047,125.2215,4.8999805,93.59925007370283,First,non,InsideOvertaking, False
134, 21.258871632720762,19.483527072656983,20.98284660587047,126.2778,4.8499804,93.54676444575472,First,non,InsideOvertaking, False
135, 20.325318677186626,19.50033519985944,20.98284660587047,127.33479,4.79998,93.49422354068396,First,non,InsideOvertaking, False
136, 21.459957438201535,19.45023103097633,20.98284660587047,128.39247,4.74998,93.44162735849056,First,non,InsideOvertaking, False
137, 19.9580082885273,19.477241222872507,20.98284660587047,129.45084,4.69998,93.38897589917453,First,non,InsideOvertaking, False
138, 19.676215549580455,19.431568149514504,20.98284660587047,130.50635,4.6499796,93.33688642393868,First,non,InsideOvertaking, False
139, 20.109518636974208,19.446813397312,20.98284660587047,131.56255,4.5999794,93.28474167158019,First,non,InsideOvertaking, False
140, 20.67331922335418,19.511699235260743,20.98284660587047,132.61943,4.549979,93.23255085495283,First,non,InsideOvertaking, False
141, 20.187722269644922,19.49679521389208,20.98284660587047,133.677,4.499979,93.18029554834905,First,non,InsideOvertaking, False
142, 20.484650411001933,19.42705458519435,20.98284660587047,134.73528,4.449979,93.12799417747641,First,non,InsideOvertaking, False
143, 20.127284589852596,19.433062605226674,20.98284660587047,135.79424,4.3999786,93.07563752948113,First,non,InsideOvertaking, False
144, 20.765020315768474,19.494668835462594,20.98284660587047,136.85388,4.3499784,93.0232256043632,First,non,InsideOvertaking, False
145, 20.777468846947567,19.43984975726566,20.98284660587047,137.91422,4.2999783,92.97076761497641,First,non,InsideOvertaking, False
146, 21.373048866332798,19.432689050034433,20.98284660587047,138.97523,4.249978,92.9182451356132,First,non,InsideOvertaking, False
147, 20.650912901589518,19.489851689033305,20.98284660587047,140.03694,4.199978,92.86567659198113,First,non,InsideOvertaking, False
148, 20.81268496954314,19.398986882099823,20.98284660587047,141.09935,4.1499777,92.81306198408019,First,non,InsideOvertaking, False
149, 19.908048855189943,19.425170799322558,20.98284660587047,142.16245,4.0999775,92.76038288620283,First,non,InsideOvertaking, False
150, 19.802766826144815,19.404400417679827,20.98284660587047,143.22623,4.0499773,92.70764851120283,First,non,InsideOvertaking, False
151, 20.689957098376695,19.43240212497646,20.98284660587047,144.29071,3.9999774,92.65486807193396,First,non,InsideOvertaking, False
152, 20.084308162275537,19.450797433773463,20.98284660587047,145.35588,3.9499774,92.60203235554245,First,non,InsideOvertaking, False
153, 19.979599353414578,19.414610219964818,20.98284660587047,146.42175,3.8999774,92.54915057488208,First,non,InsideOvertaking, False
154, 19.91940649681292,19.51230615779179,20.98284660587047,147.48831,3.8499775,92.49621351709905,First,non,InsideOvertaking, False
155, 20.178833095684055,19.494086003408142,20.98284660587047,148.55557,3.7999775,92.44321196933963,First,non,InsideOvertaking, False
156, 21.363846248773203,19.39750818132305,20.98284660587047,149.62352,3.7499776,92.39016435731132,First,non,InsideOvertaking, False
157, 20.062449919027138,19.46296683835635,20.98284660587047,150.69217,3.6999776,92.33706146816037,First,non,InsideOvertaking, False
158, 19.65735557201088,19.42167541792989,20.98284660587047,151.75795,3.6499777,92.28451135023585,First,non,InsideOvertaking, False
159, 21.364968051225773,19.451881189823787,20.98284660587047,152.82442,3.5999777,92.23191516804245,First,non,InsideOvertaking, False
160, 21.548800520151012,19.50234308106785,20.98284660587047,153.89159,3.5499778,92.17926370872641,First,non,InsideOvertaking, False
161, 20.980975924516176,19.43407576668875,20.98284660587047,154.95946,3.4999778,92.12656618514151,First,non,InsideOvertaking, False
162, 20.485615200524123,19.48771310477621,20.98284660587047,156.02802,3.4499779,92.07380417158019,First,non,InsideOvertaking, False
163, 19.941770468544387,19.4520541552083,20.98284660587047,157.09727,3.399978,92.02099609375,First,non,InsideOvertaking, False
164, 19.804531299444484,19.457757553506273,20.98284660587047,158.16724,3.349978,91.96813273879717,First,non,InsideOvertaking, False
165, 21.199124963271604,19.44547455279619,20.98284660587047,159.23788,3.299978,91.91521410672169,First,non,InsideOvertaking, False
166, 20.81678071778644,19.444075383231468,20.98284660587047,160.30923,3.249978,91.86224941037736,First,non,InsideOvertaking, False
167, 21.49443255108875,19.487777040810556,20.98284660587047,161.38129,3.199978,91.80922943691037,First,non,InsideOvertaking, False
168, 20.609964790222094,19.50682815367039,20.98284660587047,162.45404,3.1499782,91.75614497346699,First,non,InsideOvertaking, False
169, 20.94498113891561,19.452588465421176,20.98284660587047,163.5275,3.0999782,91.70301444575472,First,non,InsideOvertaking, False
170, 21.50698102024975,19.520831829556105,20.98284660587047,164.60165,3.0499783,91.64982864091981,First,non,InsideOvertaking, False
171, 20.928454520615038,19.48004207439243,20.98284660587047,165.67651,2.9999783,91.59659677181604,First,non,InsideOvertaking, False
172, 21.109212891964976,19.432047851546912,20.98284660587047,166.75208,2.9499784,91.54330962558963,First,non,InsideOvertaking, False
173, 21.374302766003805,19.52696603680809,20.98284660587047,167.82834,2.8999784,91.4899579893868,First,non,InsideOvertaking, False
174, 20.61026219861122,19.464054178604624,20.98284660587047,168.9053,2.8499784,91.43656028891509,First,non,InsideOvertaking, False
175, 19.907451023179835,19.525315310102336,20.98284660587047,169.98297,2.7999785,91.38310731132076,First,non,InsideOvertaking, False
176, 21.145772167428703,19.525542849570023,20.98284660587047,171.06134,2.7499785,91.32959905660377,First,non,InsideOvertaking, False
177, 20.783631042060236,19.408137059452624,20.98284660587047,172.14041,2.6999786,91.27604473761792,First,non,InsideOvertaking, False
178, 21.41281584574991,19.40777855257535,20.98284660587047,173.22018,2.6499786,91.22243514150944,First,non,InsideOvertaking, False
179, 19.92657666283283,19.4364710234374,20.98284660587047,174.30066,2.5999787,91.16877026827831,First,non,InsideOvertaking, False
180, 21.270071712694275,19.464455351357582,20.98284660587047,175.38185,2.5499787,91.11504090507076,First,non,InsideOvertaking, False
181, 20.56769427858349,19.42724355524735,20.98284660587047,176.46375,2.4999788,91.06127469044812,First,non,InsideOvertaking, False
182, 21.037731983290644,19.504882350092004,20.98284660587047,177.54634,2.4499788,91.00744398584905,First,non,InsideOvertaking, False
183, 20.944050689315777,19.50921319603926,20.98284660587047,178.62965,2.3999789,90.95355800412736,First,non,InsideOvertaking, False
184, 21.280493389446562,19.510891522145442,20.98284660587047,179.71367,2.349979,90.8996259581368,First,non,InsideOvertaking, False
185, 19.933719803070407,19.397373085211303,20.98284660587047,180.79839,2.299979,90.84562942216981,First,non,InsideOvertaking, False
