turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 18.211836917656605,18.211836917656605,19.665020377477333,0.06028659,10,99.99138898480663,First,non,non, False
2, 18.254340786647315,18.254340786647315,19.665020377477333,0.18085977,10,99.98588570441989,First,non,non, False
3, 18.219479743099843,18.219479743099843,19.665020377477333,0.36171955,10,99.98281034185082,First,non,non, False
4, 18.26484066520673,18.26484066520673,19.665020377477333,0.60286593,10,99.98145070787292,First,non,non, False
5, 18.20401967771942,18.20401967771942,19.665020377477333,0.9042989,10,99.98112698549724,First,non,non, False
6, 18.23159022754135,18.23159022754135,19.665020377477333,1.2660184,10,99.98112698549724,First,non,non, False
7, 18.247640065678297,18.247640065678297,19.665020377477333,1.6880245,10,99.98074930939227,First,non,non, False
8, 18.22047101158071,18.22047101158071,19.665020377477333,2.1703172,10,99.97932493093923,First,non,non, False
9, 18.296516976593686,18.296516976593686,19.665020377477333,2.7128963,10,99.97613087016575,First,non,non, False
10, 18.189870629398207,18.189870629398207,19.665020377477333,3.3157623,10,99.97046572859117,First,non,non, False
11, 18.199185190626373,18.199185190626373,19.665020377477333,3.9789147,10,99.96164968922652,First,non,non, False
12, 18.22322655506749,18.22322655506749,19.665020377477333,4.702354,10,99.94898135359117,First,non,non, False
13, 18.278766095515312,18.278766095515312,19.665020377477333,5.4860797,10,99.93175932320442,First,non,non, False
14, 18.217279674110262,18.217279674110262,19.665020377477333,6.330092,10,99.9092929903315,First,non,non, False
15, 18.2602832129022,18.2602832129022,19.665020377477333,7.2343907,10,99.88087016574586,First,non,non, False
16, 18.23627933095149,18.23627933095149,19.665020377477333,8.1989765,10,99.84581103245857,First,non,non, False
17, 18.222926351370546,18.222926351370546,19.665020377477333,9.160562,10,99.81109720303867,First,non,non, False
18, 18.203273209684323,18.203273209684323,19.665020377477333,10.119147,10,99.77672867748619,First,non,non, False
19, 18.275967920297354,18.275967920297354,19.665020377477333,11.074733,10,99.7427054558011,First,non,non, False
20, 18.23592023167109,18.23592023167109,19.665020377477333,12.027318,10,99.70901674723757,First,non,non, False
21, 18.193138323470077,18.193138323470077,19.665020377477333,12.976904,10,99.67568413328729,First,non,non, False
22, 18.232596780915465,18.232596780915465,19.665020377477333,13.92349,10,99.64267524171271,First,non,non, False
23, 19.31235283973822,18.296820628279715,19.665020377477333,14.8690405,9.95,99.6096447686464,First,non,InsideOvertaking, False
24, 18.429174101142014,18.208989583820223,19.665020377477333,15.811587,9.9,99.57694880870166,First,non,InsideOvertaking, False
25, 18.458555765236692,18.217883664616714,19.665020377477333,16.75113,9.849999,99.5445765711326,First,non,InsideOvertaking, False
26, 19.65054777034831,18.242836824044456,19.665020377477333,17.690958,9.799999,99.51218275207182,First,non,InsideOvertaking, False
27, 19.707351146316498,18.214145549865595,19.665020377477333,18.631075,9.749999,99.47975656077348,First,non,InsideOvertaking, False
28, 18.745926108278663,18.2830136549217,19.665020377477333,19.568188,9.699999,99.44766488259668,First,non,InsideOvertaking, False
29, 18.481491301725985,18.237894596098307,19.665020377477333,20.502296,9.649999,99.41589692679558,First,non,InsideOvertaking, False
30, 19.827801048178806,18.293618251280385,19.665020377477333,21.436691,9.599998,99.38410738950276,First,non,InsideOvertaking, False
31, 19.380696100620035,18.21910294317268,19.665020377477333,22.371374,9.549998,99.35228547997238,First,non,InsideOvertaking, False
32, 18.652813782722422,18.2752159523758,19.665020377477333,23.303051,9.499998,99.32078729281768,First,non,InsideOvertaking, False
33, 19.480336285348926,18.283962724879423,19.665020377477333,24.235016,9.449998,99.28925673342542,First,non,InsideOvertaking, False
34, 19.381395410130093,18.225709439183316,19.665020377477333,25.167267,9.399998,99.25770459254143,First,non,InsideOvertaking, False
35, 19.613657348729905,18.248899619077243,19.665020377477333,26.099806,9.3499975,99.22612007941989,First,non,InsideOvertaking, False
36, 19.97106807529423,18.277741297983315,19.665020377477333,27.03263,9.299997,99.19449240331491,First,non,InsideOvertaking, False
37, 19.696612851393343,18.241731580352994,19.665020377477333,27.965744,9.249997,99.16284314571823,First,non,InsideOvertaking, False
38, 18.917767878779234,18.29687966729638,19.665020377477333,28.899143,9.199997,99.13116151588397,First,non,InsideOvertaking, False
39, 18.929540119288554,18.247828029404644,19.665020377477333,29.83283,9.149997,99.09944751381215,First,non,InsideOvertaking, False
40, 18.95501348816495,18.248019353208754,19.665020377477333,30.766804,9.099997,99.06770113950276,First,non,InsideOvertaking, False
41, 19.095818369842426,18.258494189798643,19.665020377477333,31.701065,9.049996,99.03591160220995,First,non,InsideOvertaking, False
42, 19.64565758402019,18.275593208390003,19.665020377477333,32.635612,8.999996,99.00411127417127,First,non,InsideOvertaking, False
43, 18.250294815679293,18.250294815679293,19.665020377477333,33.568497,8.999996,98.97262387776243,First,non,non, False
44, 18.281580068533618,18.281580068533618,19.665020377477333,34.498383,8.999996,98.941481785221,First,non,non, False
45, 18.296138771598127,18.296138771598127,19.665020377477333,35.425266,8.999996,98.91065262430939,First,non,non, False
46, 18.271147402603383,18.271147402603383,19.665020377477333,36.34915,8.999996,98.88014718577348,First,non,non, False
47, 19.37895667215529,18.2097787427155,19.665020377477333,37.27197,8.949996,98.84962016574586,First,non,InsideOvertaking, False
48, 19.162467203157266,18.282111494724994,19.665020377477333,38.195072,8.899996,98.81906077348066,First,non,InsideOvertaking, False
49, 19.490472514816144,18.259237502585158,19.665020377477333,39.11846,8.849996,98.7884690089779,First,non,InsideOvertaking, False
50, 18.47497784538925,18.22274108621412,19.665020377477333,40.03885,8.799995,98.75820096685082,First,non,InsideOvertaking, False
51, 19.212455576855564,18.23256312997455,19.665020377477333,40.959522,8.749995,98.72790055248619,First,non,InsideOvertaking, False
52, 19.127469034603223,18.27701276097484,19.665020377477333,41.88048,8.699995,98.69757855662984,First,non,InsideOvertaking, False
53, 18.675518361432488,18.264242362679244,19.665020377477333,42.80173,8.649995,98.66721339779005,First,non,InsideOvertaking, False
54, 19.51456841157001,18.259711186032956,19.665020377477333,43.723267,8.599995,98.63682665745857,First,non,InsideOvertaking, False
55, 18.711515461403284,18.301992266637615,19.665020377477333,44.64509,8.549994,98.60639675414365,First,non,InsideOvertaking, False
56, 18.50860188619057,18.23182806035426,19.665020377477333,45.567196,8.499994,98.57594526933701,First,non,InsideOvertaking, False
57, 18.958956602707346,18.250748645006105,19.665020377477333,46.489594,8.449994,98.54546141229282,First,non,InsideOvertaking, False
58, 18.825123303527498,18.261814598608236,19.665020377477333,47.412277,8.399994,98.51494518301105,First,non,InsideOvertaking, False
59, 18.964821275964216,18.24367415619505,19.665020377477333,48.335247,8.349994,98.48440737223757,First,non,InsideOvertaking, False
60, 19.799771430158977,18.210905431828973,19.665020377477333,49.258503,8.2999935,98.45382639848066,First,non,InsideOvertaking, False
61, 20.280216538908455,18.28184487752704,19.665020377477333,50.18205,8.249993,98.42322384323204,First,non,InsideOvertaking, False
62, 18.48267165721191,18.18167462941811,19.665020377477333,51.10259,8.199993,98.39293421961327,First,non,InsideOvertaking, False
63, 19.714946078131476,18.22689183214882,19.665020377477333,52.023415,8.149993,98.36262301450276,First,non,InsideOvertaking, False
64, 18.70414305616872,18.261997646233457,19.665020377477333,52.944527,8.099993,98.33226864640883,First,non,InsideOvertaking, False
65, 19.139125657125643,18.275718031805315,19.665020377477333,53.86593,8.049993,98.30190348756906,First,non,InsideOvertaking, False
66, 18.757067825690054,18.207735304270344,19.665020377477333,54.787617,7.9999924,98.27149516574586,First,non,InsideOvertaking, False
67, 18.617304371849606,18.205399855382304,19.665020377477333,55.70959,7.949992,98.24105447168509,First,non,InsideOvertaking, False
68, 18.530696147607,18.214316848722675,19.665020377477333,56.63185,7.899992,98.21058140538673,First,non,InsideOvertaking, False
69, 19.134497814649645,18.20625711250403,19.665020377477333,57.5544,7.849992,98.18008675759668,First,non,InsideOvertaking, False
70, 18.911154790506767,18.298998908984302,19.665020377477333,58.477238,7.7999916,98.1495489468232,First,non,InsideOvertaking, False
71, 20.18454013477227,18.26639246662134,19.665020377477333,59.40036,7.7499914,98.11898955455801,First,non,InsideOvertaking, False
72, 19.10998306711446,18.181914175359353,19.665020377477333,60.32377,7.699991,98.08839779005525,First,non,InsideOvertaking, False
73, 20.29123564873743,18.288461148965588,19.665020377477333,61.247467,7.649991,98.05776286256906,First,non,InsideOvertaking, False
74, 20.06070175375822,18.280642292711757,19.665020377477333,62.17145,7.599991,98.02711714433701,First,non,InsideOvertaking, False
75, 19.305592805270685,18.275102410120848,19.665020377477333,63.095722,7.5499907,97.99642826312154,First,non,InsideOvertaking, False
76, 18.92298861301056,18.196832819448325,19.665020377477333,64.02028,7.4999905,97.9657070096685,First,non,InsideOvertaking, False
77, 19.436029862083053,18.188375698740856,19.665020377477333,64.94512,7.4499903,97.93496417472376,First,non,InsideOvertaking, False
78, 19.47532186634444,18.225701551970985,19.665020377477333,65.870255,7.39999,97.90417817679558,First,non,InsideOvertaking, False
79, 19.736821437511935,18.21439963567286,19.665020377477333,66.79567,7.34999,97.8733705973757,First,non,InsideOvertaking, False
80, 18.8201702468103,18.23144020155,19.665020377477333,67.721375,7.2999897,97.84251985497238,First,non,InsideOvertaking, False
81, 19.038632112648738,18.219278447498713,19.665020377477333,68.64737,7.2499895,97.8116583218232,First,non,InsideOvertaking, False
82, 20.01737501525581,18.2165470751511,19.665020377477333,69.57365,7.1999893,97.78075362569061,First,non,InsideOvertaking, False
83, 19.31211770107659,18.18310066192988,19.665020377477333,70.50021,7.149989,97.74980576657458,First,non,InsideOvertaking, False
84, 19.198106435772704,18.250774834088244,19.665020377477333,71.42707,7.099989,97.71884711671271,First,non,InsideOvertaking, False
85, 19.852208780019676,18.253363785846606,19.665020377477333,72.35421,7.0499887,97.6878453038674,First,non,InsideOvertaking, False
86, 19.262350212908018,18.191749484497716,19.665020377477333,73.28164,6.9999886,97.65681111878453,First,non,InsideOvertaking, False
87, 19.469188745325262,18.294167404444558,19.665020377477333,74.20935,6.9499884,97.62575535220995,First,non,InsideOvertaking, False
88, 18.717169877446093,18.194452707204427,19.665020377477333,75.13735,6.899988,97.59465642265194,First,non,InsideOvertaking, False
