turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 18.675848761733967,18.675848761733967,20.512823696785645,0.060446,3,99.99145741984105,First,non,non, False
2, 18.718846654225246,18.718846654225246,20.512823696785645,0.18133801,3,99.98601928610579,First,non,non, False
3, 18.63041172501635,18.63041172501635,20.512823696785645,0.36267602,3,99.98298977459578,First,non,non, False
4, 18.74346087033925,18.74346087033925,20.512823696785645,0.60446,3,99.98166235612497,First,non,non, False
5, 18.721053996911657,18.721053996911657,20.512823696785645,0.90669,3,99.98134120649493,First,non,non, False
6, 18.67614216020186,18.67614216020186,20.512823696785645,1.269366,3,99.98134120649493,First,non,non, False
7, 18.72387516829793,18.72387516829793,20.512823696785645,1.6924881,3,99.9809558269389,First,non,non, False
8, 18.67415465676874,18.67415465676874,20.512823696785645,2.1760561,3,99.97949994861607,First,non,non, False
9, 18.748890175098904,18.748890175098904,20.512823696785645,2.7200701,3,99.97627774732804,First,non,non, False
10, 18.728888389401924,18.728888389401924,20.512823696785645,3.3245301,3,99.97059339887642,First,non,non, False
11, 18.707248700310366,18.707248700310366,20.512823696785645,3.9894361,3,99.96174037407509,First,non,non, False
12, 18.683501735294122,18.683501735294122,20.512823696785645,4.7147884,3,99.94904425870102,First,non,non, False
13, 18.693564877867566,18.693564877867566,20.512823696785645,5.5005865,3,99.9317985235681,First,non,non, False
14, 18.67070400751068,18.67070400751068,20.512823696785645,6.3468304,3,99.90929663949028,First,non,non, False
15, 18.684816566932906,18.684816566932906,20.512823696785645,7.2535205,3,99.88085348725679,First,non,non, False
16, 18.743210952740945,18.743210952740945,20.512823696785645,8.220656,3,99.8457839476569,First,non,non, False
17, 18.64818591892432,18.64818591892432,20.512823696785645,9.1847925,3,99.81105696766238,First,non,non, False
18, 18.698672842059047,18.698672842059047,20.512823696785645,10.145928,3,99.77666184228556,First,non,non, False
19, 18.70163008989575,18.70163008989575,20.512823696785645,11.104064,3,99.74263068648945,First,non,non, False
20, 18.73245361680141,18.73245361680141,20.512823696785645,12.0592,3,99.70892068032339,First,non,non, False
21, 18.718434899789568,18.718434899789568,20.512823696785645,13.011336,3,99.67555323376268,First,non,non, False
22, 18.640763864404576,18.640763864404576,20.512823696785645,13.960472,3,99.64252834680735,First,non,non, False
23, 18.664087322196078,18.664087322196078,20.512823696785645,14.906609,3,99.60983531446972,First,non,non, False
24, 18.68519695860003,18.68519695860003,20.512823696785645,15.849745,3,99.5774741367498,First,non,non, False
25, 18.675267871100864,18.675267871100864,20.512823696785645,16.78988,3,99.54545551863525,First,non,non, False
26, 18.71065178641771,18.71065178641771,20.512823696785645,17.727016,3,99.51375805015073,First,non,non, False
27, 18.698155707810972,18.698155707810972,20.512823696785645,18.661152,3,99.48239243628392,First,non,non, False
28, 18.712635853810962,18.712635853810962,20.512823696785645,19.595734,3,99.45098400246644,First,non,non, False
29, 18.652822786091562,18.652822786091562,20.512823696785645,20.527315,3,99.41988601329132,First,non,non, False
30, 18.725357454286137,18.725357454286137,20.512823696785645,21.459343,3,99.3887559091532,First,non,non, False
31, 18.72225203255487,18.72225203255487,20.512823696785645,22.391817,3,99.35757228007674,First,non,non, False
32, 18.736802495835896,18.736802495835896,20.512823696785645,23.324738,3,99.32633512606193,First,non,non, False
33, 18.651299979672768,18.651299979672768,20.512823696785645,24.254658,3,99.29542982666484,First,non,non, False
34, 18.696508848938308,18.696508848938308,20.512823696785645,25.185024,3,99.26447100232942,First,non,non, False
35, 18.661589754856895,18.661589754856895,20.512823696785645,26.115837,3,99.23346935804331,First,non,non, False
36, 18.66019490894712,18.66019490894712,20.512823696785645,27.047094,3,99.20241418881886,First,non,non, False
37, 18.65039583179219,18.65039583179219,20.512823696785645,27.978798,3,99.17131619964374,First,non,non, False
38, 18.7452268518217,18.7452268518217,20.512823696785645,28.910948,3,99.14017539051795,First,non,non, False
39, 18.666568575199545,18.666568575199545,20.512823696785645,29.843544,3,99.10897035146616,First,non,non, False
40, 18.649137885143652,18.649137885143652,20.512823696785645,30.77314,3,99.07809716703207,First,non,non, False
41, 18.677374315659268,18.677374315659268,20.512823696785645,31.703182,3,99.0471811626473,First,non,non, False
42, 18.655838035173517,18.655838035173517,20.512823696785645,32.63367,3,99.0162116333242,First,non,non, False
43, 19.86054402310803,18.73229811117864,20.512823696785645,33.563263,2.95,98.98518857906276,First,non,InsideOvertaking, False
44, 20.239199281735285,18.723844316211984,20.512823696785645,34.4933,2.9,98.95412270485065,First,non,InsideOvertaking, False
45, 19.746936294172997,18.70767213781458,20.512823696785645,35.423786,2.8500001,98.92301401068787,First,non,InsideOvertaking, False
46, 20.535417419343734,18.70325447545724,20.512823696785645,36.354717,2.8000002,98.89185179158675,First,non,InsideOvertaking, False
47, 18.72313360072722,18.72313360072722,20.512823696785645,37.287434,2.8000002,98.86063604754727,First,non,non, False
48, 18.73147426572466,18.73147426572466,20.512823696785645,38.220596,2.8000002,98.82937748355714,First,non,non, False
49, 18.67933424185986,18.67933424185986,20.512823696785645,39.154205,2.8000002,98.79806539462867,First,non,non, False
50, 18.633182432054,18.633182432054,20.512823696785645,40.084816,2.8000002,98.7670851603179,First,non,non, False
51, 18.64097990114199,18.64097990114199,20.512823696785645,41.015873,2.8000002,98.73605140106879,First,non,non, False
52, 18.650676543119925,18.650676543119925,20.512823696785645,41.947376,2.8000002,98.70497482186902,First,non,non, False
53, 18.72938368769277,18.72938368769277,20.512823696785645,42.879326,2.8000002,98.67384471773089,First,non,non, False
54, 18.653518289940003,18.653518289940003,20.512823696785645,43.81172,2.8000002,98.6426717936421,First,non,non, False
55, 18.66095186724555,18.66095186724555,20.512823696785645,44.74456,2.8000002,98.61144534461496,First,non,non, False
56, 18.698134780786308,18.698134780786308,20.512823696785645,45.677845,2.8000002,98.58017607563717,First,non,non, False
57, 18.66448061037287,18.66448061037287,20.512823696785645,46.60813,2.8000002,98.54921725130173,First,non,non, False
58, 18.711197953961783,18.711197953961783,20.512823696785645,47.538864,2.8000002,98.51822631200329,First,non,non, False
59, 18.733138296696932,18.733138296696932,20.512823696785645,48.470043,2.8000002,98.48718184776652,First,non,non, False
60, 18.682521326511413,18.682521326511413,20.512823696785645,49.40167,2.8000002,98.4560838585914,First,non,non, False
61, 18.709051464242386,18.709051464242386,20.512823696785645,50.33374,2.8000002,98.42495375445328,First,non,non, False
62, 18.647920264809642,18.647920264809642,20.512823696785645,51.26626,2.8000002,98.39377012537682,First,non,non, False
63, 18.67383097638889,18.67383097638889,20.512823696785645,52.19922,2.8000002,98.36252226637436,First,non,non, False
64, 18.688496906972034,18.688496906972034,20.512823696785645,53.132626,2.8000002,98.33123158742121,First,non,non, False
65, 20.115462154775315,18.635847687719107,20.512823696785645,54.06514,2.7500002,98.29990879350508,First,non,InsideOvertaking, False
66, 19.468198344024955,18.663426256587904,20.512823696785645,54.9981,2.7000003,98.26852176966293,First,non,InsideOvertaking, False
67, 20.437582541580923,18.683707930383523,20.512823696785645,55.931507,2.6500003,98.2370919258701,First,non,InsideOvertaking, False
68, 20.35952556863787,18.69907937260459,20.512823696785645,56.86536,2.6000004,98.20559785215129,First,non,InsideOvertaking, False
69, 19.71419422310632,18.630459734003537,20.512823696785645,57.79966,2.5500004,98.17407166346945,First,non,InsideOvertaking, False
70, 19.24110543079,18.735603402095403,20.512823696785645,58.73441,2.5000005,98.14249194984929,First,non,InsideOvertaking, False
71, 19.705741247443974,18.730093161826108,20.512823696785645,59.669605,2.4500005,98.11085871129077,First,non,InsideOvertaking, False
72, 20.229115733116153,18.739989301884552,20.512823696785645,60.605247,2.4000006,98.07919335776926,First,non,InsideOvertaking, False
73, 19.43957116224548,18.671829089599502,20.512823696785645,61.541336,2.3500006,98.04746377432174,First,non,InsideOvertaking, False
74, 19.279974286015776,18.73407313756837,20.512823696785645,62.47787,2.3000007,98.01569137092355,First,non,InsideOvertaking, False
