turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 19.280940975701913,19.280940975701913,21.117778219123245,0.06042878,7,99.98483982140255,First,non,non, False
2, 19.216750197185068,19.216750197185068,21.117778219123245,0.18128633,7,99.97458706082087,First,non,non, False
3, 21.01390551622114,19.259897952504637,21.117778219123245,0.35554114,6.95,99.96829929278736,First,non,InsideOvertaking, False
4, 19.30949295185549,19.30949295185549,21.117778219123245,0.59725624,6.95,99.96500746128747,First,non,non, False
5, 19.221191559539758,19.221191559539758,21.117778219123245,0.8994001,6.95,99.96374251030662,First,non,non, False
6, 19.18426435041872,19.18426435041872,21.117778219123245,1.2619728,6.95,99.96355757595269,First,non,non, False
7, 19.190763435562094,19.190763435562094,21.117778219123245,1.6849742,6.95,99.96349099958528,First,non,non, False
8, 19.305929093695003,19.305929093695003,21.117778219123245,2.1684043,6.95,99.96258112256396,First,non,non, False
9, 19.200613433818123,19.200613433818123,21.117778219123245,2.7122633,6.95,99.9598514915,First,non,non, False
10, 19.25810163430665,19.25810163430665,21.117778219123245,3.3165512,6.95,99.95436263987547,First,non,non, False
11, 20.404859933223186,19.306799783731833,21.117778219123245,3.9793847,6.8999996,99.94514551167579,First,non,InsideOvertaking, False
12, 19.23725107692554,19.23725107692554,21.117778219123245,4.70453,6.8999996,99.93124584563468,First,non,non, False
13, 21.11069126583854,19.266187714784476,21.117778219123245,5.488511,6.8499994,99.91169458573758,First,non,InsideOvertaking, False
14, 19.785646595074283,19.26767299336551,21.117778219123245,6.333035,6.799999,99.8855448680924,First,non,InsideOvertaking, False
15, 20.25519941461568,19.190830034091245,21.117778219123245,7.2380867,6.749999,99.85180544456207,First,non,InsideOvertaking, False
16, 20.72699004482839,19.278747755051576,21.117778219123245,8.203653,6.699999,99.80954424600282,First,non,InsideOvertaking, False
17, 21.363419539767836,19.2826111987844,21.117778219123245,9.229725,6.6499987,99.75779961377422,First,non,InsideOvertaking, False
18, 19.2944983252198,19.2944983252198,21.117778219123245,10.254014,6.6499987,99.70655060561415,First,non,non, False
19, 19.271555161273028,19.271555161273028,21.117778219123245,11.275303,6.6499987,99.65578242677428,First,non,non, False
20, 19.230165816758873,19.230165816758873,21.117778219123245,12.293592,6.6499987,99.6055172693771,First,non,non, False
21, 19.19215556294115,19.19215556294115,21.117778219123245,13.308882,6.6499987,99.55572554392597,First,non,non, False
22, 19.236523338491217,19.236523338491217,21.117778219123245,14.321171,6.6499987,99.50642944254336,First,non,non, False
23, 19.248308535750585,19.248308535750585,21.117778219123245,15.33046,6.6499987,99.4576067731068,First,non,non, False
24, 19.263004034990512,19.263004034990512,21.117778219123245,16.336748,6.6499987,99.40926493299045,First,non,non, False
25, 19.304486051943194,19.304486051943194,21.117778219123245,17.340038,6.6499987,99.36140392219431,First,non,non, False
26, 19.289658484579796,19.289658484579796,21.117778219123245,18.340328,6.6499987,99.31401634334422,First,non,non, False
27, 19.280337462475345,19.280337462475345,21.117778219123245,19.337618,6.6499987,99.26709479906602,First,non,non, False
28, 19.234229837790803,19.234229837790803,21.117778219123245,20.331907,6.6499987,99.22064668673387,First,non,non, False
29, 20.119278650302657,19.23306249574542,21.117778219123245,21.325367,6.5999985,99.17413199803431,First,non,InsideOvertaking, False
30, 20.07834283805295,19.298411303201014,21.117778219123245,22.319258,6.5499983,99.12755073296735,First,non,InsideOvertaking, False
31, 20.256351685175787,19.207253586322896,21.117778219123245,23.313578,6.499998,99.08090289153296,First,non,InsideOvertaking, False
32, 20.60452489815308,19.2181979347199,21.117778219123245,24.308327,6.449998,99.034181076357,First,non,InsideOvertaking, False
33, 21.06896125150708,19.190905149363825,21.117778219123245,25.303505,6.3999977,98.98740747956195,First,non,InsideOvertaking, False
34, 19.75460763975829,19.27324445918189,21.117778219123245,26.29568,6.3499975,98.94109251996463,First,non,InsideOvertaking, False
35, 19.800840125567536,19.2769877402227,21.117778219123245,27.28485,6.2999973,98.89525099231336,First,non,InsideOvertaking, False
36, 20.063989045442316,19.256459481437908,21.117778219123245,28.274448,6.249997,98.84934288829469,First,non,InsideOvertaking, False
37, 20.779925705635776,19.29568843425785,21.117778219123245,29.264477,6.199997,98.80336081053443,First,non,InsideOvertaking, False
38, 20.714589554519847,19.21930033375121,21.117778219123245,30.254934,6.1499968,98.75731215640677,First,non,InsideOvertaking, False
39, 19.201972266457418,19.201972266457418,21.117778219123245,31.243654,6.1499968,98.711729536851,First,non,non, False
40, 19.24352597313634,19.24352597313634,21.117778219123245,32.229374,6.1499968,98.66661295186712,First,non,non, False
41, 19.203826122718095,19.203826122718095,21.117778219123245,33.212093,6.1499968,98.62196240145515,First,non,non, False
42, 19.272866612069137,19.272866612069137,21.117778219123245,34.191814,6.1499968,98.57776309086674,First,non,non, False
43, 19.270409849408217,19.270409849408217,21.117778219123245,35.168533,6.1499968,98.53402981485024,First,non,non, False
44, 19.231030850771123,19.231030850771123,21.117778219123245,36.142254,6.1499968,98.49074038128316,First,non,non, False
45, 19.245429595431755,19.245429595431755,21.117778219123245,37.112972,6.1499968,98.44790958491382,First,non,non, False
46, 19.24865749117044,19.24865749117044,21.117778219123245,38.080692,6.1499968,98.40550783624558,First,non,non, False
47, 19.21089382825582,19.21089382825582,21.117778219123245,39.04541,6.1499968,98.3635795195234,First,non,non, False
48, 19.78518680128082,19.26582685442207,21.117778219123245,40.009262,6.0999966,98.32157722905964,First,non,InsideOvertaking, False
49, 19.90965649914508,19.283865898346676,21.117778219123245,40.973545,6.0499964,98.27951575960263,First,non,InsideOvertaking, False
50, 21.17258227553328,19.307752999254863,21.117778219123245,41.938255,5.999996,98.23738031640404,First,non,InsideOvertaking, False
51, 20.203092035018592,19.20351288005622,21.117778219123245,42.903397,5.949996,98.1951856942122,First,non,InsideOvertaking, False
52, 21.372685850281197,19.303565314529536,21.117778219123245,43.868965,5.899996,98.15292449565295,First,non,InsideOvertaking, False
53, 19.99034993979651,19.192980852896362,21.117778219123245,44.834965,5.8499956,98.11059672072629,First,non,InsideOvertaking, False
54, 21.273321155671166,19.290374570973142,21.117778219123245,45.80139,5.7999954,98.06821716418052,First,non,InsideOvertaking, False
55, 20.47015733947978,19.25415088659628,21.117778219123245,46.76825,5.749995,98.02576363389319,First,non,InsideOvertaking, False
56, 21.17317981654229,19.23791879583221,21.117778219123245,47.735535,5.699995,97.98325092461259,First,non,InsideOvertaking, False
57, 20.206784601477406,19.231799652583124,21.117778219123245,48.70325,5.649995,97.94066424159044,First,non,InsideOvertaking, False
58, 20.279866288144195,19.302039806683226,21.117778219123245,49.6714,5.5999947,97.89802577694917,First,non,InsideOvertaking, False
59, 20.446563822923643,19.190935821140247,21.117778219123245,50.639973,5.5499945,97.8553207359405,First,non,InsideOvertaking, False
60, 19.241451477593916,19.241451477593916,21.117778219123245,51.60684,5.5499945,97.81305953738125,First,non,non, False
61, 19.185119073118724,19.185119073118724,21.117778219123245,52.5707,5.5499945,97.77125697601973,First,non,non, False
62, 19.230737294003596,19.230737294003596,21.117778219123245,53.531567,5.5499945,97.72989085973349,First,non,non, False
63, 19.249294874960338,19.249294874960338,21.117778219123245,54.49286,5.5499945,97.68845076970567,First,non,non, False
64, 19.297450790523598,19.297450790523598,21.117778219123245,55.454582,5.5499945,97.64695889805874,First,non,non, False
65, 19.264056539273145,19.264056539273145,21.117778219123245,56.416733,5.5499945,97.60539305267025,First,non,non, False
66, 19.30864914477561,19.30864914477561,21.117778219123245,57.379314,5.5499945,97.56376802828851,First,non,non, False
67, 19.26415239003263,19.26415239003263,21.117778219123245,58.342323,5.5499945,97.52209122228767,First,non,non, False
68, 19.29568313326372,19.29568313326372,21.117778219123245,59.30576,5.5499945,97.48034044254526,First,non,non, False
69, 19.250365781624772,19.250365781624772,21.117778219123245,60.266197,5.5499945,97.43903350525225,First,non,non, False
70, 20.550229577509207,19.200629873595293,21.117778219123245,61.22576,5.4999943,97.39766738896601,First,non,InsideOvertaking, False
71, 19.5928439613436,19.30280137362719,21.117778219123245,62.185757,5.449994,97.3562420936865,First,non,InsideOvertaking, False
72, 20.437763165845695,19.19736985183713,21.117778219123245,63.14618,5.399994,97.31473542729127,First,non,InsideOvertaking, False
73, 19.884628100612193,19.2654249252146,21.117778219123245,64.10703,5.3499937,97.2731843766511,First,non,InsideOvertaking, False
74, 19.781864809311948,19.20483846554947,21.117778219123245,65.06831,5.2999935,97.23155935226936,First,non,InsideOvertaking, False
75, 19.574450733503802,19.20962076798458,21.117778219123245,66.03002,5.2499933,97.1898677515202,First,non,InsideOvertaking, False
76, 20.924503482236627,19.21955227002813,21.117778219123245,66.992165,5.199993,97.14811697177778,First,non,InsideOvertaking, False
77, 20.172890607183913,19.28375392730216,21.117778219123245,67.954735,5.149993,97.10631441041626,First,non,InsideOvertaking, False
78, 20.355315275433792,19.21147389017641,21.117778219123245,68.91773,5.0999928,97.06443787531317,First,non,InsideOvertaking, False
79, 19.781395677426097,19.217670080998627,21.117778219123245,69.881165,5.0499926,97.02249476384269,First,non,InsideOvertaking, False
80, 21.12200748914239,19.29891563409607,21.117778219123245,70.845024,4.9999924,96.98048507600477,First,non,InsideOvertaking, False
81, 20.287689514022624,19.254847040588402,21.117778219123245,71.80931,4.949992,96.93842360654776,First,non,InsideOvertaking, False
82, 20.31990492932327,19.253615579024377,21.117778219123245,72.774025,4.899992,96.89628816334918,First,non,InsideOvertaking, False
83, 20.194140179905705,19.266482111529644,21.117778219123245,73.739174,4.849992,96.8541009385315,First,non,InsideOvertaking, False
84, 21.173803231330318,19.27465308087325,21.117778219123245,74.70475,4.7999916,96.81183234259808,First,non,InsideOvertaking, False
85, 21.00221375297602,19.294223080836105,21.117778219123245,75.67075,4.7499914,96.76951196504558,First,non,InsideOvertaking, False
86, 20.89385598315033,19.231590385992543,21.117778219123245,76.637184,4.699991,96.72712501112565,First,non,InsideOvertaking, False
87, 20.765594155773623,19.260586490532653,21.117778219123245,77.60405,4.649991,96.68467148083832,First,non,InsideOvertaking, False
88, 19.94672596936046,19.208007794619576,21.117778219123245,78.57134,4.599991,96.64216616893188,First,non,InsideOvertaking, False
89, 20.846814150121947,19.225538784656468,21.117778219123245,79.53906,4.5499907,96.59957948590973,First,non,InsideOvertaking, False
90, 19.492169848022318,19.226862947714835,21.117778219123245,80.50722,4.4999905,96.55693362389431,First,non,InsideOvertaking, False
91, 20.266850454699195,19.278613016770922,21.117778219123245,81.4758,4.4499903,96.51422858288564,First,non,InsideOvertaking, False
92, 19.662124568831086,19.192121050981516,21.117778219123245,82.44481,4.39999,96.47145696550955,First,non,InsideOvertaking, False
93, 19.55070004193784,19.213365492185954,21.117778219123245,83.414246,4.34999,96.42861877176604,First,non,InsideOvertaking, False
94, 20.04224880245213,19.187760748435867,21.117778219123245,84.38412,4.2999897,96.38572139902928,First,non,InsideOvertaking, False
95, 20.375290353039606,19.217878941028687,21.117778219123245,85.354416,4.2499895,96.34275005255095,First,non,InsideOvertaking, False
96, 20.582850335797396,19.307242063102635,21.117778219123245,86.32514,4.1999893,96.29971952707936,First,non,InsideOvertaking, False
97, 20.969113130413746,19.286632356920638,21.117778219123245,87.296295,4.149989,96.25662982261453,First,non,InsideOvertaking, False
98, 19.507479045012015,19.238082000555558,21.117778219123245,88.26788,4.099989,96.21347354178226,First,non,InsideOvertaking, False
99, 19.705729606422786,19.191969290170196,21.117778219123245,89.2399,4.0499887,96.1702506845826,First,non,InsideOvertaking, False
100, 20.944167391060738,19.193550421368798,21.117778219123245,90.21234,3.9999888,96.12696125101552,First,non,InsideOvertaking, False
101, 20.993164788747606,19.284337229281217,21.117778219123245,91.18522,3.9499888,96.08360524108102,First,non,InsideOvertaking, False
102, 20.19657704875727,19.184166037012385,21.117778219123245,92.15852,3.899989,96.04019005215326,First,non,InsideOvertaking, False
103, 20.08107761225946,19.215819593555057,21.117778219123245,93.132256,3.849989,95.99670828685811,First,non,InsideOvertaking, False
104, 20.56293868769834,19.254938584609075,21.117778219123245,94.106415,3.799989,95.95315994519552,First,non,InsideOvertaking, False
105, 21.17141182909702,19.25003986164601,21.117778219123245,95.08101,3.749989,95.90954502716554,First,non,InsideOvertaking, False
106, 21.06728409977485,19.22332404048911,21.117778219123245,96.05603,3.699989,95.86587093014228,First,non,InsideOvertaking, False
107, 19.671495626987706,19.22130043539357,21.117778219123245,97.03148,3.6499891,95.82213025675162,First,non,InsideOvertaking, False
108, 20.223793380325933,19.302217590326453,21.117778219123245,98.00736,3.5999892,95.77831560961938,First,non,InsideOvertaking, False
109, 21.306520821270947,19.19567351903853,21.117778219123245,98.98367,3.5499892,95.73444918086805,First,non,InsideOvertaking, False
110, 19.836858245322194,19.241066804237217,21.117778219123245,99.96041,3.4999893,95.69050877837515,First,non,InsideOvertaking, False
111, 19.819035755529093,19.2116643724246,21.117778219123245,100.93758,3.4499893,95.64650179951484,First,non,InsideOvertaking, False
112, 19.962344656597587,19.247413129142092,21.117778219123245,101.91518,3.3999894,95.60243564166126,First,non,InsideOvertaking, False
113, 21.186205932560547,19.24375287798449,21.117778219123245,102.8932,3.3499894,95.55830290744028,First,non,InsideOvertaking, False
114, 21.27273439034218,19.263436245717898,21.117778219123245,103.87166,3.2999895,95.51410359685187,First,non,InsideOvertaking, False
115, 20.00864313853558,19.20629405461066,21.117778219123245,104.85054,3.2499895,95.46983770989605,First,non,InsideOvertaking, False
116, 21.212404787986628,19.280046088924337,21.117778219123245,105.82986,3.1999896,95.42551264394699,First,non,InsideOvertaking, False
117, 21.132881989572304,19.23526287690265,21.117778219123245,106.8096,3.1499896,95.3811210016305,First,non,InsideOvertaking, False
118, 20.897078087536297,19.289456955334966,21.117778219123245,107.78977,3.0999897,95.33665538557246,First,non,InsideOvertaking, False
119, 19.932496703272843,19.195653659792065,21.117778219123245,108.77038,3.0499897,95.29213059052114,First,non,InsideOvertaking, False
120, 20.1279475229442,19.2973250695889,21.117778219123245,109.75141,2.9999897,95.24753921910242,First,non,InsideOvertaking, False
121, 20.191698090292093,19.283425838917264,21.117778219123245,110.73287,2.9499898,95.20288127131627,First,non,InsideOvertaking, False
122, 19.545020501630585,19.199431466695497,21.117778219123245,111.71133,2.8999898,95.15868196072788,First,non,InsideOvertaking, False
123, 20.60949799395339,19.194956916582033,21.117778219123245,112.690216,2.84999,95.11441607377206,First,non,InsideOvertaking, False
124, 20.153703510834994,19.208095082293394,21.117778219123245,113.66953,2.79999,95.070091007823,First,non,InsideOvertaking, False
125, 21.196516508859908,19.286711972993704,21.117778219123245,114.64928,2.74999,95.02569196813235,First,non,InsideOvertaking, False
