turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 19.662844261111122,19.662844261111122,21.226190522538673,0.060250767,7,99.97461981951872,First,non,non, False
2, 19.63343100181184,19.63343100181184,21.226190522538673,0.1807523,7,99.95682235962566,First,non,non, False
3, 19.59795179133334,19.59795179133334,21.226190522538673,0.3615046,7,99.94529161096257,First,non,non, False
4, 19.671289423823946,19.671289423823946,21.226190522538673,0.6025077,7,99.93865934157753,First,non,non, False
5, 19.691800822548807,19.691800822548807,21.226190522538673,0.9037615,7,99.93558865307487,First,non,non, False
6, 19.70882723069068,19.70882723069068,21.226190522538673,1.2652661,7,99.93471131350267,First,non,non, False
7, 19.64176451586397,19.64176451586397,21.226190522538673,1.6870215,7,99.93470086898395,First,non,non, False
8, 19.588185564818737,19.588185564818737,21.226190522538673,2.1690276,7,99.93419953208556,First,non,non, False
9, 19.7007871328843,19.7007871328843,21.226190522538673,2.7112844,7,99.93185995989305,First,non,non, False
10, 19.62173227593576,19.62173227593576,21.226190522538673,3.313792,7,99.92633480949198,First,non,non, False
11, 19.672873314558686,19.672873314558686,21.226190522538673,3.9765503,7,99.91627673796792,First,non,non, False
12, 19.63842056493956,19.63842056493956,21.226190522538673,4.6995597,7,99.9003279578877,First,non,non, False
13, 19.654210151091327,19.654210151091327,21.226190522538673,5.4828196,7,99.87716201537434,First,non,non, False
14, 19.587026329756366,19.587026329756366,21.226190522538673,6.32633,7,99.84541067847593,First,non,non, False
15, 19.623773673088564,19.623773673088564,21.226190522538673,7.2300916,7,99.80373704879679,First,non,non, False
16, 19.623580833104,19.623580833104,21.226190522538673,8.194104,7,99.75078333890374,First,non,non, False
17, 19.67217894716417,19.67217894716417,21.226190522538673,9.218368,7,99.68521265040107,First,non,non, False
18, 19.65526923662027,19.65526923662027,21.226190522538673,10.239631,7,99.62029996657753,First,non,non, False
19, 19.606211784904538,19.606211784904538,21.226190522538673,11.257894,7,99.55604528743315,First,non,non, False
20, 19.654040172810152,19.654040172810152,21.226190522538673,12.273157,7,99.4924381684492,First,non,non, False
21, 19.637565546420426,19.637565546420426,21.226190522538673,13.28542,7,99.42948905414438,First,non,non, False
22, 19.70580230619784,19.70580230619784,21.226190522538673,14.294683,7,99.3671875,First,non,non, False
23, 19.643056534871775,19.643056534871775,21.226190522538673,15.300946,7,99.30552306149733,First,non,non, False
24, 19.686288308592534,19.686288308592534,21.226190522538673,16.304209,7,99.24450618315508,First,non,non, False
25, 20.505092531166063,19.69416367031519,21.226190522538673,17.306477,6.95,99.18343708221926,First,non,InsideOvertaking, False
26, 21.126402932711994,19.712620427187545,21.226190522538673,18.308994,6.8999996,99.12230531417113,First,non,InsideOvertaking, False
27, 21.671601695006064,19.613388675311583,21.226190522538673,19.311764,6.8499994,99.06113176804813,First,non,InsideOvertaking, False
28, 20.146251030445026,19.637127158060096,21.226190522538673,20.314785,6.799999,98.99988511029412,First,non,InsideOvertaking, False
29, 20.109642698399945,19.589567135586986,21.226190522538673,21.318056,6.749999,98.93859667446524,First,non,InsideOvertaking, False
30, 20.255546878290644,19.606780441716047,21.226190522538673,22.321579,6.699999,98.8772664605615,First,non,InsideOvertaking, False
31, 20.295194166183283,19.695149080538446,21.226190522538673,23.325354,6.6499987,98.81587357954545,First,non,InsideOvertaking, False
32, 20.870684639398164,19.713468577884175,21.226190522538673,24.329378,6.5999985,98.75441803141712,First,non,InsideOvertaking, False
33, 20.23811344358296,19.693858970670764,21.226190522538673,25.333654,6.5499983,98.69292070521391,First,non,InsideOvertaking, False
34, 21.51481976440179,19.63851057100178,21.226190522538673,26.33818,6.499998,98.6313607118984,First,non,InsideOvertaking, False
35, 19.690604340380013,19.690604340380013,21.226190522538673,27.340952,6.499998,98.57044827874331,First,non,non, False
36, 19.641900132199748,19.641900132199748,21.226190522538673,28.340723,6.499998,98.51017296122994,First,non,non, False
37, 19.704029674680868,19.704029674680868,21.226190522538673,29.337494,6.499998,98.45052431483957,First,non,non, False
38, 19.708180530567812,19.708180530567812,21.226190522538673,30.331264,6.499998,98.3915023395722,First,non,non, False
39, 19.688921334843656,19.688921334843656,21.226190522538673,31.322035,6.499998,98.3331070354278,First,non,non, False
40, 19.69910540846419,19.69910540846419,21.226190522538673,32.309807,6.499998,98.27534884692513,First,non,non, False
41, 19.599819649006506,19.599819649006506,21.226190522538673,33.29458,6.499998,98.21820688502673,First,non,non, False
42, 19.612720281726364,19.612720281726364,21.226190522538673,34.27635,6.499998,98.16167070521391,First,non,non, False
43, 19.687070098036997,19.687070098036997,21.226190522538673,35.25837,6.499998,98.10508230280749,First,non,non, False
44, 19.63089571135239,19.63089571135239,21.226190522538673,36.237392,6.499998,98.04912057152407,First,non,non, False
45, 19.693818227018824,19.693818227018824,21.226190522538673,37.216663,6.499998,97.99310661764706,First,non,non, False
46, 21.110809289726607,19.704035540486565,21.226190522538673,38.19491,6.449998,97.93702999665776,First,non,InsideOvertaking, False
47, 21.408386319483192,19.615264088060822,21.226190522538673,39.173405,6.3999977,97.88090115307487,First,non,InsideOvertaking, False
48, 21.11594121744117,19.642527844124217,21.226190522538673,40.152153,6.3499975,97.82473053141712,First,non,InsideOvertaking, False
49, 20.417960004465783,19.666863795875276,21.226190522538673,41.131153,6.2999973,97.76850768716578,First,non,InsideOvertaking, False
50, 21.25501180749821,19.640954564987915,21.226190522538673,42.110405,6.249997,97.71223262032086,First,non,InsideOvertaking, False
51, 19.876617948387253,19.652551727105454,21.226190522538673,43.089905,6.199997,97.65590533088235,First,non,InsideOvertaking, False
52, 20.44357296533059,19.64225975956854,21.226190522538673,44.069656,6.1499968,97.59953626336899,First,non,InsideOvertaking, False
53, 21.08681602428624,19.590808982876425,21.226190522538673,45.04966,6.0999966,97.5430940842246,First,non,InsideOvertaking, False
54, 21.171450311718708,19.661824665360868,21.226190522538673,46.029915,6.0499964,97.48662057152407,First,non,InsideOvertaking, False
55, 20.732617841792372,19.600715556586078,21.226190522538673,47.01042,5.999996,97.43008439171123,First,non,InsideOvertaking, False
56, 21.642391097699218,19.688725863041114,21.226190522538673,47.99118,5.949996,97.37350643382354,First,non,InsideOvertaking, False
57, 20.207869192433186,19.586038785602153,21.226190522538673,48.972187,5.899996,97.31686580882354,First,non,InsideOvertaking, False
58, 19.847516018806292,19.626925429102265,21.226190522538673,49.953445,5.8499956,97.26018340574866,First,non,InsideOvertaking, False
59, 21.533008186395918,19.644185401063513,21.226190522538673,50.934956,5.7999954,97.2034383355615,First,non,InsideOvertaking, False
60, 21.609811211127802,19.66177357626706,21.226190522538673,51.916718,5.749995,97.14665148729947,First,non,InsideOvertaking, False
61, 21.338195178965226,19.686327474272186,21.226190522538673,52.89873,5.699995,97.08981241644385,First,non,InsideOvertaking, False
62, 20.86236515913823,19.689789544265775,21.226190522538673,53.880993,5.649995,97.03292112299465,First,non,InsideOvertaking, False
