turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 22.282856877261278,21.425823920443534,23.624237379649692,0.060426906,1,99.98449630550259,First,SpeedUp,non, False
2, 22.348775468916582,21.48920718165056,23.624237379649692,0.18128072,1,99.9736532961046,First,SpeedUp,non, False
3, 22.26242535910522,21.406178229908864,23.624237379649692,0.36256143,1,99.96661970512122,First,SpeedUp,non, False
4, 22.321706366757155,21.463179198804955,23.624237379649692,0.604269,1,99.9625974700354,First,SpeedUp,non, False
5, 22.350050546137133,21.490433217439552,23.624237379649692,0.90640354,1,99.96074596499591,First,SpeedUp,non, False
6, 22.254863570759174,21.39890727957613,23.624237379649692,1.268965,1,99.96023520498501,First,SpeedUp,non, False
7, 22.244430190625646,21.38887518329389,23.624237379649692,1.6919534,1,99.96022456415145,First,SpeedUp,non, False
8, 22.275700414914002,21.418942706648078,23.624237379649692,2.1753688,1,99.95989469831107,First,SpeedUp,non, False
9, 22.324753934183466,21.466109552099486,23.624237379649692,2.719211,1,99.95843690411331,First,SpeedUp,non, False
10, 22.22662145553323,21.371751399551183,23.624237379649692,3.3234801,1,99.95498927403976,First,SpeedUp,non, False
11, 22.243655804629984,21.388130581374984,23.624237379649692,3.988176,1,99.94873246390628,First,SpeedUp,non, False
12, 22.229979834447725,21.37498061004589,23.624237379649692,4.713299,1,99.93884712952874,First,SpeedUp,non, False
13, 22.300169479382305,21.442470653252215,23.624237379649692,5.4988484,1,99.9245032858894,First,SpeedUp,non, False
14, 22.361063105576783,21.50102221690075,23.624237379649692,6.3448253,1,99.90486030713701,First,SpeedUp,non, False
15, 22.316091138008623,21.457779940392907,23.624237379649692,7.251229,1,99.87909884908744,First,SpeedUp,non, False
16, 22.339068989810656,21.479874028664092,23.624237379649692,8.21806,1,99.84638892672295,First,SpeedUp,non, False
17, 22.336610689128104,21.47751027800779,23.624237379649692,9.245317,1,99.80590055502587,First,SpeedUp,non, False
18, 22.34982853609564,21.490219746245806,23.624237379649692,10.333002,1,99.75680374897847,First,SpeedUp,non, False
19, 22.30538323153378,21.447483876474788,23.624237379649692,11.481113,1,99.69827916439661,First,SpeedUp,non, False
20, 22.335671577620598,21.47660728617365,23.624237379649692,12.6262245,1,99.64023341732498,First,SpeedUp,non, False
21, 22.32481131640693,21.466164727314354,23.624237379649692,13.768335,1,99.5826771485971,First,SpeedUp,non, False
