turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 19.831719092601343,19.06896066596283,20.421976613717984,0.060257196,4,99.99604057790472,First,SpeedUp,non, False
2, 19.84802475423874,19.08463918676802,20.421976613717984,0.18077159,4,99.99360035853185,First,SpeedUp,non, False
3, 19.827690151335158,19.065086683976112,20.421976613717984,0.36154318,4,99.9923090362178,First,SpeedUp,non, False
4, 19.79698409276717,19.035561627660737,20.421976613717984,0.60257196,4,99.99181529533301,First,SpeedUp,non, False
5, 19.745757464824734,18.986305254639166,20.421976613717984,0.90385795,4,99.9917393351969,First,SpeedUp,non, False
6, 19.753360104992677,18.99361548556988,20.421976613717984,1.2654011,4,99.99172034516286,First,SpeedUp,non, False
7, 19.824036340253596,19.061573404089994,20.421976613717984,1.6872015,4,99.99137852455033,First,SpeedUp,non, False
8, 19.77262303512885,19.01213753377774,20.421976613717984,2.169259,4,99.9903530627127,First,SpeedUp,non, False
9, 19.859453662638913,19.095628521768184,20.421976613717984,2.7115738,4,99.98828314900341,First,SpeedUp,non, False
10, 19.790089827176402,19.028932526131154,20.421976613717984,3.3141458,4,99.98478898274186,First,SpeedUp,non, False
11, 19.82011905888548,19.057806787389886,20.421976613717984,3.976975,4,99.9795192482985,First,SpeedUp,non, False
12, 19.840370014078097,19.077278859690477,20.421976613717984,4.7000613,4,99.9720846499757,First,SpeedUp,non, False
13, 19.764938924828094,19.00474896618086,20.421976613717984,5.483405,4,99.96213387214391,First,SpeedUp,non, False
14, 19.767160462115726,19.00688505972666,20.421976613717984,6.327006,4,99.94928711412251,First,SpeedUp,non, False
15, 19.76408677412061,19.003929590500586,20.421976613717984,7.2308636,4,99.93318356526495,First,SpeedUp,non, False
16, 19.786598177879597,19.025575171038074,20.421976613717984,8.194979,4,99.91346241492465,First,SpeedUp,non, False
17, 19.837691493767192,19.07470335939153,20.421976613717984,9.219351,4,99.88974386242101,First,SpeedUp,non, False
18, 19.785086001495426,19.024121155284064,20.421976613717984,10.240723,4,99.86623420029169,First,SpeedUp,non, False
19, 19.732489449098686,18.973547547210273,20.421976613717984,11.259095,4,99.84293342853671,First,SpeedUp,non, False
20, 19.825002819482123,19.0625027110405,20.421976613717984,12.274467,4,99.81983205213905,First,SpeedUp,non, False
21, 19.735743150897388,18.9766761066321,20.421976613717984,13.2868395,4,99.79693956611571,First,SpeedUp,non, False
22, 19.751449144134032,18.9917780232058,20.421976613717984,14.296212,4,99.77424647544969,First,SpeedUp,non, False
23, 19.7560925700249,18.996242855793174,20.421976613717984,15.302585,4,99.751762275158,First,SpeedUp,non, False
24, 19.8453151377585,19.08203378630625,20.421976613717984,16.305958,4,99.72946797520662,First,SpeedUp,non, False
25, 19.775711084760687,19.01510681226989,20.421976613717984,17.30633,4,99.70739206064658,First,SpeedUp,non, False
26, 19.74048303279375,18.981233685378605,20.421976613717984,18.303701,4,99.68550604642684,First,SpeedUp,non, False
27, 19.794192396383046,19.032877304214466,20.421976613717984,19.298073,4,99.66381942756442,First,SpeedUp,non, False
28, 19.767650136244566,19.007355900235158,20.421976613717984,20.289446,4,99.64234169907633,First,SpeedUp,non, False
29, 19.768383378600802,19.00806094096231,20.421976613717984,21.277819,4,99.62105387092855,First,SpeedUp,non, False
30, 19.83909442336512,19.076052330158767,20.421976613717984,22.266449,4,99.59974705274672,First,SpeedUp,non, False
31, 19.842375829537946,19.07920752840187,20.421976613717984,23.255335,4,99.57842124453087,First,SpeedUp,non, False
32, 19.74566100478817,18.986212504604012,20.421976613717984,24.241222,4,99.55729483167234,First,SpeedUp,non, False
33, 19.777671202330158,19.016991540702072,20.421976613717984,25.227365,4,99.53614942877978,First,SpeedUp,non, False
34, 19.82275614843721,19.060342450420393,20.421976613717984,26.213766,4,99.51499453087021,First,SpeedUp,non, False
35, 19.795943124688236,19.03456069681561,20.421976613717984,27.200424,4,99.4938206429266,First,SpeedUp,non, False
36, 19.737952258756536,18.97880024880436,20.421976613717984,28.18734,4,99.47262776494895,First,SpeedUp,non, False
37, 19.738551537191814,18.97937647806905,20.421976613717984,29.174513,4,99.45141589693729,First,SpeedUp,non, False
38, 19.784409841500498,19.023471001442786,20.421976613717984,30.161943,4,99.4301945339086,First,SpeedUp,non, False
39, 19.847568071111642,19.08420006837658,20.421976613717984,31.149632,4,99.40894468582889,First,SpeedUp,non, False
40, 19.770868950708508,19.010450914142794,20.421976613717984,32.137577,4,99.38768534273214,First,SpeedUp,non, False
41, 19.83545285876101,19.07255082573174,20.421976613717984,33.12578,4,99.36640700960136,First,SpeedUp,non, False
42, 19.81183361206345,19.049840011599468,20.421976613717984,34.11424,4,99.34511918145358,First,SpeedUp,non, False
43, 19.782451416229428,19.021587900220602,20.421976613717984,35.102955,4,99.32380286825475,First,SpeedUp,non, False
44, 19.750136889095963,18.990516239515348,20.421976613717984,36.08867,4,99.30269544543025,First,SpeedUp,non, False
45, 19.833140777693526,19.070327670859157,20.421976613717984,37.074642,4,99.2815595375547,First,SpeedUp,non, False
46, 19.752727095338766,18.99300682244112,20.421976613717984,38.06087,4,99.26041413466214,First,SpeedUp,non, False
47, 19.797459725994017,19.03601896730194,20.421976613717984,39.04736,4,99.23924974173555,First,SpeedUp,non, False
48, 19.748126707276885,18.98858337238162,20.421976613717984,40.034103,4,99.21806635877492,First,SpeedUp,non, False
49, 19.761358121608605,19.00130588616212,20.421976613717984,41.021107,4,99.19686398578027,First,SpeedUp,non, False
50, 19.812170697573254,19.050164132281974,20.421976613717984,42.008366,4,99.1756521177686,First,SpeedUp,non, False
51, 19.819321054708517,19.057039475681265,20.421976613717984,42.99588,4,99.15441176470588,First,SpeedUp,non, False
52, 19.805334535857373,19.043590899862856,20.421976613717984,43.983654,4,99.13317141164318,First,SpeedUp,non, False
53, 19.842213549413902,19.079051489821058,20.421976613717984,44.971684,4,99.11190257352942,First,SpeedUp,non, False
54, 19.848042306759307,19.08465606419164,20.421976613717984,45.959972,4,99.09062424039864,First,SpeedUp,non, False
55, 19.814146246270674,19.052063698337186,20.421976613717984,46.948517,4,99.06932691723384,First,SpeedUp,non, False
56, 19.777665144190316,19.01698571556761,20.421976613717984,47.93732,4,99.04800110901799,First,SpeedUp,non, False
57, 19.821882521148087,19.059502424180852,20.421976613717984,48.92638,4,99.02666580578513,First,SpeedUp,non, False
58, 19.774988642319602,19.01441215607654,20.421976613717984,49.91244,4,99.0055393929266,First,SpeedUp,non, False
59, 19.77853487344319,19.017821993695375,20.421976613717984,50.898758,4,98.98438449501703,First,SpeedUp,non, False
60, 19.772070214937425,19.01160597590137,20.421976613717984,51.88533,4,98.9632106070734,First,SpeedUp,non, False
61, 19.813540116127626,19.051480880891948,20.421976613717984,52.87216,4,98.94202722411279,First,SpeedUp,non, False
62, 19.826171326197944,19.06362627519033,20.421976613717984,53.85925,4,98.92081535610113,First,SpeedUp,non, False
63, 19.84631449238577,19.082994704217086,20.421976613717984,54.846596,4,98.89960348808945,First,SpeedUp,non, False
64, 19.843025497997054,19.07983220961255,20.421976613717984,55.834198,4,98.87835364000973,First,SpeedUp,non, False
65, 19.790079821815613,19.028922905591934,20.421976613717984,56.82206,4,98.85710379193,First,SpeedUp,non, False
66, 19.808846553548904,19.046967839950867,20.421976613717984,57.810177,4,98.83583495381625,First,SpeedUp,non, False
67, 19.771591869463922,19.011146028330693,20.421976613717984,58.79855,4,98.81454712566845,First,SpeedUp,non, False
68, 19.733137684133524,18.974170850128388,20.421976613717984,59.783924,4,98.79344919786097,First,SpeedUp,non, False
69, 19.779568774868444,19.018816129681195,20.421976613717984,60.769554,4,98.77234177503647,First,SpeedUp,non, False
70, 19.84208630157259,19.07892913612749,20.421976613717984,61.755444,4,98.75121536217793,First,SpeedUp,non, False
71, 19.769325040065926,19.008966384678775,20.421976613717984,62.74159,4,98.73007945430238,First,SpeedUp,non, False
72, 19.799014350395368,19.037513798457084,20.421976613717984,63.727993,4,98.70891506137579,First,SpeedUp,non, False
73, 19.746739338294017,18.987249363744247,20.421976613717984,64.71465,4,98.68774117343219,First,SpeedUp,non, False
74, 19.807014149667374,19.045205913141704,20.421976613717984,65.70157,4,98.66654829545455,First,SpeedUp,non, False
75, 19.770322909350206,19.0099258743752,20.421976613717984,66.68874,4,98.64533642744288,First,SpeedUp,non, False
76, 19.748789276880874,18.9892204585393,20.421976613717984,67.67618,4,98.6241150644142,First,SpeedUp,non, False
77, 19.78467613533492,19.023727053206652,20.421976613717984,68.663864,4,98.60286521633448,First,SpeedUp,non, False
78, 19.737759854176645,18.97861524440062,20.421976613717984,69.64855,4,98.58182425862908,First,SpeedUp,non, False
79, 19.85929082937746,19.09547195132448,20.421976613717984,70.6335,4,98.56075481587264,First,SpeedUp,non, False
80, 19.8133784717563,19.051325453611827,20.421976613717984,71.618706,4,98.53967587809917,First,SpeedUp,non, False
81, 19.76824761424809,19.00793039831547,20.421976613717984,72.604164,4,98.51857795029169,First,SpeedUp,non, False
82, 19.73290760437927,18.97394961959545,20.421976613717984,73.58988,4,98.49746103245018,First,SpeedUp,non, False
83, 19.735802643490416,18.976733311048477,20.421976613717984,74.57586,4,98.47633461959164,First,SpeedUp,non, False
84, 19.79880266947302,19.037310259108672,20.421976613717984,75.56209,4,98.45517972168207,First,SpeedUp,non, False
85, 19.800352189804837,19.03880018250465,20.421976613717984,76.54858,4,98.43401532875548,First,SpeedUp,non, False
86, 19.78435110117342,19.023414520359058,20.421976613717984,77.535324,4,98.41284144081187,First,SpeedUp,non, False
87, 19.77173375162871,19.01128245348914,20.421976613717984,78.52233,4,98.39163906781721,First,SpeedUp,non, False
88, 19.742806175512072,18.983467476453914,20.421976613717984,79.50959,4,98.37042719980555,First,SpeedUp,non, False
89, 19.760370801089,19.00035653950865,20.421976613717984,80.49711,4,98.34918684674284,First,SpeedUp,non, False
90, 19.84228071803902,19.07911607503752,20.421976613717984,81.484886,4,98.3279369986631,First,SpeedUp,non, False
