turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 18.252099282816733,18.252099282816733,20.018286724048068,0.06043805,2,99.99346580780681,First,non,non, False
2, 18.172392926229204,18.172392926229204,20.018286724048068,0.18131416,2,99.989447806559,First,non,non, False
3, 18.197456442019575,18.197456442019575,20.018286724048068,0.3626283,2,99.98734000262571,First,non,non, False
4, 18.19625717534498,18.19625717534498,20.018286724048068,0.6043805,2,99.98653075647276,First,non,non, False
5, 18.250700493452133,18.250700493452133,20.018286724048068,0.90657073,2,99.98640842856592,First,non,non, False
6, 18.235575668790396,18.235575668790396,20.018286724048068,1.269199,2,99.98637078920997,First,non,non, False
7, 18.149802161036327,18.149802161036327,20.018286724048068,1.6922654,2,99.98579678903171,First,non,non, False
8, 18.15434960326831,18.15434960326831,20.018286724048068,2.1757698,2,99.98406537865793,First,non,non, False
9, 18.223262662096225,18.223262662096225,20.018286724048068,2.7197123,2,99.98059314807142,First,non,non, False
10, 18.18721017332028,18.18721017332028,20.018286724048068,3.3240929,2,99.97474963805995,First,non,non, False
11, 18.22657149562733,18.22657149562733,20.018286724048068,3.9889114,2,99.96592320908933,First,non,non, False
12, 18.187750433311976,18.187750433311976,20.018286724048068,4.714168,2,99.95351163146432,First,non,non, False
13, 18.160740818624934,18.160740818624934,20.018286724048068,5.4998627,2,99.93689385581175,First,non,non, False
14, 18.24220215121615,18.24220215121615,20.018286724048068,6.3459954,2,99.91546765243638,First,non,non, False
15, 18.204676044138765,18.204676044138765,20.018286724048068,7.2525663,2,99.88862138180399,First,non,non, False
16, 18.18714254155801,18.18714254155801,20.018286724048068,8.219575,2,99.85573399454138,First,non,non, False
17, 18.166415736826288,18.166415736826288,20.018286724048068,9.183584,2,99.82315713196539,First,non,non, False
18, 18.202703769005055,18.202703769005055,20.018286724048068,10.144593,2,99.79090020391497,First,non,non, False
19, 18.238275785584946,18.238275785584946,20.018286724048068,11.102602,2,99.75896321039015,First,non,non, False
20, 18.16837063676952,18.16837063676952,20.018286724048068,12.0576105,2,99.72731792187395,First,non,non, False
21, 18.135135498842015,18.135135498842015,20.018286724048068,13.00962,2,99.69599256788332,First,non,non, False
22, 18.182558987822176,18.182558987822176,20.018286724048068,13.958629,2,99.66496832874033,First,non,non, False
23, 18.247331492966087,18.247331492966087,20.018286724048068,14.904637,2,99.63424520444494,First,non,non, False
24, 18.252177215802323,18.252177215802323,20.018286724048068,15.847646,2,99.60383260483614,First,non,non, False
25, 18.139772366365936,18.139772366365936,20.018286724048068,16.787655,2,99.57372112007496,First,non,non, False
26, 18.181392542773825,18.181392542773825,20.018286724048068,17.724663,2,99.54391075016139,First,non,non, False
27, 18.18682048828048,18.18682048828048,20.018286724048068,18.658672,2,99.51440149509544,First,non,non, False
28, 18.20842784408267,18.20842784408267,20.018286724048068,19.589682,2,99.4851839450381,First,non,non, False
29, 18.177459396003332,18.177459396003332,20.018286724048068,20.51769,2,99.45626750982838,First,non,non, False
30, 18.15259516684549,18.15259516684549,20.018286724048068,21.4427,2,99.4276333697883,First,non,non, False
31, 18.20208480475217,18.20208480475217,20.018286724048068,22.364708,2,99.39930975443481,First,non,non, False
32, 18.212723476662465,18.212723476662465,20.018286724048068,23.283716,2,99.37126843425096,First,non,non, False
33, 18.142329257959485,18.142329257959485,20.018286724048068,24.199724,2,99.34351881907574,First,non,non, False
34, 18.244136914719352,18.244136914719352,20.018286724048068,25.112734,2,99.31605149907016,First,non,non, False
35, 18.142776168034377,18.142776168034377,20.018286724048068,26.022743,2,99.28887588407319,First,non,non, False
36, 18.20346198071732,18.20346198071732,20.018286724048068,26.93319,2,99.26165321988128,First,non,non, False
37, 18.17394596560886,18.17394596560886,20.018286724048068,27.840637,2,99.234722260698,First,non,non, False
38, 18.218182853931584,18.218182853931584,20.018286724048068,28.748522,2,99.20774425231978,First,non,non, False
39, 18.21295306221516,18.21295306221516,20.018286724048068,29.656845,2,99.18072860458561,First,non,non, False
40, 18.205156669353403,18.205156669353403,20.018286724048068,30.565605,2,99.15367531749548,First,non,non, False
