turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 20.74423894767448,19.946383603533153,21.509062310769558,0.060257196,4,99.99315716321452,First,SpeedUp,non, False
2, 20.78061943770864,19.981364843950615,21.509062310769558,0.18077159,4,99.98866008349391,First,SpeedUp,non, False
3, 20.749758974080954,19.951691321231685,21.509062310769558,0.36154318,4,99.98600072254337,First,SpeedUp,non, False
4, 20.782627820910548,19.98329598164476,21.509062310769558,0.60257196,4,99.98470867453437,First,SpeedUp,non, False
5, 20.67322393065688,19.878099933323924,21.509062310769558,0.90385795,4,99.98430098948299,First,SpeedUp,non, False
6, 20.77084153337849,19.97196301286393,21.509062310769558,1.2654011,4,99.98426962909441,First,SpeedUp,non, False
7, 20.731166211553777,19.933813664955554,21.509062310769558,1.6872015,4,99.98415045961787,First,SpeedUp,non, False
8, 20.702729607257353,19.906470776208995,21.509062310769558,2.169259,4,99.98345425899166,First,SpeedUp,non, False
9, 20.757848937339975,19.959470132057668,21.509062310769558,2.7115738,4,99.98169180515416,First,SpeedUp,non, False
10, 20.72701226693644,19.929819487438884,21.509062310769558,3.3141458,4,99.97838014812139,First,SpeedUp,non, False
11, 20.77233251165359,19.97339664582076,21.509062310769558,3.976975,4,99.97303006583174,First,SpeedUp,non, False
12, 20.762914364945715,19.964340735524726,21.509062310769558,4.7000613,4,99.9651460641458,First,SpeedUp,non, False
13, 20.760825308028707,19.96233202695068,21.509062310769558,5.483405,4,99.9542702813905,First,SpeedUp,non, False
14, 20.736803228671477,19.93923387372257,21.509062310769558,6.327006,4,99.93989467927103,First,SpeedUp,non, False
15, 20.719662442753357,19.922752348801303,21.509062310769558,7.2308636,4,99.92153003572577,First,SpeedUp,non, False
16, 20.686406941436616,19.890775905227514,21.509062310769558,8.194979,4,99.89870594492615,First,SpeedUp,non, False
17, 20.751843187783017,19.953695372868285,21.509062310769558,9.219351,4,99.87092064065511,First,SpeedUp,non, False
18, 20.748403943298346,19.95038840701764,21.509062310769558,10.30398,4,99.83770998916185,First,SpeedUp,non, False
19, 20.780596834848236,19.981343110430995,21.509062310769558,11.38561,4,99.80476903701029,First,SpeedUp,non, False
20, 20.77343017026813,19.97445208679628,21.509062310769558,12.464239,4,99.77211660043353,First,SpeedUp,non, False
21, 20.668624317671508,19.873677228530294,21.509062310769558,13.539868,4,99.73974640735389,First,SpeedUp,non, False
22, 20.759194303902348,19.960763753752257,21.509062310769558,14.612498,4,99.70765218569365,First,SpeedUp,non, False
