turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 21.792919263594335,20.9547300611484,22.613290020156377,0.06029394,3,99.98472287419527,First,SpeedUp,non, False
2, 21.735926055490403,20.89992889951,22.613290020156377,0.18088181,3,99.9740246948766,First,SpeedUp,non, False
3, 21.73687410009216,20.900840480857845,22.613290020156377,0.36176363,3,99.96708816724785,First,SpeedUp,non, False
4, 21.717585278213715,20.882293536743955,22.613290020156377,0.60293937,3,99.96310647465128,First,SpeedUp,non, False
5, 21.78643969276364,20.94849970458042,22.613290020156377,0.90440905,3,99.96125184415236,First,SpeedUp,non, False
6, 21.713180174768286,20.878057860354122,22.613290020156377,1.2661726,3,99.96073841537017,First,SpeedUp,non, False
7, 21.748126203561718,20.911659811117037,22.613290020156377,1.6882303,3,99.96072793723175,First,SpeedUp,non, False
8, 21.711088274076612,20.876046417381357,22.613290020156377,2.1705818,3,99.9604240712178,First,SpeedUp,non, False
9, 21.758837361726364,20.921959001659964,22.613290020156377,2.7132273,3,99.95899904439378,First,SpeedUp,non, False
10, 21.695552742477183,20.86110840622806,22.613290020156377,3.3161666,3,99.95565651824035,First,SpeedUp,non, False
11, 21.752134857613516,20.915514286166843,22.613290020156377,3.9794,3,99.94957919796137,First,SpeedUp,non, False
12, 21.827286686860447,20.987775660442736,22.613290020156377,4.702927,3,99.93994978876073,First,SpeedUp,non, False
13, 21.790253469265004,20.952166797370197,22.613290020156377,5.486748,3,99.92596147398068,First,SpeedUp,non, False
14, 21.794311470789957,20.956068721913418,22.613290020156377,6.3308635,3,99.90678648068669,First,SpeedUp,non, False
15, 21.758150218293416,20.92129828682059,22.613290020156377,7.2352724,3,99.88163894849785,First,SpeedUp,non, False
16, 21.818160538583165,20.97900051786843,22.613290020156377,8.199975,3,99.8496806263412,First,SpeedUp,non, False
17, 21.70391951449649,20.86915337932355,22.613290020156377,9.224972,3,99.81011517569742,First,SpeedUp,non, False
18, 21.82677642851315,20.98728502741649,22.613290020156377,10.310263,3,99.76211482363198,First,SpeedUp,non, False
19, 21.820479091046185,20.981229895236716,22.613290020156377,11.455848,3,99.70489370976395,First,SpeedUp,non, False
20, 21.705867370905075,20.871026318177957,22.613290020156377,12.598433,3,99.64813363398605,First,SpeedUp,non, False
21, 21.74418638211907,20.907871521268337,22.613290020156377,13.738017,3,99.59186603071352,First,SpeedUp,non, False
22, 21.789637337611044,20.95157436308754,22.613290020156377,14.874602,3,99.53605946553111,First,SpeedUp,non, False
23, 21.81603778712841,20.976959410700392,22.613290020156377,16.008186,3,99.48073489471567,First,SpeedUp,non, False
24, 21.732394281606904,20.896532963083562,22.613290020156377,17.138771,3,99.42588184012875,First,SpeedUp,non, False
25, 21.791990125322908,20.953836658964335,22.613290020156377,18.266356,3,99.37148982363198,First,SpeedUp,non, False
26, 21.71527904876668,20.880076008429498,22.613290020156377,19.39094,3,99.31756932336373,First,SpeedUp,non, False
27, 21.81758579590039,20.97844788067345,22.613290020156377,20.512524,3,99.26410986118562,First,SpeedUp,non, False
28, 21.706587806099478,20.87171904432642,22.613290020156377,21.63111,3,99.21111143709764,First,SpeedUp,non, False
29, 21.69745398507383,20.862936524109454,22.613290020156377,22.746695,3,99.15857405109978,First,SpeedUp,non, False
