turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 22.235472170968418,21.38026170285425,23.58119082571261,0.06013943,2,99.98468116667561,First,SpeedUp,non, False
2, 22.229949942489394,21.374951867778265,23.58119082571261,0.18041828,2,99.97392963458229,First,SpeedUp,non, False
3, 22.237683560802694,21.38238803923336,23.58119082571261,0.36083657,2,99.96695793799053,First,SpeedUp,non, False
4, 22.24085119685716,21.385433843131885,23.58119082571261,0.6013943,2,99.96294711254166,First,SpeedUp,non, False
5, 22.215771454389145,21.361318706143408,23.58119082571261,0.90209144,2,99.96106769433393,First,SpeedUp,non, False
6, 22.268875650860398,21.412380433519612,23.58119082571261,1.262928,2,99.96053221763788,First,SpeedUp,non, False
7, 22.198089336976263,21.344316670169484,23.58119082571261,1.6839039,2,99.96052171809482,First,SpeedUp,non, False
8, 22.267051231189704,21.410626183836253,23.58119082571261,2.1650193,2,99.96022773088914,First,SpeedUp,non, False
9, 22.302436274886208,21.444650264313662,23.58119082571261,2.706274,2,99.95884179120524,First,SpeedUp,non, False
10, 22.271476214872354,21.414880975838802,23.58119082571261,3.3076682,2,99.95555543422749,First,SpeedUp,non, False
11, 22.19631991847898,21.34261530622979,23.58119082571261,3.969202,2,99.94954969559724,First,SpeedUp,non, False
12, 22.242162079961403,21.386694307655194,23.58119082571261,4.690875,2,99.94002661004193,First,SpeedUp,non, False
13, 22.207863009610538,21.353714432317823,23.58119082571261,5.4726877,2,99.92615671365982,First,SpeedUp,non, False
14, 22.20904413616288,21.354850130925847,23.58119082571261,6.3146396,2,99.90715254072143,First,SpeedUp,non, False
15, 22.30899069150091,21.450952587981643,23.58119082571261,7.216731,2,99.88219512686807,First,SpeedUp,non, False
16, 22.256466646869832,21.400448698913298,23.58119082571261,8.178962,2,99.85046550774109,First,SpeedUp,non, False
17, 22.254443134158567,21.398503013614008,23.58119082571261,9.201332,2,99.81116571806794,First,SpeedUp,non, False
18, 22.255249686568245,21.399278544777157,23.58119082571261,10.283842,2,99.763487293033,First,SpeedUp,non, False
19, 22.294803594794775,21.43731114884113,23.58119082571261,11.426491,2,99.70660076873455,First,SpeedUp,non, False
20, 22.219881421926903,21.36527059800664,23.58119082571261,12.56614,2,99.65020772295989,First,SpeedUp,non, False
21, 22.2585373149234,21.402439725887884,23.58119082571261,13.702789,2,99.59428715662294,First,SpeedUp,non, False
22, 22.22222600516338,21.36752500496479,23.58119082571261,14.836438,2,99.53882857018063,First,SpeedUp,non, False
23, 22.238769682712107,21.38343238722318,23.58119082571261,15.967087,2,99.48385296271906,First,SpeedUp,non, False
24, 22.182340204864705,21.32917327390837,23.58119082571261,17.094736,2,99.42933933515212,First,SpeedUp,non, False
25, 22.179659442771978,21.32659561804998,23.58119082571261,18.219385,2,99.37529818702289,First,SpeedUp,non, False
