turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 19.790462425162154,19.790462425162154,21.715873364639222,0.060491625,4,99.98059901622943,First,non,non, False
2, 19.741023217463514,19.741023217463514,21.715873364639222,0.18147488,4,99.96725106991997,First,non,non, False
3, 19.753827781047264,19.753827781047264,21.715873364639222,0.36294976,4,99.95882718708314,First,non,non, False
4, 19.741422197380334,19.741422197380334,21.715873364639222,0.6049163,4,99.95420707814584,First,non,non, False
5, 19.735117109460568,19.735117109460568,21.715873364639222,0.9073744,4,99.95225308470431,First,non,non, False
6, 19.70981443522847,19.70981443522847,21.715873364639222,1.2703241,4,99.95183623277012,First,non,non, False
7, 19.734683815716238,19.734683815716238,21.715873364639222,1.6937655,4,99.95182754835483,First,non,non, False
8, 19.67985010552788,19.67985010552788,21.715873364639222,2.1776986,4,99.95108937305469,First,non,non, False
9, 19.775423588449605,19.775423588449605,21.715873364639222,2.7221231,4,99.94850141729657,First,non,non, False
10, 19.692386271445926,19.692386271445926,21.715873364639222,3.3270395,4,99.94293470709204,First,non,non, False
11, 19.70148188061275,19.70148188061275,21.715873364639222,3.9924474,4,99.93326026845264,First,non,non, False
12, 19.747288403503326,19.747288403503326,21.715873364639222,4.718347,4,99.91833175855936,First,non,non, False
13, 19.697098491976835,19.697098491976835,21.715873364639222,5.5047383,4,99.89703757225433,First,non,non, False
14, 19.707545693907846,19.707545693907846,21.715873364639222,6.351621,4,99.86824005113384,First,non,non, False
15, 19.772111515081313,19.772111515081313,21.715873364639222,7.2589955,4,99.83081022120942,First,non,non, False
16, 19.740486005159386,19.740486005159386,21.715873364639222,8.226862,4,99.78361910849266,First,non,non, False
17, 19.676941625621467,19.676941625621467,21.715873364639222,9.255219,4,99.7255377389951,First,non,non, False
18, 19.758859580570213,19.758859580570213,21.715873364639222,10.280577,4,99.66802085649176,First,non,non, False
19, 21.569851481607397,19.78171934017004,21.715873364639222,11.305206,3.95,99.61041712983548,First,non,InsideOvertaking, False
20, 20.410314241060984,19.737866333001264,21.715873364639222,12.326833,3.9,99.55336920575812,First,non,InsideOvertaking, False
21, 20.992423377888898,19.726245257876407,21.715873364639222,13.348951,3.8500001,99.49623443752779,First,non,InsideOvertaking, False
22, 20.995636638424045,19.729149514747718,21.715873364639222,14.371562,3.8000002,99.43900414072921,First,non,InsideOvertaking, False
23, 21.37460406921877,19.71812576771342,21.715873364639222,15.394665,3.7500002,99.38167831536238,First,non,InsideOvertaking, False
24, 20.13925247861208,19.662161456235715,21.715873364639222,16.414764,3.7000003,99.32492566140506,First,non,InsideOvertaking, False
25, 20.263098019864245,19.713061575957248,21.715873364639222,17.43186,3.6500003,99.26872881002667,First,non,InsideOvertaking, False
26, 21.503542412719934,19.680516468792472,21.715873364639222,18.449448,3.6000004,99.21243643008003,First,non,InsideOvertaking, False
27, 21.258213811447135,19.66070781821539,21.715873364639222,19.467527,3.5500004,99.15605720598043,First,non,InsideOvertaking, False
