turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 18.65798309370511,18.65798309370511,20.054807962923622,0.06028953,8,99.99337988214668,First,non,non, False
2, 18.615042751672878,18.615042751672878,20.054807962923622,0.18086858,8,99.98930889013343,First,non,non, False
3, 18.573937056337634,18.573937056337634,20.054807962923622,0.3617372,8,99.9871687658274,First,non,non, False
4, 18.600618751998898,18.600618751998898,20.054807962923622,0.6028953,8,99.98635076275933,First,non,non, False
5, 18.58172311068713,18.58172311068713,20.054807962923622,0.904343,8,99.98621759946917,First,non,non, False
6, 18.62573981677303,18.62573981677303,20.054807962923622,1.2660801,8,99.98617955281485,First,non,non, False
7, 18.613099831561335,18.613099831561335,20.054807962923622,1.6881068,8,99.9856088529999,First,non,non, False
8, 18.587599008358136,18.587599008358136,20.054807962923622,2.170423,8,99.98390626521866,First,non,non, False
9, 18.57524057832383,18.57524057832383,20.054807962923622,2.713029,8,99.9804345080111,First,non,non, False
10, 18.621288909671737,18.621288909671737,20.054807962923622,3.3159242,8,99.97458483490796,First,non,non, False
11, 18.663817627721674,18.663817627721674,20.054807962923622,3.979109,8,99.96575801110353,First,non,non, False
12, 18.62934075896569,18.62934075896569,20.054807962923622,4.7025833,8,99.9533262668014,First,non,non, False
13, 18.615493167333693,18.615493167333693,20.054807962923622,5.486347,8,99.93667134386871,First,non,non, False
14, 18.649893639753294,18.649893639753294,20.054807962923622,6.3304005,8,99.91518449583617,First,non,non, False
15, 18.63054434899543,18.63054434899543,20.054807962923622,7.2347436,8,99.88826648789812,First,non,non, False
16, 18.65441728094178,18.65441728094178,20.054807962923622,8.199376,8,99.85528003859453,First,non,non, False
17, 18.666836465007258,18.666836465007258,20.054807962923622,9.161009,8,99.82260747418916,First,non,non, False
18, 19.791037949369812,18.667723844162847,20.054807962923622,10.121631,7.95,99.78990637479302,First,non,InsideOvertaking, False
19, 20.7073716753677,18.671505412222384,20.054807962923622,11.082542,7.8999996,99.75716722874257,First,non,InsideOvertaking, False
20, 18.96186078060774,18.67884290573573,20.054807962923622,12.04045,7.8499994,99.72475147925392,First,non,InsideOvertaking, False
21, 20.23110902821322,18.582615091771316,20.054807962923622,12.998648,7.799999,99.69230719477451,First,non,InsideOvertaking, False
22, 19.017120086036787,18.588722622808532,20.054807962923622,13.953841,7.749999,99.66016728352976,First,non,InsideOvertaking, False
23, 19.46346276785265,18.564118080245454,20.054807962923622,14.909325,7.699999,99.62799883729424,First,non,InsideOvertaking, False
24, 20.4629338245771,18.599396635263194,20.054807962923622,15.865098,7.6499987,99.59581136773157,First,non,InsideOvertaking, False
25, 18.634044957689554,18.634044957689554,20.054807962923622,16.819178,7.6499987,99.56392827140353,First,non,non, False
26, 18.60347108502759,18.60347108502759,20.054807962923622,17.770258,7.6499987,99.5323590599737,First,non,non, False
27, 18.58042199505541,18.58042199505541,20.054807962923622,18.718338,7.6499987,99.50109422177852,First,non,non, False
28, 18.564788533632438,18.564788533632438,20.054807962923622,19.663418,7.6499987,99.47014326848154,First,non,non, False
29, 18.602166067606074,18.602166067606074,20.054807962923622,20.605497,7.6499987,99.43948717675562,First,non,non, False
30, 18.67082823890186,18.67082823890186,20.054807962923622,21.544577,7.6499987,99.40914496992792,First,non,non, False
31, 20.67392594078962,18.63586075167017,20.054807962923622,22.482615,7.5999985,99.37877422810948,First,non,InsideOvertaking, False
32, 20.31890523514356,18.678023067304977,20.054807962923622,23.420942,7.5499983,99.3483654396367,First,non,InsideOvertaking, False
33, 20.68337810850648,18.657476562628744,20.054807962923622,24.35956,7.499998,99.31793762783676,First,non,InsideOvertaking, False
34, 19.28660095804282,18.562046036601046,20.054807962923622,25.298468,7.449998,99.28748128104607,First,non,InsideOvertaking, False
35, 19.2878734254994,18.60522826153094,20.054807962923622,26.237665,7.3999977,99.25698688760104,First,non,InsideOvertaking, False
36, 20.099821644357025,18.606745894498857,20.054807962923622,27.177153,7.3499975,99.22646395916529,First,non,InsideOvertaking, False
37, 19.998574787126866,18.609485374470424,20.054807962923622,28.11693,7.2999973,99.19591249573877,First,non,InsideOvertaking, False
38, 19.649905628669277,18.576837255658084,20.054807962923622,29.056997,7.249997,99.16533249732151,First,non,InsideOvertaking, False
39, 19.527639963916833,18.669444162762296,20.054807962923622,29.997355,7.199997,99.1347239639135,First,non,InsideOvertaking, False
40, 20.62067120628289,18.649645926385293,20.054807962923622,30.938002,7.1499968,99.10408689551475,First,non,InsideOvertaking, False
41, 19.06051868962273,18.628000726431136,20.054807962923622,31.878939,7.0999966,99.07342129212526,First,non,InsideOvertaking, False
42, 19.625492114293273,18.59152389175604,20.054807962923622,32.820168,7.0499964,99.042727153745,First,non,InsideOvertaking, False
43, 19.52294313070496,18.648346278635955,20.054807962923622,33.761684,6.999996,99.01199496871043,First,non,InsideOvertaking, False
44, 20.491941461498726,18.571808328161328,20.054807962923622,34.70349,6.949996,98.98124376034869,First,non,InsideOvertaking, False
45, 19.300405369058325,18.680739610040177,20.054807962923622,35.645588,6.899996,98.95045450533262,First,non,InsideOvertaking, False
46, 19.65748662289181,18.65963367423638,20.054807962923622,36.587975,6.8499956,98.91964622698939,First,non,InsideOvertaking, False
47, 19.09737318088967,18.643561293817633,20.054807962923622,37.53065,6.7999954,98.88879990199182,First,non,InsideOvertaking, False
48, 18.874630108301893,18.663310294191103,20.054807962923622,38.470325,6.749995,98.85825795022889,First,non,InsideOvertaking, False
49, 20.161688717176272,18.59973776914431,20.054807962923622,39.41029,6.699995,98.82768746347521,First,non,InsideOvertaking, False
50, 19.755490101091482,18.56834940916084,20.054807962923622,40.350544,6.649995,98.79708844173079,First,non,InsideOvertaking, False
51, 20.349955394315298,18.650394679085164,20.054807962923622,41.29109,6.5999947,98.76646088499561,First,non,InsideOvertaking, False
52, 20.49938561967598,18.642896247358962,20.054807962923622,42.231922,6.5499945,98.7358047932697,First,non,InsideOvertaking, False
53, 19.94560753662423,18.565062388212684,20.054807962923622,43.173046,6.4999943,98.70512016655303,First,non,InsideOvertaking, False
54, 20.110535255589586,18.60944730390767,20.054807962923622,44.11446,6.449994,98.67440700484562,First,non,InsideOvertaking, False
55, 19.37845244431667,18.66262239345617,20.054807962923622,45.056164,6.399994,98.64365579648388,First,non,InsideOvertaking, False
56, 19.025267647841034,18.578876131778802,20.054807962923622,45.998158,6.3499937,98.61288556479498,First,non,InsideOvertaking, False
57, 19.476148319181878,18.562119611026112,20.054807962923622,46.94044,6.2999935,98.58207728645174,First,non,InsideOvertaking, False
58, 19.735819447738706,18.64636357054769,20.054807962923622,47.883015,6.2499933,98.55124998478134,First,non,InsideOvertaking, False
59, 20.43516364445577,18.605023845761984,20.054807962923622,48.82588,6.199993,98.52038463645661,First,non,InsideOvertaking, False
60, 20.199371745880253,18.65567516215513,20.054807962923622,49.76903,6.149993,98.48949075314113,First,non,InsideOvertaking, False
61, 18.88037430384995,18.6130901143497,20.054807962923622,50.70918,6.0999928,98.45890124306028,First,non,InsideOvertaking, False
62, 19.65074811705021,18.65076861603197,20.054807962923622,51.649616,6.0499926,98.4282831979887,First,non,InsideOvertaking, False
63, 19.27273721833639,18.676596114637714,20.054807962923622,52.590343,5.9999924,98.39763661792637,First,non,InsideOvertaking, False
64, 20.484108826282714,18.63137370332485,20.054807962923622,53.53136,5.949992,98.36696150287328,First,non,InsideOvertaking, False
65, 20.124311308777905,18.5671666217123,20.054807962923622,54.472668,5.899992,98.33625785282945,First,non,InsideOvertaking, False
66, 19.87206945885071,18.64369077579506,20.054807962923622,55.414265,5.849992,98.30552566779488,First,non,InsideOvertaking, False
67, 19.837417594980437,18.599576892709695,20.054807962923622,56.35615,5.7999916,98.27476494776955,First,non,InsideOvertaking, False
68, 18.772445635995265,18.57264992841599,20.054807962923622,57.295036,5.7499914,98.24429908931528,First,non,InsideOvertaking, False
69, 18.900022116924283,18.629226291116687,20.054807962923622,58.23421,5.699991,98.21381420753384,First,non,InsideOvertaking, False
70, 19.262840718596244,18.657825349421714,20.054807962923622,59.173676,5.649991,98.18329127909809,First,non,InsideOvertaking, False
71, 19.16918983711123,18.678707360416684,20.054807962923622,60.11343,5.599991,98.15273981567157,First,non,InsideOvertaking, False
72, 19.340559741288722,18.59229854172166,20.054807962923622,61.053474,5.5499907,98.12216932891789,First,non,InsideOvertaking, False
73, 20.67757862668071,18.646284235449457,20.054807962923622,61.99381,5.4999905,98.09156079550988,First,non,InsideOvertaking, False
74, 20.439248531471797,18.60524399172895,20.054807962923622,62.934433,5.4499903,98.06092372711113,First,non,InsideOvertaking, False
75, 20.38812632207124,18.61484115241068,20.054807962923622,63.875347,5.39999,98.03026763538521,First,non,InsideOvertaking, False
76, 18.904062327343294,18.60142075128618,20.054807962923622,64.81655,5.34999,97.99957349700496,First,non,InsideOvertaking, False
77, 18.874920155154214,18.567498235917817,20.054807962923622,65.75804,5.2999897,97.9688413119704,First,non,InsideOvertaking, False
78, 19.58424097105331,18.655482222023934,20.054807962923622,66.69982,5.2499895,97.93809010360864,First,non,InsideOvertaking, False
79, 19.921678288820537,18.593094501710766,20.054807962923622,67.64189,5.1999893,97.90731036025616,First,non,InsideOvertaking, False
80, 19.101181313276292,18.608982597101477,20.054807962923622,68.58425,5.149989,97.87649257024934,First,non,InsideOvertaking, False
81, 20.19454495097286,18.660195333455754,20.054807962923622,69.5269,5.099989,97.84564624525177,First,non,InsideOvertaking, False
82, 20.23405855700033,18.612123218524037,20.054807962923622,70.46984,5.0499887,97.81478089692705,First,non,InsideOvertaking, False
83, 18.965989692166332,18.560258815886122,20.054807962923622,71.41307,4.9999886,97.78387750194798,First,non,InsideOvertaking, False
84, 19.637505290499007,18.601998328055448,20.054807962923622,72.35659,4.9499884,97.75294557197819,First,non,InsideOvertaking, False
85, 19.854226088717578,18.58030740539087,20.054807962923622,73.3004,4.899988,97.72198510701763,First,non,InsideOvertaking, False
86, 19.287292690855153,18.6701591047396,20.054807962923622,74.2445,4.849988,97.69099610706633,First,non,InsideOvertaking, False
87, 20.5015683612048,18.66538563987765,20.054807962923622,75.18889,4.799988,97.65997857212427,First,non,InsideOvertaking, False
88, 20.360179536054257,18.66259999457555,20.054807962923622,76.13357,4.7499876,97.6289229905279,First,non,InsideOvertaking, False
89, 20.142612754476787,18.60348841500705,20.054807962923622,77.07854,4.6999874,97.59784838560437,First,non,InsideOvertaking, False
90, 19.737091454807164,18.564054560920844,20.054807962923622,78.023796,4.649987,97.5667357340265,First,non,InsideOvertaking, False
91, 19.060045938388328,18.619020552979663,20.054807962923622,78.969345,4.599987,97.53560405912145,First,non,InsideOvertaking, False
92, 18.950106167459943,18.669615250626727,20.054807962923622,79.915184,4.549987,97.50443433756209,First,non,InsideOvertaking, False
93, 19.032714268858204,18.67441144214596,20.054807962923622,80.86131,4.4999866,97.47323608101198,First,non,InsideOvertaking, False
94, 18.647105157990314,18.647105157990314,20.054807962923622,81.80576,4.4999866,97.4423421976965,First,non,non, False
95, 18.67782816621148,18.67782816621148,20.054807962923622,82.747215,4.4999866,97.41176219927924,First,non,non, False
96, 18.656887418101906,18.656887418101906,20.054807962923622,83.68567,4.4999866,97.38147706243304,First,non,non, False
97, 18.634114305418063,18.634114305418063,20.054807962923622,84.621124,4.4999866,97.35149629882146,First,non,non, False
98, 18.67198962546427,18.67198962546427,20.054807962923622,85.55357,4.4999866,97.32182942010812,First,non,non, False
99, 18.639075182398884,18.639075182398884,20.054807962923622,86.483025,4.4999866,97.29244789130223,First,non,non, False
100, 18.63417219521776,18.63417219521776,20.054807962923622,87.412766,4.4999866,97.26304733916918,First,non,non, False
101, 18.63817366515493,18.63817366515493,20.054807962923622,88.3428,4.4999866,97.23360874038181,First,non,non, False
102, 18.62896165425319,18.62896165425319,20.054807962923622,89.27312,4.4999866,97.20415111826726,First,non,non, False
103, 18.676740498288837,18.676740498288837,20.054807962923622,90.20373,4.4999866,97.17465544949839,First,non,non, False
104, 18.623312547924648,18.623312547924648,20.054807962923622,91.13463,4.4999866,97.14513124573877,First,non,non, False
