turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 19.79341596826044,19.03213073871196,20.426467383554392,0.06029394,7,99.99604057790472,First,SpeedUp,non, False
2, 19.749595631840467,18.989995799846604,20.426467383554392,0.18088181,7,99.99360035853185,First,SpeedUp,non, False
3, 19.771072715219,19.010646841556728,20.426467383554392,0.36176363,7,99.99231853123482,First,SpeedUp,non, False
4, 19.740384998610853,18.981139421741204,20.426467383554392,0.60293937,7,99.99182479035002,First,SpeedUp,non, False
5, 19.840863357008494,19.07775322789278,20.426467383554392,0.90440905,7,99.99174883021391,First,SpeedUp,non, False
6, 19.806417971614817,19.044632665014245,20.426467383554392,1.2661726,7,99.99172984017989,First,SpeedUp,non, False
7, 19.748954950598858,18.98937976019121,20.426467383554392,1.6882303,7,99.99138801956734,First,SpeedUp,non, False
8, 19.804965878118118,19.04323642126742,20.426467383554392,2.1705818,7,99.9903530627127,First,SpeedUp,non, False
9, 19.734584355017063,18.9755618798241,20.426467383554392,2.7132273,7,99.9882736539864,First,SpeedUp,non, False
10, 19.738650523931742,18.979471657626675,20.426467383554392,3.3161666,7,99.98477948772485,First,SpeedUp,non, False
11, 19.82282011951767,19.06040396107468,20.426467383554392,3.9794,7,99.97949076324745,First,SpeedUp,non, False
12, 19.73708760415757,18.97796885015151,20.426467383554392,4.702927,7,99.97203717489062,First,SpeedUp,non, False
13, 19.80668704853071,19.044891392817988,20.426467383554392,5.486748,7,99.9620674070248,First,SpeedUp,non, False
14, 19.74426450545869,18.984869716787202,20.426467383554392,6.3308635,7,99.94919216395236,First,SpeedUp,non, False
15, 19.802922622080068,19.041271752000064,20.426467383554392,7.2352724,7,99.93306013004376,First,SpeedUp,non, False
16, 19.752320913884336,18.99261626335032,20.426467383554392,8.199975,7,99.9133009996354,First,SpeedUp,non, False
17, 19.842179010317864,19.079018279151793,20.426467383554392,9.224972,7,99.88953497204668,First,SpeedUp,non, False
18, 19.84857383288417,19.08516714700401,20.426467383554392,10.246969,7,99.8659873298493,First,SpeedUp,non, False
19, 19.81360553882728,19.05154378733392,20.426467383554392,11.265966,7,99.84262958799222,First,SpeedUp,non, False
20, 19.74718638930273,18.987679220483393,20.426467383554392,12.281963,7,99.81949972654351,First,SpeedUp,non, False
21, 19.82216038598087,19.05976960190468,20.426467383554392,13.29496,7,99.7965597654351,First,SpeedUp,non, False
22, 19.83393676677707,19.071093044977953,20.426467383554392,14.304957,7,99.77382869470102,First,SpeedUp,non, False
23, 19.83366309848079,19.070829902385377,20.426467383554392,15.3119545,7,99.75129701932427,First,SpeedUp,non, False
24, 19.74062041506301,18.98136578371443,20.426467383554392,16.315952,7,99.72896473930481,First,SpeedUp,non, False
25, 19.733767233835373,18.974776186380165,20.426467383554392,17.31695,7,99.70685084467672,First,SpeedUp,non, False
26, 19.766191836679308,19.00595368911472,20.426467383554392,18.314947,7,99.68491735537191,First,SpeedUp,non, False
27, 19.80501554700692,19.043284179814346,20.426467383554392,19.309944,7,99.66319275644142,First,SpeedUp,non, False
28, 19.765668545149396,19.00545052418211,20.426467383554392,20.30194,7,99.64166755286826,First,SpeedUp,non, False
29, 19.787483306947465,19.026426256680253,20.426467383554392,21.290937,7,99.6203417446524,First,SpeedUp,non, False
30, 19.80230693001137,19.040679740395547,20.426467383554392,22.280228,7,99.59898745138551,First,SpeedUp,non, False
31, 19.759196044902804,18.999226966252696,20.426467383554392,23.266518,7,99.57784204849295,First,SpeedUp,non, False
32, 19.792925625960304,19.03165925573106,20.426467383554392,24.253103,7,99.55665866553234,First,SpeedUp,non, False
33, 19.808396695176178,19.046535283823246,20.426467383554392,25.239983,7,99.53547528257171,First,SpeedUp,non, False
34, 19.755600112139422,18.995769338595597,20.426467383554392,26.227156,7,99.51427290957706,First,SpeedUp,non, False
35, 19.82716570073302,19.06458240455098,20.426467383554392,27.214622,7,99.49304205153136,First,SpeedUp,non, False
36, 19.79319931013857,19.031922413594778,20.426467383554392,28.202383,7,99.47178270843462,First,SpeedUp,non, False
37, 19.752214743178143,18.99251417613283,20.426467383554392,29.187143,7,99.45073225571221,First,SpeedUp,non, False
38, 19.82004575051221,19.057736298569434,20.426467383554392,30.172197,7,99.42966281295577,First,SpeedUp,non, False
39, 19.849113753202616,19.08568630115636,20.426467383554392,31.157545,7,99.40857438016529,First,SpeedUp,non, False
40, 19.820805193039263,19.05846653176852,20.426467383554392,32.14319,7,99.38746695734079,First,SpeedUp,non, False
41, 19.754279065325324,18.99449910127435,20.426467383554392,33.129124,7,99.36634054448226,First,SpeedUp,non, False
42, 19.758494192388266,18.99855210806564,20.426467383554392,34.115353,7,99.3451951415897,First,SpeedUp,non, False
43, 19.839654723920354,19.076591080692648,20.426467383554392,35.101875,7,99.3240212536461,First,SpeedUp,non, False
44, 19.75716994851198,18.997278796646132,20.426467383554392,36.08869,7,99.30283787068547,First,SpeedUp,non, False
45, 19.778194124602795,19.01749435057961,20.426467383554392,37.075806,7,99.2816260026738,First,SpeedUp,non, False
46, 19.746596607794412,18.987112122879243,20.426467383554392,38.063213,7,99.26040463964512,First,SpeedUp,non, False
47, 19.75461350798743,18.994820680757144,20.426467383554392,39.050915,7,99.2391547915654,First,SpeedUp,non, False
48, 19.76450245994357,19.00432928840728,20.426467383554392,40.03891,7,99.21789544846865,First,SpeedUp,non, False
49, 19.742293475317865,18.982974495497945,20.426467383554392,41.023903,7,99.19683550072922,First,SpeedUp,non, False
50, 19.82111353068669,19.058763010275666,20.426467383554392,42.00919,7,99.17573757292173,First,SpeedUp,non, False
51, 19.754625633953626,18.994832340340025,20.426467383554392,42.99477,7,99.15463964511424,First,SpeedUp,non, False
52, 19.78898911993459,19.02787415378326,20.426467383554392,43.980644,7,99.13351323225572,First,SpeedUp,non, False
53, 19.77142556239085,19.010986117683508,20.426467383554392,44.966812,7,99.11236782936315,First,SpeedUp,non, False
54, 19.854116092543343,19.090496242830138,20.426467383554392,45.953278,7,99.09120343643656,First,SpeedUp,non, False
55, 19.778976374314674,19.018246513764108,20.426467383554392,46.940037,7,99.07002005347594,First,SpeedUp,non, False
56, 19.855866494756143,19.092179321880906,20.426467383554392,47.92709,7,99.04881768048129,First,SpeedUp,non, False
57, 19.799394451992587,19.037879280762102,20.426467383554392,48.914436,7,99.0275963174526,First,SpeedUp,non, False
58, 19.84643860592982,19.08311404416329,20.426467383554392,49.902077,7,99.0063559643899,First,SpeedUp,non, False
59, 19.840797104810473,19.077689523856225,20.426467383554392,50.89001,7,98.98509662129315,First,SpeedUp,non, False
60, 19.80702035340317,19.04521187827228,20.426467383554392,51.87824,7,98.9638277831794,First,SpeedUp,non, False
61, 19.81353834598337,19.051479178830164,20.426467383554392,52.86676,7,98.94252096499757,First,SpeedUp,non, False
62, 19.85042628712107,19.086948353001027,20.426467383554392,53.855576,7,98.92120465179875,First,SpeedUp,non, False
63, 19.815716738758766,19.053573787268043,20.426467383554392,54.844685,7,98.89986934856587,First,SpeedUp,non, False
64, 19.752809447758676,18.993086007460263,20.426467383554392,55.830795,7,98.87872394567331,First,SpeedUp,non, False
65, 19.81217675916032,19.050169960731075,20.426467383554392,56.8172,7,98.85756904776373,First,SpeedUp,non, False
66, 19.835659772780495,19.072749781519708,20.426467383554392,57.803898,7,98.83639515982013,First,SpeedUp,non, False
67, 19.829016767822537,19.06636227675244,20.426467383554392,58.79089,7,98.81519278682548,First,SpeedUp,non, False
