turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 18.357306691892827,18.357306691892827,20.319161418427935,0.060457833,3,99.99345663111593,First,non,non, False
2, 18.40862082865626,18.40862082865626,20.319161418427935,0.1813735,3,99.98944587551217,First,non,non, False
3, 18.340982264964076,18.340982264964076,20.319161418427935,0.362747,3,99.98733693359846,First,non,non, False
4, 18.337059344154053,18.337059344154053,20.319161418427935,0.6045784,3,99.98652725054231,First,non,non, False
5, 18.368964094166078,18.368964094166078,20.319161418427935,0.90686756,3,99.98641427151121,First,non,non, False
6, 18.375875317566262,18.375875317566262,20.319161418427935,1.2696146,3,99.98636719691493,First,non,non, False
7, 18.384979004417364,18.384979004417364,20.319161418427935,1.6928194,3,99.98578347192095,First,non,non, False
8, 18.321170998619788,18.321170998619788,20.319161418427935,2.176482,3,99.9840605416968,First,non,non, False
9, 18.334554614810262,18.334554614810262,20.319161418427935,2.7206025,3,99.98057702157146,First,non,non, False
10, 18.430124205590868,18.430124205590868,20.319161418427935,3.325181,3,99.97472094179321,First,non,non, False
11, 18.350610814078234,18.350610814078234,20.319161418427935,3.9902172,3,99.96588033261027,First,non,non, False
12, 18.365149452219264,18.365149452219264,20.319161418427935,4.715711,3,99.95344322427091,First,non,non, False
13, 18.35328730199735,18.35328730199735,20.319161418427935,5.501663,3,99.93679764702338,First,non,non, False
14, 18.391780781672445,18.391780781672445,20.319161418427935,6.348073,3,99.91533163111593,First,non,non, False
15, 18.338536373817963,18.338536373817963,20.319161418427935,7.2549405,3,99.88844262171608,First,non,non, False
16, 18.353292091559315,18.353292091559315,20.319161418427935,8.222266,3,99.85550923415282,First,non,non, False
17, 18.381470100506977,18.381470100506977,20.319161418427935,9.186591,3,99.82288653892505,First,non,non, False
18, 18.332952698665288,18.332952698665288,20.319161418427935,10.147917,3,99.79058395095204,First,non,non, False
19, 18.433620144892124,18.433620144892124,20.319161418427935,11.106242,3,99.75858264039528,First,non,non, False
20, 18.401128457573314,18.401128457573314,20.319161418427935,12.061567,3,99.72690143709328,First,non,non, False
21, 18.350333259343675,18.350333259343675,20.319161418427935,13.013893,3,99.69552151120753,First,non,non, False
22, 18.355381591512508,18.355381591512508,20.319161418427935,13.963219,3,99.66444286273801,First,non,non, False
23, 18.322806994611927,18.322806994611927,20.319161418427935,14.909544,3,99.633674906604,First,non,non, False
24, 18.408171100557816,18.408171100557816,20.319161418427935,15.852869,3,99.6032176428055,First,non,non, False
25, 18.41500599304677,18.41500599304677,20.319161418427935,16.793194,3,99.57306165642323,First,non,non, False
26, 18.417191166546804,18.417191166546804,20.319161418427935,17.730518,3,99.54319753253796,First,non,non, False
27, 18.322814140595174,18.322814140595174,20.319161418427935,18.664845,3,99.51363468606894,First,non,non, False
28, 18.38325782787035,18.38325782787035,20.319161418427935,19.59617,3,99.48437311701615,First,non,non, False
29, 18.374501635527267,18.374501635527267,20.319161418427935,20.524496,3,99.45540341046036,First,non,non, False
30, 18.337558079631734,18.337558079631734,20.319161418427935,21.449821,3,99.4267349813208,First,non,non, False
31, 18.40855321353673,18.40855321353673,20.319161418427935,22.372147,3,99.39835841467824,First,non,non, False
32, 18.323027534486087,18.323027534486087,20.319161418427935,23.291471,3,99.37027371053266,First,non,non, False
33, 18.557977945283692,18.334799577521622,20.319161418427935,24.209894,2.95,99.34214193179079,First,non,InsideOvertaking, False
34, 19.029806013802666,18.350497038579544,20.319161418427935,25.128777,2.9,99.31396307845264,First,non,InsideOvertaking, False
35, 19.493043078560124,18.338191826734747,20.319161418427935,26.048117,2.8500001,99.28574656543746,First,non,InsideOvertaking, False
36, 19.462565314489655,18.3337185198428,20.319161418427935,26.967915,2.8000002,99.25747356290672,First,non,InsideOvertaking, False
37, 20.348827060931562,18.414785129645548,20.319161418427935,27.888172,2.7500002,99.22916290069897,First,non,InsideOvertaking, False
38, 19.245301225922507,18.3361453105726,20.319161418427935,28.808887,2.7000003,99.20081457881417,First,non,InsideOvertaking, False
39, 19.757711966356066,18.41903158564474,20.319161418427935,29.730062,2.6500003,99.17240976741384,First,non,InsideOvertaking, False
40, 19.7549875070579,18.404195907485654,20.319161418427935,30.651695,2.6000004,99.14396729633647,First,non,InsideOvertaking, False
41, 20.28402259539064,18.320015809483763,20.319161418427935,31.573786,2.5500004,99.11547775066282,First,non,InsideOvertaking, False
42, 18.59261435648686,18.38805463417198,20.319161418427935,32.496334,2.5000005,99.08695054531213,First,non,InsideOvertaking, False
43, 18.32295654531495,18.32295654531495,20.319161418427935,33.417236,2.5000005,99.05870578753917,First,non,non, False
44, 18.428081619901008,18.428081619901008,20.319161418427935,34.338596,2.5000005,99.03042337008918,First,non,non, False
45, 18.43370325554901,18.43370325554901,20.319161418427935,35.260414,2.5000005,99.00209387804291,First,non,non, False
46, 18.361319065399396,18.361319065399396,20.319161418427935,36.179234,2.5000005,98.97405624849362,First,non,non, False
47, 18.312295958456545,18.312295958456545,20.319161418427935,37.095055,2.5000005,98.94631048144132,First,non,non, False
48, 18.33175241486084,18.33175241486084,20.319161418427935,38.011333,2.5000005,98.91850822487346,First,non,non, False
49, 18.365868101206857,18.365868101206857,20.319161418427935,38.92807,2.5000005,98.89067772354785,First,non,non, False
50, 18.349956789180524,18.349956789180524,20.319161418427935,39.845264,2.5000005,98.86279073270669,First,non,non, False
51, 18.365862595385316,18.365862595385316,20.319161418427935,40.762917,2.5000005,98.83487549710775,First,non,non, False
52, 18.361489048732793,18.361489048732793,20.319161418427935,41.681026,2.5000005,98.80690377199326,First,non,non, False
53, 18.3571198771156,18.3571198771156,20.319161418427935,42.596134,2.5000005,98.77922390937576,First,non,non, False
54, 18.391991953138465,18.391991953138465,20.319161418427935,43.5117,2.5000005,98.75149697216197,First,non,non, False
55, 18.358948846584248,18.358948846584248,20.319161418427935,44.427723,2.5000005,98.72373237527115,First,non,non, False
56, 18.40381983759665,18.40381983759665,20.319161418427935,45.344204,2.5000005,98.69592070378405,First,non,non, False
57, 18.35942854457145,18.35942854457145,20.319161418427935,46.261143,2.5000005,98.66806195770066,First,non,non, False
58, 18.400264763139702,18.400264763139702,20.319161418427935,47.17854,2.5000005,98.64015613702098,First,non,non, False
59, 18.385015510455503,18.385015510455503,20.319161418427935,48.096394,2.5000005,98.61222207158352,First,non,non, False
60, 18.389417600564663,18.389417600564663,20.319161418427935,49.014706,2.5000005,98.58423151663052,First,non,non, False
61, 18.383672068391434,18.383672068391434,20.319161418427935,49.933475,2.5000005,98.55619388708124,First,non,non, False
62, 18.394071276432502,18.394071276432502,20.319161418427935,50.852703,2.5000005,98.52811859785491,First,non,non, False
63, 18.35781447073761,18.35781447073761,20.319161418427935,51.768932,2.5000005,98.50032575620632,First,non,non, False
64, 18.41800779622232,18.41800779622232,20.319161418427935,52.68562,2.5000005,98.4724952548807,First,non,non, False
65, 18.324988907573918,18.324988907573918,20.319161418427935,53.599308,2.5000005,98.44495661605207,First,non,non, False
