turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 18.92197124764779,18.92197124764779,20.77154004110973,0.06044034,2,99.9887090126087,First,non,non, False
2, 20.222721130744453,18.9816482055492,20.77154004110973,0.1704955,1.95,99.98128907873306,First,non,InsideOvertaking, False
3, 18.916152171217664,18.916152171217664,20.77154004110973,0.3518165,1.95,99.97692294832174,First,non,non, False
4, 19.342541259415015,18.94295298334477,20.77154004110973,0.58835095,1.9000001,99.97480207870599,First,non,InsideOvertaking, False
5, 19.542109678894843,18.981688639704274,20.77154004110973,0.88638765,1.8500001,99.974136585894,First,non,InsideOvertaking, False
6, 20.930309880843094,18.899635707008294,20.77154004110973,1.2455662,1.8000002,99.97410548809906,First,non,InsideOvertaking, False
7, 20.224641790025146,18.946913735350783,20.77154004110973,1.6656837,1.7500002,99.97390024265236,First,non,InsideOvertaking, False
8, 19.85692632141786,18.915970039974713,20.77154004110973,2.1466143,1.7000003,99.97271230688519,First,non,InsideOvertaking, False
9, 20.239756250207936,18.862272730943154,20.77154004110973,2.6882746,1.6500003,99.96973935768774,First,non,InsideOvertaking, False
10, 20.330647501992722,18.91971288846942,20.77154004110973,3.2906063,1.6000004,99.96417285239126,First,non,InsideOvertaking, False
11, 20.83032333246609,18.976521594412763,20.77154004110973,3.9535673,1.5500004,99.955204248327,First,non,InsideOvertaking, False
12, 20.123340939683356,18.908274671163813,20.77154004110973,4.677126,1.5000005,99.94202500282617,First,non,InsideOvertaking, False
13, 20.215119945327967,18.94624904943546,20.77154004110973,5.461258,1.4500005,99.92382035366104,First,non,InsideOvertaking, False
14, 20.19956825323179,18.95966504319298,20.77154004110973,6.305944,1.4000006,99.89978797772184,First,non,InsideOvertaking, False
15, 20.938918687821896,18.937580391535626,20.77154004110973,7.2111692,1.3500006,99.86913177145779,First,non,InsideOvertaking, False
16, 19.608782355210277,18.911234632151924,20.77154004110973,8.176921,1.3000007,99.83102453352313,First,non,InsideOvertaking, False
17, 20.24556633523263,18.945777844668974,20.77154004110973,9.20319,1.2500007,99.7846701603671,First,non,InsideOvertaking, False
18, 18.963130729219,18.963130729219,20.77154004110973,10.227675,1.2500007,99.73874493678142,First,non,non, False
19, 18.948188505484687,18.948188505484687,20.77154004110973,11.249161,1.2500007,99.69324264320709,First,non,non, False
20, 18.952718795002593,18.952718795002593,20.77154004110973,12.267647,1.2500007,99.6481694992031,First,non,non, False
21, 18.888874885565155,18.888874885565155,20.77154004110973,13.283133,1.2500007,99.60351306565148,First,non,non, False
22, 20.484526788920867,18.94652134512946,20.77154004110973,14.297828,1.2000008,99.55880065606894,First,non,InsideOvertaking, False
