turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 18.909736464309276,18.909736464309276,20.7358264454286,0.060415693,7,99.98893885291677,First,non,non, False
2, 20.803180205264656,18.9554961378275,20.7358264454286,0.17041671,6.95,99.98166707138536,First,non,InsideOvertaking, False
3, 20.452718959455254,18.953871847802798,20.7358264454286,0.34463066,6.8999996,99.97739170234426,First,non,InsideOvertaking, False
4, 20.198366857551186,18.93809564690834,20.7358264454286,0.58106434,6.8499994,99.9753210107859,First,non,InsideOvertaking, False
5, 18.915672605854166,18.915672605854166,20.7358264454286,0.8831428,6.8499994,99.97466326170266,First,non,non, False
6, 20.905372142863317,18.874856498868848,20.7358264454286,1.2421721,6.799999,99.97462672008693,First,non,InsideOvertaking, False
7, 20.233171151702887,18.96205783941466,20.7358264454286,1.6621158,6.749999,99.97443792173895,First,non,InsideOvertaking, False
8, 19.190154184289234,18.950356685155295,20.7358264454286,2.142848,6.699999,99.9732746803047,First,non,InsideOvertaking, False
9, 19.234747225994393,18.908662819726114,20.7358264454286,2.6842854,6.6499987,99.9703696218537,First,non,InsideOvertaking, False
10, 20.322247194958138,18.904946025273386,20.7358264454286,3.2863698,6.5999985,99.96493101137837,First,non,InsideOvertaking, False
11, 20.805191033296126,18.86322235681974,20.7358264454286,3.9490588,6.5499983,99.95616711387108,First,non,InsideOvertaking, False
12, 20.83870058654684,18.862739546041947,20.7358264454286,4.672321,6.499998,99.94328010405492,First,non,InsideOvertaking, False
13, 20.03829671198738,18.93611268990485,20.7358264454286,5.456132,6.449998,99.9254843371916,First,non,InsideOvertaking, False
14, 19.349462025928485,18.96684278685783,20.7358264454286,6.3004723,6.3999977,99.90198807827349,First,non,InsideOvertaking, False
15, 18.95168084247107,18.95168084247107,20.7358264454286,7.2067075,6.3999977,99.87200568256229,First,non,non, False
16, 19.507398441179877,18.866572609211392,20.7358264454286,8.172065,6.3499975,99.8347393247811,First,non,InsideOvertaking, False
17, 18.934442796635174,18.934442796635174,20.7358264454286,9.1357155,6.3499975,99.79786274423441,First,non,non, False
18, 20.932472411793064,18.888578605158692,20.7358264454286,10.098485,6.2999973,99.76092526099482,First,non,InsideOvertaking, False
19, 20.6729000075215,18.922128366161573,20.7358264454286,11.06167,6.249997,99.72393296533164,First,non,InsideOvertaking, False
20, 20.121972921040598,18.97853716250989,20.7358264454286,12.025272,6.199997,99.68689803778344,First,non,InsideOvertaking, False
21, 19.981569027275324,18.952270300979876,20.7358264454286,12.98929,6.1499968,99.64980220754234,First,non,InsideOvertaking, False
22, 19.352099548683626,18.896063491994937,20.7358264454286,13.953725,6.0999966,99.61266374541621,First,non,InsideOvertaking, False
23, 20.9685168460452,18.982080984244256,20.7358264454286,14.918575,6.0499964,99.5754643805972,First,non,InsideOvertaking, False
24, 20.797921687588598,18.88420429919131,20.7358264454286,15.883842,5.999996,99.53821020335457,First,non,InsideOvertaking, False
25, 20.06059883359741,18.863604024432437,20.7358264454286,16.849525,5.949996,99.50090730395763,First,non,InsideOvertaking, False
26, 19.525866650618127,18.90753349213806,20.7358264454286,17.815624,5.899996,99.4635495921371,First,non,InsideOvertaking, False
27, 19.612956252146393,18.939662790477023,20.7358264454286,18.782139,5.8499956,99.42613706789295,First,non,InsideOvertaking, False
28, 19.695406395634226,18.876979372236402,20.7358264454286,19.749071,5.7999954,99.38867582149449,First,non,InsideOvertaking, False
29, 19.340356461756652,18.8624039286197,20.7358264454286,20.713,5.749995,99.35159217179196,First,non,InsideOvertaking, False
30, 20.191097399216783,18.86531715737994,20.7358264454286,21.677343,5.699995,99.31445979993514,First,non,InsideOvertaking, False
