turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 18.90285485232417,18.90285485232417,20.842025142320047,0.0604765,6,99.98865286764658,First,non,non, False
2, 20.202732621336317,18.896023687329823,20.842025142320047,0.17061108,5.95,99.98118649708007,First,non,InsideOvertaking, False
3, 18.98793316798339,18.98793316798339,20.842025142320047,0.3520406,5.95,99.97680922790374,First,non,non, False
4, 20.1390904035807,18.949009713515142,20.842025142320047,0.5887229,5.8999996,99.97468937897405,First,non,InsideOvertaking, False
5, 20.27949327602448,18.942059343590188,20.842025142320047,0.88694286,5.8499994,99.97401402887256,First,non,InsideOvertaking, False
6, 20.40101239805235,18.92985777667469,20.842025142320047,1.2463405,5.799999,99.97398276266416,First,non,InsideOvertaking, False
7, 20.99784813185629,18.97198914032309,20.842025142320047,1.6667129,5.749999,99.9737764056887,First,non,InsideOvertaking, False
8, 19.730438486605042,18.951174188962813,20.842025142320047,2.1479342,5.699999,99.97257578328605,First,non,InsideOvertaking, False
9, 19.928394453811134,18.992771535883307,20.842025142320047,2.6899214,5.6499987,99.96958048052109,First,non,InsideOvertaking, False
10, 20.513936436312044,18.919587309403735,20.842025142320047,3.292616,5.5999985,99.96395881625034,First,non,InsideOvertaking, False
11, 18.888322100469257,18.888322100469257,20.842025142320047,3.9578574,5.5999985,99.95491037553867,First,non,non, False
12, 18.987886131513832,18.987886131513832,20.842025142320047,4.6835756,5.5999985,99.94162223696763,First,non,non, False
13, 18.98275523910955,18.98275523910955,20.842025142320047,5.46977,5.5999985,99.92328773236045,First,non,non, False
14, 18.949523283178433,18.949523283178433,20.842025142320047,6.316441,5.5999985,99.8990751805736,First,non,non, False
15, 18.97644336896499,18.97644336896499,20.842025142320047,7.2235885,5.5999985,99.86819041991367,First,non,non, False
16, 18.986121187124596,18.986121187124596,20.842025142320047,8.191213,5.5999985,99.82980176923716,First,non,non, False
17, 18.93142851682639,18.93142851682639,20.842025142320047,9.155837,5.5999985,99.79180081954485,First,non,non, False
18, 18.884677485743886,18.884677485743886,20.842025142320047,10.117461,5.5999985,99.7541938240784,First,non,non, False
19, 20.871113878635914,18.953217780631626,20.842025142320047,11.078261,5.5499983,99.71652429619515,First,non,InsideOvertaking, False
20, 20.358419687256706,18.87404142182554,20.842025142320047,12.039539,5.499998,99.67879223589509,First,non,InsideOvertaking, False
21, 19.120200523513937,18.87968999560418,20.842025142320047,12.997813,5.449998,99.6414478765792,First,non,InsideOvertaking, False
22, 20.842895634131764,18.992772507865606,20.842025142320047,13.956564,5.3999977,99.60404723808821,First,non,InsideOvertaking, False
23, 20.39694795160781,18.910604556107263,20.842025142320047,14.9157915,5.3499975,99.56658406718041,First,non,InsideOvertaking, False
24, 19.32873914710976,18.945841756814456,20.842025142320047,15.875496,5.2999973,99.52905836385581,First,non,InsideOvertaking, False
25, 20.809752997627893,18.97744133751354,20.842025142320047,16.835678,5.249997,99.4914701281144,First,non,InsideOvertaking, False
26, 19.27066405133547,18.883916498859353,20.842025142320047,17.796337,5.199997,99.4538193599562,First,non,InsideOvertaking, False
27, 19.77330030946593,18.98761295632338,20.842025142320047,18.757473,5.1499968,99.41610605938118,First,non,InsideOvertaking, False
28, 19.19452252205863,18.98235487437129,20.842025142320047,19.715605,5.0999966,99.37878045979035,First,non,InsideOvertaking, False
29, 20.54172946274416,18.957910321287926,20.842025142320047,20.674213,5.0499964,99.34139232778271,First,non,InsideOvertaking, False
30, 19.89971557187199,18.921277551419468,20.842025142320047,21.6333,4.999996,99.30394791659995,First,non,InsideOvertaking, False
31, 20.47798399393114,18.964414103906176,20.842025142320047,22.592865,4.949996,99.2664409730004,First,non,InsideOvertaking, False
32, 19.937995754326,18.9199481257218,20.842025142320047,23.552906,4.899996,99.22887149698403,First,non,InsideOvertaking, False
33, 19.748387268413705,18.917412641357636,20.842025142320047,24.513424,4.8499956,99.19123323530918,First,non,InsideOvertaking, False
34, 19.87210237897117,18.904142990027268,20.842025142320047,25.474419,4.7999954,99.1535386944592,First,non,InsideOvertaking, False
35, 20.622923553997705,18.892532004469572,20.842025142320047,26.43589,4.749995,99.1157878744341,First,non,InsideOvertaking, False
36, 20.798536232069157,18.990071275267287,20.842025142320047,27.39784,4.699995,99.07797452199219,First,non,InsideOvertaking, False
37, 20.78922734158751,18.938869971907653,20.842025142320047,28.360268,4.649995,99.0400923838918,First,non,InsideOvertaking, False
38, 20.438154811271627,18.962082101111303,20.842025142320047,29.323172,4.5999947,99.00215396661629,First,non,InsideOvertaking, False
39, 19.24150864397524,18.94046236224754,20.842025142320047,30.283072,4.5499945,98.96459699708328,First,non,InsideOvertaking, False
40, 20.47082171965214,18.945963516147707,20.842025142320047,31.243448,4.4999943,98.92698374837515,First,non,InsideOvertaking, False
41, 19.35214638946451,18.886108121431338,20.842025142320047,32.204304,4.449994,98.8893142204919,First,non,InsideOvertaking, False
42, 20.05595777542476,18.908609121928652,20.842025142320047,33.165634,4.399994,98.85157590695016,First,non,InsideOvertaking, False
43, 19.924180714338,18.90068404641201,20.842025142320047,34.12744,4.3499937,98.81377506099162,First,non,InsideOvertaking, False
44, 19.830879663199976,18.906881358646785,20.842025142320047,35.089725,4.2999935,98.77591168261627,First,non,InsideOvertaking, False
45, 20.56674308092319,18.87134691148018,20.842025142320047,36.052486,4.2499933,98.7379920250658,First,non,InsideOvertaking, False
46, 20.937512334370652,18.987325039458355,20.842025142320047,37.015724,4.199993,98.70000358185683,First,non,InsideOvertaking, False
47, 20.988500577501,18.93946915252087,20.842025142320047,37.979443,4.149993,98.66195885947275,First,non,InsideOvertaking, False
48, 20.807485876954622,18.989799916422903,20.842025142320047,38.943638,4.0999928,98.62385160467186,First,non,InsideOvertaking, False
49, 18.89545477733391,18.89545477733391,20.842025142320047,39.906128,4.0999928,98.58613830409683,First,non,non, False
50, 18.91403704290603,18.91403704290603,20.842025142320047,40.865616,4.0999928,98.54880019802265,First,non,non, False
51, 18.96494353392093,18.96494353392093,20.842025142320047,41.822105,4.0999928,98.51184979293265,First,non,non, False
52, 18.933605546997253,18.933605546997253,20.842025142320047,42.775597,4.0999928,98.47528708882685,First,non,non, False
53, 18.95956370749795,18.95956370749795,20.842025142320047,43.726086,4.0999928,98.43910583246354,First,non,non, False
54, 19.45492037327939,18.97914918607252,20.842025142320047,44.675735,4.0499926,98.40286829692512,First,non,InsideOvertaking, False
55, 19.100117638041407,18.87137385612528,20.842025142320047,45.625862,3.9999926,98.3665682289699,First,non,InsideOvertaking, False
56, 20.47208778472997,18.995545461763324,20.842025142320047,46.576466,3.9499927,98.33020562859785,First,non,InsideOvertaking, False
57, 19.348555526444592,18.95363669216965,20.842025142320047,47.527546,3.8999927,98.2937867490507,First,non,InsideOvertaking, False
58, 20.849626600460617,18.912180714917763,20.842025142320047,48.479107,3.8499928,98.25730533708673,First,non,InsideOvertaking, False
59, 20.031061317327012,18.9296559838526,20.842025142320047,49.431145,3.7999928,98.22074888622261,First,non,InsideOvertaking, False
60, 20.477223922034774,18.902429778522002,20.842025142320047,50.38366,3.7499928,98.18414866266671,First,non,InsideOvertaking, False
61, 20.028889947579636,18.898486454003883,20.842025142320047,51.33665,3.699993,98.14747965345234,First,non,InsideOvertaking, False
62, 19.481065193034176,18.933256164731105,20.842025142320047,52.29012,3.649993,98.11075436506285,First,non,InsideOvertaking, False
63, 19.627732930168296,18.879016327648717,20.842025142320047,53.244064,3.599993,98.07396654425654,First,non,InsideOvertaking, False
64, 20.109343077011626,18.88456946368501,20.842025142320047,54.198486,3.549993,98.0371224442751,First,non,InsideOvertaking, False
65, 20.92108868585656,18.92874232380055,20.842025142320047,55.153385,3.499993,98.00020955863519,First,non,InsideOvertaking, False
66, 20.67772893313744,18.933759201306437,20.842025142320047,56.10876,3.4499931,97.96324664706184,First,non,InsideOvertaking, False
67, 20.516441912784853,18.94967222265176,20.842025142320047,57.064613,3.3999932,97.92620244334663,First,non,InsideOvertaking, False
68, 20.180038594859262,18.91358246133899,20.842025142320047,58.020943,3.3499932,97.88911446693966,First,non,InsideOvertaking, False
69, 20.292548463591345,18.965920022408874,20.842025142320047,58.97775,3.2999933,97.8519577048742,First,non,InsideOvertaking, False
70, 19.59925393299968,18.896160899005466,20.842025142320047,59.935036,3.2499933,97.8147509168753,First,non,InsideOvertaking, False
71, 19.144033608575924,18.94666358056758,20.842025142320047,60.889317,3.1999934,97.77791307013555,First,non,InsideOvertaking, False
72, 20.004034132504955,18.979057165428017,20.842025142320047,61.844074,3.1499934,97.74101894422067,First,non,InsideOvertaking, False
73, 20.928379220162686,18.971501393790795,20.842025142320047,62.79931,3.0999935,97.70406853913067,First,non,InsideOvertaking, False
74, 19.54802074890748,18.96203682937865,20.842025142320047,63.75502,3.0499935,97.66705560162387,First,non,InsideOvertaking, False
75, 19.9968578457469,18.985116492019074,20.842025142320047,64.71121,2.9999936,97.62998638494194,First,non,InsideOvertaking, False
76, 19.667348615972635,18.887462685457884,20.842025142320047,65.66788,2.9499936,97.59284838260153,First,non,InsideOvertaking, False
77, 19.697528550018614,18.973109572933573,20.842025142320047,66.62502,2.8999937,97.55564784784431,First,non,InsideOvertaking, False
78, 19.407267644064955,18.96651113891136,20.842025142320047,67.58264,2.8499937,97.51838478067029,First,non,InsideOvertaking, False
79, 20.802231290976305,18.99783506410486,20.842025142320047,68.54074,2.7999938,97.48107168756283,First,non,InsideOvertaking, False
80, 19.14480402577292,18.936958722315307,20.842025142320047,69.495834,2.7499938,97.44414004219787,First,non,InsideOvertaking, False
81, 19.65652192927203,18.925741406349776,20.842025142320047,70.45141,2.6999938,97.40713335793275,First,non,InsideOvertaking, False
82, 19.726693646466813,18.960604756072232,20.842025142320047,71.407455,2.649994,97.37008915421754,First,non,InsideOvertaking, False
83, 20.54811400996449,18.903414920971265,20.842025142320047,72.36398,2.599994,97.33296991160216,First,non,InsideOvertaking, False
84, 19.163499344829457,18.938862181668302,20.842025142320047,73.320984,2.549994,97.29578813657,First,non,InsideOvertaking, False
85, 20.15287986579653,18.905910840215533,20.842025142320047,74.278465,2.499994,97.25854382912101,First,non,InsideOvertaking, False
86, 20.837275500294876,18.900689174127052,20.842025142320047,75.23642,2.449994,97.22123698925522,First,non,InsideOvertaking, False
87, 19.687089483974315,18.990266255858316,20.842025142320047,76.194855,2.3999941,97.18387387021431,First,non,InsideOvertaking, False
88, 19.3637520171368,18.977071884533828,20.842025142320047,77.15376,2.3499942,97.14645447199828,First,non,InsideOvertaking, False
89, 20.81563531393187,18.895912248924933,20.842025142320047,78.11315,2.2999942,97.10896628812375,First,non,InsideOvertaking, False
90, 19.158471348981056,18.900654064829038,20.842025142320047,79.069534,2.2499943,97.07186580523343,First,non,InsideOvertaking, False
91, 19.684998333446956,18.99617809138237,20.842025142320047,80.0264,2.1999943,97.03470904316796,First,non,InsideOvertaking, False
92, 19.091727004514574,18.87858325316414,20.842025142320047,80.980255,2.1499944,96.99792747560335,First,non,InsideOvertaking, False
93, 19.18367807400235,18.94412138315215,20.842025142320047,81.93459,2.0999944,96.96109588210528,First,non,InsideOvertaking, False
94, 19.2849031241518,18.95013679309357,20.842025142320047,82.889404,2.0499945,96.92418924970704,First,non,InsideOvertaking, False
95, 19.94274439578514,18.973681051129926,20.842025142320047,83.844696,1.9999945,96.88723884461704,First,non,InsideOvertaking, False
96, 19.46079396882736,18.95821255167737,20.842025142320047,84.80046,1.9499946,96.85021965386856,First,non,InsideOvertaking, False
97, 20.647994780557607,18.88580961799353,20.842025142320047,85.75671,1.8999946,96.81313793070326,First,non,InsideOvertaking, False
98, 20.678901643459678,18.978125328636928,20.842025142320047,86.713425,1.8499947,96.77598742187949,First,non,InsideOvertaking, False
99, 20.451917060529766,18.99102697393739,20.842025142320047,87.67062,1.7999947,96.7387806338806,First,non,InsideOvertaking, False
100, 19.418701127837437,18.9713914535159,20.842025142320047,88.628296,1.7499948,96.70151756670657,First,non,InsideOvertaking, False
101, 20.473625393060647,18.924941328013105,20.842025142320047,89.58645,1.6999948,96.66419196711574,First,non,InsideOvertaking, False
102, 20.57184190361806,18.874166485164302,20.842025142320047,90.545074,1.6499949,96.62679758186643,First,non,InsideOvertaking, False
103, 19.329590346970658,18.898475528740235,20.842025142320047,91.50418,1.5999949,96.58935942392536,First,non,InsideOvertaking, False
104, 20.506376259556465,18.97830527262892,20.842025142320047,92.46376,1.549995,96.55183997384243,First,non,InsideOvertaking, False
105, 20.319363138649432,18.996117698221667,20.842025142320047,93.42382,1.499995,96.51427049782606,First,non,InsideOvertaking, False
106, 19.95830450399789,18.983646060812166,20.842025142320047,94.38436,1.449995,96.47663223615122,First,non,InsideOvertaking, False
107, 19.2076665047008,18.890955320589047,20.842025142320047,95.341896,1.3999951,96.43938792870223,First,non,InsideOvertaking, False
108, 19.991276866449127,18.94535449789157,20.842025142320047,96.299904,1.3499951,96.40208734207813,First,non,InsideOvertaking, False
109, 20.615566492002213,18.877287623385993,20.842025142320047,97.25839,1.2999952,96.36471171655386,First,non,InsideOvertaking, False
110, 19.80064362305768,18.969804928387703,20.842025142320047,98.217354,1.2499952,96.32727981185445,First,non,InsideOvertaking, False
111, 20.170000226372252,18.978004532342563,20.842025142320047,99.176796,1.1999953,96.28977912149658,First,non,InsideOvertaking, False
112, 20.069043513226685,18.963758766120858,20.842025142320047,100.13672,1.1499953,96.25222840520526,First,non,InsideOvertaking, False
113, 20.55930852392543,18.971611253466733,20.842025142320047,101.097115,1.0999954,96.21461515649712,First,non,InsideOvertaking, False
114, 19.55745077249222,18.92434910546358,20.842025142320047,102.05799,1.0499954,96.17693937537219,First,non,InsideOvertaking, False
115, 20.416203567337334,18.94419522778239,20.842025142320047,103.01934,0.9999954,96.13919480858877,First,non,InsideOvertaking, False
116, 19.352918259117473,18.87628233217848,20.842025142320047,103.98117,0.9499954,96.10139396263023,First,non,InsideOvertaking, False
117, 19.63403402671573,18.930173180861303,20.842025142320047,104.943474,0.8999954,96.06353058425488,First,non,InsideOvertaking, False
118, 20.58043340840943,18.918855115996767,20.842025142320047,105.90626,0.8499954,96.0256109267044,First,non,InsideOvertaking, False
119, 19.66096048995492,18.996213648278495,20.842025142320047,106.869514,0.79999536,95.98762248349544,First,non,InsideOvertaking, False
