turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 22.653725326215074,21.782428198283725,24.193735622293048,0.060508676,1,99.98130258647555,First,SpeedUp,non, False
2, 22.783321799120383,21.907040191461906,24.193735622293048,0.18152604,1,99.96809510361484,First,SpeedUp,non, False
3, 22.780541282168233,21.904366617469453,24.193735622293048,0.36305207,1,99.95941590059209,First,SpeedUp,non, False
4, 22.743399061112314,21.868652943377224,24.193735622293048,0.6050868,1,99.9543215857744,First,SpeedUp,non, False
5, 22.759201770458205,21.88384785620981,24.193735622293048,0.9076302,1,99.95186876752884,First,SpeedUp,non, False
6, 22.758316228892106,21.882996373934716,24.193735622293048,1.2706822,1,99.95110796782487,First,SpeedUp,non, False
7, 22.719448412402965,21.84562347346439,24.193735622293048,1.694243,1,99.95107144943908,First,SpeedUp,non, False
8, 22.6898097658228,21.817124774829615,24.193735622293048,2.1783123,1,99.95080973434092,First,SpeedUp,non, False
9, 22.710006098833826,21.836544325801757,24.193735622293048,2.7228904,1,99.94939769009038,First,SpeedUp,non, False
10, 22.76544152983896,21.889847624845153,24.193735622293048,3.3279772,1,99.94585540666876,First,SpeedUp,non, False
11, 22.663641872421607,21.79196333886693,24.193735622293048,3.9935727,1,99.93924557884077,First,SpeedUp,non, False
12, 22.743795723268992,21.869034349297106,24.193735622293048,4.719677,1,99.92862481497352,First,SpeedUp,non, False
13, 22.751406510367264,21.876352413814676,24.193735622293048,5.5062895,1,99.91301929144593,First,SpeedUp,non, False
14, 22.78051649429588,21.90434278297681,24.193735622293048,6.3534107,1,99.89149778942038,First,SpeedUp,non, False
15, 22.78876568988118,21.912274701808826,24.193735622293048,7.2610407,1,99.86311083086632,First,SpeedUp,non, False
16, 22.714740774787636,21.841096898834266,24.193735622293048,8.229179,1,99.8268906785603,First,SpeedUp,non, False
17, 22.754658316160754,21.87947915015457,24.193735622293048,9.257827,1,99.78189394086944,First,SpeedUp,non, False
18, 22.70726506486022,21.83390871621175,24.193735622293048,10.346983,1,99.72718331255844,First,SpeedUp,non, False
19, 22.68288791679101,21.810469150760586,24.193735622293048,11.496648,1,99.66179105640387,First,SpeedUp,non, False
20, 22.76829387768398,21.892590267003825,24.193735622293048,12.643312,1,99.59694657603616,First,SpeedUp,non, False
21, 22.75493050373655,21.87974086897745,24.193735622293048,13.786978,1,99.53265595785292,First,SpeedUp,non, False
22, 22.738594910078515,21.864033567383185,24.193735622293048,14.927643,1,99.46891311545653,First,SpeedUp,non, False
23, 22.697577544355017,21.824593792649054,24.193735622293048,16.065308,1,99.405718048847,First,SpeedUp,non, False
24, 22.688098839533954,21.815479653398032,24.193735622293048,17.199972,1,99.34305858522904,First,SpeedUp,non, False
25, 22.708535584576552,21.835130369785144,24.193735622293048,18.335146,1,99.28030782564663,First,SpeedUp,non, False
26, 22.734360400027896,21.859961923103747,24.193735622293048,19.470829,1,99.21746577009972,First,SpeedUp,non, False
27, 22.7429434913763,21.868214895554132,24.193735622293048,20.60702,1,99.15453850498598,First,SpeedUp,non, False
28, 22.743655264558548,21.868899292844755,24.193735622293048,21.74372,1,99.0915077711125,First,SpeedUp,non, False
29, 22.78663828653707,21.91022912167026,24.193735622293048,22.880928,1,99.02839182767218,First,SpeedUp,non, False
30, 22.669284268603153,21.797388719810723,24.193735622293048,24.015137,1,98.9658236600187,First,SpeedUp,non, False
31, 22.75250510717022,21.87740875689444,24.193735622293048,25.149853,1,98.90315202360549,First,SpeedUp,non, False
32, 22.663387965434296,21.791719197532977,24.193735622293048,26.28157,1,98.8410220765815,First,SpeedUp,non, False
33, 22.787227841302936,21.910796001252823,24.193735622293048,27.413795,1,98.77881300638829,First,SpeedUp,non, False
34, 22.72408750632556,21.850084140697653,24.193735622293048,28.54653,1,98.71650046743534,First,SpeedUp,non, False
35, 22.695847534996542,21.822930322112057,24.193735622293048,29.679773,1,98.65409663251792,First,SpeedUp,non, False
36, 22.743521273286483,21.868770455083155,24.193735622293048,30.813524,1,98.59160758803367,First,SpeedUp,non, False
37, 22.665210988783222,21.793472104599253,24.193735622293048,31.944275,1,98.52966023293861,First,SpeedUp,non, False
38, 22.736230567121524,21.861760160693773,24.193735622293048,33.075535,1,98.4676033226862,First,SpeedUp,non, False
39, 22.746901333665235,21.87202051313965,24.193735622293048,34.207302,1,98.40547337566221,First,SpeedUp,non, False
40, 22.747352115881984,21.87245395757883,24.193735622293048,35.33958,1,98.34323995987847,First,SpeedUp,non, False
