turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 20.244561346673905,20.244561346673905,21.946993161302558,0.060253337,7,99.97867767467248,First,non,non, False
2, 21.370228588961595,20.21691114225459,21.946993161302558,0.16989759,6.95,99.96388183501044,First,non,InsideOvertaking, False
3, 21.763638823287106,20.317516075250587,21.946993161302558,0.34360474,6.8999996,99.95445365898519,First,non,InsideOvertaking, False
4, 21.193949759209193,20.314399405223927,21.946993161302558,0.5793746,6.8499994,99.94917870111068,First,non,InsideOvertaking, False
5, 22.376715182364045,20.283188020235308,21.946993161302558,0.8764632,6.799999,99.94685178647711,First,non,InsideOvertaking, False
6, 20.537528298183464,20.302175373877372,21.946993161302558,1.2345089,6.749999,99.94628628132713,First,non,InsideOvertaking, False
7, 22.336691197712607,20.265775981273848,21.946993161302558,1.653308,6.699999,99.94628628132713,First,non,InsideOvertaking, False
8, 22.447956308046916,20.223828208862493,21.946993161302558,2.1327345,6.6499987,99.94565588214353,First,non,InsideOvertaking, False
9, 21.37539036546186,20.31900098591526,21.946993161302558,2.6727047,6.5999985,99.94318990886653,First,non,InsideOvertaking, False
10, 22.430277244409375,20.254359784612134,21.946993161302558,3.27316,6.5499983,99.93769245716251,First,non,InsideOvertaking, False
11, 21.427290098178712,20.271335112668027,21.946993161302558,3.934058,6.499998,99.92798616385039,First,non,InsideOvertaking, False
12, 21.616977497601884,20.216242843866503,21.946993161302558,4.655367,6.449998,99.91284731286785,First,non,InsideOvertaking, False
13, 21.140617710160964,20.286083810045554,21.946993161302558,5.4370627,6.3999977,99.8910985410338,First,non,InsideOvertaking, False
14, 21.581748933371234,20.289878287797798,21.946993161302558,6.279126,6.3499975,99.86153467343838,First,non,InsideOvertaking, False
15, 22.018956173607037,20.32580349094547,21.946993161302558,7.1815424,6.2999973,99.82295980574806,First,non,InsideOvertaking, False
16, 21.911151674575002,20.29597155096104,21.946993161302558,8.144299,6.249997,99.77416876305297,First,non,InsideOvertaking, False
17, 21.39529416523204,20.263849114765264,21.946993161302558,9.167384,6.199997,99.71398418217201,First,non,InsideOvertaking, False
18, 20.771744728266825,20.27698305515257,21.946993161302558,10.250792,6.1499968,99.64119161761913,First,non,InsideOvertaking, False
19, 20.265520273136598,20.265520273136598,21.946993161302558,11.332352,6.1499968,99.56906653455478,First,non,non, False
20, 20.287958505245037,20.287958505245037,21.946993161302558,12.410912,6.1499968,99.49759039182646,First,non,non, False
21, 20.254539778192573,20.254539778192573,21.946993161302558,13.486471,6.1499968,99.42675391885798,First,non,non, False
22, 20.275905877565037,20.275905877565037,21.946993161302558,14.5590315,6.1499968,99.35657565680178,First,non,non, False
23, 20.26446184598816,20.26446184598816,21.946993161302558,15.628592,6.1499968,99.28703706450541,First,non,non, False
24, 20.285488563537534,20.285488563537534,21.946993161302558,16.695152,6.1499968,99.21813814196886,First,non,non, False
25, 20.23417496235495,20.23417496235495,21.946993161302558,17.758713,6.1499968,99.14988815976837,First,non,non, False
26, 20.295972975544487,20.295972975544487,21.946993161302558,18.819273,6.1499968,99.08225930617525,First,non,non, False
27, 20.21870312076049,20.21870312076049,21.946993161302558,19.876833,6.1499968,99.01527012234193,First,non,non, False
28, 20.264303627864507,20.264303627864507,21.946993161302558,20.931393,6.1499968,98.94890206711601,First,non,non, False
29, 20.298149579309115,20.298149579309115,21.946993161302558,21.982952,6.1499968,98.88316441107366,First,non,non, False
30, 20.340942247540553,20.340942247540553,21.946993161302558,23.031513,6.1499968,98.81804788363868,First,non,non, False
31, 20.265900023579032,20.265900023579032,21.946993161302558,24.077074,6.1499968,98.75355248481108,First,non,non, False
32, 20.343582592763795,20.343582592763795,21.946993161302558,25.119635,6.1499968,98.68967821459084,First,non,non, False
33, 20.218951504828887,20.218951504828887,21.946993161302558,26.159195,6.1499968,98.62641580240174,First,non,non, False
34, 20.263217676522245,20.263217676522245,21.946993161302558,27.195755,6.1499968,98.56376524824378,First,non,non, False
35, 20.29630364125945,20.29630364125945,21.946993161302558,28.229315,6.1499968,98.50171728154072,First,non,non, False
36, 20.3295349936673,20.3295349936673,21.946993161302558,29.259874,6.1499968,98.44028117286881,First,non,non, False
37, 20.21521582523872,20.21521582523872,21.946993161302558,30.287434,6.1499968,98.37943838107556,First,non,non, False
38, 20.225188028987745,20.225188028987745,21.946993161302558,31.311995,6.1499968,98.31920744731346,First,non,non, False
39, 20.282835547108558,20.282835547108558,21.946993161302558,32.333553,6.1499968,98.25956983043004,First,non,non, False
40, 20.27897078591954,20.27897078591954,21.946993161302558,33.35211,6.1499968,98.20051625984905,First,non,non, False
41, 20.217231464389634,20.217231464389634,21.946993161302558,34.367672,6.1499968,98.14206527672299,First,non,non, False
42, 20.24970787560524,20.24970787560524,21.946993161302558,35.380234,6.1499968,98.08419833989937,First,non,non, False
43, 20.33975040661598,20.33975040661598,21.946993161302558,36.393047,6.1499968,98.02627577961837,First,non,non, False
44, 20.233832849864495,20.233832849864495,21.946993161302558,37.402863,6.1499968,97.96894653621607,First,non,non, False
45, 20.293415794580095,20.293415794580095,21.946993161302558,38.41293,6.1499968,97.91156166935637,First,non,non, False
46, 20.21444675775045,20.21444675775045,21.946993161302558,39.42325,6.1499968,97.85413044961552,First,non,non, False
47, 20.243544756328674,20.243544756328674,21.946993161302558,40.433823,6.1499968,97.7966436064173,First,non,non, False
48, 20.32470336695972,20.32470336695972,21.946993161302558,41.44465,6.1499968,97.73911041033794,First,non,non, False
49, 20.284716351333277,20.284716351333277,21.946993161302558,42.45573,6.1499968,97.68153086137744,First,non,non, False
50, 20.28291521712199,20.28291521712199,21.946993161302558,43.467064,6.1499968,97.62389568895955,First,non,non, False
51, 20.240906030368915,20.240906030368915,21.946993161302558,44.47865,6.1499968,97.56622343423675,First,non,non, False
52, 20.257668525453777,20.257668525453777,21.946993161302558,45.49049,6.1499968,97.50849555605657,First,non,non, False
53, 20.234288269123912,20.234288269123912,21.946993161302558,46.49933,6.1499968,97.45135172417885,First,non,non, False
54, 20.253402910386637,20.253402910386637,21.946993161302558,47.508423,6.1499968,97.39415226884374,First,non,non, False
55, 20.289688197086548,20.289688197086548,21.946993161302558,48.51777,6.1499968,97.33690646062749,First,non,non, False
