turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 22.135732435008737,21.284358110585323,23.57106604507153,0.060558233,3,99.98735389991778,First,SpeedUp,non, False
2, 22.239945514971097,21.384562995164515,23.57106604507153,0.1816747,3,99.978608084694,First,SpeedUp,non, False
3, 22.131649092825263,21.28043182002429,23.57106604507153,0.3633494,3,99.9730467373429,First,SpeedUp,non, False
4, 22.162375995405657,21.309976918659284,23.57106604507153,0.60558236,3,99.96995404087866,First,SpeedUp,non, False
5, 22.13743699201151,21.285997107703373,23.57106604507153,0.90837353,3,99.96861417831552,First,SpeedUp,non, False
6, 22.251037152601448,21.395228031347546,23.57106604507153,1.2717229,3,99.968292978386,First,SpeedUp,non, False
7, 22.246158537458047,21.39053705524812,23.57106604507153,1.6956306,3,99.968292978386,First,SpeedUp,non, False
8, 22.231955202914758,21.37688000280265,23.57106604507153,2.1800964,3,99.96788918418889,First,SpeedUp,non, False
9, 22.171714094719405,21.31895586030712,23.57106604507153,2.7251205,3,99.96635660166804,First,SpeedUp,non, False
10, 22.199118835960974,21.345306573039398,23.57106604507153,3.3307028,3,99.96298859097851,First,SpeedUp,non, False
11, 22.145112098565217,21.29337701785117,23.57106604507153,3.9968433,3,99.95705098085281,First,SpeedUp,non, False
12, 22.182984917586722,21.32979318998723,23.57106604507153,4.723542,3,99.94784630858688,First,SpeedUp,non, False
13, 22.14465895036363,21.292941298426566,23.57106604507153,5.5107994,3,99.93464958005404,First,SpeedUp,non, False
14, 22.157260958742445,21.305058614175426,23.57106604507153,6.358615,3,99.91672662398685,First,SpeedUp,non, False
15, 22.170332399294647,21.31762730701408,23.57106604507153,7.2669883,3,99.89337997768119,First,SpeedUp,non, False
16, 22.182592971330738,21.32941631858725,23.57106604507153,8.23592,3,99.86388464701047,First,SpeedUp,non, False
17, 22.207514995084253,21.353379802965627,23.57106604507153,9.265409,3,99.82751563784801,First,SpeedUp,non, False
18, 22.18688477692086,21.333543054731596,23.57106604507153,10.355457,3,99.78356631034889,First,SpeedUp,non, False
19, 22.15002602419146,21.298101946337944,23.57106604507153,11.506063,3,99.73131167038648,First,SpeedUp,non, False
20, 22.242488529085374,21.387008201043628,23.57106604507153,12.65367,3,99.67949753318454,First,SpeedUp,non, False
21, 22.160110081635413,21.307798155418666,23.57106604507153,13.798277,3,99.62809636732058,First,SpeedUp,non, False
22, 22.197717208896197,21.343958854707882,23.57106604507153,14.939883,3,99.57712652707625,First,SpeedUp,non, False
