turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 21.572519657255704,20.742807362745868,22.42070727391261,0.060257196,4,99.98724093838695,First,SpeedUp,non, False
2, 21.521797633126777,20.694036185698824,22.42070727391261,0.18077159,4,99.97840845257805,First,SpeedUp,non, False
3, 21.501935252583838,20.674937742869073,22.42070727391261,0.36154318,4,99.97276342242195,First,SpeedUp,non, False
4, 21.52199464298191,20.694225618251835,22.42070727391261,0.60257196,4,99.96961292277672,First,SpeedUp,non, False
5, 21.505163211494434,20.67804154951388,22.42070727391261,0.90385795,4,99.96822707249291,First,SpeedUp,non, False
6, 21.580885480597313,20.750851423651262,22.42070727391261,1.2654011,4,99.96788522942289,First,SpeedUp,non, False
7, 21.54956450216827,20.72073509823872,22.42070727391261,1.6872015,4,99.96788522942289,First,SpeedUp,non, False
8, 21.575587337481974,20.745757055271127,22.42070727391261,2.169259,4,99.96749719134343,First,SpeedUp,non, False
9, 21.56976284603002,20.740156582721173,22.42070727391261,2.7115738,4,99.96602819004256,First,SpeedUp,non, False
10, 21.615197674629947,20.78384391791341,22.42070727391261,3.3141458,4,99.96274834437085,First,SpeedUp,non, False
11, 21.586803933407374,20.756542243660935,22.42070727391261,3.976975,4,99.9569370121807,First,SpeedUp,non, False
12, 21.586274867847692,20.756033526776626,22.42070727391261,4.7000613,4,99.94788279032639,First,SpeedUp,non, False
13, 21.555267793770298,20.72621903247144,22.42070727391261,5.483405,4,99.93486503666036,First,SpeedUp,non, False
14, 21.535204374405613,20.70692728308232,22.42070727391261,6.327006,4,99.91718158703878,First,SpeedUp,non, False
15, 21.50720408844252,20.68000393119473,22.42070727391261,7.2308636,4,99.89412103831599,First,SpeedUp,non, False
16, 21.51932377993366,20.69165748070544,22.42070727391261,8.194979,4,99.86494427034059,First,SpeedUp,non, False
17, 21.551327405193717,20.72243019730165,22.42070727391261,9.219351,4,99.82894911896878,First,SpeedUp,non, False
18, 21.51953145783527,20.69185717099545,22.42070727391261,10.30398,4,99.78540570305108,First,SpeedUp,non, False
19, 21.527860926882866,20.69986627584891,22.42070727391261,11.38561,4,99.74226880321665,First,SpeedUp,non, False
20, 21.608241538617737,20.777155325593977,22.42070727391261,12.464239,4,99.69951994146169,First,SpeedUp,non, False
21, 21.491287138067886,20.66469917121912,22.42070727391261,13.539868,4,99.65715911778618,First,SpeedUp,non, False
22, 21.540450338290253,20.711971479125243,22.42070727391261,14.615755,4,99.614770577105,First,SpeedUp,non, False
23, 21.503892048269197,20.67681927718192,22.42070727391261,15.688642,4,99.57276083550141,First,SpeedUp,non, False
24, 21.510906902385525,20.68356432921685,22.42070727391261,16.761786,4,99.53071413789026,First,SpeedUp,non, False
25, 21.5342138601844,20.705974865561924,22.42070727391261,17.835186,4,99.48863972327341,First,SpeedUp,non, False
26, 21.597086107321655,20.766428949347745,22.42070727391261,18.908844,4,99.446528352649,First,SpeedUp,non, False
27, 21.516123249564732,20.688580047658395,22.42070727391261,19.98276,4,99.40438926501892,First,SpeedUp,non, False
28, 21.554763773766847,20.725734397852737,22.42070727391261,21.056932,4,99.36221322138127,First,SpeedUp,non, False
29, 21.527356673907207,20.69938141721847,22.42070727391261,22.131363,4,99.32000946073794,First,SpeedUp,non, False
30, 21.60008612966332,20.769313586214732,22.42070727391261,23.20605,4,99.27777798308892,First,SpeedUp,non, False
31, 21.57219325863011,20.74249351791357,22.42070727391261,24.280994,4,99.23550031043047,First,SpeedUp,non, False
32, 21.53101823415794,20.702902148228787,22.42070727391261,25.356195,4,99.19319492076632,First,SpeedUp,non, False
33, 21.550540502333988,20.721673559936526,22.42070727391261,26.431654,4,99.1508525750946,First,SpeedUp,non, False
34, 21.53767686991916,20.709304682614576,22.42070727391261,27.50737,4,99.10848251241721,First,SpeedUp,non, False
35, 21.57578049415691,20.74594278284318,22.42070727391261,28.583344,4,99.06607549373226,First,SpeedUp,non, False
36, 21.599978618322595,20.76921020992557,22.42070727391261,29.659575,4,99.02364075804162,First,SpeedUp,non, False
37, 21.578581051235627,20.7486356261881,22.42070727391261,30.736061,4,98.98116906634343,First,SpeedUp,non, False
38, 21.601259660972556,20.77044198170438,22.42070727391261,31.812805,4,98.93866041863765,First,SpeedUp,non, False
39, 21.57215828006117,20.7424598846742,22.42070727391261,32.88981,4,98.8961240539262,First,SpeedUp,non, False
40, 21.490691243855387,20.664126196014795,22.42070727391261,33.96381,4,98.85397572729423,First,SpeedUp,non, False
41, 21.572971868747697,20.74324218148817,22.42070727391261,35.03807,4,98.81178120565279,First,SpeedUp,non, False
42, 21.547576956338855,20.718823996479667,22.42070727391261,36.112587,4,98.76956820600756,First,SpeedUp,non, False
43, 21.57263180253893,20.74291519474897,22.42070727391261,37.18736,4,98.72731825035477,First,SpeedUp,non, False
44, 21.578918715124097,20.748960303003937,22.42070727391261,38.26239,4,98.68503133869442,First,SpeedUp,non, False
45, 21.53953808354285,20.711094311098893,22.42070727391261,39.337677,4,98.64271671002838,First,SpeedUp,non, False
46, 21.612577420730606,20.7813244430102,22.42070727391261,40.413223,4,98.60036512535477,First,SpeedUp,non, False
47, 21.51947646071498,20.69180428914902,22.42070727391261,41.489025,4,98.5579858236755,First,SpeedUp,non, False
48, 21.505536508219745,20.678400488672832,22.42070727391261,42.56183,4,98.51598532107379,First,SpeedUp,non, False
49, 21.597416362270927,20.766746502183583,22.42070727391261,43.634888,4,98.47394786246451,First,SpeedUp,non, False
50, 21.60988260552574,20.77873327454398,22.42070727391261,44.708206,4,98.43189192585146,First,SpeedUp,non, False
51, 21.60565770638285,20.77467087152197,22.42070727391261,45.78178,4,98.38979903323084,First,SpeedUp,non, False
52, 21.579535524964406,20.74955338938885,22.42070727391261,46.85561,4,98.34766918460265,First,SpeedUp,non, False
53, 21.529577937331357,20.701517247433998,22.42070727391261,47.9297,4,98.30550237996688,First,SpeedUp,non, False
54, 21.50727338557958,20.68007056305729,22.42070727391261,49.004044,4,98.26330785832545,First,SpeedUp,non, False
55, 21.6140914556116,20.782780245780383,22.42070727391261,50.078648,4,98.22107638067644,First,SpeedUp,non, False
56, 21.528714863096447,20.70068736836197,22.42070727391261,51.153507,4,98.17881718602176,First,SpeedUp,non, False
57, 21.614787211685957,20.783449242005727,22.42070727391261,52.228622,4,98.13652103535951,First,SpeedUp,non, False
58, 21.54123937140242,20.71273016481002,22.42070727391261,53.303997,4,98.09419716769158,First,SpeedUp,non, False
59, 21.52876018664837,20.700730948700354,22.42070727391261,54.379627,4,98.05182710501418,First,SpeedUp,non, False
60, 21.614819101656863,20.78347990543929,22.42070727391261,55.455517,4,98.00942932533113,First,SpeedUp,non, False
61, 21.488580133581934,20.66209628229032,22.42070727391261,56.528404,4,97.96742882272942,First,SpeedUp,non, False
62, 21.562363193338424,20.733041532056177,22.42070727391261,57.60155,4,97.92538212511826,First,SpeedUp,non, False
63, 21.521037632562116,20.69330541592511,22.42070727391261,58.674953,4,97.88331694950331,First,SpeedUp,non, False
64, 21.49451542844989,20.66780329658643,22.42070727391261,59.748615,4,97.8412055788789,First,SpeedUp,non, False
65, 21.561690903856476,20.732395099861996,22.42070727391261,60.822533,4,97.79906649124881,First,SpeedUp,non, False
66, 21.55098425764265,20.722100247733316,22.42070727391261,61.896706,4,97.75689044761116,First,SpeedUp,non, False
67, 21.585723481132256,20.755503347242552,22.42070727391261,62.971138,4,97.71468668696784,First,SpeedUp,non, False
68, 21.528772254904496,20.700742552792782,22.42070727391261,64.04583,4,97.67244597031693,First,SpeedUp,non, False
69, 21.55116269350333,20.722271820676276,22.42070727391261,65.12077,4,97.63016829765847,First,SpeedUp,non, False
70, 21.57712917728676,20.74723959354496,22.42070727391261,66.19598,4,97.58786290799432,First,SpeedUp,non, False
71, 21.584659086650483,20.754479891010078,22.42070727391261,67.27144,4,97.5455298013245,First,SpeedUp,non, False
72, 21.579230674788484,20.749260264219696,22.42070727391261,68.34715,4,97.50315049964522,First,SpeedUp,non, False
73, 21.62255813099636,20.79092127980419,22.42070727391261,69.42313,4,97.46074348096026,First,SpeedUp,non, False
74, 21.622014169783053,20.790398240176014,22.42070727391261,70.49936,4,97.41830874526963,First,SpeedUp,non, False
75, 21.551672452518943,20.722761973575906,22.42070727391261,71.57585,4,97.37582781456953,First,SpeedUp,non, False
76, 21.55548937073672,20.726432087246845,22.42070727391261,72.652596,4,97.33332840586566,First,SpeedUp,non, False
77, 21.60586368212987,20.774868925124874,22.42070727391261,73.7296,4,97.2907920411542,First,SpeedUp,non, False
78, 21.557731643713126,20.728588118954928,22.42070727391261,74.80686,4,97.24821872043519,First,SpeedUp,non, False
79, 21.594448465983294,20.76389275575317,22.42070727391261,75.88438,4,97.20560844370861,First,SpeedUp,non, False
80, 21.580926902323085,20.750891252233735,22.42070727391261,76.96215,4,97.16297044997634,First,SpeedUp,non, False
81, 21.499789739774002,20.672874749782693,22.42070727391261,78.03693,4,97.12072049432355,First,SpeedUp,non, False
82, 21.492606005442312,20.6659673129253,22.42070727391261,79.1087,4,97.07885857675024,First,SpeedUp,non, False
83, 21.595654794138056,20.765052686671208,22.42070727391261,80.18073,4,97.03695970316934,First,SpeedUp,non, False
84, 21.58457738231385,20.75440132914793,22.42070727391261,81.25302,4,96.99502387358089,First,SpeedUp,non, False
85, 21.57726913583869,20.747374169075663,22.42070727391261,82.32557,4,96.95306032698676,First,SpeedUp,non, False
86, 21.61184713735923,20.780622247460798,22.42070727391261,83.39838,4,96.91106906338695,First,SpeedUp,non, False
87, 21.55773611794414,20.72859242110013,22.42070727391261,84.471436,4,96.86904084377956,First,SpeedUp,non, False
88, 21.598911160323066,20.76818380800295,22.42070727391261,85.544754,4,96.82696642916272,First,SpeedUp,non, False
89, 21.547609387247853,20.718855180046013,22.42070727391261,86.61833,4,96.7848735365421,First,SpeedUp,non, False
90, 21.538517251568525,20.71011274189281,22.42070727391261,87.69216,4,96.7427436879139,First,SpeedUp,non, False
91, 21.528169752270504,20.70016322333702,22.42070727391261,88.76625,4,96.70058612228003,First,SpeedUp,non, False
92, 21.603019619014592,20.772134249052492,22.42070727391261,89.8406,4,96.6583916006386,First,SpeedUp,non, False
93, 21.574515769436008,20.744726701380777,22.42070727391261,90.91521,4,96.6161508839877,First,SpeedUp,non, False
94, 21.608500616666184,20.7774044391021,22.42070727391261,91.99007,4,96.57389168933301,First,SpeedUp,non, False
95, 21.51711909169782,20.689537588170978,22.42070727391261,93.065186,4,96.53160477767265,First,SpeedUp,non, False
96, 21.606176313175812,20.77516953189982,22.42070727391261,94.140564,4,96.48927167100284,First,SpeedUp,non, False
97, 21.52627164823764,20.698338123305422,22.42070727391261,95.216194,4,96.44691084732735,First,SpeedUp,non, False
98, 21.57368820130499,20.743930962793257,22.42070727391261,96.29208,4,96.40451306764427,First,SpeedUp,non, False
99, 21.55886858034831,20.72968132725799,22.42070727391261,97.36823,4,96.36207833195364,First,SpeedUp,non, False
100, 21.603206156135876,20.772313611669112,22.42070727391261,98.44464,4,96.31962511825922,First,SpeedUp,non, False
101, 21.570264996937045,20.740639420131775,22.42070727391261,99.5213,4,96.27712570955535,First,SpeedUp,non, False
102, 21.588597935063046,20.758267245252927,22.42070727391261,100.59822,4,96.23459858384578,First,SpeedUp,non, False
103, 21.60875098334243,20.777645176290797,22.42070727391261,101.76064,4,96.19204374113056,First,SpeedUp,non, False
104, 21.582290895809177,20.7522027844319,22.42070727391261,102.92334,4,96.14944270340587,First,SpeedUp,non, False
105, 21.603615509039948,20.772707220230718,22.42070727391261,104.08632,4,96.10682318767739,First,SpeedUp,non, False
106, 21.531708956705195,20.703566304524227,22.42070727391261,105.246056,4,96.06458247102648,First,SpeedUp,non, False
107, 21.578159329500664,20.748230124519868,22.42070727391261,106.406075,4,96.02230479836803,First,SpeedUp,non, False
108, 21.487762540587337,20.66131013518013,22.42070727391261,107.56285,4,95.98041516378902,First,SpeedUp,non, False
109, 21.597226003338967,20.766563464749005,22.42070727391261,108.71991,4,95.93849781220435,First,SpeedUp,non, False
110, 21.545467714045035,20.716795878889457,22.42070727391261,109.87724,4,95.89654350461211,First,SpeedUp,non, False
111, 21.58444885375042,20.754277743990787,22.42070727391261,111.03485,4,95.85456148001418,First,SpeedUp,non, False
112, 21.583805088286187,20.753658738736718,22.42070727391261,112.19274,4,95.81253326040681,First,SpeedUp,non, False
113, 21.517561990401877,20.689963452309495,22.42070727391261,113.35091,4,95.77048656279564,First,SpeedUp,non, False
114, 21.582486767735706,20.752391122822793,22.42070727391261,114.50935,4,95.72839367017502,First,SpeedUp,non, False
115, 21.52099664999561,20.69326600961116,22.42070727391261,115.668076,4,95.68628229955061,First,SpeedUp,non, False
116, 21.582485691599143,20.752390088076098,22.42070727391261,116.82707,4,95.64412473391674,First,SpeedUp,non, False
117, 21.58536358185845,20.75515729024851,22.42070727391261,117.98635,4,95.6019394512772,First,SpeedUp,non, False
118, 21.524093472289454,20.696243723355245,22.42070727391261,119.145905,4,95.55972645163197,First,SpeedUp,non, False
119, 21.61228814880162,20.781046296924636,22.42070727391261,120.30573,4,95.5174672569773,First,SpeedUp,non, False
120, 21.565942596689283,20.736483266047387,22.42070727391261,121.46584,4,95.47518958431883,First,SpeedUp,non, False
121, 21.578529196086798,20.748585765468075,22.42070727391261,122.62623,4,95.4328657166509,First,SpeedUp,non, False
122, 21.567033552863492,20.73753226236874,22.42070727391261,123.786896,4,95.39052337097918,First,SpeedUp,non, False
123, 21.53597904810992,20.70767216164415,22.42070727391261,124.94784,4,95.34813483029801,First,SpeedUp,non, False
124, 21.51145142530429,20.68408790894643,22.42070727391261,126.105545,4,95.30613432769631,First,SpeedUp,non, False
125, 21.598321195349936,20.76761653399032,22.42070727391261,127.26353,4,95.26410610808892,First,SpeedUp,non, False
126, 21.54212497302986,20.713581704836404,22.42070727391261,128.42178,4,95.22205017147587,First,SpeedUp,non, False
127, 21.566214383721256,20.736744599731978,22.42070727391261,129.58032,4,95.17994803985336,First,SpeedUp,non, False
128, 21.613023057705828,20.781752940101757,22.42070727391261,130.73914,4,95.13781819122516,First,SpeedUp,non, False
129, 21.51704093763006,20.689462440028905,22.42070727391261,131.89822,4,95.0956513865894,First,SpeedUp,non, False
130, 21.529464727288005,20.70140839162308,22.42070727391261,133.05759,4,95.05345686494796,First,SpeedUp,non, False
131, 21.62178870585261,20.7901814479352,22.42070727391261,134.21724,4,95.01123462630085,First,SpeedUp,non, False
132, 21.52735065984291,20.699375634464335,22.42070727391261,135.37717,4,94.96896619264427,First,SpeedUp,non, False
133, 21.572010051564696,20.742317357273745,22.42070727391261,136.53737,4,94.92667004198202,First,SpeedUp,non, False
134, 21.585958584793858,20.755729408455633,22.42070727391261,137.69785,4,94.8843369353122,First,SpeedUp,non, False
135, 21.559575581063854,20.73036113563832,22.42070727391261,138.8586,4,94.84197611163671,First,SpeedUp,non, False
136, 21.592960064152564,20.762461600146697,22.42070727391261,140.01964,4,94.79958757095554,First,SpeedUp,non, False
137, 21.62328986310142,20.79162486836675,22.42070727391261,141.18095,4,94.7571528352649,First,SpeedUp,non, False
138, 21.534653040125608,20.70639715396693,22.42070727391261,142.34254,4,94.71469962157047,First,SpeedUp,non, False
139, 21.520184709631614,20.692485297722705,22.42070727391261,143.5009,4,94.67262520695364,First,SpeedUp,non, False
140, 21.57136511382135,20.741697224828222,22.42070727391261,144.65953,4,94.63051383632923,First,SpeedUp,non, False
141, 21.51150760660497,20.684141929427852,22.42070727391261,145.81844,4,94.58836550969725,First,SpeedUp,non, False
142, 21.62326492670538,20.791600891062867,22.42070727391261,146.97762,4,94.5461894660596,First,SpeedUp,non, False
143, 21.503843044356202,20.676772158034808,22.42070727391261,148.13708,4,94.50398570541627,First,SpeedUp,non, False
144, 21.553148651593222,20.724181395762713,22.42070727391261,149.29683,4,94.46175422776726,First,SpeedUp,non, False
145, 21.6039821856415,20.773059793886056,22.42070727391261,150.45685,4,94.4194765551088,First,SpeedUp,non, False
146, 21.518122157254663,20.69050207428333,22.42070727391261,151.61714,4,94.37717116544465,First,SpeedUp,non, False
