turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 20.077626183567077,20.077626183567077,22.11085797681098,0.06005443,2,99.97931932471265,First,non,non, False
2, 21.75660382011341,20.043968656275016,22.11085797681098,0.16926128,1.95,99.96496048850575,First,non,InsideOvertaking, False
3, 19.977862715896038,19.977862715896038,22.11085797681098,0.34942454,1.95,99.95577406609195,First,non,non, False
4, 20.376984379920934,20.008598685790943,22.11085797681098,0.58438104,1.9000001,99.95061961206896,First,non,InsideOvertaking, False
5, 21.519168174072732,20.07016265249285,22.11085797681098,0.88046104,1.8500001,99.94832974137931,First,non,InsideOvertaking, False
6, 20.63605574821682,20.02432510735275,22.11085797681098,1.2373017,1.8000002,99.9477640086207,First,non,InsideOvertaking, False
7, 22.015738962548255,20.06925968835598,22.11085797681098,1.6546986,1.7500002,99.9477640086207,First,non,InsideOvertaking, False
8, 21.661947530293244,20.077422450819068,22.11085797681098,2.1325252,1.7000003,99.94717133620689,First,non,InsideOvertaking, False
9, 20.031832632624504,20.031832632624504,22.11085797681098,2.673015,1.7000003,99.94485452586207,First,non,non, False
10, 20.696916355887858,19.97105952767423,22.11085797681098,3.2714744,1.6500003,99.9396551724138,First,non,InsideOvertaking, False
11, 19.98252489737363,19.98252489737363,22.11085797681098,3.932073,1.6500003,99.93041487068966,First,non,non, False
12, 19.978484865633252,19.978484865633252,22.11085797681098,4.652726,1.6500003,99.9159841954023,First,non,non, False
13, 20.063707377314795,20.063707377314795,22.11085797681098,5.4334335,1.6500003,99.89520474137932,First,non,non, False
14, 20.028249637570468,20.028249637570468,22.11085797681098,6.2741957,1.6500003,99.86695402298851,First,non,non, False
15, 19.956446175087812,19.956446175087812,22.11085797681098,7.175012,1.6500003,99.83003771551724,First,non,non, False
16, 19.96834100690991,19.96834100690991,22.11085797681098,8.135883,1.6500003,99.78334231321838,First,non,non, False
17, 20.01065728912741,20.01065728912741,22.11085797681098,9.156809,1.6500003,99.72569145114943,First,non,non, False
18, 19.990540121232502,19.990540121232502,22.11085797681098,10.174734,1.6500003,99.66861530172413,First,non,non, False
19, 20.927149743104316,20.07577491141146,22.11085797681098,11.191485,1.6000004,99.6115301724138,First,non,InsideOvertaking, False
20, 20.660108885585522,20.00211015329237,22.11085797681098,12.208291,1.5500004,99.55443606321839,First,non,InsideOvertaking, False
21, 21.9183658091253,19.956160254905324,22.11085797681098,13.225151,1.5000005,99.49733297413793,First,non,InsideOvertaking, False
22, 20.617503168152872,20.038344930837674,22.11085797681098,14.242065,1.4500005,99.44021192528736,First,non,InsideOvertaking, False
23, 21.207490005094986,20.079218240809947,22.11085797681098,15.259034,1.4000006,99.38309087643678,First,non,InsideOvertaking, False
24, 21.62371554239981,20.08692962053385,22.11085797681098,16.276058,1.3500006,99.32595186781609,First,non,InsideOvertaking, False
