turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 18.855675621498477,18.855675621498477,20.205628769018624,0.060253337,7,99.99244435153496,First,non,non, False
2, 20.244572644232505,18.814063862635617,20.205628769018624,0.16989759,6.95,99.98770434686787,First,non,InsideOvertaking, False
3, 19.074589151397657,18.851281093547865,20.205628769018624,0.34360474,6.8999996,99.98512165201721,First,non,InsideOvertaking, False
4, 19.911678215107557,18.847469845085335,20.205628769018624,0.5793746,6.8499994,99.98405818943165,First,non,InsideOvertaking, False
5, 20.37218705261954,18.790644025187188,20.205628769018624,0.8764632,6.799999,99.98383536869945,First,non,InsideOvertaking, False
6, 19.086651771243382,18.864754759106837,20.205628769018624,1.2345089,6.749999,99.98382524048434,First,non,InsideOvertaking, False
7, 20.738493750765983,18.814993255980614,20.205628769018624,1.653308,6.699999,99.98336947080482,First,non,InsideOvertaking, False
8, 20.56849967032872,18.764223241023117,20.205628769018624,2.1327345,6.6499987,99.98178946924912,First,non,InsideOvertaking, False
9, 19.447152794121497,18.8185987785619,20.205628769018624,2.6727047,6.5999985,99.97846741469611,First,non,InsideOvertaking, False
10, 19.66183804879913,18.836480104766473,20.205628769018624,3.27316,6.5499983,99.97272471673408,First,non,InsideOvertaking, False
11, 20.594218785879075,18.825599228900998,20.205628769018624,3.934058,6.499998,99.96391316959655,First,non,InsideOvertaking, False
12, 19.82919967648506,18.779463687309885,20.205628769018624,4.655367,6.449998,99.9513946957322,First,non,InsideOvertaking, False
13, 20.3496150198556,18.85535821305937,20.205628769018624,5.4370627,6.3999977,99.9344805765142,First,non,InsideOvertaking, False
14, 19.75527292571363,18.83411782195631,20.205628769018624,6.279126,6.3499975,99.91255299082141,First,non,InsideOvertaking, False
15, 20.32606299415269,18.80301875458729,20.205628769018624,7.1815424,6.2999973,99.88494347645717,First,non,InsideOvertaking, False
16, 20.080863055843736,18.7982058452038,20.205628769018624,8.144299,6.249997,99.85099369943995,First,non,InsideOvertaking, False
17, 20.596932724212838,18.835545847753085,20.205628769018624,9.167384,6.199997,99.81006558221841,First,non,InsideOvertaking, False
18, 20.103624550112663,18.76797549264623,20.205628769018624,10.187467,6.1499968,99.76949195252541,First,non,InsideOvertaking, False
19, 18.8140757162817,18.8140757162817,20.205628769018624,11.205773,6.1499968,99.72928293857602,First,non,non, False
