turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 18.008042256882547,18.008042256882547,19.39038368657558,0.060250767,8,99.99247012273902,First,non,non, False
2, 18.046700720440704,18.046700720440704,19.39038368657558,0.1807523,8,99.98774628552971,First,non,non, False
3, 17.997584299120067,17.997584299120067,19.39038368657558,0.3615046,8,99.9851723998708,First,non,non, False
4, 18.000163001878597,18.000163001878597,19.39038368657558,0.6025077,8,99.98410247093024,First,non,non, False
5, 18.059097318940402,18.059097318940402,19.39038368657558,0.9037615,8,99.98389050387597,First,non,non, False
6, 18.050323125949753,18.050323125949753,19.39038368657558,1.2652661,8,99.98388041020672,First,non,non, False
7, 18.110442669263303,18.110442669263303,19.39038368657558,1.6870215,8,99.98341610142118,First,non,non, False
8, 18.03501644292875,18.03501644292875,19.39038368657558,2.1690276,8,99.98185158268734,First,non,non, False
9, 18.053862986028257,18.053862986028257,19.39038368657558,2.7112844,8,99.97853076550388,First,non,non, False
10, 18.005112542494167,18.005112542494167,19.39038368657558,3.313792,8,99.97281774870801,First,non,non, False
11, 18.02836430050003,18.02836430050003,19.39038368657558,3.9765503,8,99.9640463501292,First,non,non, False
12, 18.02687746382582,18.02687746382582,19.39038368657558,4.6995597,8,99.95156048126616,First,non,non, False
13, 18.1090602080364,18.1090602080364,19.39038368657558,5.4828196,8,99.93471414728683,First,non,non, False
14, 18.114635731594415,18.114635731594415,19.39038368657558,6.32633,8,99.91286135335918,First,non,non, False
15, 18.0249318298199,18.0249318298199,19.39038368657558,7.2300916,8,99.8853460109819,First,non,non, False
16, 18.038235450615907,18.038235450615907,19.39038368657558,8.130853,8,99.85813347868218,First,non,non, False
17, 18.49824841575815,18.103569582489797,19.39038368657558,9.030477,7.95,99.83089066537468,First,non,InsideOvertaking, False
18, 18.582786354482593,18.010466565935292,19.39038368657558,9.930351,7.8999996,99.80362766472868,First,non,InsideOvertaking, False
19, 18.365666217190007,18.087184054126052,19.39038368657558,10.830478,7.8499994,99.77633438307494,First,non,InsideOvertaking, False
20, 19.883585915915827,18.017375909939037,19.39038368657558,11.730855,7.799999,99.74902091408269,First,non,InsideOvertaking, False
21, 19.870568595529722,18.062431142509674,19.39038368657558,12.631483,7.749999,99.72168725775194,First,non,InsideOvertaking, False
22, 18.702894441397024,18.068566842659155,19.39038368657558,13.532363,7.699999,99.69432332041343,First,non,InsideOvertaking, False
23, 19.31732682446744,18.109324500393907,19.39038368657558,14.433494,7.6499987,99.66692910206719,First,non,InsideOvertaking, False
24, 19.97787817100045,18.091957572581745,19.39038368657558,15.334875,7.5999985,99.63951469638243,First,non,InsideOvertaking, False
25, 19.18481979123109,18.06229556903137,19.39038368657558,16.236507,7.5499983,99.61207000968992,First,non,InsideOvertaking, False
26, 19.33478743053782,18.000773488830717,19.39038368657558,17.138391,7.499998,99.58461522932816,First,non,InsideOvertaking, False
27, 19.914990592915416,18.099028307952484,19.39038368657558,18.040527,7.449998,99.5571200742894,First,non,InsideOvertaking, False
28, 19.195937556268166,18.0973710042122,19.39038368657558,18.942913,7.3999977,99.52960473191214,First,non,InsideOvertaking, False
29, 18.354399275075412,18.049064821346207,19.39038368657558,19.84555,7.3499975,99.50206920219638,First,non,InsideOvertaking, False
30, 19.44545260101108,18.088333218560603,19.39038368657558,20.74844,7.2999973,99.47450339147287,First,non,InsideOvertaking, False
31, 18.811344440931517,18.000814755912234,19.39038368657558,21.651579,7.249997,99.44691739341086,First,non,InsideOvertaking, False
32, 18.563888755366666,18.02386419535868,19.39038368657558,22.55497,7.199997,99.41930111434108,First,non,InsideOvertaking, False
33, 18.50346300002996,18.02782340693747,19.39038368657558,23.458612,7.1499968,99.39165455426357,First,non,InsideOvertaking, False
34, 19.69553073497058,18.095379930745732,19.39038368657558,24.362507,7.0999966,99.3639979005168,First,non,InsideOvertaking, False
35, 19.681206538283348,18.07571212746455,19.39038368657558,25.266651,7.0499964,99.33631096576228,First,non,InsideOvertaking, False
36, 18.310913594619393,18.003101992896905,19.39038368657558,26.171047,6.999996,99.30860384366925,First,non,InsideOvertaking, False
37, 18.366862607897072,18.07616957562955,19.39038368657558,27.075695,6.949996,99.28085634689923,First,non,InsideOvertaking, False
38, 18.40073338283532,18.00044302752847,19.39038368657558,27.980593,6.899996,99.2530886627907,First,non,InsideOvertaking, False
39, 18.904788240782477,18.105591133492435,19.39038368657558,28.885742,6.8499956,99.22530079134367,First,non,InsideOvertaking, False
40, 19.46028168971181,18.052871169615916,19.39038368657558,29.791143,6.7999954,99.19749273255815,First,non,InsideOvertaking, False
41, 19.16902973855504,18.085788044184877,19.39038368657558,30.696795,6.749995,99.16965439276485,First,non,InsideOvertaking, False
42, 18.76696902436865,18.040255111797116,19.39038368657558,31.602697,6.699995,99.14178577196382,First,non,InsideOvertaking, False
43, 18.710633192866496,18.067032291827463,19.39038368657558,32.50885,6.649995,99.11389696382429,First,non,InsideOvertaking, False
44, 19.22558732356572,18.019795299044755,19.39038368657558,33.415257,6.5999947,99.08598796834626,First,non,InsideOvertaking, False
45, 19.957948165295317,18.10357719584628,19.39038368657558,34.32191,6.5499945,99.05803859819122,First,non,InsideOvertaking, False
46, 19.65575004163335,18.050399363541302,19.39038368657558,35.228817,6.4999943,99.03007913436693,First,non,InsideOvertaking, False
47, 19.85495320894718,18.08601243026097,19.39038368657558,36.135975,6.449994,99.00208938953489,First,non,InsideOvertaking, False
48, 19.078813242487325,17.995749476510266,19.39038368657558,37.043385,6.399994,98.9740693636951,First,non,InsideOvertaking, False
49, 18.32654867626355,18.040916312950678,19.39038368657558,37.951046,6.3499937,98.9460291505168,First,non,InsideOvertaking, False
50, 19.70891351591089,18.045047547834994,19.39038368657558,38.85896,6.2999935,98.91796875,First,non,InsideOvertaking, False
51, 19.834927580501883,18.094889837747388,19.39038368657558,39.76712,6.2499933,98.88987806847545,First,non,InsideOvertaking, False
52, 18.450945918624996,18.092579444473312,19.39038368657558,40.675533,6.199993,98.8617671996124,First,non,InsideOvertaking, False
53, 18.299922588475486,18.05400944835017,19.39038368657558,41.584198,6.149993,98.8336260497416,First,non,InsideOvertaking, False
54, 18.719000183467244,18.046454177449466,19.39038368657558,42.493114,6.0999928,98.80545461886305,First,non,InsideOvertaking, False
55, 19.797448437175394,18.03227816460859,19.39038368657558,43.402283,6.0499926,98.77726300064599,First,non,InsideOvertaking, False
56, 19.758222279681497,18.02663979808711,19.39038368657558,44.311703,5.9999924,98.74905119509044,First,non,InsideOvertaking, False
57, 19.198299578784894,18.01939105075513,19.39038368657558,45.22137,5.949992,98.72080910852713,First,non,InsideOvertaking, False
58, 19.967741779289344,18.03383459863496,19.39038368657558,46.13129,5.899992,98.69253674095607,First,non,InsideOvertaking, False
59, 19.944377838653438,18.06395694422575,19.39038368657558,47.041462,5.849992,98.66425427971576,First,non,InsideOvertaking, False
60, 18.943483789897595,18.044159286447176,19.39038368657558,47.951885,5.7999916,98.63593144379846,First,non,InsideOvertaking, False
61, 19.54202282445524,18.06948235163515,19.39038368657558,48.86256,5.7499914,98.60758842054264,First,non,InsideOvertaking, False
62, 18.784462639303356,18.083235397659813,19.39038368657558,49.773487,5.699991,98.57922520994832,First,non,InsideOvertaking, False
63, 19.361538506630723,18.05369474338609,19.39038368657558,50.68466,5.649991,98.550821624677,First,non,InsideOvertaking, False
64, 19.782949120779186,18.033259030221046,19.39038368657558,51.59609,5.599991,98.52240794573643,First,non,InsideOvertaking, False
65, 19.762314829251114,18.071850456848992,19.39038368657558,52.507767,5.5499907,98.49397407945736,First,non,InsideOvertaking, False
66, 18.699996892093267,18.054707320608046,19.39038368657558,53.419697,5.4999905,98.46548974483204,First,non,InsideOvertaking, False
67, 19.717482987032188,18.0896650837344,19.39038368657558,54.33188,5.4499903,98.43700541020672,First,non,InsideOvertaking, False
68, 19.969427890430474,18.082374440163868,19.39038368657558,55.244312,5.39999,98.40848070090439,First,non,InsideOvertaking, False
69, 19.02340923803947,18.021178375373676,19.39038368657558,56.156998,5.34999,98.37993580426357,First,non,InsideOvertaking, False
70, 18.32003191770132,18.08264195505904,19.39038368657558,57.06993,5.2999897,98.35136062661499,First,non,InsideOvertaking, False
