turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 18.685355155106016,18.685355155106016,20.638703051591932,0.06054401,3,99.99260684304248,First,non,non, False
2, 18.641621859604456,18.641621859604456,20.638703051591932,0.18163203,3,99.98796624586619,First,non,non, False
3, 18.670000532562703,18.670000532562703,20.638703051591932,0.36326405,3,99.98547204909691,First,non,non, False
4, 18.59725184693093,18.59725184693093,20.638703051591932,0.6054401,3,99.98443859704909,First,non,non, False
5, 18.684141727173575,18.684141727173575,20.638703051591932,0.9081601,3,99.98423985627066,First,non,non, False
6, 18.570652494577715,18.570652494577715,20.638703051591932,1.2714242,3,99.98422991923174,First,non,non, False
7, 18.620313474470965,18.620313474470965,20.638703051591932,1.6952323,3,99.9837430043246,First,non,non, False
8, 18.68110077280007,18.68110077280007,20.638703051591932,2.1795843,3,99.98215307809717,First,non,non, False
9, 18.619163053039475,18.619163053039475,20.638703051591932,2.7244804,3,99.97880429598067,First,non,non, False
10, 18.655459803933226,18.655459803933226,20.638703051591932,3.3299205,3,99.97303087636733,First,non,non, False
11, 18.568615643213278,18.568615643213278,20.638703051591932,3.9959047,3,99.96421672284406,First,non,non, False
12, 18.66718912629433,18.66718912629433,20.638703051591932,4.7224326,3,99.95168611676418,First,non,non, False
13, 18.5982303463155,18.5982303463155,20.638703051591932,5.509505,3,99.93482296171457,First,non,non, False
14, 18.671853209095154,18.671853209095154,20.638703051591932,6.357121,3,99.91294160200967,First,non,non, False
15, 18.612338102695013,18.612338102695013,20.638703051591932,7.265281,3,99.88542594123632,First,non,non, False
16, 18.667496428386738,18.667496428386738,20.638703051591932,8.233985,3,99.85161019778681,First,non,non, False
17, 18.684018379105567,18.684018379105567,20.638703051591932,9.199689,3,99.81813231366064,First,non,non, False
18, 18.612139541552704,18.612139541552704,20.638703051591932,10.162394,3,99.78497241477994,First,non,non, False
19, 18.664850758965656,18.664850758965656,20.638703051591932,11.122098,3,99.75213050114475,First,non,non, False
20, 18.622503988602773,18.622503988602773,20.638703051591932,12.078802,3,99.71962644683286,First,non,non, False
21, 18.577219547748598,18.577219547748598,20.638703051591932,13.032506,3,99.68743044072754,First,non,non, False
22, 18.65117063765978,18.65117063765978,20.638703051591932,13.983211,3,99.65556235690663,First,non,non, False
23, 18.604779806993697,18.604779806993697,20.638703051591932,14.930915,3,99.62400232129228,First,non,non, False
24, 18.601764675970397,18.601764675970397,20.638703051591932,15.875619,3,99.59276027092342,First,non,non, False
25, 18.655236849956765,18.655236849956765,20.638703051591932,16.817324,3,99.56183620580005,First,non,non, False
26, 18.6695731187517,18.6695731187517,20.638703051591932,17.756027,3,99.53122018888322,First,non,non, False
27, 18.686519243104023,18.686519243104023,20.638703051591932,18.69173,3,99.5009221572119,First,non,non, False
28, 18.60180118396286,18.60180118396286,20.638703051591932,19.624435,3,99.47093217374713,First,non,non, False
29, 18.598540469935624,18.598540469935624,20.638703051591932,20.55414,3,99.44124030145001,First,non,non, False
30, 18.59436301860124,18.59436301860124,20.638703051591932,21.484388,3,99.4115086809972,First,non,non, False
31, 18.61971553858333,18.61971553858333,20.638703051591932,22.41518,3,99.38170750127193,First,non,non, False
