turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 20.77848792437931,19.979315311903182,22.210151905702187,0.060356073,1,99.99553165864832,First,SpeedUp,non, False
2, 20.815619334764076,20.015018591119304,22.210151905702187,0.18106821,1,99.99272270133326,First,SpeedUp,non, False
3, 20.799306546895526,19.999333218168776,22.210151905702187,0.36213642,1,99.9912032653479,First,SpeedUp,non, False
4, 20.730478906604606,19.93315279481212,22.210151905702187,0.6035607,1,99.99057349911713,First,SpeedUp,non, False
5, 20.75556797549175,19.9572768995113,22.210151905702187,0.905341,1,99.9904535436446,First,SpeedUp,non, False
6, 20.73522276804298,19.937714200041327,22.210151905702187,1.2674775,1,99.99044354735523,First,SpeedUp,non, False
7, 20.79256861484581,19.99285443735174,22.210151905702187,1.68997,1,99.99016365125266,First,SpeedUp,non, False
8, 20.73502073665584,19.937519939092155,22.210151905702187,2.1728187,1,99.98922400005118,First,SpeedUp,non, False
9, 20.782902028182548,19.98355964248322,22.210151905702187,2.7160234,1,99.98722474217571,First,SpeedUp,non, False
10, 20.815847964511605,20.015238427415003,22.210151905702187,3.3195841,1,99.98379601491926,First,SpeedUp,non, False
11, 20.735615422912055,19.93809175280005,22.210151905702187,3.983501,1,99.97854796299615,First,SpeedUp,non, False
12, 20.79322916213986,19.993489578980633,22.210151905702187,4.7077737,1,99.97108073483123,First,SpeedUp,non, False
13, 20.83165390390486,20.030436446062367,22.210151905702187,5.4924026,1,99.96101447142821,First,SpeedUp,non, False
14, 20.72516572659043,19.92804396787541,22.210151905702187,6.3373876,1,99.94794932121196,First,SpeedUp,non, False
15, 20.724958886400696,19.927845083077592,22.210151905702187,7.2427287,1,99.93150542518617,First,SpeedUp,non, False
16, 20.80222408644914,20.002138544662635,22.210151905702187,8.2084255,1,99.91129292806511,First,SpeedUp,non, False
17, 20.785596360244593,19.98615034638903,22.210151905702187,9.234479,1,99.88693197085243,First,SpeedUp,non, False
18, 20.75317901642964,19.95497982349004,22.210151905702187,10.3208885,1,99.85802270197303,First,SpeedUp,non, False
19, 20.767517749665384,19.968767066985944,22.210151905702187,11.404298,1,99.82934334774932,First,SpeedUp,non, False
20, 20.722654979393393,19.92562978787826,22.210151905702187,12.484707,1,99.80090390447066,First,SpeedUp,non, False
21, 20.73621247232378,19.938665838772863,22.210151905702187,13.562117,1,99.77269437584769,First,SpeedUp,non, False
22, 20.77515454726057,19.976110141596703,22.210151905702187,14.636526,1,99.74470476559102,First,SpeedUp,non, False
23, 20.761391084224957,19.962876042523998,22.210151905702187,15.707935,1,99.71696506256878,First,SpeedUp,non, False
24, 20.80235699564159,20.002266341963065,22.210151905702187,16.776344,1,99.68944527791284,First,SpeedUp,non, False
25, 20.818976699694172,20.01824682662901,22.210151905702187,17.841753,1,99.66216540420197,First,SpeedUp,non, False
26, 20.817335040416303,20.016668308092598,22.210151905702187,18.904161,1,99.63510544885739,First,SpeedUp,non, False
27, 20.794409039335264,19.994624076283905,22.210151905702187,19.963572,1,99.6082754081685,First,SpeedUp,non, False
28, 20.765930473463598,19.967240839868843,22.210151905702187,21.019981,1,99.5816652858459,First,SpeedUp,non, False
29, 20.831136288569162,20.02993873900881,22.210151905702187,22.073391,1,99.55529507446836,First,SpeedUp,non, False
30, 20.735835877532026,19.93830372839618,22.210151905702187,23.1238,1,99.52914478145713,First,SpeedUp,non, False
31, 20.76539780082502,19.966728654639443,22.210151905702187,24.17121,1,99.50320441052281,First,SpeedUp,non, False
32, 20.799547970714908,19.999565356456642,22.210151905702187,25.215618,1,99.4774939542442,First,SpeedUp,non, False
33, 20.781296716551132,19.982016073606857,22.210151905702187,26.257027,1,99.45201341262124,First,SpeedUp,non, False
34, 20.732911256317635,19.93549159261311,22.210151905702187,27.295437,1,99.4267527893646,First,SpeedUp,non, False
35, 20.785355905641914,19.985919140040302,22.210151905702187,28.334202,1,99.40145218095043,First,SpeedUp,non, False
36, 20.786530454837425,19.987048514266753,22.210151905702187,29.373323,1,99.37613157995753,First,SpeedUp,non, False
37, 20.783680942579448,19.984308598634083,22.210151905702187,30.412802,1,99.35079098638586,First,SpeedUp,non, False
38, 20.80466946192165,20.00448986723236,22.210151905702187,31.452635,1,99.32542040394605,First,SpeedUp,non, False
39, 20.782251879346415,19.982934499371552,22.210151905702187,32.489468,1,99.30026973987256,First,SpeedUp,non, False
40, 20.716440098387306,19.919653940757023,22.210151905702187,33.5233,1,99.27534899045475,First,SpeedUp,non, False
