turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 20.74824007964393,19.950230845811472,21.51388386730197,0.060257196,6,99.99315716321452,First,SpeedUp,non, False
2, 20.746629376413722,19.9486820927055,21.51388386730197,0.18077159,6,99.98866008349391,First,SpeedUp,non, False
3, 20.67547347919292,19.880262960762423,21.51388386730197,0.36154318,6,99.98600072254337,First,SpeedUp,non, False
4, 20.77718309762548,19.978060670793727,21.51388386730197,0.60257196,6,99.98470867453437,First,SpeedUp,non, False
5, 20.777079869908302,19.977961413373368,21.51388386730197,0.90385795,6,99.98430098948299,First,SpeedUp,non, False
6, 20.664090939651302,19.869318211203176,21.51388386730197,1.2654011,6,99.98426962909441,First,SpeedUp,non, False
7, 20.707308713054328,19.91087376255224,21.51388386730197,1.6872015,6,99.98415045961787,First,SpeedUp,non, False
8, 20.72424033215972,19.92715416553819,21.51388386730197,2.169259,6,99.98345425899166,First,SpeedUp,non, False
9, 20.773008401299588,19.974046539711143,21.51388386730197,2.7115738,6,99.98169180515416,First,SpeedUp,non, False
10, 20.707306969255484,19.91087208582258,21.51388386730197,3.3141458,6,99.97838014812139,First,SpeedUp,non, False
11, 20.75177095552263,19.95362591877176,21.51388386730197,3.976975,6,99.97303006583174,First,SpeedUp,non, False
12, 20.70401096611421,19.907702852032894,21.51388386730197,4.7000613,6,99.9651460641458,First,SpeedUp,non, False
13, 20.696438004681642,19.900421158347733,21.51388386730197,5.483405,6,99.9542702813905,First,SpeedUp,non, False
14, 20.73431724833109,19.936843508010664,21.51388386730197,6.327006,6,99.93989467927103,First,SpeedUp,non, False
15, 20.663844414446505,19.869081167737022,21.51388386730197,7.2308636,6,99.92153003572577,First,SpeedUp,non, False
16, 20.672088080020274,19.877007769250262,21.51388386730197,8.194979,6,99.89870594492615,First,SpeedUp,non, False
17, 20.6778426100422,19.882540971194423,21.51388386730197,9.219351,6,99.87092064065511,First,SpeedUp,non, False
18, 20.778152922592003,19.9789931948,21.51388386730197,10.30398,6,99.83770998916185,First,SpeedUp,non, False
19, 20.73300865732697,19.935585247429778,21.51388386730197,11.38561,6,99.80476903701029,First,SpeedUp,non, False
20, 20.692131943275175,19.896280714687666,21.51388386730197,12.464239,6,99.77211660043353,First,SpeedUp,non, False
21, 20.69825682442303,19.90217002348368,21.51388386730197,13.539868,6,99.73974640735389,First,SpeedUp,non, False
22, 20.789570869774693,19.989971990167973,21.51388386730197,14.612498,6,99.70765218569365,First,SpeedUp,non, False
23, 20.70397211253402,19.907665492821174,21.51388386730197,15.682128,6,99.67582766337509,First,SpeedUp,non, False
24, 20.750047901830555,19.951969136375535,21.51388386730197,16.748758,6,99.64429165663135,First,SpeedUp,non, False
25, 20.735913805973606,19.938378659590004,21.51388386730197,17.812387,6,99.61301907715158,First,SpeedUp,non, False
26, 20.669524482498947,19.874542771633603,21.51388386730197,18.873016,6,99.58203501324664,First,SpeedUp,non, False
27, 20.71818776711528,19.921334391457,21.51388386730197,19.930645,6,99.55130810452795,First,SpeedUp,non, False
28, 20.788143590730883,19.988599606472,21.51388386730197,20.985275,6,99.52086343930637,First,SpeedUp,non, False
29, 20.704563923223457,19.908234541561015,21.51388386730197,22.036905,6,99.49068847342647,First,SpeedUp,non, False
30, 20.790338941125007,19.990710520312508,21.51388386730197,23.085535,6,99.46077693481054,First,SpeedUp,non, False
31, 20.661850088685238,19.86716354681273,21.51388386730197,24.131165,6,99.43112882345858,First,SpeedUp,non, False
32, 20.73588083934416,19.938346960907843,21.51388386730197,25.173794,6,99.40175668352602,First,SpeedUp,non, False
33, 20.66826067037116,19.873327567664578,21.51388386730197,26.213423,6,99.37264169877972,First,SpeedUp,non, False
34, 20.789478279746234,19.989882961294455,21.51388386730197,27.250051,6,99.3438026854528,First,SpeedUp,non, False
35, 20.72583697272779,19.928689396853645,21.51388386730197,28.283682,6,99.31521455523443,First,SpeedUp,non, False
36, 20.66830720330268,19.87337231086796,21.51388386730197,29.314312,6,99.28690239643547,First,SpeedUp,non, False
37, 20.701412576068506,19.90520440006587,21.51388386730197,30.3452,6,99.25855260517021,First,SpeedUp,non, False
38, 20.758085826919036,19.959697910499074,21.51388386730197,31.376343,6,99.23019026974953,First,SpeedUp,non, False
39, 20.706729743132964,19.910317060704774,21.51388386730197,32.407745,6,99.20179657394027,First,SpeedUp,non, False
40, 20.662088956596786,19.86739322749691,21.51388386730197,33.439404,6,99.1733903339756,First,SpeedUp,non, False
41, 20.746535627630774,19.948591949644975,21.51388386730197,34.471317,6,99.14495900570007,First,SpeedUp,non, False
42, 20.767378671194574,19.96863333768709,21.51388386730197,35.50349,6,99.11649631703597,First,SpeedUp,non, False
43, 20.712064562995824,19.91544669518829,21.51388386730197,36.53592,6,99.08802735629416,First,SpeedUp,non, False
44, 20.769144859755194,19.970331595918456,21.51388386730197,37.568607,6,99.05952076308607,First,SpeedUp,non, False
45, 20.72260605410966,19.92558274433621,21.51388386730197,38.60155,6,99.03100162572255,First,SpeedUp,non, False
46, 20.66981291844473,19.874820113889164,21.51388386730197,39.634754,6,99.00245112797046,First,SpeedUp,non, False
47, 20.691528399831295,19.895700384453168,21.51388386730197,40.668213,6,98.97388808606294,First,SpeedUp,non, False
48, 20.711547980161097,19.91494998092413,21.51388386730197,41.701927,6,98.94529995584458,First,SpeedUp,non, False
49, 20.7076962575166,19.911246401458268,21.51388386730197,42.7359,6,98.91668046523765,First,SpeedUp,non, False
50, 20.738744392312793,19.941100377223837,21.51388386730197,43.77013,6,98.88804843047528,First,SpeedUp,non, False
51, 20.774972477929612,19.97593507493232,21.51388386730197,44.80462,6,98.85939130740206,First,SpeedUp,non, False
52, 20.756500416534962,19.958173477437462,21.51388386730197,45.839363,6,98.83070909601798,First,SpeedUp,non, False
53, 20.74530490988546,19.947408567197556,21.51388386730197,46.874367,6,98.8020143404785,First,SpeedUp,non, False
54, 20.743047205329702,19.945237697432404,21.51388386730197,47.909626,6,98.773275680395,First,SpeedUp,non, False
55, 20.761602256158863,19.963079092460443,21.51388386730197,48.94514,6,98.74453074823379,First,SpeedUp,non, False
56, 20.748887881567512,19.950853732276453,21.51388386730197,49.980915,6,98.71576072776173,First,SpeedUp,non, False
57, 20.75625014119078,19.957932828068056,21.51388386730197,51.016945,6,98.68696561897882,First,SpeedUp,non, False
58, 20.670216251150567,19.87520793379862,21.51388386730197,52.049976,6,98.65844020953757,First,SpeedUp,non, False
59, 20.722270899694557,19.925260480475536,21.51388386730197,53.083263,6,98.6298897117855,First,SpeedUp,non, False
60, 20.71908110809518,19.922193373168444,21.51388386730197,54.11681,6,98.60131412572255,First,SpeedUp,non, False
61, 20.750955179220345,19.9528415184811,21.51388386730197,55.15061,6,98.57271972342647,First,SpeedUp,non, False
62, 20.77799644613846,19.978842736671595,21.51388386730197,56.18467,6,98.54409396074182,First,SpeedUp,non, False
63, 20.683772951887157,19.88824322296842,21.51388386730197,57.218987,6,98.51545565390174,First,SpeedUp,non, False
64, 20.678509859933502,19.883182557628366,21.51388386730197,58.2503,6,98.48707450224792,First,SpeedUp,non, False
65, 20.781934029733318,19.982628874743575,21.51388386730197,59.281876,6,98.45866199020553,First,SpeedUp,non, False
66, 20.726510334485056,19.929336860081783,21.51388386730197,60.313705,6,98.43024320608542,First,SpeedUp,non, False
67, 20.74056601817825,19.942851940556007,21.51388386730197,61.345795,6,98.40179306157675,First,SpeedUp,non, False
68, 20.71576142005043,19.919001365433104,21.51388386730197,62.37814,6,98.37332410083495,First,SpeedUp,non, False
69, 20.783580552405827,19.984212069620988,21.51388386730197,63.410744,6,98.34482377970457,First,SpeedUp,non, False
70, 20.77166646006038,19.97275621159652,21.51388386730197,64.4436,6,98.31631718649648,First,SpeedUp,non, False
71, 20.72894361846407,19.93167655621545,21.51388386730197,65.47672,6,98.28777923289981,First,SpeedUp,non, False
72, 20.777378533954344,19.978248590340716,21.51388386730197,66.51009,6,98.25920991891459,First,SpeedUp,non, False
73, 20.748238803113352,19.950229618378224,21.51388386730197,67.543724,6,98.23063433285165,First,SpeedUp,non, False
74, 20.778394905795093,19.97922587095682,21.51388386730197,68.577614,6,98.20202738640013,First,SpeedUp,non, False
75, 20.772175602746433,19.973245771871568,21.51388386730197,69.61176,6,98.17340162371549,First,SpeedUp,non, False
76, 20.69830224374584,19.90221369590946,21.51388386730197,70.646164,6,98.14474450064226,First,SpeedUp,non, False
77, 20.769086144608853,19.970275139046972,21.51388386730197,71.680824,6,98.11608110549133,First,SpeedUp,non, False
78, 20.77193116582072,19.973010736366078,21.51388386730197,72.715744,6,98.08738007787413,First,SpeedUp,non, False
79, 20.783905626085687,19.984524640467008,21.51388386730197,73.750916,6,98.05866023402378,First,SpeedUp,non, False
80, 20.681908146062053,19.886450140444282,21.51388386730197,74.78309,6,98.03020381743738,First,SpeedUp,non, False
81, 20.751136276953943,19.95301565091725,21.51388386730197,75.81552,6,98.00173485669558,First,SpeedUp,non, False
82, 20.68500397694743,19.88942690091099,21.51388386730197,76.84821,6,97.97322826348748,First,SpeedUp,non, False
83, 20.67616462257373,19.88092752170551,21.51388386730197,77.88116,6,97.94470912612397,First,SpeedUp,non, False
84, 20.679129921378106,19.88377877055587,21.51388386730197,78.91436,6,97.91615862837187,First,SpeedUp,non, False
85, 20.69083616060936,19.895034769816693,21.51388386730197,79.94782,6,97.88758931438664,First,SpeedUp,non, False
86, 20.66747440310831,19.8725715414503,21.51388386730197,80.97829,6,97.8592896997431,First,SpeedUp,non, False
87, 20.762341367165806,19.96378977612097,21.51388386730197,82.009,6,97.830958724711,First,SpeedUp,non, False
88, 20.66654419543708,19.87167711099719,21.51388386730197,83.03998,6,97.80260266136803,First,SpeedUp,non, False
89, 20.71567855272613,19.918921685313585,21.51388386730197,84.07121,6,97.77423405386963,First,SpeedUp,non, False
90, 20.763746799234628,19.965141153110217,21.51388386730197,85.1027,6,97.74583408598266,First,SpeedUp,non, False
91, 20.744255206574554,19.946399237090915,21.51388386730197,86.134445,6,97.71742157394027,First,SpeedUp,non, False
92, 20.753007594902318,19.95481499509838,21.51388386730197,87.16645,6,97.68898397358703,First,SpeedUp,non, False
93, 20.78760605952263,19.98808274954099,21.51388386730197,88.198715,6,97.66051501284522,First,SpeedUp,non, False
94, 20.766760327290353,19.96803877624072,21.51388386730197,89.23123,6,97.63203350794798,First,SpeedUp,non, False
95, 20.719437038439455,19.92253561388409,21.51388386730197,90.26401,6,97.60352691473989,First,SpeedUp,non, False
96, 20.770090187455168,19.971240564860736,21.51388386730197,91.29704,6,97.57498896114323,First,SpeedUp,non, False
97, 20.679778241607572,19.884402155391896,21.51388386730197,92.33033,6,97.54643846339114,First,SpeedUp,non, False
98, 20.748669950465178,19.950644183139595,21.51388386730197,93.36388,6,97.5178628773282,First,SpeedUp,non, False
99, 20.722126560534345,19.925121692821484,21.51388386730197,94.39768,6,97.48926847503212,First,SpeedUp,non, False
100, 20.70639061681578,19.90999097770748,21.51388386730197,95.43174,6,97.46063644026975,First,SpeedUp,non, False
101, 20.682436502427027,19.8869581754106,21.51388386730197,96.46606,6,97.4320044055074,First,SpeedUp,non, False
102, 20.792865087384566,19.993139507100544,21.51388386730197,97.50063,6,97.40334101035646,First,SpeedUp,non, False
103, 20.705701949647846,19.90932879773831,21.51388386730197,98.53547,6,97.37464625481697,First,SpeedUp,non, False
104, 20.70096452244378,19.904773579272863,21.51388386730197,99.57056,6,97.34593895512204,First,SpeedUp,non, False
105, 20.786653356368575,19.987166688815936,21.51388386730197,100.6059,6,97.31720656711626,First,SpeedUp,non, False
106, 20.680424136409343,19.885023208085904,21.51388386730197,101.63825,6,97.28873760637444,First,SpeedUp,non, False
107, 20.712990694087896,19.916337205853747,21.51388386730197,102.67086,6,97.26023728524406,First,SpeedUp,non, False
108, 20.732629598609552,19.9352207678938,21.51388386730197,103.70372,6,97.23173069203597,First,SpeedUp,non, False
109, 20.785869876779454,19.986413343057166,21.51388386730197,104.73684,6,97.20319273843931,First,SpeedUp,non, False
110, 20.737485285531257,19.939889697626207,21.51388386730197,105.77022,6,97.17462342445408,First,SpeedUp,non, False
111, 20.723296464687646,19.926246600661198,21.51388386730197,106.80385,6,97.14604783839114,First,SpeedUp,non, False
112, 20.70331338898242,19.907032104790787,21.51388386730197,107.83774,6,97.11744089193964,First,SpeedUp,non, False
113, 20.68352488803841,19.88800470003693,21.51388386730197,108.87189,6,97.08881512925498,First,SpeedUp,non, False
114, 20.673997210105558,19.878843471255344,21.51388386730197,109.90304,6,97.06044024967888,First,SpeedUp,non, False
115, 20.76150533947512,19.962985903341462,21.51388386730197,110.93444,6,97.03205282594735,First,SpeedUp,non, False
116, 20.751872723277582,19.95372377238229,21.51388386730197,111.9661,6,97.00364031390495,First,SpeedUp,non, False
