turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 19.1767500475717,19.1767500475717,21.23893281853165,0.060564224,3,99.98879162053147,First,non,non, False
2, 19.221178405242874,19.221178405242874,21.23893281853165,0.18169267,3,99.98142646709901,First,non,non, False
3, 19.194200381368876,19.194200381368876,21.23893281853165,0.36338535,3,99.97711365074343,First,non,non, False
4, 19.217859348363294,19.217859348363294,21.23893281853165,0.60564226,3,99.97502520958557,First,non,non, False
5, 19.275537423337134,19.275537423337134,21.23893281853165,0.90846336,3,99.97437025466624,First,non,non, False
6, 19.242861833058676,19.242861833058676,21.23893281853165,1.2718487,3,99.97433936056628,First,non,non, False
7, 19.29409267783525,19.29409267783525,21.23893281853165,1.6957983,3,99.97412928068648,First,non,non, False
8, 19.28898217175993,19.28898217175993,21.23893281853165,2.1803122,3,99.97293058960771,First,non,non, False
9, 19.24635737221351,19.24635737221351,21.23893281853165,2.7253902,3,99.96994004073078,First,non,non, False
10, 19.19640206216884,19.19640206216884,21.23893281853165,3.3310325,3,99.9643482086365,First,non,non, False
11, 19.23797914228568,19.23797914228568,21.23893281853165,3.997239,3,99.95535184672572,First,non,non, False
12, 19.20417721616708,19.20417721616708,21.23893281853165,4.72401,3,99.94213535075924,First,non,non, False
13, 19.218237576571504,19.218237576571504,21.23893281853165,5.511345,3,99.92391401059791,First,non,non, False
14, 19.297254074551073,19.297254074551073,21.23893281853165,6.359244,3,99.89986604318253,First,non,non, False
15, 19.210498054654717,19.210498054654717,21.23893281853165,7.2677073,3,99.86918202309396,First,non,non, False
16, 19.28543724576744,19.28543724576744,21.23893281853165,8.236735,3,99.83107724019297,First,non,non, False
17, 19.243769304013025,19.243769304013025,21.23893281853165,9.202763,3,99.7933493653116,First,non,non, False
18, 19.192655608075267,19.192655608075267,21.23893281853165,10.165791,3,99.75601693490984,First,non,non, False
19, 19.26266580252211,19.26266580252211,21.23893281853165,11.129382,3,99.71859800102816,First,non,non, False
20, 19.24780432455732,19.24780432455732,21.23893281853165,12.089973,3,99.68156833280607,First,non,non, False
21, 19.206394235274015,19.206394235274015,21.23893281853165,13.047565,3,99.6449217514236,First,non,non, False
22, 19.192694906519588,19.192694906519588,21.23893281853165,14.005721,3,99.6082072030212,First,non,non, False
23, 19.248066510984618,19.248066510984618,21.23893281853165,14.964441,3,99.57142468759885,First,non,non, False
24, 19.292761523505746,19.292761523505746,21.23893281853165,15.923726,3,99.5345618475166,First,non,non, False
25, 19.173819709689457,19.173819709689457,21.23893281853165,16.88001,3,99.49808209427395,First,non,non, False
26, 19.225280477574707,19.225280477574707,21.23893281853165,17.836859,3,99.46152819519139,First,non,non, False
27, 19.59732911639635,19.266616626211786,21.23893281853165,18.792965,2.95,99.42490632908888,First,non,InsideOvertaking, False
28, 20.829815528346472,19.211268715564167,21.23893281853165,19.749636,2.9,99.38821031714646,First,non,InsideOvertaking, False
29, 20.596434561670005,19.25263119483535,21.23893281853165,20.706873,2.8500001,99.35144015936412,First,non,InsideOvertaking, False
30, 19.87147691059299,19.248354925532627,21.23893281853165,21.664675,2.8000002,99.31460821338183,First,non,InsideOvertaking, False
31, 21.287820599832873,19.24813816385136,21.23893281853165,22.623041,2.7500002,99.27769594273963,First,non,InsideOvertaking, False
32, 19.686082450725007,19.234105581932834,21.23893281853165,23.581972,2.7000003,99.2407095262575,First,non,InsideOvertaking, False
33, 20.014921265120407,19.176445627643538,21.23893281853165,24.541468,2.6500003,99.20366132157544,First,non,InsideOvertaking, False
34, 20.766671683136956,19.26187105077716,21.23893281853165,25.50153,2.6000004,99.16653897105346,First,non,InsideOvertaking, False
35, 19.713130595332718,19.226477281231304,21.23893281853165,26.462156,2.5500004,99.12933629587155,First,non,InsideOvertaking, False
36, 19.74296514740248,19.241169473788656,21.23893281853165,27.423347,2.5000005,99.09206565366972,First,non,InsideOvertaking, False
37, 20.833690295636355,19.251206536481906,21.23893281853165,28.385103,2.4500005,99.05472086562796,First,non,InsideOvertaking, False
38, 19.939717323307296,19.177580302231124,21.23893281853165,29.347425,2.4000006,99.01730811056628,First,non,InsideOvertaking, False
39, 19.457064648761836,19.21898954767152,21.23893281853165,30.310312,2.3500006,98.97982120966465,First,non,InsideOvertaking, False
40, 19.96439773665226,19.28706577671958,21.23893281853165,31.273764,2.3000007,98.9422663417431,First,non,InsideOvertaking, False
41, 19.85931172690957,19.21351503691542,21.23893281853165,32.23778,2.2500007,98.90463114916164,First,non,InsideOvertaking, False
42, 19.658802431921163,19.246457256199538,21.23893281853165,33.202362,2.2000008,98.86692181074027,First,non,InsideOvertaking, False
43, 19.459793458714973,19.236612826879142,21.23893281853165,34.167507,2.1500008,98.82914450529896,First,non,InsideOvertaking, False
44, 19.74679823559227,19.28279547635537,21.23893281853165,35.133217,2.1000009,98.7912992328377,First,non,InsideOvertaking, False
45, 19.60114900914076,19.264050350340334,21.23893281853165,36.099495,2.050001,98.75337363571654,First,non,InsideOvertaking, False
46, 20.204553712868538,19.195108754077506,21.23893281853165,37.066338,2.000001,98.71537389275545,First,non,InsideOvertaking, False
47, 19.75631705093941,19.21414233867873,21.23893281853165,38.033745,1.950001,98.67731236159443,First,non,InsideOvertaking, False
48, 20.567689054562937,19.28842689388824,21.23893281853165,39.001717,1.900001,98.63916432695349,First,non,InsideOvertaking, False
49, 19.830151914680467,19.2397897490172,21.23893281853165,39.970253,1.8500011,98.60095450411262,First,non,InsideOvertaking, False
50, 20.18786837173445,19.175745153523266,21.23893281853165,40.939354,1.8000011,98.56266435661182,First,non,InsideOvertaking, False
51, 19.9829322783532,19.2927982316886,21.23893281853165,41.90902,1.7500012,98.5243062420911,First,non,InsideOvertaking, False
52, 20.31364198956066,19.280284492334047,21.23893281853165,42.87925,1.7000012,98.48587398173046,First,non,InsideOvertaking, False
53, 20.082898258400895,19.241316063144435,21.23893281853165,43.850044,1.6500013,98.4473613967099,First,non,InsideOvertaking, False
54, 19.62369032676066,19.178541145860514,21.23893281853165,44.821404,1.6000013,98.40878084466941,First,non,InsideOvertaking, False
55, 21.34230958887362,19.249933156906565,21.23893281853165,45.79333,1.5500014,98.37012614678899,First,non,InsideOvertaking, False
56, 20.45746899738265,19.230921067366285,21.23893281853165,46.765823,1.5000014,98.33140348188864,First,non,InsideOvertaking, False
57, 19.57043331383406,19.29299929042052,21.23893281853165,47.73888,1.4500015,98.29260049232838,First,non,InsideOvertaking, False
58, 20.325339117192126,19.17648308660485,21.23893281853165,48.7125,1.4000015,98.25372335692818,First,non,InsideOvertaking, False
59, 19.519601453525844,19.180396857556904,21.23893281853165,49.686687,1.3500016,98.21476589686807,First,non,InsideOvertaking, False
60, 20.98683758810175,19.260642385680924,21.23893281853165,50.661438,1.3000016,98.17574664860803,First,non,InsideOvertaking, False
61, 20.558425765360504,19.246361435241983,21.23893281853165,51.636753,1.2500017,98.13665325450806,First,non,InsideOvertaking, False
62, 20.105395005191355,19.289597903891504,21.23893281853165,52.612633,1.2000017,98.09747335692818,First,non,InsideOvertaking, False
63, 19.97518379037469,19.249455623325478,21.23893281853165,53.589077,1.1500018,98.05823167114836,First,non,InsideOvertaking, False
64, 19.99309792705701,19.22435822375948,21.23893281853165,54.566086,1.1000018,98.01891583952862,First,non,InsideOvertaking, False
65, 21.020988438549004,19.187436114140006,21.23893281853165,55.543663,1.0500019,97.97951968324897,First,non,InsideOvertaking, False
66, 20.09533223214705,19.27733924705146,21.23893281853165,56.521805,1.0000019,97.94004938112938,First,non,InsideOvertaking, False
67, 20.716410257215035,19.27277788118496,21.23893281853165,57.50051,0.9500019,97.90051729080986,First,non,InsideOvertaking, False
68, 19.71954539597027,19.1994290373828,21.23893281853165,58.479782,0.9000019,97.86089251819044,First,non,InsideOvertaking, False
69, 20.416821821533016,19.266571871345995,21.23893281853165,59.459618,0.8500019,97.82120595737108,First,non,InsideOvertaking, False
70, 20.314272729861173,19.21972927374272,21.23893281853165,60.440018,0.80000186,97.7814390718918,First,non,InsideOvertaking, False
71, 21.037296768973125,19.229979729601023,21.23893281853165,61.420982,0.75000185,97.7415918617526,First,non,InsideOvertaking, False
72, 20.888136316541804,19.186972874091868,21.23893281853165,62.40251,0.70000184,97.70168286341347,First,non,InsideOvertaking, False
73, 19.517313664987178,19.274496982681327,21.23893281853165,63.38104,0.6500018,97.66216930955393,First,non,InsideOvertaking, False
74, 19.767835693600052,19.217369838814143,21.23893281853165,64.36013,0.6000018,97.62257543103448,First,non,InsideOvertaking, False
75, 19.56138124090349,19.191478675744907,21.23893281853165,65.33622,0.5500018,97.58337699699462,First,non,InsideOvertaking, False
76, 20.044368677928734,19.23014385727134,21.23893281853165,66.312874,0.5000018,97.54410441711482,First,non,InsideOvertaking, False
77, 20.724814751734435,19.28728256585857,21.23893281853165,67.29009,0.45000178,97.50475151257513,First,non,InsideOvertaking, False
78, 20.16640406921098,19.206099113534265,21.23893281853165,68.26915,0.45000178,97.48109898963935,First,Overtaking,non, False
79, 20.21469651442737,19.252091918502256,21.23893281853165,69.24877,0.45000178,97.4574093937836,First,Overtaking,non, False
80, 20.192437399240713,19.230892761181632,21.23893281853165,70.22896,0.45000178,97.43367036736791,First,Overtaking,non, False
81, 20.16576784491623,19.205493185634502,21.23893281853165,71.20971,0.45000178,97.40988191039227,First,Overtaking,non, False
82, 20.22094253292798,19.258040507550458,21.23893281853165,72.191025,0.45000178,97.38605020167668,First,Overtaking,non, False
83, 20.143519779420135,19.1843045518287,21.23893281853165,73.172905,0.45000178,97.36217524122112,First,Overtaking,non, False
84, 20.13195582201177,19.173291259058825,21.23893281853165,74.15535,0.45000178,97.33825085020563,First,Overtaking,non, False
85, 20.251196353337765,19.286853669845488,21.23893281853165,75.13836,0.45000178,97.31428938627016,First,Overtaking,non, False
86, 19.261753932652447,19.261753932652447,21.23893281853165,76.11837,0.45000178,97.27473875949066,First,non,non, False
87, 19.24839169429943,19.24839169429943,21.23893281853165,77.09538,0.45000178,97.23558975601075,First,non,non, False
88, 19.21186133264943,19.21186133264943,21.23893281853165,78.06939,0.45000178,97.19683619701043,First,non,non, False
89, 19.255436004580766,19.255436004580766,21.23893281853165,79.0404,0.45000178,97.15845954602973,First,non,non, False
90, 19.2746482427766,19.2746482427766,21.23893281853165,80.00841,0.45000178,97.12047833952862,First,non,non, False
91, 19.202981408346645,19.202981408346645,21.23893281853165,80.97342,0.45000178,97.08289257750711,First,non,non, False
92, 19.244602853222375,19.244602853222375,21.23893281853165,81.93543,0.45000178,97.0456837235052,First,non,non, False
93, 19.261691480572615,19.261691480572615,21.23893281853165,82.898,0.45000178,97.00840072366339,First,non,non, False
94, 19.294321044860983,19.294321044860983,21.23893281853165,83.86114,0.45000178,96.97104975680163,First,non,non, False
95, 19.265347976194075,19.265347976194075,21.23893281853165,84.82484,0.45000178,96.93361846527996,First,non,non, False
96, 19.270171515366574,19.270171515366574,21.23893281853165,85.78554,0.45000178,96.89658261823789,First,non,non, False
