turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 19.205195008424674,19.205195008424674,21.17041269748562,0.06054401,5,99.98886209132348,First,non,non, False
2, 19.13903050940515,19.13903050940515,21.17041269748562,0.18163203,5,99.98154324504873,First,non,non, False
3, 20.2722875777041,19.1944555736552,21.17041269748562,0.35624644,4.95,99.9772452648538,First,non,InsideOvertaking, False
4, 19.16105134502116,19.16105134502116,21.17041269748562,0.59842247,4.95,99.97517609438854,First,non,non, False
5, 19.234496660647476,19.234496660647476,21.17041269748562,0.9011425,4.95,99.9745191174159,First,non,non, False
6, 19.162043193757675,19.162043193757675,21.17041269748562,1.2644066,4.95,99.97449455752907,First,non,non, False
7, 19.243000404936794,19.243000404936794,21.17041269748562,1.6882147,4.95,99.97427965851932,First,non,non, False
8, 19.173595235362594,19.173595235362594,21.17041269748562,2.1725667,4.95,99.97309464397988,First,non,non, False
9, 19.161802477000997,19.161802477000997,21.17041269748562,2.7174628,4.95,99.97012903764539,First,non,non, False
10, 19.16234001745791,19.16234001745791,21.17041269748562,3.322903,4.95,99.96458464319396,First,non,non, False
11, 20.681108506527295,19.166321205491162,21.17041269748562,3.9870074,4.8999996,99.95565098436026,First,non,InsideOvertaking, False
12, 19.128529381350685,19.128529381350685,21.17041269748562,4.7135353,4.8999996,99.9425421447658,First,non,non, False
13, 19.93687547183276,19.22908670796701,21.17041269748562,5.4990177,4.8499994,99.92445378811694,First,non,InsideOvertaking, False
14, 20.42155993155555,19.158810113758285,21.17041269748562,6.3451576,4.799999,99.9005938580635,First,non,InsideOvertaking, False
15, 19.901758472708583,19.244472144669096,21.17041269748562,7.2519403,4.749999,99.87013959839672,First,non,InsideOvertaking, False
16, 19.494559750282196,19.213601264661715,21.17041269748562,8.219353,4.699999,99.83230509273812,First,non,InsideOvertaking, False
17, 19.65266874881737,19.22362268239378,21.17041269748562,9.247386,4.6499987,99.7862921447658,First,non,InsideOvertaking, False
18, 19.22260516734063,19.22260516734063,21.17041269748562,10.273634,4.6499987,99.74071513478465,First,non,non, False
19, 19.146697848014377,19.146697848014377,21.17041269748562,11.296883,4.6499987,99.69554336293618,First,non,non, False
20, 19.238948423856872,19.238948423856872,21.17041269748562,12.317131,4.6499987,99.65080138910719,First,non,non, False
21, 19.244609577265603,19.244609577265603,21.17041269748562,13.334379,4.6499987,99.60647693335429,First,non,non, False
22, 19.1517279118896,19.1517279118896,21.17041269748562,14.348627,4.6499987,99.56256999567745,First,non,non, False
23, 19.170259410534097,19.170259410534097,21.17041269748562,15.359876,4.6499987,99.51906829613328,First,non,non, False
24, 19.12864728460694,19.12864728460694,21.17041269748562,16.368124,4.6499987,99.4759841146652,First,non,non, False
25, 19.12807651104642,19.12807651104642,21.17041269748562,17.373373,4.6499987,99.43331131130147,First,non,non, False
26, 19.189290637726256,19.189290637726256,21.17041269748562,18.375622,4.6499987,99.39104988604211,First,non,non, False
27, 19.23715607907396,19.23715607907396,21.17041269748562,19.37487,4.6499987,99.34919369891543,First,non,non, False
28, 19.160937285875665,19.160937285875665,21.17041269748562,20.371119,4.6499987,99.3077366099497,First,non,non, False
29, 19.23250407616015,19.23250407616015,21.17041269748562,21.364367,4.6499987,99.26669089908833,First,non,non, False
30, 19.15517172220754,19.15517172220754,21.17041269748562,22.354614,4.6499987,99.22603814641622,First,non,non, False
