turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 20.6497720604148,20.6497720604148,22.329243886104294,0.06028953,6,99.96884578432288,First,non,non, False
2, 20.706558445265316,20.706558445265316,22.329243886104294,0.18086858,6,99.94679594146751,First,non,non, False
3, 20.647129650915833,20.647129650915833,22.329243886104294,0.3617372,6,99.93228850627023,First,non,non, False
4, 20.6705545468467,20.6705545468467,22.329243886104294,0.6028953,6,99.92373720282549,First,non,non, False
5, 20.70446512924506,20.70446512924506,22.329243886104294,0.904343,6,99.91959222134055,First,non,non, False
6, 20.63719040429672,20.63719040429672,22.329243886104294,1.2660801,6,99.91826728590988,First,non,non, False
7, 20.654014078546762,20.654014078546762,22.329243886104294,1.6881068,6,99.9182004313698,First,non,non, False
8, 20.69050571997409,20.69050571997409,22.329243886104294,2.170423,6,99.91781145950024,First,non,non, False
9, 20.64554339032305,20.64554339032305,22.329243886104294,2.713029,6,99.91553232745207,First,non,non, False
10, 20.73251658498642,20.73251658498642,22.329243886104294,3.3159242,6,99.9098010700616,First,non,non, False
11, 20.62947277086304,20.62947277086304,22.329243886104294,3.979109,6,99.89903748910878,First,non,non, False
12, 20.705998626413713,20.705998626413713,22.329243886104294,4.7025833,6,99.88166746405899,First,non,non, False
13, 20.665878215779493,20.665878215779493,22.329243886104294,5.486347,6,99.85613510743403,First,non,non, False
14, 20.686901641356123,20.686901641356123,22.329243886104294,6.3304005,6,99.82085414332835,First,non,non, False
15, 20.67875328742747,20.67875328742747,22.329243886104294,7.2347436,6,99.77426868426375,First,non,non, False
16, 20.67597968311125,20.67597968311125,22.329243886104294,8.199376,6,99.7147924543347,First,non,non, False
17, 20.670709324266998,20.670709324266998,22.329243886104294,9.2242985,6,99.6408513330066,First,non,non, False
18, 20.63057077735511,20.63057077735511,22.329243886104294,10.30951,6,99.55089551048668,First,non,non, False
19, 20.644445427359955,20.644445427359955,22.329243886104294,11.391722,6,99.46176625318957,First,non,non, False
20, 20.6157101960739,20.6157101960739,22.329243886104294,12.470933,6,99.37346963880071,First,non,non, False
21, 20.60508212925668,20.60508212925668,22.329243886104294,13.547145,6,99.28599958963467,First,non,non, False
22, 20.66636272480774,20.66636272480774,22.329243886104294,14.620357,6,99.19935610569144,First,non,non, False
23, 20.70148408558426,20.70148408558426,22.329243886104294,15.690568,6,99.113539186971,First,non,non, False
24, 20.677313304314133,20.677313304314133,22.329243886104294,16.75778,6,99.02852452273152,First,non,non, False
25, 20.697006320542112,20.697006320542112,22.329243886104294,17.821991,6,98.94431819065845,First,non,non, False
26, 20.635043492709986,20.635043492709986,22.329243886104294,18.883202,6,98.86093234612272,First,non,non, False
27, 20.62100016372104,20.62100016372104,22.329243886104294,19.941414,6,98.7783426783825,First,non,non, False
28, 22.835729227760517,20.69586978165194,22.329243886104294,20.998734,5.95,98.69567400073126,First,non,InsideOvertaking, False
29, 21.419506041941755,20.730185679965686,22.329243886104294,22.056343,5.8999996,98.6129323908545,First,non,InsideOvertaking, False
30, 21.379622655258117,20.60875936259379,22.329243886104294,23.114243,5.8499994,98.53011784875217,First,non,InsideOvertaking, False
31, 21.598943977880058,20.725052299318175,22.329243886104294,24.172432,5.799999,98.44721214136793,First,non,InsideOvertaking, False
32, 22.160549384777543,20.64485678091185,22.329243886104294,25.230911,5.749999,98.36423350175815,First,non,InsideOvertaking, False
33, 21.217326778811646,20.726342635272687,22.329243886104294,26.28968,5.699999,98.28118800760828,First,non,InsideOvertaking, False
34, 22.666114915074328,20.615485157469045,22.329243886104294,27.34874,5.6499987,98.19805742586196,First,non,InsideOvertaking, False
35, 21.637906504386418,20.64073104632721,22.329243886104294,28.408089,5.5999985,98.11484783420462,First,non,InsideOvertaking, False
36, 20.969029990986108,20.708302073623575,22.329243886104294,29.464434,5.5499983,98.03244049702825,First,non,InsideOvertaking, False
37, 20.985881630946764,20.690065553100197,22.329243886104294,30.517775,5.499998,97.95082933664737,First,non,InsideOvertaking, False
38, 22.922603896078808,20.710465932886876,22.329243886104294,31.571405,5.449998,97.8691513217264,First,non,InsideOvertaking, False
39, 22.7737164527905,20.72698188157303,22.329243886104294,32.625328,5.3999977,97.78738821920898,First,non,InsideOvertaking, False
40, 22.308480194505577,20.678013381851617,22.329243886104294,33.67954,5.3499975,97.70554610678056,First,non,InsideOvertaking, False
41, 22.574721970546758,20.615440927308857,22.329243886104294,34.73404,5.2999973,97.62363106212658,First,non,InsideOvertaking, False
42, 21.39563642508997,20.608239206290516,22.329243886104294,35.78883,5.249997,97.5416370075616,First,non,InsideOvertaking, False
43, 21.591652205056242,20.718397276254453,22.329243886104294,36.84391,5.199997,97.4595700207711,First,non,InsideOvertaking, False
44, 22.289074157821222,20.703926544463034,22.329243886104294,37.89928,5.1499968,97.37742402406957,First,non,InsideOvertaking, False
45, 21.66373113831835,20.7339041540953,22.329243886104294,38.95494,5.0999966,97.29520509514252,First,non,InsideOvertaking, False
46, 21.790636169441377,20.708612896824253,22.329243886104294,40.01089,5.0499964,97.21290107861898,First,non,InsideOvertaking, False
47, 21.512631329463737,20.664042759793993,22.329243886104294,41.06713,4.999996,97.13051805218446,First,non,InsideOvertaking, False
48, 22.429213997102323,20.63897769494497,22.329243886104294,42.12366,4.949996,97.0480620935244,First,non,InsideOvertaking, False
49, 21.825610722025754,20.73428795785925,22.329243886104294,43.18048,4.899996,96.96553928032424,First,non,InsideOvertaking, False
50, 22.595226635568178,20.69110561643984,22.329243886104294,44.23759,4.8499956,96.88291922415671,First,non,InsideOvertaking, False
51, 21.604272295229546,20.651650611602513,22.329243886104294,45.29499,4.7999954,96.80023839113456,First,non,InsideOvertaking, False
52, 22.570206388677395,20.646328110637707,22.329243886104294,46.35268,4.749995,96.71747854820138,First,non,InsideOvertaking, False
53, 21.777752031524603,20.609142732556457,22.329243886104294,47.41066,4.699995,96.6346275399863,First,non,InsideOvertaking, False
54, 21.20797594994546,20.72075566663643,22.329243886104294,48.46893,4.649995,96.5517157549166,First,non,InsideOvertaking, False
55, 21.53508213254379,20.656112036043044,22.329243886104294,49.52749,4.5999947,96.46871888225043,First,non,InsideOvertaking, False
56, 21.491418422087737,20.61050849363821,22.329243886104294,50.586338,4.5499945,96.38564299967327,First,non,InsideOvertaking, False
57, 21.29822812906045,20.659472437829454,22.329243886104294,51.645477,4.4999943,96.30248202949963,First,non,InsideOvertaking, False
58, 21.795682189393766,20.631701150335882,22.329243886104294,52.704906,4.449994,96.21925420478591,First,non,InsideOvertaking, False
59, 21.39788441333775,20.6822624045056,22.329243886104294,53.764626,4.399994,96.13594737016119,First,non,InsideOvertaking, False
60, 21.719210708183844,20.702779744065367,22.329243886104294,54.824635,4.3499937,96.05256760331092,First,non,InsideOvertaking, False
61, 21.198668696830566,20.697599572648418,22.329243886104294,55.88164,4.2999935,95.9699779355707,First,non,InsideOvertaking, False
62, 22.214289218947922,20.711051229272805,22.329243886104294,56.938934,4.2499933,95.88732141329038,First,non,InsideOvertaking, False
63, 21.109299755744008,20.66225876036231,22.329243886104294,57.993225,4.199993,95.80546106780557,First,non,InsideOvertaking, False
64, 21.109237828345012,20.62647919409092,22.329243886104294,59.044514,4.149993,95.72440297680171,First,non,InsideOvertaking, False
65, 22.7098239773271,20.71370617601464,22.329243886104294,60.096092,4.0999928,95.64326587588685,First,non,InsideOvertaking, False
66, 22.845972338763982,20.718114065298167,22.329243886104294,61.14796,4.0499926,95.56204368737552,First,non,InsideOvertaking, False
67, 22.053338545128142,20.65213298646348,22.329243886104294,62.20012,3.9999926,95.48075464432412,First,non,InsideOvertaking, False
68, 22.214702786127614,20.70212600859694,22.329243886104294,63.252567,3.9499927,95.39937443599078,First,non,InsideOvertaking, False
69, 21.56106749352913,20.65385224432246,22.329243886104294,64.305305,3.8999927,95.31793345080284,First,non,InsideOvertaking, False
70, 21.471400277423765,20.60700202333751,22.329243886104294,65.35833,3.8499928,95.23640737801841,First,non,InsideOvertaking, False
71, 21.724872418352177,20.683720889301714,22.329243886104294,66.411644,3.7999928,95.15480837300846,First,non,InsideOvertaking, False
72, 22.88946562100997,20.723156217130168,22.329243886104294,67.46525,3.7499928,95.0731303580875,First,non,InsideOvertaking, False
73, 21.866878407708924,20.706515262997108,22.329243886104294,68.51914,3.699993,94.99137333325554,First,non,InsideOvertaking, False
74, 20.978631396670064,20.629306997301242,22.329243886104294,69.57004,3.649993,94.91041856290452,First,non,InsideOvertaking, False
75, 22.087967924141342,20.60800951398831,22.329243886104294,70.62122,3.599993,94.82938478264252,First,non,InsideOvertaking, False
76, 22.87453743640943,20.618580019092548,22.329243886104294,71.6727,3.549993,94.74826591478404,First,non,InsideOvertaking, False
77, 22.596745754495753,20.731405610700126,22.329243886104294,72.724464,3.499993,94.66708019238548,First,non,InsideOvertaking, False
78, 22.21086608087596,20.641083474559316,22.329243886104294,73.77652,3.4499931,94.58581546007592,First,non,InsideOvertaking, False
79, 22.69409571110696,20.71195391935406,22.329243886104294,74.828865,3.3999932,94.50447779554082,First,non,InsideOvertaking, False
80, 22.469646084781708,20.65695952645566,22.329243886104294,75.8815,3.3499932,94.42305504340926,First,non,InsideOvertaking, False
81, 21.463065412715807,20.704185042139315,22.329243886104294,76.934425,3.2999933,94.34155328136669,First,non,InsideOvertaking, False
82, 21.947290769538576,20.70483838943574,22.329243886104294,77.98764,3.2499933,94.25998466478404,First,non,InsideOvertaking, False
83, 22.186102124620906,20.640061916723013,22.329243886104294,79.041145,3.1999934,94.17833096060492,First,non,InsideOvertaking, False
84, 22.23513274880253,20.708583150884095,22.329243886104294,80.09494,3.1499934,94.09660432420027,First,non,InsideOvertaking, False
85, 22.828543897013542,20.651053255093554,22.329243886104294,81.149025,3.0999935,94.01480475557007,First,non,InsideOvertaking, False
86, 21.926579004753524,20.6158039366143,22.329243886104294,82.2034,3.0499935,93.93292617702888,First,non,InsideOvertaking, False
87, 22.306926223819037,20.694623911951552,22.329243886104294,83.258064,2.9999936,93.85096251089121,First,non,InsideOvertaking, False
88, 22.676001702911183,20.623175382611176,22.329243886104294,84.31302,2.9499936,93.76893199021346,First,non,InsideOvertaking, False
89, 21.94495502422819,20.61083931576409,22.329243886104294,85.36826,2.8999937,93.68681638193925,First,non,InsideOvertaking, False
90, 21.709175178914602,20.670650067028447,22.329243886104294,86.4238,2.8499937,93.60462784143951,First,non,InsideOvertaking, False
91, 20.937421161927084,20.71113088120311,22.329243886104294,87.476326,2.7999938,93.52323547773524,First,non,InsideOvertaking, False
92, 22.12111009405313,20.64600870936137,22.329243886104294,88.529144,2.7499938,93.44176410411998,First,non,InsideOvertaking, False
93, 22.15863468678752,20.694450007351154,22.329243886104294,89.58225,2.6999938,93.36022587596464,First,non,InsideOvertaking, False
94, 21.751575277656084,20.70044648909672,22.329243886104294,90.63565,2.649994,93.27859648252738,First,non,InsideOvertaking, False
95, 22.27985368295049,20.6551943201582,22.329243886104294,91.68934,2.599994,93.19690023455003,First,non,InsideOvertaking, False
96, 21.86072198025332,20.62718374860098,22.329243886104294,92.74332,2.549994,93.11512497666169,First,non,InsideOvertaking, False
97, 21.058972610165682,20.65828499675759,22.329243886104294,93.79429,2.499994,93.0341519732543,First,non,InsideOvertaking, False
98, 22.388394664273275,20.602883743385938,22.329243886104294,94.84555,2.449994,92.95308780456497,First,non,InsideOvertaking, False
99, 21.16869948985073,20.720001178265843,22.329243886104294,95.8971,2.3999941,92.87195070365011,First,non,InsideOvertaking, False
100, 22.699862973566937,20.637798148781105,22.329243886104294,96.948944,2.3499942,92.79074674819516,First,non,InsideOvertaking, False
101, 22.85785291659633,20.623614749341073,22.329243886104294,98.001076,2.2999942,92.70945770514376,First,non,InsideOvertaking, False
102, 21.985440106430634,20.6562096873497,22.329243886104294,99.0535,2.2499943,92.62809572986681,First,non,InsideOvertaking, False
103, 22.155828092050704,20.611470245925076,22.329243886104294,100.10621,2.1999943,92.54665474467886,First,non,InsideOvertaking, False
104, 21.398235101365835,20.637715430548646,22.329243886104294,101.25787,2.1499944,92.4651347495799,First,non,InsideOvertaking, False
105, 20.60134812197776,20.60134812197776,22.329243886104294,102.407555,2.1499944,92.3844170089619,First,non,non, False
106, 20.603689497151578,20.603689497151578,22.329243886104294,103.553955,2.1499944,92.30448936745394,First,non,non, False
107, 20.724854691543047,20.724854691543047,22.329243886104294,104.697075,2.1499944,92.22533359199963,First,non,non, False
108, 20.605324814289624,20.605324814289624,22.329243886104294,105.83691,2.1499944,92.14696791565534,First,non,non, False
109, 20.645656767588186,20.645656767588186,22.329243886104294,106.97346,2.1499944,92.06938626073563,First,non,non, False
110, 20.608845926178073,20.608845926178073,22.329243886104294,108.10673,2.1499944,91.99257647186955,First,non,non, False
111, 20.628067603074317,20.628067603074317,22.329243886104294,109.23672,2.1499944,91.91653854905712,First,non,non, False
112, 20.6996930777448,20.6996930777448,22.329243886104294,110.36703,2.1499944,91.84042769401917,First,non,non, False
113, 20.71780068561699,20.71780068561699,22.329243886104294,111.49765,2.1499944,91.76424998444112,First,non,non, False
114, 20.70969195207375,20.70969195207375,22.329243886104294,112.62859,2.1499944,91.68798110958114,First,non,non, False
115, 20.652311767961844,20.652311767961844,22.329243886104294,113.756256,2.1499944,91.61248410077482,First,non,non, False
116, 20.6717525360019,20.6717525360019,22.329243886104294,114.88423,2.1499944,91.53692023742842,First,non,non, False
117, 20.625555030142877,20.625555030142877,22.329243886104294,116.00893,2.1499944,91.46212216245021,First,non,non, False
118, 20.705425051207765,20.705425051207765,22.329243886104294,117.13394,2.1499944,91.38723899987552,First,non,non, False
119, 20.683830583529947,20.683830583529947,22.329243886104294,118.25927,2.1499944,91.31229506044622,First,non,non, False
120, 20.615555515345722,20.615555515345722,22.329243886104294,119.38492,2.1499944,91.23727211110592,First,non,non, False
121, 20.723850139822385,20.723850139822385,22.329243886104294,120.51088,2.1499944,91.16217622954008,First,non,non, False
122, 20.631395441248362,20.631395441248362,22.329243886104294,121.63716,2.1499944,91.08700133806323,First,non,non, False
123, 20.670178647697995,20.670178647697995,22.329243886104294,122.763756,2.1499944,91.01176566973176,First,non,non, False
124, 20.694822521992034,20.694822521992034,22.329243886104294,123.89067,2.1499944,90.93643883611837,First,non,non, False
125, 20.672175555154606,20.672175555154606,22.329243886104294,125.0179,2.1499944,90.8610451479649,First,non,non, False
126, 20.6290272549741,20.6290272549741,22.329243886104294,126.14545,2.1499944,90.78559068295681,First,non,non, False
127, 20.705326762880894,20.705326762880894,22.329243886104294,127.27331,2.1499944,90.71004505266679,First,non,non, False
128, 20.647300267162,20.647300267162,22.329243886104294,128.40149,2.1499944,90.6344325678367,First,non,non, False
129, 20.626594374702133,20.626594374702133,22.329243886104294,129.52638,2.1499944,90.55958587137478,First,non,non, False
130, 20.623226685590883,20.623226685590883,22.329243886104294,130.6516,2.1499944,90.4846540873164,First,non,non, False
131, 20.693612447090107,20.693612447090107,22.329243886104294,131.77713,2.1499944,90.40966152640341,First,non,non, False
132, 20.640474783629017,20.640474783629017,22.329243886104294,132.90298,2.1499944,90.33459603326487,First,non,non, False
133, 20.627574951177674,20.627574951177674,22.329243886104294,134.02914,2.1499944,90.25945153021533,First,non,non, False
134, 20.616611517489172,20.616611517489172,22.329243886104294,135.15562,2.1499944,90.18422801725478,First,non,non, False
135, 20.719751867808238,20.719751867808238,22.329243886104294,136.28242,2.1499944,90.10894372743962,First,non,non, False
136, 20.66707640057886,20.66707640057886,22.329243886104294,137.40955,2.1499944,90.03356827234254,First,non,non, False
137, 20.721385228537752,20.721385228537752,22.329243886104294,138.53697,2.1499944,89.95813204039084,First,non,non, False
138, 20.706287678132036,20.706287678132036,22.329243886104294,139.66472,2.1499944,89.88262287621359,First,non,non, False
139, 20.612542753232766,20.612542753232766,22.329243886104294,140.78918,2.1499944,89.8078673450336,First,non,non, False
140, 20.720730837386398,20.720730837386398,22.329243886104294,141.91397,2.1499944,89.73304495931355,First,non,non, False
141, 20.631707484747082,20.631707484747082,22.329243886104294,143.03908,2.1499944,89.6581557190534,First,non,non, False
142, 20.63935254031806,20.63935254031806,22.329243886104294,144.16449,2.1499944,89.58318746888224,First,non,non, False
143, 20.60479360002618,20.60479360002618,22.329243886104294,145.29022,2.1499944,89.50814628648556,First,non,non, False
144, 20.68448867803845,20.68448867803845,22.329243886104294,146.41628,2.1499944,89.43302609417786,First,non,non, False
145, 20.632931990168967,20.632931990168967,22.329243886104294,147.54265,2.1499944,89.35783296964463,First,non,non, False
146, 20.668660948608114,20.668660948608114,22.329243886104294,148.66933,2.1499944,89.28256691288586,First,non,non, False
