turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 20.036353636977168,20.036353636977168,22.110536027972763,0.06055111,3,99.97907496210354,First,non,non, False
2, 19.966570407179745,19.966570407179745,22.110536027972763,0.18165334,3,99.96460871909981,First,non,non, False
3, 19.952631412857663,19.952631412857663,22.110536027972763,0.36330667,3,99.95540789703824,First,non,non, False
4, 19.9930284695877,19.9930284695877,22.110536027972763,0.6055111,3,99.9502882316931,First,non,non, False
5, 19.942646618189592,19.942646618189592,22.110536027972763,0.90826666,3,99.9480563491138,First,non,non, False
6, 20.03013374501775,20.03013374501775,22.110536027972763,1.2715733,3,99.94753709479944,First,non,non, False
7, 20.022884379474213,20.022884379474213,22.110536027972763,1.6954311,3,99.94753709479944,First,non,non, False
8, 19.978866235512655,19.978866235512655,22.110536027972763,2.17984,3,99.94687208488806,First,non,non, False
9, 20.046805849937222,20.046805849937222,22.110536027972763,2.7248,3,99.94433958138993,First,non,non, False
10, 20.037308747028362,20.037308747028362,22.110536027972763,3.3303113,3,99.9387644298041,First,non,non, False
11, 19.95735657377339,19.95735657377339,22.110536027972763,3.9963737,3,99.92895325618004,First,non,non, False
12, 19.98448963710488,19.98448963710488,22.110536027972763,4.722987,3,99.9137309060168,First,non,non, False
13, 20.024950209650186,20.024950209650186,22.110536027972763,5.510152,3,99.89189489563898,First,non,non, False
14, 20.0599789784849,20.0599789784849,22.110536027972763,6.3578672,3,99.8622700705457,First,non,non, False
15, 20.05856552846199,20.05856552846199,22.110536027972763,7.266134,3,99.82366305678637,First,non,non, False
16, 19.979750653342485,19.979750653342485,22.110536027972763,8.234952,3,99.77488048041045,First,non,non, False
17, 20.020298956392075,20.020298956392075,22.110536027972763,9.26432,3,99.71474718691698,First,non,non, False
18, 20.015113389087766,20.015113389087766,22.110536027972763,10.290689,3,99.65519691581156,First,non,non, False
19, 20.270836786061995,20.0648130467009,22.110536027972763,11.312836,2.95,99.59624788654384,First,non,InsideOvertaking, False
20, 22.100449302524368,19.964404427796318,22.110536027972763,12.335534,2.9,99.53717132112872,First,non,InsideOvertaking, False
21, 21.190201648463805,19.954772990135574,22.110536027972763,13.358785,2.8500001,99.47800365846548,First,non,InsideOvertaking, False
22, 19.982354732319173,19.982354732319173,22.110536027972763,14.380256,2.8500001,99.41940990846548,First,non,non, False
23, 20.019920298825085,20.019920298825085,22.110536027972763,15.398726,2.8500001,99.36140829057835,First,non,non, False
