turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 18.80208093895022,18.80208093895022,20.24502676246015,0.06028953,8,99.99244435153496,First,non,non, False
2, 18.795945647537827,18.795945647537827,20.24502676246015,0.18086858,8,99.98770434686787,First,non,non, False
3, 18.80894280192049,18.80894280192049,20.24502676246015,0.3617372,8,99.98513178023231,First,non,non, False
4, 18.829883932933686,18.829883932933686,20.24502676246015,0.6028953,8,99.98405818943165,First,non,non, False
5, 18.853810195666025,18.853810195666025,20.24502676246015,0.904343,8,99.98384549691454,First,non,non, False
6, 18.790699540549987,18.790699540549987,20.24502676246015,1.2660801,8,99.98383536869945,First,non,non, False
7, 18.757460648310584,18.757460648310584,20.24502676246015,1.6881068,8,99.98336947080482,First,non,non, False
8, 18.790038914023057,18.790038914023057,20.24502676246015,2.170423,8,99.98179959746422,First,non,non, False
9, 18.771923426481433,18.771923426481433,20.24502676246015,2.713029,8,99.97844715826592,First,non,non, False
10, 18.84403121951511,18.84403121951511,20.24502676246015,3.3159242,8,99.97269433208878,First,non,non, False
11, 18.79755954290752,18.79755954290752,20.24502676246015,3.979109,8,99.96387265673616,First,non,non, False
12, 18.857147176016277,18.857147176016277,20.24502676246015,4.7025833,8,99.9513136700114,First,non,non, False
13, 18.788147039067788,18.788147039067788,20.24502676246015,5.486347,8,99.9343691661481,First,non,non, False
14, 18.789188628550846,18.789188628550846,20.24502676246015,6.3304005,8,99.9124010675949,First,non,non, False
15, 18.873874598557993,18.873874598557993,20.24502676246015,7.2347436,8,99.88473078394006,First,non,non, False
16, 18.855992843909167,18.855992843909167,20.24502676246015,8.199376,8,99.85072023763223,First,non,non, False
17, 18.757525285991772,18.757525285991772,20.24502676246015,9.161009,8,99.81704392242273,First,non,non, False
18, 20.579355952517425,18.843250792381177,20.24502676246015,10.121631,7.95,99.78333722256794,First,non,InsideOvertaking, False
19, 20.569164383133497,18.834279156734578,20.24502676246015,11.082542,7.8999996,99.74959000985272,First,non,InsideOvertaking, False
20, 20.54905026700981,18.858978309733043,20.24502676246015,12.043744,7.8499994,99.71581241249223,First,non,InsideOvertaking, False
21, 19.24096970208469,18.79182914760179,20.24502676246015,13.001942,7.799999,99.68236904623004,First,non,InsideOvertaking, False
22, 20.325893837285907,18.863811177485495,20.24502676246015,13.960429,7.749999,99.64888516710745,First,non,InsideOvertaking, False
23, 19.293199165402097,18.837769949458096,20.24502676246015,14.919207,7.699999,99.61538103155465,First,non,InsideOvertaking, False
24, 19.82234350493653,18.76296890280679,20.24502676246015,15.878274,7.6499987,99.58184651135656,First,non,InsideOvertaking, False
25, 19.406260921482797,18.81304174322257,20.24502676246015,16.837631,7.5999985,99.54827147829806,First,non,InsideOvertaking, False
26, 19.64708143673846,18.79640419734315,20.24502676246015,17.797277,7.5499983,99.51466606059428,First,non,InsideOvertaking, False
27, 19.16976491388647,18.75934187016285,20.24502676246015,18.75392,7.499998,99.48139487398879,First,non,InsideOvertaking, False
28, 20.219426753202146,18.7840830062758,20.24502676246015,19.710852,7.449998,99.44808317452292,First,non,InsideOvertaking, False
29, 20.4550046577274,18.798008964982554,20.24502676246015,20.668074,7.3999977,99.41474109041174,First,non,InsideOvertaking, False
30, 19.36409621075354,18.799898859729183,20.24502676246015,21.625586,7.3499975,99.38137874987035,First,non,InsideOvertaking, False
31, 19.326050045019915,18.816219929139493,20.24502676246015,22.583387,7.2999973,99.34797589646857,First,non,InsideOvertaking, False
32, 20.846492786755537,18.86185196740503,20.24502676246015,23.54148,7.249997,99.31454265842149,First,non,InsideOvertaking, False
33, 19.57758735356071,18.77234285927266,20.24502676246015,24.49986,7.199997,99.2810790357291,First,non,InsideOvertaking, False
34, 20.436636106857534,18.776425355158615,20.24502676246015,25.458532,7.1499968,99.24758502839141,First,non,InsideOvertaking, False
35, 19.53045276553754,18.76661275393947,20.24502676246015,26.417494,7.0999966,99.21405050819332,First,non,InsideOvertaking, False
36, 19.665126341982926,18.86812125423283,20.24502676246015,27.376745,7.0499964,99.18049573156503,First,non,InsideOvertaking, False
37, 20.260432425478594,18.85894082407886,20.24502676246015,28.336287,6.999996,99.14690044207633,First,non,InsideOvertaking, False
38, 19.086164519765155,18.789867566810265,20.24502676246015,29.292824,6.949996,99.11363938368595,First,non,InsideOvertaking, False
39, 20.617279452956023,18.80574316899347,20.24502676246015,30.249651,6.899996,99.08033781243518,First,non,InsideOvertaking, False
40, 20.76069169464338,18.80989388074547,20.24502676246015,31.206768,6.8499956,99.0470159847542,First,non,InsideOvertaking, False
41, 20.234366195445688,18.774892000610254,20.24502676246015,32.164177,6.7999954,99.01365364421282,First,non,InsideOvertaking, False
42, 19.320093452649704,18.8607388975828,20.24502676246015,33.121876,6.749995,98.98026091902614,First,non,InsideOvertaking, False
43, 20.068602382697627,18.82137558191285,20.24502676246015,34.079865,6.699995,98.94684793740925,First,non,InsideOvertaking, False
44, 19.487328237569344,18.876282997397514,20.24502676246015,35.038143,6.649995,98.91339444293196,First,non,InsideOvertaking, False
45, 20.730217809287574,18.755461686004224,20.24502676246015,35.99671,6.5999947,98.87990043559428,First,non,InsideOvertaking, False
46, 19.656840952146695,18.86855961353739,20.24502676246015,36.95557,6.5499945,98.84638617182638,First,non,InsideOvertaking, False
47, 19.770048234155407,18.80880908538626,20.24502676246015,37.91472,6.4999943,98.81284152341318,First,non,InsideOvertaking, False
48, 19.304765604559318,18.772427707396673,20.24502676246015,38.874157,6.449994,98.77925636213959,First,non,InsideOvertaking, False
49, 19.47301334793631,18.774987814340896,20.24502676246015,39.833885,6.399994,98.7456408162207,First,non,InsideOvertaking, False
50, 19.56348579159278,18.78344260083628,20.24502676246015,40.793903,6.3499937,98.7119948856565,First,non,InsideOvertaking, False
51, 19.40198682741583,18.848482015312,20.24502676246015,41.75421,6.2999935,98.678318570447,First,non,InsideOvertaking, False
52, 19.026522040092654,18.83366082610701,20.24502676246015,42.711514,6.2499933,98.64497648633582,First,non,InsideOvertaking, False
53, 20.114084405386034,18.782098244271694,20.24502676246015,43.669106,6.199993,98.61159388936424,First,non,InsideOvertaking, False
54, 20.185873971774924,18.86966069619856,20.24502676246015,44.626987,6.149993,98.57819103596245,First,non,InsideOvertaking, False
55, 20.275378771582893,18.801381013030877,20.24502676246015,45.58516,6.0999928,98.54474766970027,First,non,InsideOvertaking, False
56, 19.41323347646859,18.790239045222293,20.24502676246015,46.54362,6.0499926,98.51127391879278,First,non,InsideOvertaking, False
57, 20.083114847048122,18.819781642211428,20.24502676246015,47.502373,5.9999924,98.47776978323999,First,non,InsideOvertaking, False
58, 19.046084289840536,18.826046823002592,20.24502676246015,48.458122,5.949992,98.44458975057042,First,non,InsideOvertaking, False
59, 19.081091749402564,18.80322443891965,20.24502676246015,49.410866,5.899992,98.41173382078406,First,non,InsideOvertaking, False
60, 20.487117753036898,18.874683687370815,20.24502676246015,50.3639,5.849992,98.37885763456751,First,non,InsideOvertaking, False
61, 19.088677864835844,18.77738491598144,20.24502676246015,51.317223,5.7999916,98.34594093549056,First,non,InsideOvertaking, False
62, 19.502142328651672,18.79781738282423,20.24502676246015,52.270836,5.7499914,98.3130039799834,First,non,InsideOvertaking, False
63, 20.773105606563867,18.877614043065925,20.24502676246015,53.22474,5.699991,98.28002651161584,First,non,InsideOvertaking, False
64, 19.827488442889525,18.86798796749213,20.24502676246015,54.178932,5.649991,98.24701865860298,First,non,InsideOvertaking, False
65, 20.42593128520292,18.87707941488336,20.24502676246015,55.133415,5.599991,98.21397029272973,First,non,InsideOvertaking, False
66, 20.62693444473522,18.87638478545541,20.24502676246015,56.08819,5.5499907,98.18091179864136,First,non,InsideOvertaking, False
67, 19.72002745117996,18.785862480227213,20.24502676246015,57.04325,5.4999905,98.14780266347749,First,non,InsideOvertaking, False
68, 19.783264335114396,18.7623910029449,20.24502676246015,57.998604,5.4499903,98.11467327188342,First,non,InsideOvertaking, False
69, 20.821905518462724,18.84304103546732,20.24502676246015,58.954247,5.39999,98.08150336742895,First,non,InsideOvertaking, False
70, 20.02538010062161,18.768767984451493,20.24502676246015,59.91018,5.34999,98.04830307832918,First,non,InsideOvertaking, False
71, 20.241934608094972,18.805472640561863,20.24502676246015,60.8664,5.2999897,98.01508253279921,First,non,InsideOvertaking, False
72, 20.21566144431733,18.759015650353813,20.24502676246015,61.822914,5.2499895,97.98182147440883,First,non,InsideOvertaking, False
73, 19.155621305739874,18.81468172348483,20.24502676246015,62.776424,5.1999893,97.94888451890168,First,non,InsideOvertaking, False
74, 19.45654011043498,18.860758636105462,20.24502676246015,63.730225,5.149989,97.91591717874923,First,non,InsideOvertaking, False
75, 20.155706110696396,18.835464757830124,20.24502676246015,64.68431,5.099989,97.88291945395146,First,non,InsideOvertaking, False
76, 20.01497349693532,18.86836655028236,20.24502676246015,65.63869,5.0499887,97.8499014727235,First,non,InsideOvertaking, False
77, 19.620660544527023,18.7597564150395,20.24502676246015,66.59335,4.9999886,97.81683285042004,First,non,InsideOvertaking, False
78, 20.52587546651581,18.796663268525666,20.24502676246015,67.54831,4.9499884,97.78374397168638,First,non,InsideOvertaking, False
79, 19.17536986135447,18.866280950683194,20.24502676246015,68.503555,4.899988,97.7506247083074,First,non,InsideOvertaking, False
80, 20.9440528075557,18.870341003188155,20.24502676246015,69.45909,4.849988,97.71747506028314,First,non,InsideOvertaking, False
81, 19.129294753262773,18.759763433879137,20.24502676246015,70.41163,4.799988,97.68463938692699,First,non,InsideOvertaking, False
82, 20.364652416330564,18.787302845900392,20.24502676246015,71.364456,4.7499876,97.65178345714064,First,non,InsideOvertaking, False
83, 20.065598015712727,18.83274010193717,20.24502676246015,72.31757,4.6999874,97.61889714270897,First,non,InsideOvertaking, False
84, 19.100593135670135,18.77377656115276,20.24502676246015,73.27098,4.649987,97.58597031541693,First,non,InsideOvertaking, False
85, 20.132917563480348,18.761560491491366,20.24502676246015,74.22468,4.599987,97.55302323169467,First,non,InsideOvertaking, False
86, 19.75250627744388,18.872439224420987,20.24502676246015,75.178665,4.549987,97.52003563511201,First,non,InsideOvertaking, False
87, 19.40747875515574,18.790519888012156,20.24502676246015,76.13294,4.4999866,97.48701765388405,First,non,InsideOvertaking, False
88, 19.48990574229524,18.87173593857753,20.24502676246015,77.08751,4.4499865,97.45396928801078,First,non,InsideOvertaking, False
89, 19.650964770751116,18.766301879119602,20.24502676246015,78.042366,4.3999863,97.42089053749223,First,non,InsideOvertaking, False
90, 19.326395616245613,18.863314561096438,20.24502676246015,78.99751,4.349986,97.38778140232836,First,non,InsideOvertaking, False
91, 19.975577135813086,18.75818560761799,20.24502676246015,79.95295,4.299986,97.35463175430408,First,non,InsideOvertaking, False
92, 20.828149943928466,18.874994278659575,20.24502676246015,80.908676,4.2499857,97.32146184984961,First,non,InsideOvertaking, False
93, 19.437611445025144,18.854779075988855,20.24502676246015,81.86469,4.1999855,97.28825143253474,First,non,InsideOvertaking, False
94, 20.664467942505713,18.79458980106877,20.24502676246015,82.821,4.1499853,97.25502075878967,First,non,InsideOvertaking, False
95, 20.07342094430835,18.806260076853444,20.24502676246015,83.777596,4.099985,97.2217495721842,First,non,InsideOvertaking, False
96, 19.190460166968453,18.846723096040737,20.24502676246015,84.73448,4.049985,97.18844800093342,First,non,InsideOvertaking, False
97, 20.68733761004872,18.828921580316994,20.24502676246015,85.69166,3.999985,97.15511604503733,First,non,InsideOvertaking, False
98, 20.17329757808245,18.79348655708498,20.24502676246015,86.649124,3.949985,97.12175370449596,First,non,InsideOvertaking, False
99, 20.847646931044775,18.876201008869838,20.24502676246015,87.60688,3.899985,97.08836097930927,First,non,InsideOvertaking, False
100, 19.550546947188312,18.79721057338888,20.24502676246015,88.564926,3.8499851,97.05492774126219,First,non,InsideOvertaking, False
101, 19.673940289851537,18.765709587619174,20.24502676246015,89.52326,3.7999852,97.0214641185698,First,non,InsideOvertaking, False
102, 18.77123407916052,18.77123407916052,20.24502676246015,90.4799,3.7999852,96.98833472697574,First,non,non, False
103, 18.7731688289865,18.7731688289865,20.24502676246015,91.43353,3.7999852,96.95552943826488,First,non,non, False
104, 18.836291960040047,18.836291960040047,20.24502676246015,92.38417,3.7999852,96.92305838065235,First,non,non, False
105, 18.864705628600067,18.864705628600067,20.24502676246015,93.33181,3.7999852,96.89090129770794,First,non,non, False
106, 18.843899818895622,18.843899818895622,20.24502676246015,94.27644,3.7999852,96.85906831764675,First,non,non, False
107, 18.8429187950651,18.8429187950651,20.24502676246015,95.21808,3.7999852,96.82754931225368,First,non,non, False
108, 18.84840070814546,18.84840070814546,20.24502676246015,96.16,3.7999852,96.79601005043041,First,non,non, False
109, 18.777387032661174,18.777387032661174,20.24502676246015,97.09893,3.7999852,96.76478476327526,First,non,non, False
110, 18.828496980803678,18.828496980803678,20.24502676246015,98.03815,3.7999852,96.7335189632597,First,non,non, False
111, 18.82002309316745,18.82002309316745,20.24502676246015,98.97765,3.7999852,96.70223290681393,First,non,non, False
112, 18.8381861505871,18.8381861505871,20.24502676246015,99.91745,3.7999852,96.67092659393798,First,non,non, False
