turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 18.53544297254059,18.53544297254059,20.615526492704483,0.060521785,5,99.99254603453839,First,non,non, False
2, 19.768047847037405,18.572362194171443,20.615526492704483,0.17075583,4.95,99.98788480546551,First,non,InsideOvertaking, False
3, 20.37907084053599,18.511137935395595,20.615526492704483,0.3453009,4.8999996,99.98536414081666,First,non,InsideOvertaking, False
4, 18.53509296983648,18.53509296983648,20.615526492704483,0.58738804,4.8999996,99.98433386915463,First,non,non, False
5, 20.233480627384186,18.49583546720751,20.615526492704483,0.8858377,4.8499994,99.98413381640471,First,non,InsideOvertaking, False
6, 19.774889212483902,18.584072989904293,20.615526492704483,1.2455096,4.799999,99.98411381112972,First,non,InsideOvertaking, False
7, 19.968121234268917,18.494748293992014,20.615526492704483,1.6662012,4.749999,99.98363368452993,First,non,InsideOvertaking, False
8, 19.023395823362073,18.521843731071527,20.615526492704483,2.1477869,4.699999,99.98203326253066,First,non,InsideOvertaking, False
9, 18.800328746138703,18.5229096958767,20.615526492704483,2.6901832,4.6499987,99.9786623736947,First,non,InsideOvertaking, False
10, 19.045523355111257,18.59730966754899,20.615526492704483,3.293332,4.5999985,99.97287084658483,First,non,InsideOvertaking, False
11, 18.72886980570517,18.511960159208638,20.615526492704483,3.9571915,4.5499983,99.96400850976386,First,non,InsideOvertaking, False
12, 18.89424923624603,18.491972868873432,20.615526492704483,4.68173,4.499998,99.95141518915707,First,non,InsideOvertaking, False
13, 20.13889336464553,18.558014628188573,20.615526492704483,5.4669228,4.449998,99.93446071860228,First,non,InsideOvertaking, False
14, 18.848041477642628,18.50331044661834,20.615526492704483,6.3127513,4.3999977,99.91246491874978,First,non,InsideOvertaking, False
15, 19.9415586606769,18.543606814910618,20.615526492704483,7.2192,4.3499975,99.88479762343735,First,non,InsideOvertaking, False
16, 20.011209571831913,18.51629105652039,20.615526492704483,8.186257,4.2999973,99.85080866122779,First,non,InsideOvertaking, False
17, 20.306435343062926,18.597794641502578,20.615526492704483,9.213912,4.249997,99.80982785540891,First,non,InsideOvertaking, False
18, 18.504341889561207,18.504341889561207,20.615526492704483,10.239782,4.249997,99.76921714717737,First,non,non, False
19, 18.53776237621083,18.53776237621083,20.615526492704483,11.262652,4.249997,99.72895653125816,First,non,non, False
20, 18.546378232410156,18.546378232410156,20.615526492704483,12.282523,4.249997,99.6890560102888,First,non,non, False
21, 18.524794234169022,18.524794234169022,20.615526492704483,13.299394,4.249997,99.64951558426927,First,non,non, False
22, 18.598803623781894,18.598803623781894,20.615526492704483,14.313264,4.249997,99.61033525319957,First,non,non, False
23, 18.50568021743469,18.50568021743469,20.615526492704483,15.324134,4.249997,99.57150501444221,First,non,non, False
24, 18.50451557196842,18.50451557196842,20.615526492704483,16.332005,4.249997,99.5330148653597,First,non,non, False
25, 18.539547336033984,18.539547336033984,20.615526492704483,17.336876,4.249997,99.49489481386452,First,non,non, False
26, 18.550698686870156,18.550698686870156,20.615526492704483,18.338747,4.249997,99.45710484940669,First,non,non, False
27, 18.601169287547055,18.601169287547055,20.615526492704483,19.337618,4.249997,99.4196749798987,First,non,non, False
28, 18.5504801278327,18.5504801278327,20.615526492704483,20.333488,4.249997,99.38258520006555,First,non,non, False
29, 18.560788583536258,18.560788583536258,20.615526492704483,21.326359,4.249997,99.34583550990726,First,non,non, False
30, 18.60849080899806,18.60849080899806,20.615526492704483,22.316229,4.249997,99.30943591206129,First,non,non, False
31, 18.561455567954223,18.561455567954223,20.615526492704483,23.303099,4.249997,99.27337640389018,First,non,non, False
32, 18.55297743113121,18.55297743113121,20.615526492704483,24.286968,4.249997,99.23764698275642,First,non,non, False
33, 18.486768452980698,18.486768452980698,20.615526492704483,25.26784,4.249997,99.2022576512975,First,non,non, False
34, 18.60225144217972,18.60225144217972,20.615526492704483,26.24571,4.249997,99.16720840951342,First,non,non, False
35, 18.568230006897796,18.568230006897796,20.615526492704483,27.220581,4.249997,99.1324892547667,First,non,non, False
36, 18.498444506355554,18.498444506355554,20.615526492704483,28.192451,4.249997,99.09811018969482,First,non,non, False
37, 18.536070882623704,18.536070882623704,20.615526492704483,29.161322,4.249997,99.0640512090228,First,non,non, False
38, 18.53814242660775,18.53814242660775,20.615526492704483,30.127192,4.249997,99.03033231802561,First,non,non, False
39, 18.55605947937315,18.55605947937315,20.615526492704483,31.090061,4.249997,98.9969335114283,First,non,non, False
40, 18.52805094567809,18.52805094567809,20.615526492704483,32.04993,4.249997,98.96386479186832,First,non,non, False
41, 18.530997395988425,18.530997395988425,20.615526492704483,33.0068,4.249997,98.9311161567082,First,non,non, False
42, 18.54145933521964,18.54145933521964,20.615526492704483,33.96067,4.249997,98.89869760858544,First,non,non, False
43, 18.566457088523627,18.566457088523627,20.615526492704483,34.91154,4.249997,98.86658914222502,First,non,non, False
44, 18.560693268519778,18.560693268519778,20.615526492704483,35.859413,4.249997,98.83481076290197,First,non,non, False
45, 18.60884081812419,18.60884081812419,20.615526492704483,36.804283,4.249997,98.80335246797875,First,non,non, False
46, 18.508699201599637,18.508699201599637,20.615526492704483,37.746155,4.249997,98.77220425481791,First,non,non, False
47, 18.548305178179067,18.548305178179067,20.615526492704483,38.685024,4.249997,98.74137612605692,First,non,non, False
48, 18.581642310228386,18.581642310228386,20.615526492704483,39.620895,4.249997,98.71084807642079,First,non,non, False
49, 18.52663272588887,18.52663272588887,20.615526492704483,40.553764,4.249997,98.68064011118452,First,non,non, False
50, 18.566733599678738,18.566733599678738,20.615526492704483,41.483635,4.249997,98.65074222771061,First,non,non, False
51, 18.58675666063297,18.58675666063297,20.615526492704483,42.410507,4.249997,98.62116442863655,First,non,non, False
52, 18.562968812173477,18.562968812173477,20.615526492704483,43.3379,4.249997,98.59151661110002,First,non,non, False
53, 18.608092567619078,18.608092567619078,20.615526492704483,44.265812,4.249997,98.56182878301351,First,non,non, False
54, 18.58527421807502,18.58527421807502,20.615526492704483,45.19425,4.249997,98.53207093646454,First,non,non, False
55, 18.556720239788234,18.556720239788234,20.615526492704483,46.119682,4.249997,98.5026331743154,First,non,non, False
56, 18.589840807607473,18.589840807607473,20.615526492704483,47.04564,4.249997,98.4731353963413,First,non,non, False
57, 18.51756351762527,18.51756351762527,20.615526492704483,47.968597,4.249997,98.44394770012957,First,non,non, False
58, 18.582604494388296,18.582604494388296,20.615526492704483,48.89208,4.249997,98.41470999073036,First,non,non, False
