turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 17.868163840148448,17.868163840148448,19.30677813669155,0.06027777,12,99.99246895513517,First,non,non, False
2, 17.957577315576447,17.957577315576447,19.30677813669155,0.18083331,12,99.98774438543444,First,non,non, False
3, 17.887753793797287,17.887753793797287,19.30677813669155,0.36166662,12,99.9851701006616,First,non,non, False
4, 17.98230680019438,17.98230680019438,19.30677813669155,0.6027777,12,99.98411010104925,First,non,non, False
5, 17.960546912481263,17.960546912481263,19.30677813669155,0.9041666,12,99.9839081963612,First,non,non, False
6, 17.94818208030389,17.94818208030389,19.30677813669155,1.2658331,12,99.98388800589238,First,non,non, False
7, 17.939811181161666,17.939811181161666,19.30677813669155,1.6877775,12,99.98342362510984,First,non,non, False
8, 17.913589419425474,17.913589419425474,19.30677813669155,2.1699996,12,99.98184876854293,First,non,non, False
9, 17.89018391432103,17.89018391432103,19.30677813669155,2.7124996,12,99.97853753165866,First,non,non, False
10, 17.872281990624856,17.872281990624856,19.30677813669155,3.3152773,12,99.9728034385176,First,non,non, False
11, 17.917330459543702,17.917330459543702,19.30677813669155,3.9783328,12,99.96400039411795,First,non,non, False
12, 17.926297624353985,17.926297624353985,19.30677813669155,4.701666,12,99.95149239869231,First,non,non, False
13, 17.87900661361498,17.87900661361498,19.30677813669155,5.485277,12,99.93462326200445,First,non,non, False
14, 17.915695233814823,17.915695233814823,19.30677813669155,6.329166,12,99.91273679381817,First,non,non, False
15, 17.971986339457384,17.971986339457384,19.30677813669155,7.2333326,12,99.88517680389725,First,non,non, False
16, 17.92261421055747,17.92261421055747,19.30677813669155,8.1345,12,99.85791967100843,First,non,non, False
17, 17.949850438441324,17.949850438441324,19.30677813669155,9.032666,12,99.8309552999173,First,non,non, False
18, 17.97128022998359,17.97128022998359,19.30677813669155,9.93111,12,99.80396064312296,First,non,non, False
19, 17.944626087258793,17.944626087258793,19.30677813669155,10.826554,12,99.77725874812633,First,non,non, False
20, 17.886866765114878,17.886866765114878,19.30677813669155,11.718999,12,99.75085971016178,First,non,non, False
21, 17.95643985471617,17.95643985471617,19.30677813669155,12.611721,12,99.72442029125963,First,non,non, False
22, 17.885520484659622,17.885520484659622,19.30677813669155,13.504721,12,99.69796068188866,First,non,non, False
23, 17.906739975297796,17.906739975297796,19.30677813669155,14.397999,12,99.6714808820489,First,non,non, False
24, 17.87674004331553,17.87674004331553,19.30677813669155,15.291554,12,99.64497079650592,First,non,non, False
25, 17.96997174361518,17.96997174361518,19.30677813669155,16.185389,12,99.61843042525973,First,non,non, False
26, 17.90820991305562,17.90820991305562,19.30677813669155,17.0795,12,99.59185976831033,First,non,non, False
27, 17.93220818129765,17.93220818129765,19.30677813669155,17.973888,12,99.56526892089212,First,non,non, False
28, 17.88562864050102,17.88562864050102,19.30677813669155,18.865276,12,99.53896074003721,First,non,non, False
29, 17.885152746584644,17.885152746584644,19.30677813669155,19.756943,12,99.5126424639479,First,non,non, False
30, 17.956173270864266,17.956173270864266,19.30677813669155,20.648888,12,99.48628380692097,First,non,non, False
31, 17.877865487701328,17.877865487701328,19.30677813669155,21.54111,12,99.45989486419083,First,non,non, False
32, 17.98128365495176,17.98128365495176,19.30677813669155,22.433609,12,99.43349582622629,First,non,non, False
33, 17.95645632455783,17.95645632455783,19.30677813669155,23.326387,12,99.40705640732413,First,non,non, False
34, 17.945892222088865,17.945892222088865,19.30677813669155,24.219442,12,99.38058670271877,First,non,non, False
35, 17.914563181360485,17.914563181360485,19.30677813669155,25.112776,12,99.354106902879,First,non,non, False
36, 17.885130212058126,17.885130212058126,19.30677813669155,26.006386,12,99.32757662686721,First,non,non, False
37, 17.925023705742916,17.925023705742916,19.30677813669155,26.900274,12,99.30103625562103,First,non,non, False
