turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 19.100573480100408,19.100573480100408,21.005741728241503,0.06054585,1,99.98885646497982,First,non,non, False
2, 20.336151687287973,19.059471928559933,21.005741728241503,0.17083275,0.95,99.98153553588807,First,non,InsideOvertaking, False
3, 20.893472113907606,19.016040131241795,21.005741728241503,0.3454529,0.9,99.97724247428143,First,non,InsideOvertaking, False
4, 19.037880151318102,19.037880151318102,21.005741728241503,0.5876363,0.9,99.97517271496606,First,non,non, False
5, 20.651350207574428,19.088685958543905,21.005741728241503,0.8862079,0.84999996,99.97452169274817,First,non,InsideOvertaking, False
6, 19.340443850540396,19.102641741624492,21.005741728241503,1.2460256,0.79999995,99.974490984153,First,non,InsideOvertaking, False
7, 19.948071352427068,19.04078977649018,21.005741728241503,1.6668868,0.74999994,99.9742760239867,First,non,InsideOvertaking, False
8, 20.895370552936246,19.005367068006453,21.005741728241503,2.148666,0.6999999,99.97309067221262,First,non,InsideOvertaking, False
9, 20.055235902880757,19.119462329086883,21.005741728241503,2.69128,0.6499999,99.97011193847982,First,non,InsideOvertaking, False
10, 19.610155458472505,19.069397931780326,21.005741728241503,3.2946703,0.5999999,99.96456596618968,First,non,InsideOvertaking, False
11, 19.254384244805095,18.993440803552087,21.005741728241503,3.958795,0.5499999,99.9556297649913,First,non,InsideOvertaking, False
12, 20.973719354518582,19.02525796454702,21.005741728241503,4.683623,0.49999988,99.94252333656699,First,non,InsideOvertaking, False
13, 19.967698127362294,19.01685535939266,21.005741728241503,5.470719,0.49999988,99.93167091902914,First,Overtaking,non, False
14, 20.06943580014359,19.113748381089135,21.005741728241503,6.318361,0.49999988,99.91734228851654,First,Overtaking,non, False
15, 19.946053062786447,18.996241012177567,21.005741728241503,7.2265487,0.49999988,99.89906453266333,First,Overtaking,non, False
16, 20.060666683581182,19.105396841505886,21.005741728241503,8.195282,0.49999988,99.87635859738467,First,Overtaking,non, False
17, 20.053195994248192,19.098281899283993,21.005741728241503,9.224562,0.49999988,99.84873928687665,First,Overtaking,non, False
18, 19.08862825270576,19.08862825270576,21.005741728241503,10.250841,0.49999988,99.80313702302918,First,non,non, False
19, 19.03240890199726,19.03240890199726,21.005741728241503,11.27412,0.49999988,99.75795853779525,First,non,non, False
20, 19.05177597766679,19.05177597766679,21.005741728241503,12.294399,0.49999988,99.71319154773678,First,non,non, False
21, 19.07208765573951,19.07208765573951,21.005741728241503,13.311679,0.49999988,99.6688421945728,First,non,non, False
22, 19.00795494934287,19.00795494934287,21.005741728241503,14.325958,0.49999988,99.62492276174139,First,non,non, False
23, 19.10531760525595,19.10531760525595,21.005741728241503,15.337237,0.49999988,99.5814086823664,First,non,non, False
24, 19.05764347737681,19.05764347737681,21.005741728241503,16.345516,0.49999988,99.53831223988591,First,non,non, False
25, 19.024386406872832,19.024386406872832,21.005741728241503,17.350796,0.49999988,99.49561500914281,First,non,non, False
26, 19.97692865998742,19.02564634284516,21.005741728241503,18.353075,0.49999988,99.4702558512403,First,Overtaking,non, False
27, 19.977273734527138,19.02597498526394,21.005741728241503,19.352354,0.49999988,99.44513007866117,First,Overtaking,non, False
28, 19.946122584571665,18.996307223401583,21.005741728241503,20.348633,0.49999988,99.42024997484351,First,Overtaking,non, False
29, 19.99902632722153,19.046691740210978,21.005741728241503,21.345459,0.49999988,99.39531459555454,First,Overtaking,non, False
30, 19.007173345843015,19.007173345843015,21.005741728241503,22.339285,0.49999988,99.35418350316579,First,non,non, False
31, 19.077226295870744,19.077226295870744,21.005741728241503,23.33011,0.49999988,99.31343933907635,First,non,non, False
32, 19.08983172756101,19.08983172756101,21.005741728241503,24.317936,0.49999988,99.27310667016236,First,non,non, False
33, 19.098413998188814,19.098413998188814,21.005741728241503,25.302761,0.49999988,99.23316707126673,First,non,non, False
34, 20.006484797160198,19.053795044914473,21.005741728241503,26.288132,0.49999988,99.20915294983325,First,Overtaking,non, False
35, 20.010782318012907,19.057887921917054,21.005741728241503,27.274048,0.49999988,99.1851081198046,First,Overtaking,non, False
36, 19.97944563148869,19.028043458560656,21.005741728241503,28.260511,0.49999988,99.1610080143046,First,Overtaking,non, False
37, 20.034189361365392,19.080180344157515,21.005741728241503,29.24752,0.49999988,99.13686491677136,First,Overtaking,non, False
