turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 19.460872136368092,19.460872136368092,21.046295035952664,0.06028953,8,99.9885709371379,First,non,non, False
2, 19.490721851658808,19.490721851658808,21.046295035952664,0.18086858,8,99.98105843432148,First,non,non, False
3, 19.454699659374544,19.454699659374544,21.046295035952664,0.3617372,8,99.97662008537723,First,non,non, False
4, 19.53100659374712,19.53100659374712,21.046295035952664,0.6028953,8,99.9744700636507,First,non,non, False
5, 19.49036184081028,19.49036184081028,21.046295035952664,0.904343,8,99.9737785361948,First,non,non, False
6, 19.5312497819374,19.5312497819374,21.046295035952664,1.2660801,8,99.97374081651539,First,non,non, False
7, 19.45234374405587,19.45234374405587,21.046295035952664,1.6881068,8,99.97354593150509,First,non,non, False
8, 19.537056950441052,19.537056950441052,21.046295035952664,2.170423,8,99.97237662144329,First,non,non, False
9, 19.51075033288321,19.51075033288321,21.046295035952664,2.713029,8,99.9694219132226,First,non,non, False
10, 19.503899196093727,19.503899196093727,21.046295035952664,3.3159242,8,99.96387083373567,First,non,non, False
11, 19.454851304442972,19.454851304442972,21.046295035952664,3.979109,8,99.95489983664864,First,non,non, False
12, 19.438122933652757,19.438122933652757,21.046295035952664,4.7025833,8,99.94171680869383,First,non,non, False
13, 19.52381261077715,19.52381261077715,21.046295035952664,5.486347,8,99.9234982035374,First,non,non, False
14, 19.474777104904664,19.474777104904664,21.046295035952664,6.3304005,8,99.89943304807197,First,non,non, False
15, 19.53035588743958,19.53035588743958,21.046295035952664,7.2347436,8,99.86870408257693,First,non,non, False
16, 19.5190998952621,19.5190998952621,21.046295035952664,8.199376,8,99.83050662055813,First,non,non, False
17, 19.473774628088314,19.473774628088314,21.046295035952664,9.2242985,8,99.78402340229496,First,non,non, False
18, 20.209125076417703,19.540711254647274,21.046295035952664,10.244997,7.95,99.73796138711857,First,non,InsideOvertaking, False
19, 20.2751406604308,19.53853359419658,21.046295035952664,11.2626915,7.8999996,99.69234572148191,First,non,InsideOvertaking, False
20, 19.965602199630876,19.529148727946584,21.046295035952664,12.277382,7.8499994,99.64715125893201,First,non,InsideOvertaking, False
21, 19.76228449524566,19.54282794369943,21.046295035952664,13.289069,7.799999,99.6023779994689,First,non,InsideOvertaking, False
22, 20.16344745658262,19.43751548710701,21.046295035952664,14.297752,7.749999,99.55802594309257,First,non,InsideOvertaking, False
23, 20.921268229639317,19.466450089838105,21.046295035952664,15.3067255,7.699999,99.51364245365005,First,non,InsideOvertaking, False
24, 21.26931934082941,19.54235079556251,21.046295035952664,16.315989,7.6499987,99.46920867130166,First,non,InsideOvertaking, False
25, 21.055294980683843,19.47545918578387,21.046295035952664,17.325542,7.5999985,99.42474345588708,First,non,InsideOvertaking, False
26, 20.19585381839072,19.459983969435207,21.046295035952664,18.332092,7.5499983,99.3806994435593,First,non,InsideOvertaking, False
27, 20.310744595930306,19.546164278003527,21.046295035952664,19.338932,7.499998,99.33660513832561,First,non,InsideOvertaking, False
28, 21.115529781386982,19.51028158687575,21.046295035952664,20.346062,7.449998,99.29247940002574,First,non,InsideOvertaking, False
29, 21.005151646329967,19.436829409891192,21.046295035952664,21.353481,7.3999977,99.24830336882,First,non,InsideOvertaking, False
30, 21.02538660452699,19.46070031439696,21.046295035952664,22.36119,7.3499975,99.20408961793486,First,non,InsideOvertaking, False
31, 20.304123519345477,19.46820781350808,21.046295035952664,23.36919,7.2999973,99.15983814737028,First,non,InsideOvertaking, False
32, 20.807078492171147,19.445466344067032,21.046295035952664,24.37748,7.249997,99.11554895712631,First,non,InsideOvertaking, False
33, 21.273635551172234,19.495177341845817,21.046295035952664,25.386059,7.199997,99.07122204720291,First,non,InsideOvertaking, False
34, 19.835172235050432,19.491015105511078,21.046295035952664,26.391634,7.1499968,99.02731005375306,First,non,InsideOvertaking, False
35, 20.756409298761923,19.45493130361216,21.046295035952664,27.3975,7.0999966,98.98335405401056,First,non,InsideOvertaking, False
36, 21.379600710952438,19.485262088851467,21.046295035952664,28.403654,7.0499964,98.93936662120188,First,non,InsideOvertaking, False
37, 20.70327942885811,19.436622776986333,21.046295035952664,29.410099,6.999996,98.89532889548731,First,non,InsideOvertaking, False
38, 20.847519052083904,19.531762011805913,21.046295035952664,30.416834,6.949996,98.85125973670658,First,non,InsideOvertaking, False
39, 20.9670773397823,19.534395475500315,21.046295035952664,31.423859,6.899996,98.80714028501995,First,non,InsideOvertaking, False
40, 19.98915890982344,19.528017026294695,21.046295035952664,32.42788,6.8499956,98.76344832303334,First,non,InsideOvertaking, False
41, 19.999004104716313,19.471719130684974,21.046295035952664,33.428898,6.7999954,98.72017127752028,First,non,InsideOvertaking, False
42, 20.788491699395934,19.54267110716662,21.046295035952664,34.430206,6.749995,98.67686279894103,First,non,InsideOvertaking, False
43, 20.638822023642504,19.44770777946977,21.046295035952664,35.431805,6.699995,98.6335040274559,First,non,InsideOvertaking, False
44, 21.096094023610288,19.503513841528484,21.046295035952664,36.433693,6.649995,98.59010753629136,First,non,InsideOvertaking, False
45, 19.881579257428225,19.485720849672106,21.046295035952664,37.432575,6.5999947,98.54711967498713,First,non,InsideOvertaking, False
