turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 20.67816770608534,19.882853563543595,21.51096221986878,0.06029394,7,99.99315716321452,First,SpeedUp,non, False
2, 20.72378151337946,19.926712993634094,21.51096221986878,0.18088181,7,99.98866008349391,First,SpeedUp,non, False
3, 20.773995504447875,19.974995677353725,21.51096221986878,0.36176363,7,99.98600072254337,First,SpeedUp,non, False
4, 20.708975498239056,19.912476440614476,21.51096221986878,0.60293937,7,99.9847212186898,First,SpeedUp,non, False
5, 20.725516286497484,19.92838104470912,21.51096221986878,0.90440905,7,99.9843072615607,First,SpeedUp,non, False
6, 20.77861875818547,19.979441113639876,21.51096221986878,1.2661726,7,99.98427590117214,First,SpeedUp,non, False
7, 20.678072988880054,19.882762489307744,21.51096221986878,1.6882303,7,99.98416300377329,First,SpeedUp,non, False
8, 20.74116268892675,19.943425662429565,21.51096221986878,2.1705818,7,99.98346680314708,First,SpeedUp,non, False
9, 20.753208187832385,19.955007872915754,21.51096221986878,2.7132273,7,99.98169180515416,First,SpeedUp,non, False
10, 20.709328998595048,19.91281634480293,21.51096221986878,3.3161666,7,99.97836760396596,First,SpeedUp,non, False
11, 20.76488344048969,19.96623407739393,21.51096221986878,3.9794,7,99.97299870544316,First,SpeedUp,non, False
12, 20.77869660209819,19.97951596355595,21.51096221986878,4.702927,7,99.96510843167952,First,SpeedUp,non, False
13, 20.70977128743473,19.913241622533395,21.51096221986878,5.486748,7,99.95419501645794,First,SpeedUp,non, False
14, 20.67900864628971,19.88366215989395,21.51096221986878,6.3308635,7,99.93978805394991,First,SpeedUp,non, False
15, 20.782728896111244,19.983393169337734,21.51096221986878,7.2352724,7,99.92139205001607,First,SpeedUp,non, False
16, 20.706524637574447,19.910119843821583,21.51096221986878,8.199975,7,99.89851778259474,First,SpeedUp,non, False
17, 20.682562509046207,19.88707933562135,21.51096221986878,9.224972,7,99.870682301702,First,SpeedUp,non, False
18, 20.68494354576332,19.889368794003193,21.51096221986878,10.310263,7,99.83740265735389,First,SpeedUp,non, False
19, 20.684696140013237,19.88913090385888,21.51096221986878,11.392553,7,99.8044052565029,First,SpeedUp,non, False
20, 20.792753603887174,19.993032311429975,21.51096221986878,12.471844,7,99.77169637122672,First,SpeedUp,non, False
21, 20.753851180697506,19.955626135286064,21.51096221986878,13.548135,7,99.73925718529223,First,SpeedUp,non, False
22, 20.764429003944915,19.965797119177804,21.51096221986878,14.621426,7,99.70710024285485,First,SpeedUp,non, False
23, 20.70527400958626,19.908917316909868,21.51096221986878,15.691716,7,99.67521927183687,First,SpeedUp,non, False
24, 20.684868718575036,19.889296844783686,21.51096221986878,16.759007,7,99.64361427223828,First,SpeedUp,non, False
25, 20.79072925424559,19.99108582138999,21.51096221986878,17.823298,7,99.6122852440591,First,SpeedUp,non, False
26, 20.741927691227104,19.944161241564522,21.51096221986878,18.884588,7,99.58123845937702,First,SpeedUp,non, False
