turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 18.57725215146651,18.57725215146651,20.144474388624012,0.06027777,12,99.98862336306662,First,non,non, False
2, 18.587866193478938,18.587866193478938,20.144474388624012,0.18083331,12,99.98112868259922,First,non,non, False
3, 18.63222743684068,18.63222743684068,20.144474388624012,0.36166662,12,99.97671452242419,First,non,non, False
4, 18.576809546324696,18.576809546324696,20.144474388624012,0.6027777,12,99.97456692392768,First,non,non, False
5, 18.548819484328586,18.548819484328586,20.144474388624012,0.9041666,12,99.97387818971598,First,non,non, False
6, 18.566865287922568,18.566865287922568,20.144474388624012,1.2658331,12,99.97384062239533,First,non,non, False
7, 18.563781815960727,18.563781815960727,20.144474388624012,1.6877775,12,99.97364652457203,First,non,non, False
8, 18.546141276200455,18.546141276200455,20.144474388624012,2.1699996,12,99.97248193763224,First,non,non, False
9, 18.571227839676197,18.571227839676197,20.144474388624012,2.7124996,12,99.96954542540232,First,non,non, False
10, 18.59599156131225,18.59599156131225,20.144474388624012,3.3152773,12,99.96401676804834,First,non,non, False
11, 18.611187437020327,18.611187437020327,20.144474388624012,3.9783328,12,99.95509452939667,First,non,non, False
12, 18.521872950979617,18.521872950979617,20.144474388624012,4.701666,12,99.94197727327371,First,non,non, False
13, 18.568188296930682,18.568188296930682,20.144474388624012,5.485277,12,99.92385104106559,First,non,non, False
14, 18.63517538741432,18.63517538741432,20.144474388624012,6.329166,12,99.89988935171829,First,non,non, False
15, 18.516891114621455,18.516891114621455,20.144474388624012,7.2333326,12,99.86930955271848,First,non,non, False
16, 18.523136993469215,18.523136993469215,20.144474388624012,8.197777,12,99.83129142423222,First,non,non, False
17, 18.583713204402876,18.583713204402876,20.144474388624012,9.159222,12,99.79365523017248,First,non,non, False
18, 18.61225822906375,18.61225822906375,20.144474388624012,10.117666,12,99.75640723175931,First,non,non, False
19, 18.524619204030063,18.524619204030063,20.144474388624012,11.073111,12,99.71955995143297,First,non,non, False
20, 18.57980537337057,18.57980537337057,20.144474388624012,12.025555,12,99.68307582187279,First,non,non, False
21, 18.568656623796148,18.568656623796148,20.144474388624012,12.974999,12,99.64698614917933,First,non,non, False
22, 18.572154134195248,18.572154134195248,20.144474388624012,13.921444,12,99.61126588847215,First,non,non, False
23, 18.586711077211262,18.586711077211262,20.144474388624012,14.864888,12,99.57592756219145,First,non,non, False
24, 18.572559393311092,18.572559393311092,20.144474388624012,15.805332,12,99.54096490911714,First,non,non, False
25, 18.58689536209672,18.58689536209672,20.144474388624012,16.742777,12,99.50638419046932,First,non,non, False
26, 18.63673412440352,18.63673412440352,20.144474388624012,17.677221,12,99.47216036136757,First,non,non, False
27, 18.559704776974428,18.559704776974428,20.144474388624012,18.608665,12,99.4383122054722,First,non,non, False
28, 18.63497591949096,18.63497591949096,20.144474388624012,19.540388,12,99.4044327434763,First,non,non, False
29, 18.592563931322182,18.592563931322182,20.144474388624012,20.46911,12,99.37091643224659,First,non,non, False
30, 18.589462643184262,18.589462643184262,20.144474388624012,21.39811,12,99.33736881491633,First,non,non, False
31, 18.63979344773643,18.63979344773643,20.144474388624012,22.327387,12,99.30378363026544,First,non,non, False
32, 19.829530546276786,18.60665866723281,20.144474388624012,23.255596,11.95,99.27016713951402,First,non,InsideOvertaking, False
33, 19.40473932309419,18.58126166110655,20.144474388624012,24.184084,11.9,99.23651308144194,First,non,InsideOvertaking, False
34, 18.793054595303033,18.520675506900382,20.144474388624012,25.11285,11.849999,99.20282771726934,First,non,InsideOvertaking, False
35, 19.93607638590826,18.56045316785905,20.144474388624012,26.041895,11.799999,99.16910478577611,First,non,InsideOvertaking, False
36, 19.23534613469174,18.552353473829527,20.144474388624012,26.971218,11.749999,99.13535680940245,First,non,InsideOvertaking, False
37, 20.43981713844185,18.58565566645776,20.144474388624012,27.900818,11.699999,99.10157752692825,First,non,InsideOvertaking, False
38, 19.966570933855586,18.517750492184106,20.144474388624012,28.830696,11.649999,99.06775441591331,First,non,InsideOvertaking, False
39, 20.098557140216435,18.588031567893296,20.144474388624012,29.760853,11.599998,99.03389373757774,First,non,InsideOvertaking, False
40, 19.71726263325531,18.62514307558297,20.144474388624012,30.691288,11.549998,99.00000801436174,First,non,InsideOvertaking, False
41, 18.797018756936744,18.586314866662878,20.144474388624012,31.622002,11.499998,98.96607846260498,First,non,InsideOvertaking, False
42, 20.117894582913245,18.618470879304667,20.144474388624012,32.552994,11.449998,98.9321176047477,First,non,InsideOvertaking, False
43, 18.904939880701203,18.586536601986598,20.144474388624012,33.484264,11.399998,98.89813170201,First,non,InsideOvertaking, False
44, 19.82224347312662,18.598431176899847,20.144474388624012,34.415813,11.3499975,98.86410823195166,First,non,InsideOvertaking, False
45, 19.10838473618961,18.60418260731506,20.144474388624012,35.34764,11.299997,98.83004093335256,First,non,InsideOvertaking, False
46, 19.52704382133208,18.595894755179486,20.144474388624012,36.279747,11.249997,98.79594858987305,First,non,InsideOvertaking, False
47, 20.434069907103417,18.536096380970584,20.144474388624012,37.212128,11.199997,98.76182494029301,First,non,InsideOvertaking, False
48, 20.059410710369498,18.638691541122867,20.144474388624012,38.144787,11.149997,98.72766372339233,First,non,InsideOvertaking, False
49, 20.62823530519259,18.592411862275462,20.144474388624012,39.077724,11.099997,98.69345867795089,First,non,InsideOvertaking, False
50, 19.79010620683184,18.61054337400778,20.144474388624012,40.01094,11.049996,98.65922858762903,First,non,InsideOvertaking, False
51, 19.82016434171938,18.580598229720593,20.144474388624012,40.944435,10.999996,98.62496719120664,First,non,InsideOvertaking, False
52, 19.987002791485292,18.63017525517995,20.144474388624012,41.87821,10.949996,98.59066822746361,First,non,InsideOvertaking, False
53, 20.263342216570145,18.52016160582138,20.144474388624012,42.81226,10.899996,98.55633169639995,First,non,InsideOvertaking, False
54, 20.466553860669794,18.55790303904148,20.144474388624012,43.74659,10.849996,98.52196385923575,First,non,InsideOvertaking, False
55, 18.868496009112437,18.577067968695474,20.144474388624012,44.6812,10.799995,98.4875521935308,First,non,InsideOvertaking, False
56, 20.11848197618847,18.51532185863069,20.144474388624012,45.616085,10.749995,98.45311548294544,First,non,InsideOvertaking, False
57, 20.583702708427225,18.58754957234561,20.144474388624012,46.55125,10.699995,98.41865372747965,First,non,InsideOvertaking, False
58, 19.213437508431007,18.567810710052683,20.144474388624012,47.486694,10.649995,98.3841481434731,First,non,InsideOvertaking, False
59, 20.177783777787074,18.562690906786518,20.144474388624012,48.422413,10.599995,98.34960499214593,First,non,InsideOvertaking, False
60, 19.068685387640226,18.535774018756836,20.144474388624012,49.35841,10.549994,98.31503053471822,First,non,InsideOvertaking, False
61, 18.89230955939628,18.638748750165956,20.144474388624012,50.294685,10.499994,98.28041850996986,First,non,InsideOvertaking, False
62, 19.497056693383534,18.57782808778135,20.144474388624012,51.23124,10.449994,98.24577517912098,First,non,InsideOvertaking, False
63, 20.47980306743334,18.572064072614687,20.144474388624012,52.16807,10.399994,98.21109428095147,First,non,InsideOvertaking, False
64, 19.099330854021115,18.574724814083037,20.144474388624012,53.105183,10.349994,98.17638207668142,First,non,InsideOvertaking, False
65, 19.722174252743407,18.60256973906205,20.144474388624012,54.042572,10.2999935,98.14163230509072,First,non,InsideOvertaking, False
66, 19.39952152960755,18.595343594009417,20.144474388624012,54.98024,10.249993,98.1068512273995,First,non,InsideOvertaking, False
67, 19.23937549256543,18.619388820549386,20.144474388624012,55.918186,10.199993,98.07203258238764,First,non,InsideOvertaking, False
68, 20.416953738105533,18.638850590172048,20.144474388624012,56.85641,10.149993,98.03718889249535,First,non,InsideOvertaking, False
69, 19.98983954140172,18.55786590716125,20.144474388624012,57.794914,10.099993,98.00230137406233,First,non,InsideOvertaking, False
70, 20.31884845980173,18.51446426426509,20.144474388624012,58.733696,10.049993,97.96737628830866,First,non,InsideOvertaking, False
71, 19.833309105020497,18.621051089223045,20.144474388624012,59.672756,9.999992,97.93241989645445,First,non,InsideOvertaking, False
72, 19.66007547796937,18.579666019020365,20.144474388624012,60.61209,9.949992,97.8974259372796,First,non,InsideOvertaking, False
73, 19.016715291161336,18.62097167277301,20.144474388624012,61.551704,9.899992,97.86240067200423,First,non,InsideOvertaking, False
74, 18.974663078554816,18.552675897387033,20.144474388624012,62.491596,9.849992,97.82735036184843,First,non,InsideOvertaking, False
75, 19.686551533778577,18.636618634127913,20.144474388624012,63.431767,9.799992,97.7922562231519,First,non,InsideOvertaking, False
76, 20.131165836521923,18.54577384396227,20.144474388624012,64.372215,9.749991,97.75712451713471,First,non,InsideOvertaking, False
77, 20.566627023228445,18.531201650866844,20.144474388624012,65.31294,9.699991,97.72195524379688,First,non,InsideOvertaking, False
78, 19.812561530691266,18.559927611345223,20.144474388624012,66.253944,9.649991,97.68676092557864,First,non,InsideOvertaking, False
79, 19.59581357122804,18.600236161440314,20.144474388624012,67.19523,9.599991,97.65152277881964,First,non,InsideOvertaking, False
80, 18.83868702242412,18.600386021813193,20.144474388624012,68.13351,9.549991,97.61666656648714,First,non,InsideOvertaking, False
81, 20.274847714945665,18.532173739534997,20.144474388624012,69.07207,9.49999,97.58177278683401,First,non,InsideOvertaking, False
82, 19.033864101593558,18.54471057935975,20.144474388624012,70.0109,9.44999,97.54684770108034,First,non,InsideOvertaking, False
83, 19.74490294142831,18.569159540858767,20.144474388624012,70.95002,9.39999,97.51187878678591,First,non,InsideOvertaking, False
84, 19.125076495604212,18.59098035940732,20.144474388624012,71.88941,9.34999,97.47688482761107,First,non,InsideOvertaking, False
85, 19.659835718018144,18.599918846917298,20.144474388624012,72.82908,9.29999,97.4418533011156,First,non,InsideOvertaking, False
86, 20.56667701263787,18.63016905476337,20.144474388624012,73.76903,9.2499895,97.40679046851959,First,non,InsideOvertaking, False
87, 19.65257499914103,18.578103147698858,20.144474388624012,74.70925,9.199989,97.37169006860293,First,non,InsideOvertaking, False
88, 20.63488673887471,18.630471294485382,20.144474388624012,75.64976,9.149989,97.33655836258575,First,non,InsideOvertaking, False
89, 19.751735859686942,18.578253935882394,20.144474388624012,76.59054,9.099989,97.30138282802783,First,non,InsideOvertaking, False
90, 19.00151670213666,18.563788374010066,20.144474388624012,77.5316,9.049989,97.26617598736937,First,non,InsideOvertaking, False
91, 19.374195052042527,18.59108935324259,20.144474388624012,78.47294,8.999989,97.23093784061038,First,non,InsideOvertaking, False
92, 19.89185953278067,18.551012051833474,20.144474388624012,79.41456,8.949988,97.19566212653075,First,non,InsideOvertaking, False
93, 19.472286984487834,18.62379712117233,20.144474388624012,80.35645,8.899988,97.16034884513047,First,non,InsideOvertaking, False
94, 20.11478649664713,18.580124375621264,20.144474388624012,81.29863,8.849988,97.12500425762967,First,non,InsideOvertaking, False
95, 19.129536038400726,18.54044874336584,20.144474388624012,82.24108,8.799988,97.08962836402834,First,non,InsideOvertaking, False
96, 19.005177207950197,18.531244672000422,20.144474388624012,83.183815,8.749988,97.05421490310637,First,non,InsideOvertaking, False
97, 19.983888812504496,18.63551937261247,20.144474388624012,84.12682,8.699987,97.01875761364364,First,non,InsideOvertaking, False
98, 20.28383560383013,18.623822719515015,20.144474388624012,85.07011,8.649987,96.98327527930051,First,non,InsideOvertaking, False
99, 19.513436432894263,18.63513313807595,20.144474388624012,86.01367,8.599987,96.94776163885683,First,non,InsideOvertaking, False
100, 19.462444823356332,18.596449449038147,20.144474388624012,86.95751,8.549987,96.91220416987241,First,non,InsideOvertaking, False
101, 20.46140688400489,18.60569451929435,20.144474388624012,87.901634,8.499987,96.87662165600757,First,non,InsideOvertaking, False
102, 19.40643401858535,18.62134380925115,20.144474388624012,88.84603,8.449986,96.84098905238187,First,non,InsideOvertaking, False
103, 20.376290363796794,18.63673604020746,20.144474388624012,89.79071,8.399986,96.80533140387574,First,non,InsideOvertaking, False
104, 20.18869531593209,18.62588015511189,20.144474388624012,90.735664,8.349986,96.76964244926909,First,non,InsideOvertaking, False
105, 20.49434318427692,18.60314226961106,20.144474388624012,91.6809,8.299986,96.7339159273418,First,non,InsideOvertaking, False
106, 19.24687910649045,18.619591490800882,20.144474388624012,92.62641,8.249986,96.69814557687376,First,non,InsideOvertaking, False
107, 19.166740300323415,18.583270464225404,20.144474388624012,93.572205,8.1999855,96.6623501815253,First,non,InsideOvertaking, False
108, 20.465771930482227,18.573070439292763,20.144474388624012,94.51827,8.149985,96.6265172188562,First,non,InsideOvertaking, False
109, 20.483442850203698,18.562577409481236,20.144474388624012,95.464615,8.099985,96.59064668886644,First,non,InsideOvertaking, False
110, 19.920452904289466,18.529476051721264,20.144474388624012,96.41124,8.049985,96.55474485277618,First,non,InsideOvertaking, False
111, 19.297873914231086,18.564862900716523,20.144474388624012,97.35814,7.9999847,96.51879918814515,First,non,InsideOvertaking, False
112, 19.338008128046997,18.553034156948744,20.144474388624012,98.30532,7.9499846,96.4828284786337,First,non,InsideOvertaking, False
113, 19.095017681243657,18.530954500030543,20.144474388624012,99.25278,7.8999844,96.44682020180163,First,non,InsideOvertaking, False
114, 19.488061772850365,18.583662317976337,20.144474388624012,100.200516,7.849984,96.4107743576489,First,non,InsideOvertaking, False
115, 19.49008022702806,18.526799997239568,20.144474388624012,101.14853,7.799984,96.37469720739566,First,non,InsideOvertaking, False
116, 19.406012898229186,18.627554990942865,20.144474388624012,102.096825,7.749984,96.33857622860165,First,non,InsideOvertaking, False
117, 19.515053109251777,18.541865037237308,20.144474388624012,103.045395,7.6999836,96.30243020492723,First,non,InsideOvertaking, False
118, 19.230933193253126,18.534804924332025,20.144474388624012,103.99425,7.6499834,96.26624035271206,First,non,InsideOvertaking, False
119, 20.49314553551671,18.51884329419797,20.144474388624012,104.943375,7.599983,96.23001919439636,First,non,InsideOvertaking, False
120, 19.82742265860182,18.620840062204454,20.144474388624012,105.892784,7.549983,96.19376672998013,First,non,InsideOvertaking, False
121, 19.574683901416762,18.570797350896225,20.144474388624012,106.84247,7.499983,96.15747043702315,First,non,InsideOvertaking, False
122, 19.966519029326076,18.58646767753127,20.144474388624012,107.79243,7.4499826,96.12114283796564,First,non,InsideOvertaking, False
123, 19.21512033891144,18.624466926487493,20.144474388624012,108.74267,7.3999825,96.0847839328076,First,non,InsideOvertaking, False
124, 19.09652777967355,18.590424930465034,20.144474388624012,109.693184,7.3499823,96.0483811991088,First,non,InsideOvertaking, False
125, 19.201045678235168,18.554843751297213,20.144474388624012,110.64398,7.299982,96.01194715930949,First,non,InsideOvertaking, False
126, 19.920679536696763,18.53928763712857,20.144474388624012,111.595055,7.249982,95.97548181340963,First,non,InsideOvertaking, False
127, 19.03410615855168,18.53156769147423,20.144474388624012,112.54313,7.1999817,95.93939214071617,First,non,InsideOvertaking, False
128, 18.84567692721408,18.5248599742382,20.144474388624012,113.4882,7.1499815,95.90368440244919,First,non,InsideOvertaking, False
129, 18.889828681783012,18.59528864897239,20.144474388624012,114.43026,7.0999813,95.86835859860871,First,non,InsideOvertaking, False
130, 20.490385673806177,18.594652420218527,20.144474388624012,115.3726,7.049981,95.83299522744758,First,non,InsideOvertaking, False
131, 19.281503878642553,18.58785548580611,20.144474388624012,116.315216,6.999981,95.79758802774572,First,non,InsideOvertaking, False
132, 19.65740916661856,18.60804477910527,20.144474388624012,117.25811,6.9499807,95.76215578316344,First,non,InsideOvertaking, False
133, 19.52166171876518,18.54301477873418,20.144474388624012,118.20129,6.8999805,95.7266859712605,First,non,InsideOvertaking, False
