turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 20.358836541234112,20.358836541234112,21.915075204200267,0.06019349,5,99.9739134532529,First,non,non, False
2, 20.32123211387761,20.32123211387761,21.915075204200267,0.18058047,5,99.95563183299224,First,non,non, False
3, 20.343834463893316,20.343834463893316,21.915075204200267,0.36116093,5,99.94376666172985,First,non,non, False
4, 20.3166361583094,20.3166361583094,21.915075204200267,0.6019349,5,99.9369294619776,First,non,non, False
5, 20.371579780577367,20.371579780577367,21.915075204200267,0.90290236,5,99.93376331255385,First,non,non, False
6, 20.438823807488177,20.438823807488177,21.915075204200267,1.2640634,5,99.93285869843278,First,non,non, False
7, 20.34309300427711,20.34309300427711,21.915075204200267,1.6854178,5,99.93283766089509,First,non,non, False
8, 20.430250545065274,20.430250545065274,21.915075204200267,2.1669657,5,99.9323327599903,First,non,non, False
9, 20.388979471139937,20.388979471139937,21.915075204200267,2.708707,5,99.92995551823029,First,non,non, False
10, 20.345376121752842,20.345376121752842,21.915075204200267,3.310642,5,99.92430693935803,First,non,non, False
11, 20.322156295791096,20.322156295791096,21.915075204200267,3.9727705,5,99.91404062096079,First,non,non, False
12, 20.40198944641383,20.40198944641383,21.915075204200267,4.695092,5,99.89773652924386,First,non,non, False
13, 20.3639678946087,20.3639678946087,21.915075204200267,5.4776077,5,99.87403774302564,First,non,non, False
14, 20.375912310320782,20.375912310320782,21.915075204200267,6.320317,5,99.84154526604911,First,non,non, False
15, 20.351546522170484,20.351546522170484,21.915075204200267,7.223219,5,99.79889165836384,First,non,non, False
16, 20.41055097437068,20.41055097437068,21.915075204200267,8.186315,5,99.74468844248169,First,non,non, False
17, 20.419428103021147,20.419428103021147,21.915075204200267,9.209604,5,99.67754714091447,First,non,non, False
18, 20.419650674655376,20.419650674655376,21.915075204200267,10.229894,5,99.61107904055363,First,non,non, False
19, 21.876637081878776,20.33055105773245,21.915075204200267,11.249151,4.95,99.54457938388626,First,non,InsideOvertaking, False
20, 21.237300557090187,20.42170010910215,21.915075204200267,12.268602,4.8999996,99.47802713337462,First,non,InsideOvertaking, False
21, 21.144804694153393,20.327002471540492,21.915075204200267,13.288247,4.8499994,99.41143280778759,First,non,InsideOvertaking, False
22, 21.664409897971932,20.332643599230085,21.915075204200267,14.308085,4.799999,99.34479640712516,First,non,InsideOvertaking, False
23, 21.583014507954772,20.41638631835323,21.915075204200267,15.328117,4.749999,99.27811793138733,First,non,InsideOvertaking, False
24, 20.550465508290202,20.335227363594356,21.915075204200267,16.348343,4.699999,99.2113973805741,First,non,InsideOvertaking, False
25, 22.412182659317267,20.408230815725666,21.915075204200267,17.368763,4.6499987,99.14463475468548,First,non,InsideOvertaking, False
26, 21.7067902797262,20.382860780133832,21.915075204200267,18.389376,4.5999985,99.07781953495261,First,non,InsideOvertaking, False
27, 21.136370969655374,20.406020159913286,21.915075204200267,19.410183,4.5499983,99.01096224014434,First,non,InsideOvertaking, False
28, 20.744232319393067,20.431488842945065,21.915075204200267,20.431183,4.499998,98.94406287026067,First,non,InsideOvertaking, False
29, 20.98327104720041,20.348193872530093,21.915075204200267,21.452377,4.449998,98.8771214253016,First,non,InsideOvertaking, False
30, 21.080783646676412,20.443655134384652,21.915075204200267,22.473766,4.3999977,98.81013790526713,First,non,InsideOvertaking, False
31, 22.435595363533725,20.325857163000347,21.915075204200267,23.495348,4.3499975,98.74311231015726,First,non,InsideOvertaking, False
32, 22.295281041390368,20.31605494750797,21.915075204200267,24.517124,4.2999973,98.67603412120314,First,non,InsideOvertaking, False
33, 20.333023008629063,20.333023008629063,21.915075204200267,25.537123,4.2999973,98.60963965222426,First,non,non, False
34, 20.39307453146488,20.39307453146488,21.915075204200267,26.554121,4.2999973,98.5439078656829,First,non,non, False
35, 20.377872723448768,20.377872723448768,21.915075204200267,27.571312,4.2999973,98.47815504160383,First,non,non, False
36, 20.427109534883567,20.427109534883567,21.915075204200267,28.588697,4.2999973,98.41233910491167,First,non,non, False
37, 20.392174995944135,20.392174995944135,21.915075204200267,29.606276,4.2999973,98.34649161191297,First,non,non, False
38, 20.378086940482866,20.378086940482866,21.915075204200267,30.624048,4.2999973,98.28059152507001,First,non,non, False
39, 20.356012759236314,20.356012759236314,21.915075204200267,31.642014,4.2999973,98.21464936315165,First,non,non, False
40, 21.485269117418262,20.38205328433809,21.915075204200267,32.658943,4.249997,98.14866512615791,First,non,InsideOvertaking, False
41, 22.495471966910127,20.33120037775441,21.915075204200267,33.676067,4.199997,98.08263881408875,First,non,InsideOvertaking, False
42, 22.414947627155488,20.36090546766647,21.915075204200267,34.693386,4.1499968,98.0165704269442,First,non,InsideOvertaking, False
43, 22.27703146248044,20.39324869838178,21.915075204200267,35.7109,4.0999966,97.95045996472426,First,non,InsideOvertaking, False
44, 22.624608490324935,20.444103239113257,21.915075204200267,36.728603,4.0499964,97.88429690866006,First,non,InsideOvertaking, False
45, 20.911432301222685,20.441258393627816,21.915075204200267,37.746502,3.9999964,97.81810229628931,First,non,InsideOvertaking, False
46, 20.71273711295869,20.389181862181946,21.915075204200267,38.764595,3.9499965,97.75185509007432,First,non,InsideOvertaking, False
47, 21.057436675320893,20.418102715109157,21.915075204200267,39.782883,3.8999965,97.68557632755278,First,non,InsideOvertaking, False
48, 21.436781859516667,20.435005174313467,21.915075204200267,40.801365,3.8499966,97.61923445241814,First,non,InsideOvertaking, False
49, 22.00860521873457,20.3744655051297,21.915075204200267,41.820038,3.7999966,97.55286102097695,First,non,InsideOvertaking, False
50, 21.411738826047714,20.352756701330478,21.915075204200267,42.838905,3.7499967,97.48644551446036,First,non,InsideOvertaking, False
51, 22.23843035646492,20.44120468098245,21.915075204200267,43.857967,3.6999967,97.41998793286837,First,non,InsideOvertaking, False
52, 21.541633087913773,20.33764752164413,21.915075204200267,44.877224,3.6499968,97.35347775743213,First,non,InsideOvertaking, False
