turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 20.83530870778537,20.83530870778537,22.382406734116554,0,4,100,First,non,non, False
2, 20.83530870778537,20.83530870778537,22.382406734116554,0,4,100,First,non,non, False
3, 21.71341570404279,20.878284330810377,22.382406734116554,0.060196437,4,99.98440853004291,First,SpeedUp,non, False
4, 21.642345104010833,20.80994721539503,22.382406734116554,0.18058932,4,99.97347983167919,First,SpeedUp,non, False
5, 21.731466681818173,20.89564104020978,22.382406734116554,0.36117864,4,99.96639661011265,First,SpeedUp,non, False
6, 21.721647031475587,20.886199068726526,22.382406734116554,0.60196435,4,99.96231013613198,First,SpeedUp,non, False
7, 21.609908277648994,20.77875795927788,22.382406734116554,0.90294653,4,99.9604135930794,First,SpeedUp,non, False
8, 21.629429953616075,20.797528801553916,22.382406734116554,1.2641251,4,99.95986872988198,First,SpeedUp,non, False
9, 21.735102207952238,20.899136738415613,22.382406734116554,1.6855001,4,99.95985825174355,First,SpeedUp,non, False
10, 21.62938965078812,20.79749004883473,22.382406734116554,2.1670716,4,99.9595543857296,First,SpeedUp,non, False
11, 21.659817998984657,20.826748075946785,22.382406734116554,2.7088394,4,99.95812935890558,First,SpeedUp,non, False
12, 21.68535619415111,20.851304032837607,22.382406734116554,3.310804,4,99.9547553983369,First,SpeedUp,non, False
13, 21.711206461201463,20.87616005884756,22.382406734116554,3.9729648,4,99.94862568736588,First,SpeedUp,non, False
14, 21.676476950649363,20.84276629870131,22.382406734116554,4.695322,4,99.93887054050428,First,SpeedUp,non, False
15, 21.730374819770645,20.89459117285639,22.382406734116554,5.4778757,4,99.92471457550965,First,SpeedUp,non, False
16, 21.68761806448877,20.853478908162277,22.382406734116554,6.320626,4,99.90528810689378,First,SpeedUp,non, False
17, 21.665270298020555,20.83199067117361,22.382406734116554,7.2235723,4,99.87978431799893,First,SpeedUp,non, False
18, 21.735183240055335,20.89921465389936,22.382406734116554,8.186715,4,99.84737543589056,First,SpeedUp,non, False
19, 21.731341788371402,20.895520950357117,22.382406734116554,9.210054,4,99.80724416577253,First,SpeedUp,non, False
20, 21.64635336420203,20.81380131173272,22.382406734116554,10.23359,4,99.76709193937768,First,SpeedUp,non, False
21, 21.69265112949199,20.858318393742294,22.382406734116554,11.257322,4,99.72689780042919,First,SpeedUp,non, False
22, 21.59889205499728,20.768165437497384,22.382406734116554,12.281251,4,99.68668270520386,First,SpeedUp,non, False
23, 21.711224834392937,20.876177725377822,22.382406734116554,13.305376,4,99.64644665370172,First,SpeedUp,non, False
24, 21.656592444178184,20.82364658094056,22.382406734116554,14.329698,4,99.60617916778433,First,SpeedUp,non, False
25, 21.68034085749731,20.846481593747413,22.382406734116554,15.354216,4,99.56588024745172,First,SpeedUp,non, False
26, 21.695689624891887,20.861240023934506,22.382406734116554,16.37893,4,99.52556037084227,First,SpeedUp,non, False
27, 21.690399924690347,20.85615377374072,22.382406734116554,17.40384,4,99.48520905981759,First,SpeedUp,non, False
28, 21.645048243501552,20.812546387982263,22.382406734116554,18.428947,4,99.44483679251609,First,SpeedUp,non, False
29, 21.725642615655747,20.890040976592065,22.382406734116554,19.45425,4,99.40443309079936,First,SpeedUp,non, False
30, 21.627430435975914,20.795606188438377,22.382406734116554,20.47975,4,99.36400843280579,First,SpeedUp,non, False
31, 21.626705528902963,20.794909162406697,22.382406734116554,21.505445,4,99.32355234039699,First,SpeedUp,non, False
32, 21.63007405778244,20.798148132483114,22.382406734116554,22.531338,4,99.28307529171137,First,SpeedUp,non, False
33, 21.658953945758373,20.825917255536897,22.382406734116554,23.557426,4,99.24256680861052,First,SpeedUp,non, False
34, 21.60113730703374,20.770324333686286,22.382406734116554,24.583712,4,99.20202689109442,First,SpeedUp,non, False
35, 21.646460529283836,20.81390435508061,22.382406734116554,25.610193,4,99.16146601730149,First,SpeedUp,non, False
36, 21.696197638620635,20.86172849867369,22.382406734116554,26.636871,4,99.12088418723175,First,SpeedUp,non, False
37, 21.65269008600733,20.819894313468584,22.382406734116554,27.663746,4,99.08027092274678,First,SpeedUp,non, False
38, 21.707856203956315,20.8729386576503,22.382406734116554,28.690817,4,99.03962622384657,First,SpeedUp,non, False
