turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 20.042964977285123,20.042964977285123,21.44474073479398,0.06019349,7,99.98161072481754,First,non,non, False
2, 19.964372449959342,19.964372449959342,21.44474073479398,0.18058047,7,99.96901419562542,First,non,non, False
3, 19.999539965990934,19.999539965990934,21.44474073479398,0.36116093,7,99.96109992892906,First,non,non, False
4, 19.98839044597527,19.98839044597527,21.44474073479398,0.6019349,7,99.95679058999491,First,non,non, False
5, 19.939960674172788,19.939960674172788,21.44474073479398,0.90290236,7,99.95500884408943,First,non,non, False
6, 19.94416453568833,19.94416453568833,21.44474073479398,1.2640634,7,99.95465249490834,First,non,non, False
7, 20.01355613877406,20.01355613877406,21.44474073479398,1.6854178,7,99.95462763333758,First,non,non, False
8, 19.942716322173705,19.942716322173705,21.44474073479398,2.1669657,7,99.95385692464359,First,non,non, False
9, 19.932414374245162,19.932414374245162,21.44474073479398,2.708707,7,99.95125474690258,First,non,non, False
10, 19.96555794748431,19.96555794748431,21.44474073479398,3.310642,7,99.94571890381025,First,non,non, False
11, 19.966597398598967,19.966597398598967,21.44474073479398,3.9727705,7,99.9361637734428,First,non,non, False
12, 19.92896088552134,19.92896088552134,21.44474073479398,4.695092,7,99.9215120210667,First,non,non, False
13, 19.978831298621408,19.978831298621408,21.44474073479398,5.4776077,7,99.90065316318737,First,non,non, False
14, 19.98503274829816,19.98503274829816,21.44474073479398,6.320317,7,99.87251815226153,First,non,non, False
15, 19.983277280048558,19.983277280048558,21.44474073479398,7.223219,7,99.83600479198489,First,non,non, False
16, 20.03236104042581,20.03236104042581,21.44474073479398,8.186315,7,99.79003574762389,First,non,non, False
17, 19.92728826452049,19.92728826452049,21.44474073479398,9.209604,7,99.73350882287423,First,non,non, False
18, 20.004982617051354,20.004982617051354,21.44474073479398,10.229894,7,99.67753713987186,First,non,non, False
19, 19.98984829495403,19.98984829495403,21.44474073479398,11.247183,7,99.62212069861677,First,non,non, False
20, 21.89747886691749,19.94166817040854,21.44474073479398,12.263436,6.95,99.56667110860064,First,non,InsideOvertaking, False
21, 20.90265673340831,20.017687233486296,21.44474073479398,13.279883,6.8999996,99.51117179544298,First,non,InsideOvertaking, False
22, 21.31842462443674,20.003047822191768,21.44474073479398,14.296524,6.8499994,99.45564762071453,First,non,InsideOvertaking, False
23, 20.41712280696126,19.95300065596369,21.44474073479398,15.313358,6.799999,99.4000820100348,First,non,InsideOvertaking, False
24, 21.141499895372228,19.987415560409364,21.44474073479398,16.330387,6.749999,99.34448325059402,First,non,InsideOvertaking, False
25, 21.005847579070526,20.046042205988627,21.44474073479398,17.347609,6.699999,99.28885134239222,First,non,InsideOvertaking, False
26, 21.79126650203251,19.993616593185088,21.44474073479398,18.365025,6.6499987,99.2331862854294,First,non,InsideOvertaking, False
27, 20.560226416751455,19.968126913941454,21.44474073479398,19.382633,6.5999985,99.17747979251527,First,non,InsideOvertaking, False
28, 20.79369357125176,19.9935802575862,21.44474073479398,20.400436,6.5499983,99.12174015084013,First,non,InsideOvertaking, False
29, 21.20452771724978,20.01355767410384,21.44474073479398,21.418434,6.499998,99.06596736040393,First,non,InsideOvertaking, False
30, 19.953497039282478,19.953497039282478,21.44474073479398,22.434658,6.499998,99.01074152452478,First,non,non, False
31, 19.947584396474664,19.947584396474664,21.44474073479398,23.447882,6.499998,98.95605435601239,First,non,non, False
32, 19.939440117160352,19.939440117160352,21.44474073479398,24.458105,6.499998,98.90191414205702,First,non,non, False
33, 20.02518754129836,20.02518754129836,21.44474073479398,25.46533,6.499998,98.84832088265868,First,non,non, False
34, 19.997034174881257,19.997034174881257,21.44474073479398,26.469555,6.499998,98.7952497162466,First,non,non, False
35, 21.824784472273265,20.028630461191035,21.44474073479398,27.472727,6.449998,98.74215368826374,First,non,InsideOvertaking, False
36, 21.706822984731627,20.04173454885728,21.44474073479398,28.476093,6.3999977,98.68902451151986,First,non,InsideOvertaking, False
37, 21.427220306436993,20.00460953774281,21.44474073479398,29.479652,6.3499975,98.63586218601493,First,non,InsideOvertaking, False
38, 21.80636412337964,20.010916881900428,21.44474073479398,30.483406,6.2999973,98.58265842455872,First,non,InsideOvertaking, False
39, 20.33360825608588,19.98146580783382,21.44474073479398,31.487354,6.249997,98.52942151434148,First,non,InsideOvertaking, False
40, 21.28438431747825,19.999952751303283,21.44474073479398,32.491497,6.199997,98.47615974255346,First,non,InsideOvertaking, False
41, 21.824430040883843,19.97320996488226,21.44474073479398,33.49583,6.1499968,98.42284824762389,First,non,InsideOvertaking, False
42, 20.621569605036026,20.032884600702364,21.44474073479398,34.50036,6.0999966,98.36951189112355,First,non,InsideOvertaking, False
43, 21.89197990735161,19.962669238457146,21.44474073479398,35.50508,6.0499964,98.31613409867192,First,non,InsideOvertaking, False
44, 20.6597756190292,20.014862523512193,21.44474073479398,36.51,5.999996,98.26273144464952,First,non,InsideOvertaking, False
45, 20.686386157423705,20.01053580658939,21.44474073479398,37.515106,5.949996,98.20928735467582,First,non,InsideOvertaking, False
46, 21.697428645209826,20.008593309217378,21.44474073479398,38.52041,5.899996,98.15580182875084,First,non,InsideOvertaking, False
47, 21.205643969043965,19.942424425357636,21.44474073479398,39.525906,5.8499956,98.10229144125509,First,non,InsideOvertaking, False
48, 21.447001486491413,19.98169606083843,21.44474073479398,40.531597,5.7999954,98.0487479049983,First,non,InsideOvertaking, False
49, 20.809768525456608,20.054826343317107,21.44474073479398,41.537483,5.749995,97.99517121998048,First,non,InsideOvertaking, False
50, 21.02243563079063,20.035988427882977,21.44474073479398,42.54356,5.699995,97.94155309901137,First,non,InsideOvertaking, False
51, 20.981824883533353,20.01957374873654,21.44474073479398,43.54983,5.649995,97.88789354209096,First,non,InsideOvertaking, False
52, 21.311383460053943,20.002328229215657,21.44474073479398,44.556297,5.5999947,97.83420912359979,First,non,InsideOvertaking, False
53, 21.329170164312035,19.994098531295958,21.44474073479398,45.562958,5.5499945,97.78049155634758,First,non,InsideOvertaking, False
54, 21.233661861853665,19.997884335661723,21.44474073479398,46.569813,5.4999943,97.72673255314409,First,non,InsideOvertaking, False
55, 20.710675973978965,20.009482606204728,21.44474073479398,47.57686,5.449994,97.67294868836981,First,non,InsideOvertaking, False
56, 20.30465717438167,20.004200564253512,21.44474073479398,48.5841,5.399994,97.61912338764427,First,non,InsideOvertaking, False
57, 20.70287578465948,20.037247454292,21.44474073479398,49.591534,5.3499937,97.56525665096741,First,non,InsideOvertaking, False
58, 21.900556258265958,19.94864656422613,21.44474073479398,50.599163,5.2999935,97.51136505271978,First,non,InsideOvertaking, False
59, 20.863025766018314,20.049012879427764,21.44474073479398,51.606983,5.2499933,97.45743201852088,First,non,InsideOvertaking, False
60, 20.384155742770783,19.951291294868412,21.44474073479398,52.614998,5.199993,97.40347412275119,First,non,InsideOvertaking, False
61, 20.225277520982353,19.970839376583715,21.44474073479398,53.623207,5.149993,97.3494747910302,First,non,InsideOvertaking, False
62, 21.406233005895178,19.976204479065046,21.44474073479398,54.63161,5.0999928,97.2954423105482,First,non,InsideOvertaking, False
63, 21.49952383242839,19.97361627497733,21.44474073479398,55.64021,5.0499926,97.24137668130516,First,non,InsideOvertaking, False
64, 20.590691494358783,20.0124570066062,21.44474073479398,56.649,4.9999924,97.18726961611083,First,non,InsideOvertaking, False
65, 20.7862985085212,19.977417102218755,21.44474073479398,57.65798,4.949992,97.13312940215546,First,non,InsideOvertaking, False
66, 21.508851881741474,20.05504780122999,21.44474073479398,58.66716,4.899992,97.07894775224881,First,non,InsideOvertaking, False
67, 20.725942364038065,19.9816981274892,21.44474073479398,59.676533,4.849992,97.02474952796165,First,non,InsideOvertaking, False
68, 20.89755477121275,20.002052485554916,21.44474073479398,60.6861,4.7999916,96.97050158053293,First,non,InsideOvertaking, False
69, 21.35260295097189,20.043601837779338,21.44474073479398,61.695858,4.7499914,96.91622048434317,First,non,InsideOvertaking, False
70, 22.071488858250152,19.93882712875002,21.44474073479398,62.70581,4.699991,96.8619062393924,First,non,InsideOvertaking, False
71, 21.215983144305596,19.986028274387508,21.44474073479398,63.715958,4.649991,96.80755884568057,First,non,InsideOvertaking, False
72, 22.07966961500742,19.95757861618773,21.44474073479398,64.726295,4.599991,96.75317830320773,First,non,InsideOvertaking, False
73, 21.38952667736055,20.02971538030512,21.44474073479398,65.73683,4.5499907,96.6987563247836,First,non,InsideOvertaking, False
74, 21.12030889366058,20.00166119446377,21.44474073479398,66.74756,4.4999905,96.64430948478869,First,non,InsideOvertaking, False
75, 20.86314833529134,20.05129358628631,21.44474073479398,67.758484,4.4499903,96.5898212088425,First,non,InsideOvertaking, False
76, 20.601834445890823,19.97858688120413,21.44474073479398,68.7696,4.39999,96.535291496945,First,non,InsideOvertaking, False
77, 20.717295911857985,20.001685619702606,21.44474073479398,69.78091,4.34999,96.48072863628649,First,non,InsideOvertaking, False
78, 21.108581447720198,19.991940320480346,21.44474073479398,70.79241,4.2999897,96.4261409140572,First,non,InsideOvertaking, False
79, 21.272798117745733,19.98913046637555,21.44474073479398,71.80411,4.2499895,96.37151175587661,First,non,InsideOvertaking, False
80, 20.2446775301131,19.985620477981374,21.44474073479398,72.8128,4.1999893,96.31742126506279,First,non,InsideOvertaking, False
81, 20.858924836433644,19.968936962366616,21.44474073479398,73.821686,4.149989,96.2633059126782,First,non,InsideOvertaking, False
82, 20.163064898963167,19.9336815517175,21.44474073479398,74.82757,4.099989,96.20972094047012,First,non,InsideOvertaking, False
83, 20.679588766611467,19.959995765825962,21.44474073479398,75.83364,4.0499887,96.15610281950102,First,non,InsideOvertaking, False
84, 20.701498154732068,20.007249704990507,21.44474073479398,76.83991,3.9999888,96.10245154977088,First,non,InsideOvertaking, False
85, 20.467169905154684,19.95626729631111,21.44474073479398,77.846375,3.9499888,96.0487671312797,First,non,InsideOvertaking, False
86, 20.30850364140889,19.998729895249756,21.44474073479398,78.853035,3.899989,95.9950495640275,First,non,InsideOvertaking, False
87, 20.668678756792414,19.935625871549345,21.44474073479398,79.859886,3.849989,95.941290560824,First,non,InsideOvertaking, False
88, 22.19259916325012,20.027986212594225,21.44474073479398,80.86693,3.799989,95.88750669604973,First,non,InsideOvertaking, False
89, 20.75003225567214,19.993351325489975,21.44474073479398,81.87417,3.749989,95.83367310813391,First,non,InsideOvertaking, False
90, 21.168749031647646,19.937480242738044,21.44474073479398,82.8816,3.699989,95.77981465864731,First,non,InsideOvertaking, False
