turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 21.197234393753337,20.381956147839748,21.938149209980267,0.060196437,6,99.9889950824873,First,SpeedUp,non, False
2, 21.31486238718075,20.495059987673798,21.938149209980267,0.18058932,6,99.98146018401015,First,SpeedUp,non, False
3, 21.197661449633713,20.382366778493953,21.938149209980267,0.36117864,6,99.97672608661168,First,SpeedUp,non, False
4, 21.25356737900454,20.436122479812056,21.938149209980267,0.60196435,6,99.97415662013536,First,SpeedUp,non, False
5, 21.19637076017744,20.381125730939846,21.938149209980267,0.90294653,6,99.97309082857444,First,SpeedUp,non, False
6, 21.191804354145795,20.376734955909416,21.938149209980267,1.2641251,6,99.97287601787225,First,SpeedUp,non, False
7, 21.296381347038785,20.477289756768062,21.938149209980267,1.6855001,6,99.97285949397208,First,SpeedUp,non, False
8, 21.199899860612355,20.384519096742647,21.938149209980267,2.1670716,6,99.97240508671743,First,SpeedUp,non, False
9, 21.240488090351516,20.42354624072261,21.938149209980267,2.7088394,6,99.97084357815143,First,SpeedUp,non, False
10, 21.227132552192444,20.410704377108118,21.938149209980267,3.310804,6,99.96753053616752,First,SpeedUp,non, False
11, 21.296325428750247,20.47723598918293,21.938149209980267,3.9729648,6,99.96181326670897,First,SpeedUp,non, False
12, 21.303588277057585,20.484219497170756,21.938149209980267,4.695322,6,99.95303907571912,First,SpeedUp,non, False
13, 21.250369883410066,20.43304796481737,21.938149209980267,5.4778757,6,99.94057179304146,First,SpeedUp,non, False
14, 21.203948327585422,20.388411853447522,21.938149209980267,6.320626,6,99.92373393876903,First,SpeedUp,non, False
15, 21.26884613132041,20.450813587808085,21.938149209980267,7.2235723,6,99.90188934274535,First,SpeedUp,non, False
16, 21.19378899606585,20.378643265447934,21.938149209980267,8.186715,6,99.87438531091371,First,SpeedUp,non, False
17, 21.27980251429274,20.461348571435327,21.938149209980267,9.210054,6,99.84057741116752,First,SpeedUp,non, False
18, 21.187224937625974,20.372331670794203,21.938149209980267,10.293591,6,99.79979642554991,First,SpeedUp,non, False
19, 21.27628142831525,20.457962911841587,21.938149209980267,11.374126,6,99.75937070378595,First,SpeedUp,non, False
20, 21.220188476216013,20.404027380976935,21.938149209980267,12.451662,6,99.71932503172589,First,SpeedUp,non, False
21, 21.20977713170946,20.394016472797556,21.938149209980267,13.526197,6,99.67962636156938,First,SpeedUp,non, False
22, 21.309306800157174,20.489718077074205,21.938149209980267,14.5977335,6,99.6402829552665,First,SpeedUp,non, False
23, 21.254663552063857,20.437176492369094,21.938149209980267,15.666269,6,99.60130307476734,First,SpeedUp,non, False
24, 21.22446564211022,20.408140040490597,21.938149209980267,16.731806,6,99.56267845812182,First,SpeedUp,non, False
25, 21.315834301872602,20.49599452103135,21.938149209980267,17.797539,6,99.52402905562606,First,SpeedUp,non, False
26, 21.30422500639005,20.484831736913506,21.938149209980267,18.860271,6,99.48572665503384,First,SpeedUp,non, False
