turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 20.89969184811051,20.89969184811051,23.31780009471466,0.060573187,4,99.98192537782717,First,non,non, False
2, 22.64062227561417,20.83088873406923,23.31780009471466,0.1709201,3.95,99.96958619202019,First,non,InsideOvertaking, False
3, 20.95818452748205,20.95818452748205,23.31780009471466,0.35263968,3.95,99.96187420089082,First,non,non, False
4, 20.918460658966293,20.918460658966293,23.31780009471466,0.59493244,3.95,99.95770401309494,First,non,non, False
5, 20.874117140342772,20.874117140342772,23.31780009471466,0.89779836,3.95,99.95601471979994,First,non,non, False
6, 20.877746978427375,20.877746978427375,23.31780009471466,1.2612375,3.95,99.95569644715016,First,non,non, False
7, 20.897566088934397,20.897566088934397,23.31780009471466,1.6852498,3.95,99.95566380380146,First,non,non, False
8, 22.56093985263642,20.88869677408181,23.31780009471466,2.167249,3.9,99.95483955924689,First,non,InsideOvertaking, False
9, 20.851716076214743,20.851716076214743,23.31780009471466,2.7124076,3.9,99.95213832214232,First,non,non, False
10, 20.936286945673114,20.936286945673114,23.31780009471466,3.3181396,3.9,99.94646654030643,First,non,non, False
11, 20.915803769962718,20.915803769962718,23.31780009471466,3.9844446,3.9,99.93674698323228,First,non,non, False
12, 20.904419016525985,20.904419016525985,23.31780009471466,4.711323,3.9,99.92188609873855,First,non,non, False
13, 20.845009390897147,20.845009390897147,23.31780009471466,5.498774,3.9,99.90080665631828,First,non,non, False
14, 20.875123164896344,20.875123164896344,23.31780009471466,6.346799,3.9,99.872406942953,First,non,non, False
15, 20.901913991539484,20.901913991539484,23.31780009471466,7.255397,3.9,99.83561788897292,First,non,non, False
16, 20.950351036292673,20.950351036292673,23.31780009471466,8.224567,3.9,99.7893541030339,First,non,non, False
17, 20.83845873691944,20.83845873691944,23.31780009471466,9.254312,3.9,99.73251387211747,First,non,non, False
18, 20.86624535714729,20.86624535714729,23.31780009471466,10.344629,3.9,99.66401996571665,First,non,non, False
19, 20.89076131078692,20.89076131078692,23.31780009471466,11.431947,3.9,99.59612996126671,First,non,non, False
20, 20.857980948988203,20.857980948988203,23.31780009471466,12.516264,3.9,99.52884385876763,First,non,non, False
21, 20.896392442021636,20.896392442021636,23.31780009471466,13.597581,3.9,99.46215349738226,First,non,non, False
22, 20.90417845512698,20.90417845512698,23.31780009471466,14.675899,3.9,99.39605887711059,First,non,non, False
23, 20.89151446584352,20.89151446584352,23.31780009471466,15.751216,3.9,99.33055183711544,First,non,non, False
24, 20.88176727852572,20.88176727852572,23.31780009471466,16.823534,3.9,99.26564053823398,First,non,non, False
25, 20.95090743109908,20.95090743109908,23.31780009471466,17.89285,3.9,99.20130865879187,First,non,non, False
