turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 19.946361402580095,19.946361402580095,22.120483162808895,0.060623772,3,99.98221218120115,First,non,non, False
2, 19.898530388523533,19.898530388523533,22.120483162808895,0.18187132,3,99.97007243675442,First,non,non, False
3, 19.96325014974585,19.96325014974585,22.120483162808895,0.36374265,3,99.96248810931715,First,non,non, False
4, 19.930822875301512,19.930822875301512,22.120483162808895,0.60623777,3,99.95839867852736,First,non,non, False
5, 19.95293743855746,19.95293743855746,22.120483162808895,0.9093566,3,99.95673558977788,First,non,non, False
6, 19.933698740562793,19.933698740562793,22.120483162808895,1.2730992,3,99.95642225421638,First,non,non, False
7, 19.89285603039631,19.89285603039631,22.120483162808895,1.6974657,3,99.95639011723571,First,non,non, False
8, 19.951066832210003,19.951066832210003,22.120483162808895,2.1824558,3,99.95557865847388,First,non,non, False
9, 19.985528638980917,19.985528638980917,22.120483162808895,2.7280698,3,99.95289522058823,First,non,non, False
10, 19.86101696753853,19.86101696753853,22.120483162808895,3.3343074,3,99.94728731746196,First,non,non, False
11, 19.973403591211735,19.973403591211735,22.120483162808895,4.001169,3,99.93767032599753,First,non,non, False
12, 19.885815764461476,19.885815764461476,22.120483162808895,4.7286544,3,99.92298372583299,First,non,non, False
13, 19.92473896036547,19.92473896036547,22.120483162808895,5.5167637,3,99.90215896236117,First,non,non, False
14, 19.95636775608594,19.95636775608594,22.120483162808895,6.3654966,3,99.87411944672974,First,non,non, False
15, 19.938113951295833,19.938113951295833,22.120483162808895,7.274853,3,99.83778859008639,First,non,non, False
16, 19.864463737953056,19.864463737953056,22.120483162808895,8.244834,3,99.79210587206911,First,non,non, False
17, 19.895242605196636,19.895242605196636,22.120483162808895,9.275438,3,99.73598666958043,First,non,non, False
18, 19.938914602154274,19.938914602154274,22.120483162808895,10.303042,3,99.68042183000823,First,non,non, False
19, 19.88233921856541,19.88233921856541,22.120483162808895,11.327646,3,99.6253952848622,First,non,non, False
20, 19.913442004521848,19.913442004521848,22.120483162808895,12.349251,3,99.570890965652,First,non,non, False
21, 19.98591907893745,19.98591907893745,22.120483162808895,13.367855,3,99.51693297511312,First,non,non, False
22, 19.912277889350342,19.912277889350342,22.120483162808895,14.383459,3,99.46349721051008,First,non,non, False
23, 19.96888266539431,19.96888266539431,22.120483162808895,15.396063,3,99.4105997403332,First,non,non, False
24, 19.872450198114436,19.872450198114436,22.120483162808895,16.405666,3,99.35821646184698,First,non,non, False
25, 19.906230671521772,19.906230671521772,22.120483162808895,17.41227,3,99.30636344354176,First,non,non, False
26, 19.88423994131318,19.88423994131318,22.120483162808895,18.415874,3,99.25502461692719,First,non,non, False
27, 19.86976717254448,19.86976717254448,22.120483162808895,19.41648,3,99.20420801624846,First,non,non, False
28, 19.895772925554077,19.895772925554077,22.120483162808895,20.414083,3,99.15390560726038,First,non,non, False
29, 19.95265412163014,19.95265412163014,22.120483162808895,21.412312,3,99.10349071883999,First,non,non, False
30, 19.92779357249477,19.92779357249477,22.120483162808895,22.40754,3,99.05359805635541,First,non,non, False
31, 19.962336597959254,19.962336597959254,22.120483162808895,23.40339,3,99.00360094868367,First,non,non, False
32, 19.912300302059432,19.912300302059432,22.120483162808895,24.396242,3,98.95410999845743,First,non,non, False
33, 19.9026888494078,19.9026888494078,22.120483162808895,25.389717,3,98.90450656879885,First,non,non, False
34, 19.86304254682209,19.86304254682209,22.120483162808895,26.380192,3,98.85541733083093,First,non,non, False
35, 19.915950558164464,19.915950558164464,22.120483162808895,27.37129,3,98.80622364767585,First,non,non, False
36, 19.860640658085078,19.860640658085078,22.120483162808895,28.363012,3,98.7569255193336,First,non,non, False
37, 19.98815765800741,19.98815765800741,22.120483162808895,29.35536,3,98.70751491155903,First,non,non, False
38, 19.859428926810157,19.859428926810157,22.120483162808895,30.348331,3,98.6579998585973,First,non,non, False
39, 19.925818105189904,19.925818105189904,22.120483162808895,31.341927,3,98.60838036044838,First,non,non, False
40, 19.91706455917517,19.91706455917517,22.120483162808895,32.336143,3,98.5586564171123,First,non,non, False
41, 19.972403775071946,19.972403775071946,22.120483162808895,33.330986,3,98.50882802858906,First,non,non, False
42, 19.91342364217791,19.91342364217791,22.120483162808895,34.32645,3,98.45888716063348,First,non,non, False
43, 19.877247354846308,19.877247354846308,22.120483162808895,35.318916,3,98.40946048436858,First,non,non, False
44, 19.90290724780915,19.90290724780915,22.120483162808895,36.312004,3,98.3599293629165,First,non,non, False
45, 19.941862911416415,19.941862911416415,22.120483162808895,37.305717,3,98.3102857620321,First,non,non, False
46, 19.86853305796507,19.86853305796507,22.120483162808895,38.296432,3,98.26115635283834,First,non,non, False
47, 19.91305666262038,19.91305666262038,22.120483162808895,39.28777,3,98.21192249845743,First,non,non, False
48, 19.972276559767216,19.972276559767216,22.120483162808895,40.27973,3,98.16258419888935,First,non,non, False
49, 19.932065463873787,19.932065463873787,22.120483162808895,41.272316,3,98.11313341988894,First,non,non, False
50, 19.89784982468158,19.89784982468158,22.120483162808895,42.265526,3,98.06358622994652,First,non,non, False
51, 19.93934510173323,19.93934510173323,22.120483162808895,43.259357,3,98.01392656057179,First,non,non, False
52, 19.98502716496829,19.98502716496829,22.120483162808895,44.253815,3,97.96415441176471,First,non,non, False
53, 19.889883634920782,19.889883634920782,22.120483162808895,45.248894,3,97.91428585201564,First,non,non, False
54, 19.879407410874986,19.879407410874986,22.120483162808895,46.240974,3,97.86492344971205,First,non,non, False
55, 19.956686680337764,19.956686680337764,22.120483162808895,47.233677,3,97.81545660222132,First,non,non, False
56, 19.95811275576824,19.95811275576824,22.120483162808895,48.227005,3,97.7658853095434,First,non,non, False
57, 19.96112239979386,19.96112239979386,22.120483162808895,49.220955,3,97.71620153743315,First,non,non, False
58, 19.97441574280705,19.97441574280705,22.120483162808895,50.21553,3,97.66642135438092,First,non,non, False
59, 19.88400548675095,19.88400548675095,22.120483162808895,51.207104,3,97.61714732877417,First,non,non, False
60, 19.90938601248744,19.90938601248744,22.120483162808895,52.199303,3,97.56776082373509,First,non,non, False
61, 19.865397034502227,19.865397034502227,22.120483162808895,53.192123,3,97.51827790775401,First,non,non, False
62, 19.933000263390028,19.933000263390028,22.120483162808895,54.18557,3,97.4686825123406,First,non,non, False
63, 19.936983176782707,19.936983176782707,22.120483162808895,55.179638,3,97.41898267174003,First,non,non, False
64, 19.924323362529375,19.924323362529375,22.120483162808895,56.17433,3,97.36917838595228,First,non,non, False
65, 19.96994368391594,19.96994368391594,22.120483162808895,57.169647,3,97.3192616207322,First,non,non, False
66, 19.877587730378256,19.877587730378256,22.120483162808895,58.161964,3,97.26986708144797,First,non,non, False
67, 19.900595464641064,19.900595464641064,22.120483162808895,59.154907,3,97.22035202848622,First,non,non, False
68, 19.875776826891023,19.875776826891023,22.120483162808895,60.14847,3,97.17074056458247,First,non,non, False
69, 19.92792921575903,19.92792921575903,22.120483162808895,61.142662,3,97.12102465549157,First,non,non, False
70, 19.88670740591289,19.88670740591289,22.120483162808895,62.137474,3,97.07119626696833,First,non,non, False
71, 19.865200294622223,19.865200294622223,22.120483162808895,63.129288,3,97.02187403589058,First,non,non, False
72, 19.96673253072411,19.96673253072411,22.120483162808895,64.12173,3,96.972463428116,First,non,non, False
73, 19.976206031077027,19.976206031077027,22.120483162808895,65.114784,3,96.92293230666392,First,non,non, False
74, 19.972991508201652,19.972991508201652,22.120483162808895,66.10847,3,96.87329674002468,First,non,non, False
75, 19.8867481540088,19.8867481540088,22.120483162808895,67.102776,3,96.82355672819827,First,non,non, False
76, 19.94389365477516,19.94389365477516,22.120483162808895,68.09771,3,96.7737122711847,First,non,non, False
77, 19.926025175648736,19.926025175648736,22.120483162808895,69.09326,3,96.7237553347388,First,non,non, False
78, 19.977958358556627,19.977958358556627,22.120483162808895,70.08944,3,96.67370198735088,First,non,non, False
79, 19.970856101996162,19.970856101996162,22.120483162808895,71.08624,3,96.62353616053065,First,non,non, False
80, 19.872594462130074,19.872594462130074,22.120483162808895,72.08005,3,96.5738764911559,First,non,non, False
81, 19.863213142950954,19.863213142950954,22.120483162808895,73.07085,3,96.52473101347182,First,non,non, False
82, 19.877071186827393,19.877071186827393,22.120483162808895,74.06227,3,96.47548912484575,First,non,non, False
83, 19.931546449253723,19.931546449253723,22.120483162808895,75.05432,3,96.42612672254216,First,non,non, False
84, 19.978404787994872,19.978404787994872,22.120483162808895,76.047,3,96.37666790929659,First,non,non, False
85, 19.919475004851805,19.919475004851805,22.120483162808895,77.0403,3,96.32709661661868,First,non,non, False
86, 19.95224020038441,19.95224020038441,22.120483162808895,78.03422,3,96.2774208787536,First,non,non, False
87, 19.918824568115532,19.918824568115532,22.120483162808895,79.02876,3,96.22764069570135,First,non,non, False
88, 19.901528065996512,19.901528065996512,22.120483162808895,80.02393,3,96.17775606746196,First,non,non, False
89, 19.978550671595347,19.978550671595347,22.120483162808895,81.01973,3,96.12775895979021,First,non,non, False
90, 19.87773851918739,19.87773851918739,22.120483162808895,82.01252,3,96.0782840780543,First,non,non, False
91, 19.954308374391033,19.954308374391033,22.120483162808895,83.005936,3,96.02868868264089,First,non,non, False
92, 19.91286589178058,19.91286589178058,22.120483162808895,83.99998,3,95.97899687628548,First,non,non, False
93, 19.947950109040804,19.947950109040804,22.120483162808895,84.994644,3,95.92919259049773,First,non,non, False
94, 19.94394088922388,19.94394088922388,22.120483162808895,85.98993,3,95.879291893768,First,non,non, False
95, 19.920226771209038,19.920226771209038,22.120483162808895,86.98584,3,95.82927871760593,First,non,non, False
96, 19.859544307049685,19.859544307049685,22.120483162808895,87.97875,3,95.77977169888935,First,non,non, False
97, 19.91924563368449,19.91924563368449,22.120483162808895,88.97229,3,95.73016826923077,First,non,non, False
98, 19.87632591024136,19.87632591024136,22.120483162808895,89.966446,3,95.6804443258947,First,non,non, False
99, 19.949113546983746,19.949113546983746,22.120483162808895,90.96123,3,95.63063200586178,First,non,non, False
100, 19.904753058589172,19.904753058589172,22.120483162808895,91.956635,3,95.58069917215138,First,non,non, False
101, 19.916418418535397,19.916418418535397,22.120483162808895,92.95267,3,95.53066189325381,First,non,non, False
102, 19.954424929782,19.954424929782,22.120483162808895,93.94932,3,95.48052820341424,First,non,non, False
103, 19.945089682108744,19.945089682108744,22.120483162808895,94.946594,3,95.43028203414234,First,non,non, False
104, 19.89489697576907,19.89489697576907,22.120483162808895,95.94087,3,95.38054202231592,First,non,non, False
105, 19.97030336534765,19.97030336534765,22.120483162808895,96.935776,3,95.33069756530234,First,non,non, False
106, 19.89714887973304,19.89714887973304,22.120483162808895,97.92768,3,95.28136729997944,First,non,non, False
107, 19.89555312705176,19.89555312705176,22.120483162808895,98.920204,3,95.23193258946935,First,non,non, False
108, 19.863714931842388,19.863714931842388,22.120483162808895,99.91335,3,95.1823934337721,First,non,non, False
109, 19.860348220582793,19.860348220582793,22.120483162808895,100.9035,3,95.13336043552036,First,non,non, False
110, 19.987258742096046,19.987258742096046,22.120483162808895,101.89428,3,95.08421495783628,First,non,non, False
111, 19.902540883637776,19.902540883637776,22.120483162808895,102.88567,3,95.03497306921021,First,non,non, False
112, 19.91687045668777,19.91687045668777,22.120483162808895,103.87769,3,94.98562673539696,First,non,non, False
113, 19.876563543804814,19.876563543804814,22.120483162808895,104.87034,3,94.93615988790621,First,non,non, False
114, 19.95011094726761,19.95011094726761,22.120483162808895,105.86361,3,94.88660466371864,First,non,non, False
115, 19.874390467524993,19.874390467524993,22.120483162808895,106.8575,3,94.83693696009873,First,non,non, False
116, 19.95493199477768,19.95493199477768,22.120483162808895,107.85201,3,94.78714874280132,First,non,non, False
117, 19.946440709583896,19.946440709583896,22.120483162808895,108.84715,3,94.73727214880708,First,non,non, False
118, 19.958474077258717,19.958474077258717,22.120483162808895,109.84292,3,94.6872830753805,First,non,non, False
119, 19.92357159501139,19.92357159501139,22.120483162808895,110.8393,3,94.63718955676677,First,non,non, False
120, 19.864793674231482,19.864793674231482,22.120483162808895,111.83269,3,94.58761022984369,First,non,non, False
121, 19.878444282975522,19.878444282975522,22.120483162808895,112.8267,3,94.53791842348828,First,non,non, False
122, 19.97454879844297,19.97454879844297,22.120483162808895,113.821335,3,94.4881221719457,First,non,non, False
123, 19.9475567231408,19.9475567231408,22.120483162808895,114.8166,3,94.43822147521597,First,non,non, False
124, 19.87766904814211,19.87766904814211,22.120483162808895,115.80885,3,94.38882693593172,First,non,non, False
125, 19.93276451195437,19.93276451195437,22.120483162808895,116.801735,3,94.3393279514603,First,non,non, False
126, 19.91951722604842,19.91951722604842,22.120483162808895,117.79524,3,94.28972452180173,First,non,non, False
127, 19.8651091462907,19.8651091462907,22.120483162808895,118.78575,3,94.24062724958866,First,non,non, False
128, 19.968336670183152,19.968336670183152,22.120483162808895,119.77688,3,94.19143356643357,First,non,non, False
129, 19.962300785659252,19.962300785659252,22.120483162808895,120.76863,3,94.14212740384616,First,non,non, False
130, 19.944813961882417,19.944813961882417,22.120483162808895,121.76101,3,94.09270876182642,First,non,non, False
131, 19.870864333390568,19.870864333390568,22.120483162808895,122.75401,3,94.04319370886466,First,non,non, False
132, 19.860974286140213,19.860974286140213,22.120483162808895,123.747635,3,93.9935661764706,First,non,non, False
133, 19.96268283375452,19.96268283375452,22.120483162808895,124.74188,3,93.94384223313452,First,non,non, False
134, 19.85986173897304,19.85986173897304,22.120483162808895,125.73313,3,93.89462444724394,First,non,non, False
135, 19.885455312605945,19.885455312605945,22.120483162808895,126.725006,3,93.84529418192102,First,non,non, False
136, 19.98616841214405,19.98616841214405,22.120483162808895,127.7175,3,93.7958675056561,First,non,non, False
137, 19.944989303106436,19.944989303106436,22.120483162808895,128.71062,3,93.7463203157137,First,non,non, False
138, 19.926708195058954,19.926708195058954,22.120483162808895,129.70436,3,93.6966767148293,First,non,non, False
139, 19.95434350149581,19.95434350149581,22.120483162808895,130.69873,3,93.64692866875771,First,non,non, False
140, 19.963021307707738,19.963021307707738,22.120483162808895,131.69373,3,93.59707617749898,First,non,non, False
141, 19.92807678065421,19.92807678065421,22.120483162808895,132.68935,3,93.5471112068079,First,non,non, False
142, 19.872485650196253,19.872485650196253,22.120483162808895,133.68196,3,93.49765239356232,First,non,non, False
143, 19.88768450770578,19.88768450770578,22.120483162808895,134.6752,3,93.44809716937475,First,non,non, False
144, 19.98745293660122,19.98745293660122,22.120483162808895,135.66907,3,93.3984375,First,non,non, False
145, 19.945893816225322,19.945893816225322,22.120483162808895,136.66356,3,93.34866535119292,First,non,non, False
146, 19.88261545863185,19.88261545863185,22.120483162808895,137.65504,3,93.29940739407651,First,non,non, False
147, 19.85836461283263,19.85836461283263,22.120483162808895,138.64716,3,93.25003695752777,First,non,non, False
148, 19.92590195224323,19.92590195224323,22.120483162808895,139.6399,3,93.20056207579185,First,non,non, False
149, 19.916326929586894,19.916326929586894,22.120483162808895,140.63326,3,93.15098274886878,First,non,non, False
150, 19.889253045833748,19.889253045833748,22.120483162808895,141.62724,3,93.1013070110037,First,non,non, False
151, 19.91753546670963,19.91753546670963,22.120483162808895,142.62184,3,93.05151075946112,First,non,non, False
152, 19.955800833966535,19.955800833966535,22.120483162808895,143.61707,3,93.00161809697656,First,non,non, False
153, 19.90491880440585,19.90491880440585,22.120483162808895,144.61292,3,92.95161295505964,First,non,non, False
154, 19.886556138505913,19.886556138505913,22.120483162808895,145.60577,3,92.90211397058823,First,non,non, False
155, 19.860180634114183,19.860180634114183,22.120483162808895,146.59924,3,92.85251857517483,First,non,non, False
156, 19.91400196580528,19.91400196580528,22.120483162808895,147.59334,3,92.80281070032909,First,non,non, False
157, 19.974852543794608,19.974852543794608,22.120483162808895,148.58806,3,92.75300641454135,First,non,non, False
158, 19.947261868249548,19.947261868249548,22.120483162808895,149.5834,3,92.70308964932127,First,non,non, False
159, 19.923472584471703,19.923472584471703,22.120483162808895,150.57938,3,92.65306040466886,First,non,non, False
160, 19.91217454750628,19.91217454750628,22.120483162808895,151.57234,3,92.60355338595228,First,non,non, False
161, 19.905137753683427,19.905137753683427,22.120483162808895,152.56593,3,92.55393388780338,First,non,non, False
162, 19.974297407248617,19.974297407248617,22.120483162808895,153.56015,3,92.5042099444673,First,non,non, False
163, 19.97116058746738,19.97116058746738,22.120483162808895,154.555,3,92.45438155594405,First,non,non, False
164, 19.887263307645313,19.887263307645313,22.120483162808895,155.54683,3,92.40505129062115,First,non,non, False
