turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 20.31463386758595,19.533301795755722,21.574766721257095,0.060563248,2,99.99653034132213,First,SpeedUp,non, False
2, 20.303883030233333,19.522964452147434,21.574766721257095,0.18168974,2,99.99444499659246,First,SpeedUp,non, False
3, 20.30206255041988,19.521213990788347,21.574766721257095,0.36337948,2,99.99339788732395,First,SpeedUp,non, False
4, 20.280548367540174,19.500527276480934,21.574766721257095,0.6056325,2,99.99302518741482,First,SpeedUp,non, False
5, 20.290718431329132,19.510306183970318,21.574766721257095,0.9084487,2,99.99298969218538,First,SpeedUp,non, False
6, 20.271291931994384,19.491626857686907,21.574766721257095,1.2718282,2,99.99293644934122,First,SpeedUp,non, False
7, 20.295509890924308,19.51491335665799,21.574766721257095,1.695771,2,99.99251938039528,First,SpeedUp,non, False
8, 20.324487368125936,19.54277631550571,21.574766721257095,2.1802769,2,99.9913746592458,First,SpeedUp,non, False
9, 20.207502384483252,19.430290754310818,21.574766721257095,2.725346,2,99.98915620740573,First,SpeedUp,non, False
10, 20.211728786666992,19.434354602564415,21.574766721257095,3.3309786,2,99.98553569400273,First,SpeedUp,non, False
11, 20.29489625998793,19.51432332691147,21.574766721257095,3.9971743,2,99.98012267151294,First,SpeedUp,non, False
12, 20.229540311733306,19.45148106897433,21.574766721257095,4.723933,2,99.97260655667878,First,SpeedUp,non, False
13, 20.315610810531226,19.534241163972332,21.574766721257095,5.5112553,2,99.96260577578374,First,SpeedUp,non, False
14, 20.329689303933037,19.54777817685869,21.574766721257095,6.359141,2,99.94979199795547,First,SpeedUp,non, False
15, 20.258623365888155,19.479445544123227,21.574766721257095,7.2675896,2,99.93379252328488,First,SpeedUp,non, False
16, 20.285309130845356,19.505104933505148,21.574766721257095,8.236602,2,99.91427014709224,First,SpeedUp,non, False
17, 20.303534018394974,19.52262886384132,21.574766721257095,9.266177,2,99.89087879089051,First,SpeedUp,non, False
18, 20.266819269792602,19.487326220954426,21.574766721257095,10.292752,2,99.8676826584507,First,SpeedUp,non, False
19, 20.319287976867617,19.537776900834245,21.574766721257095,11.316327,2,99.84469062358019,First,SpeedUp,non, False
20, 20.269115586167004,19.48953421746827,21.574766721257095,12.336903,2,99.8218938124716,First,SpeedUp,non, False
21, 20.22592292682296,19.448002814252845,21.574766721257095,13.354478,2,99.79929222512494,First,SpeedUp,non, False
22, 20.223648651695104,19.44581601124529,21.574766721257095,14.369053,2,99.77689473534757,First,SpeedUp,non, False
23, 20.269537766033746,19.489940159647833,21.574766721257095,15.380629,2,99.75469246933213,First,SpeedUp,non, False
24, 20.269295360716857,19.489707077612362,21.574766721257095,16.392767,2,99.73245470808723,First,SpeedUp,non, False
25, 20.218675252887593,19.4410338970073,21.574766721257095,17.401905,2,99.71040329679691,First,SpeedUp,non, False
26, 20.216053933027922,19.43851339714223,21.574766721257095,18.411606,2,99.68831639027715,First,SpeedUp,non, False
27, 20.29026472487413,19.509869927763585,21.574766721257095,19.421871,2,99.66620286233531,First,SpeedUp,non, False
28, 20.292310508416215,19.51183702732328,21.574766721257095,20.4327,2,99.64404496535666,First,SpeedUp,non, False
29, 20.328586049602006,19.546717355386544,21.574766721257095,21.44409,2,99.62184269934122,First,SpeedUp,non, False
30, 20.24589655858382,19.467208229407518,21.574766721257095,22.456045,2,99.59962268571104,First,SpeedUp,non, False
31, 20.28838880697017,19.50806616054824,21.574766721257095,23.468563,2,99.57734942923672,First,SpeedUp,non, False
32, 20.278321735760727,19.498386284385315,21.574766721257095,24.481644,2,99.5550495513403,First,SpeedUp,non, False
33, 20.326591814117723,19.54479982126704,21.574766721257095,25.495289,2,99.53270530440709,First,SpeedUp,non, False
34, 20.284622196764634,19.504444419965992,21.574766721257095,26.509497,2,99.51032556224443,First,SpeedUp,non, False
35, 20.30416002105405,19.523230789475047,21.574766721257095,27.524267,2,99.48791032485234,First,SpeedUp,non, False
36, 20.319392631117577,19.537877529920745,21.574766721257095,28.539602,2,99.46546846603816,First,SpeedUp,non, False
37, 20.285313931398846,19.505109549421967,21.574766721257095,29.551937,2,99.44321295717856,First,SpeedUp,non, False
38, 20.253683397180858,19.47469557421236,21.574766721257095,30.564835,2,99.42091307928214,First,SpeedUp,non, False
39, 20.295971686513113,19.51535739087799,21.574766721257095,31.578295,2,99.39859545377102,First,SpeedUp,non, False
40, 20.211321250478843,19.43396274084504,21.574766721257095,32.588757,2,99.37645530440709,First,SpeedUp,non, False
41, 20.277053906608135,19.497167217892436,21.574766721257095,33.59978,2,99.35428853362109,First,SpeedUp,non, False
42, 20.266743087935268,19.487252969168527,21.574766721257095,34.61137,2,99.33208626760563,First,SpeedUp,non, False
43, 20.264583392928127,19.485176339353966,21.574766721257095,35.62352,2,99.30983963255339,First,SpeedUp,non, False
44, 20.23269590070371,19.454515289138183,21.574766721257095,36.63267,2,99.28778822126307,First,SpeedUp,non, False
45, 20.306191356410434,19.525183996548492,21.574766721257095,37.642384,2,99.26571018855066,First,SpeedUp,non, False
46, 20.23398856985355,19.4557582402438,21.574766721257095,38.65266,2,99.24358778680146,First,SpeedUp,non, False
47, 20.292133644192322,19.51166696556954,21.574766721257095,39.6635,2,99.22142988982282,First,SpeedUp,non, False
48, 20.283252808240835,19.503127700231573,21.574766721257095,40.674904,2,99.19923649761472,First,SpeedUp,non, False
49, 20.215599144635817,19.43807610061136,21.574766721257095,41.683308,2,99.17723832916856,First,SpeedUp,non, False
50, 20.317175650062808,19.535745817368085,21.574766721257095,42.692276,2,99.15520466549296,First,SpeedUp,non, False
51, 20.225946610250556,19.44802558677938,21.574766721257095,43.701805,2,99.13312663278056,First,SpeedUp,non, False
52, 20.24911971649937,19.47030741971093,21.574766721257095,44.7119,2,99.11102197864608,First,SpeedUp,non, False
53, 20.314677228313176,19.533343488762668,21.574766721257095,45.722557,2,99.08888182928214,First,SpeedUp,non, False
54, 20.221865536560774,19.444101477462283,21.574766721257095,46.733776,2,99.06669731088142,First,SpeedUp,non, False
55, 20.273793078858827,19.494031806595025,21.574766721257095,47.74556,2,99.04447729725125,First,SpeedUp,non, False
56, 20.264229554639204,19.484836110230003,21.574766721257095,48.757904,2,99.02222178839165,First,SpeedUp,non, False
57, 20.24385664138751,19.465246770564914,21.574766721257095,49.76725,2,99.00016150329397,First,SpeedUp,non, False
58, 20.276189418025126,19.496335978870313,21.574766721257095,50.77716,2,98.97805684915947,First,SpeedUp,non, False
59, 20.26986026959396,19.49025025922496,21.574766721257095,51.787632,2,98.95592557360291,First,SpeedUp,non, False
60, 20.28057160229865,19.500549617594856,21.574766721257095,52.798668,2,98.93375880281691,First,SpeedUp,non, False
61, 20.245295743973625,19.46663052305156,21.574766721257095,53.81027,2,98.9115476629941,First,SpeedUp,non, False
62, 20.308737943185506,19.52763263767837,21.574766721257095,54.82243,2,98.8893099017492,First,SpeedUp,non, False
63, 20.221622567715894,19.443867853572975,21.574766721257095,55.831593,2,98.86725849045888,First,SpeedUp,non, False
64, 20.2233338196005,19.445513288077404,21.574766721257095,56.84132,2,98.84517158393912,First,SpeedUp,non, False
65, 20.22281356422648,19.445013042525463,21.574766721257095,57.85161,2,98.82304918218992,First,SpeedUp,non, False
66, 20.276340186646184,19.496480948698252,21.574766721257095,58.86246,2,98.80089128521126,First,SpeedUp,non, False
67, 20.22889394478502,19.45085956229329,21.574766721257095,59.87388,2,98.77869789300318,First,SpeedUp,non, False
68, 20.32659944143508,19.544807155226035,21.574766721257095,60.885857,2,98.75646013175829,First,SpeedUp,non, False
69, 20.307714144047676,19.526648215430455,21.574766721257095,61.8984,2,98.73419574909133,First,SpeedUp,non, False
70, 20.221982004845287,19.44421346619739,21.574766721257095,62.90794,2,98.71212659018629,First,SpeedUp,non, False
71, 20.290075306640382,19.50968779484652,21.574766721257095,63.918045,2,98.69001306224443,First,SpeedUp,non, False
72, 20.256846962145715,19.47773746360165,21.574766721257095,64.92871,2,98.66787291288051,First,SpeedUp,non, False
73, 20.326071926857153,19.544299929670338,21.574766721257095,65.93994,2,98.64568839447979,First,SpeedUp,non, False
74, 20.291364208639717,19.510927123692035,21.574766721257095,66.95174,2,98.62346838084962,First,SpeedUp,non, False
75, 20.318073006009286,19.536608659624314,21.574766721257095,67.964096,2,98.60120399818264,First,SpeedUp,non, False
76, 20.312033673270523,19.530801608913965,21.574766721257095,68.97702,2,98.57892186790096,First,SpeedUp,non, False
77, 20.21039480650968,19.43307192933623,21.574766721257095,69.98694,2,98.55681721376648,First,SpeedUp,non, False
78, 20.261712340143426,19.48241571167637,21.574766721257095,70.99742,2,98.5346859382099,First,SpeedUp,non, False
79, 20.239558841584664,19.461114270754482,21.574766721257095,72.00847,2,98.51251029361654,First,SpeedUp,non, False
80, 20.261305678493816,19.482024690859436,21.574766721257095,73.02008,2,98.49030802760109,First,SpeedUp,non, False
81, 20.255027970622695,19.475988433291054,21.574766721257095,74.03226,2,98.46806139254885,First,SpeedUp,non, False
82, 20.285773856679405,19.505551785268658,21.574766721257095,75.045,2,98.44577926226715,First,SpeedUp,non, False
83, 20.23901516410656,19.460591503948617,21.574766721257095,76.05473,2,98.42369235574739,First,SpeedUp,non, False
84, 20.302781307269075,19.52190510314334,21.574766721257095,77.06503,2,98.40156995399819,First,SpeedUp,non, False
85, 20.24719999616177,19.46846153477093,21.574766721257095,78.0759,2,98.37941205701954,First,SpeedUp,non, False
86, 20.319337472525177,19.53782449281267,21.574766721257095,79.087326,2,98.35721866481146,First,SpeedUp,non, False
87, 20.320624571193374,19.539062087685934,21.574766721257095,80.09932,2,98.33498977737392,First,SpeedUp,non, False
88, 20.312407358328446,19.53116092146966,21.574766721257095,81.11187,2,98.3127165208996,First,SpeedUp,non, False
89, 20.221279312822066,19.44353780079045,21.574766721257095,82.12142,2,98.29064736199454,First,SpeedUp,non, False
90, 20.22487244189578,19.446992732592097,21.574766721257095,83.13154,2,98.26852496024534,First,SpeedUp,non, False
91, 20.289157876070057,19.508805650067362,21.574766721257095,84.14222,2,98.24638481088142,First,SpeedUp,non, False
92, 20.310381928178828,19.52921339247964,21.574766721257095,85.153465,2,98.22420029248069,First,SpeedUp,non, False
93, 20.218764642548,19.441119848603844,21.574766721257095,86.16171,2,98.20221099784189,First,SpeedUp,non, False
94, 20.2479623891499,19.469194604951827,21.574766721257095,87.17052,2,98.18018620797365,First,SpeedUp,non, False
95, 20.31386661911441,19.53256405684078,21.574766721257095,88.179886,2,98.15812592287597,First,SpeedUp,non, False
96, 20.250778854684295,19.471902744888745,21.574766721257095,89.18982,2,98.13602126874149,First,SpeedUp,non, False
97, 20.314368274001207,19.533046417308853,21.574766721257095,90.20032,2,98.11388999318491,First,SpeedUp,non, False
98, 20.306055936083226,19.52505378469541,21.574766721257095,91.21138,2,98.09171434859155,First,SpeedUp,non, False
99, 20.228979778019728,19.450942094249736,21.574766721257095,92.223,2,98.06951208257611,First,SpeedUp,non, False
100, 20.260937285548533,19.481670466873588,21.574766721257095,93.23518,2,98.04726544752386,First,SpeedUp,non, False
101, 20.26288068099298,19.4835391163394,21.574766721257095,94.24793,2,98.02498331724216,First,SpeedUp,non, False
102, 20.261396570458505,19.48211208697933,21.574766721257095,95.261246,2,98.00266569173104,First,SpeedUp,non, False
103, 20.247348000483033,19.4686038466183,21.574766721257095,96.27156,2,97.98054328998182,First,SpeedUp,non, False
104, 20.288941229339695,19.508597335903552,21.574766721257095,97.28244,2,97.95838539300318,First,SpeedUp,non, False
105, 20.219119510346502,19.441461067640866,21.574766721257095,98.29388,2,97.93618312698773,First,SpeedUp,non, False
106, 20.254752379000553,19.475723441346684,21.574766721257095,99.30588,2,97.91395423955021,First,SpeedUp,non, False
107, 20.21650043893718,19.43894272974729,21.574766721257095,100.31488,2,97.89191170206725,First,SpeedUp,non, False
108, 20.24673244432592,19.468011965698,21.574766721257095,101.32445,2,97.8698425431622,First,SpeedUp,non, False
109, 20.245216424794844,19.466554254610426,21.574766721257095,102.33458,2,97.84772901522035,First,SpeedUp,non, False
110, 20.3071602352878,19.52611561085365,21.574766721257095,103.34527,2,97.82557999204907,First,SpeedUp,non, False
111, 20.229547013786636,19.45148751325638,21.574766721257095,104.35652,2,97.80339547364835,First,SpeedUp,non, False
112, 20.223723493142657,19.44588797417563,21.574766721257095,105.36478,2,97.78140617900954,First,SpeedUp,non, False
113, 20.278038774810803,19.49811420654885,21.574766721257095,106.3736,2,97.7593813891413,First,SpeedUp,non, False
114, 20.252542894541232,19.473598937058878,21.574766721257095,107.38298,2,97.73731223023626,First,SpeedUp,non, False
115, 20.29329418560346,19.512782870772558,21.574766721257095,108.39293,2,97.71521644990914,First,SpeedUp,non, False
116, 20.252434208121635,19.473494430886188,21.574766721257095,109.403435,2,97.69308517435257,First,SpeedUp,non, False
117, 20.272506261760885,19.49279448246239,21.574766721257095,110.414505,2,97.6709095297592,First,SpeedUp,non, False
118, 20.237378364758136,19.459017658421285,21.574766721257095,111.42614,2,97.6486983899364,First,SpeedUp,non, False
119, 20.321738392445738,19.540133069659362,21.574766721257095,112.43834,2,97.62645175488414,First,SpeedUp,non, False
120, 20.214384784292797,19.436908446435382,21.574766721257095,113.44754,2,97.60440034359382,First,SpeedUp,non, False
121, 20.251745393415284,19.472832109053158,21.574766721257095,114.4573,2,97.58231343707406,First,SpeedUp,non, False
122, 20.223673293009867,19.44583970481718,21.574766721257095,115.46762,2,97.56019103532485,First,SpeedUp,non, False
123, 20.22736947294626,19.449393723986788,21.574766721257095,116.47851,2,97.53803313834621,First,SpeedUp,non, False
124, 20.266712457439244,19.487223516768502,21.574766721257095,117.48996,2,97.51583974613813,First,SpeedUp,non, False
125, 20.282702909905804,19.502598951832503,21.574766721257095,118.501976,2,97.49360198489323,First,SpeedUp,non, False
126, 20.254961252517965,19.475924281267275,21.574766721257095,119.51456,2,97.4713287284189,First,SpeedUp,non, False
127, 20.26834448667134,19.488792775645518,21.574766721257095,120.527695,2,97.44901997671514,First,SpeedUp,non, False
128, 20.319697377835652,19.538170555611202,21.574766721257095,121.5414,2,97.42667572978192,First,SpeedUp,non, False
129, 20.230483095552927,19.452387591877812,21.574766721257095,122.5521,2,97.404535580418,First,SpeedUp,non, False
130, 20.323532558614513,19.541858229437032,21.574766721257095,123.56337,2,97.3823421882099,First,SpeedUp,non, False
131, 20.223964333367626,19.446119551315025,21.574766721257095,124.57164,2,97.3603528935711,First,SpeedUp,non, False
132, 20.31353055746889,19.532240920643165,21.574766721257095,125.58047,2,97.33832810370286,First,SpeedUp,non, False
133, 20.283209339430027,19.503085903298103,21.574766721257095,126.58986,2,97.31626781860518,First,SpeedUp,non, False
