turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 19.352804482315516,19.352804482315516,21.647534851401776,0.060623772,3,99.98875771180445,First,non,non, False
2, 19.36906574629722,19.36906574629722,21.647534851401776,0.18187132,3,99.98137132584093,First,non,non, False
3, 19.424586022313417,19.424586022313417,21.647534851401776,0.36374265,3,99.97704264578748,First,non,non, False
4, 19.355805152805036,19.355805152805036,21.647534851401776,0.60623777,3,99.97496119537881,First,non,non, False
5, 19.394394565462548,19.394394565462548,21.647534851401776,0.9093566,3,99.97431035837786,First,non,non, False
6, 19.354309904723706,19.354309904723706,21.647534851401776,1.2730992,3,99.97427965851932,First,non,non, False
7, 19.322725067336748,19.322725067336748,21.647534851401776,1.6974657,3,99.97405861953787,First,non,non, False
8, 19.434626747287112,19.434626747287112,21.647534851401776,2.1824558,3,99.97284904511159,First,non,non, False
9, 19.35577234759611,19.35577234759611,21.647534851401776,2.7280698,3,99.96982203906003,First,non,non, False
10, 19.388615983064046,19.388615983064046,21.647534851401776,3.3343074,3,99.96417940506129,First,non,non, False
11, 19.321994424409493,19.321994424409493,21.647534851401776,4.001169,3,99.95511066685005,First,non,non, False
12, 19.437519096911032,19.437519096911032,21.647534851401776,4.7286544,3,99.94179920818924,First,non,non, False
13, 19.419388634371185,19.419388634371185,21.647534851401776,5.5167637,3,99.92343455281357,First,non,non, False
14, 19.408306231761213,19.408306231761213,21.647534851401776,6.3654966,3,99.89921236442942,First,non,non, False
15, 19.36305515132543,19.36305515132543,21.647534851401776,7.274853,3,99.86831602679975,First,non,non, False
16, 19.372653037251194,19.372653037251194,21.647534851401776,8.244834,3,99.82994120363092,First,non,non, False
17, 19.34262025955887,19.34262025955887,21.647534851401776,9.211814,3,99.79196547862307,First,non,non, False
18, 19.329462617504966,19.329462617504966,21.647534851401776,10.175795,3,99.75436429188933,First,non,non, False
19, 19.35008219697149,19.35008219697149,21.647534851401776,11.140399,3,99.71668328552342,First,non,non, False
20, 19.36938570212056,19.36938570212056,21.647534851401776,12.105627,3,99.67892859949701,First,non,non, False
21, 19.352945503804715,19.352945503804715,21.647534851401776,13.071479,3,99.6410940938384,First,non,non, False
22, 19.331324829236628,19.331324829236628,21.647534851401776,14.037954,3,99.6031674886042,First,non,non, False
23, 19.33630038241603,19.33630038241603,21.647534851401776,15.0050535,3,99.56516720370952,First,non,non, False
24, 19.428105753792956,19.428105753792956,21.647534851401776,15.972776,3,99.52708709918264,First,non,non, False
25, 19.32424170010966,19.32424170010966,21.647534851401776,16.9375,3,99.4893938128733,First,non,non, False
26, 19.397549837524675,19.397549837524675,21.647534851401776,17.902847,3,99.45161456696007,First,non,non, False
27, 19.387679496939175,19.387679496939175,21.647534851401776,18.868818,3,99.41376778135806,First,non,non, False
28, 19.348733662271442,19.348733662271442,21.647534851401776,19.835413,3,99.37582275620873,First,non,non, False
29, 19.36718761940694,19.36718761940694,21.647534851401776,20.802631,3,99.33781633134234,First,non,non, False
30, 19.44253517397695,19.44253517397695,21.647534851401776,21.770473,3,99.29971780690033,First,non,non, False
31, 19.43283912057473,19.43283912057473,21.647534851401776,22.73894,3,99.26153332285445,First,non,non, False
32, 19.424915485982446,19.424915485982446,21.647534851401776,23.708029,3,99.22327515914806,First,non,non, False
33, 19.396795320879463,19.396795320879463,21.647534851401776,24.677742,3,99.18493717580948,First,non,non, False
34, 19.340035830050336,19.340035830050336,21.647534851401776,25.644455,3,99.14698601068845,First,non,non, False
35, 19.438359116999788,19.438359116999788,21.647534851401776,26.611792,3,99.10895502593523,First,non,non, False
36, 19.36032214266851,19.36032214266851,21.647534851401776,27.579752,3,99.07085036152152,First,non,non, False
37, 19.439930480334223,19.439930480334223,21.647534851401776,28.548336,3,99.03265973750392,First,non,non, False
38, 19.38247836198582,19.38247836198582,21.647534851401776,29.517544,3,98.99438315388242,First,non,non, False
39, 19.362618760419732,19.362618760419732,21.647534851401776,30.483751,3,98.95649338847846,First,non,non, False
40, 19.428618732989225,19.428618732989225,21.647534851401776,31.450583,3,98.91852994341401,First,non,non, False
41, 19.32318096098805,19.32318096098805,21.647534851401776,32.414413,3,98.88095331656712,First,non,non, False
42, 19.398246230031944,19.398246230031944,21.647534851401776,33.37887,3,98.84329073011631,First,non,non, False
43, 19.429010923786414,19.429010923786414,21.647534851401776,34.34395,3,98.80555446400503,First,non,non, False
44, 19.338124328568174,19.338124328568174,21.647534851401776,35.30965,3,98.76772609831814,First,non,non, False
45, 19.428358447125564,19.428358447125564,21.647534851401776,36.275978,3,98.72983633291418,First,non,non, False
46, 19.408196768652754,19.408196768652754,21.647534851401776,37.242928,3,98.6918544679346,First,non,non, False
47, 19.320461290817736,19.320461290817736,21.647534851401776,38.20688,3,98.65425328120088,First,non,non, False
48, 19.438459192164995,19.438459192164995,21.647534851401776,39.17145,3,98.61657841480665,First,non,non, False
49, 19.347941768660515,19.347941768660515,21.647534851401776,40.13665,3,98.57882986875195,First,non,non, False
50, 19.371411660886594,19.371411660886594,21.647534851401776,41.102474,3,98.54098922312166,First,non,non, False
51, 19.33363664077493,19.33363664077493,21.647534851401776,42.06892,3,98.50307489783087,First,non,non, False
52, 19.36161747139295,19.36161747139295,21.647534851401776,43.03599,3,98.46507461293618,First,non,non, False
53, 19.438872237586864,19.438872237586864,21.647534851401776,44.003685,3,98.42700064838101,First,non,non, False
54, 19.320998520010093,19.320998520010093,21.647534851401776,44.96838,3,98.38931350204338,First,non,non, False
55, 19.363233650977183,19.363233650977183,21.647534851401776,45.933697,3,98.35154653607356,First,non,non, False
56, 19.40649372741578,19.40649372741578,21.647534851401776,46.89964,3,98.31369975047154,First,non,non, False
