turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 19.226002722945537,19.226002722945537,21.359659355775904,0.06058692,2,99.98881590049359,First,non,non, False
2, 19.240667923197115,19.240667923197115,21.359659355775904,0.18176076,2,99.98147335972399,First,non,non, False
3, 19.218549455370056,19.218549455370056,21.359659355775904,0.36352152,2,99.97717037448496,First,non,non, False
4, 19.252757217389618,19.252757217389618,21.359659355775904,0.6058692,2,99.97509517592997,First,non,non, False
5, 19.161117861994857,19.161117861994857,21.359659355775904,0.90880376,2,99.9744482022628,First,non,non, False
6, 19.187945755906274,19.187945755906274,21.359659355775904,1.2723253,2,99.974417684637,First,non,non, False
7, 19.225889773411765,19.225889773411765,21.359659355775904,1.6964337,2,99.97419795773118,First,non,non, False
8, 19.202583136435724,19.202583136435724,21.359659355775904,2.181129,2,99.97299556327431,First,non,non, False
9, 19.177430252966765,19.177430252966765,21.359659355775904,2.7264113,2,99.9699987324199,First,non,non, False
10, 19.210173923410117,19.210173923410117,21.359659355775904,3.3322806,2,99.96441400689689,First,non,non, False
11, 19.183537437661425,19.183537437661425,21.359659355775904,3.9987369,2,99.95541741080845,First,non,non, False
12, 19.16771439409274,19.16771439409274,21.359659355775904,4.72578,2,99.94222158940873,First,non,non, False
13, 19.188180087311277,19.188180087311277,21.359659355775904,5.51341,2,99.92401477385121,First,non,non, False
14, 19.176012056809135,19.176012056809135,21.359659355775904,6.361627,2,99.89998519528936,First,non,non, False
15, 19.22219279818799,19.22219279818799,21.359659355775904,7.270431,2,99.86933939545217,First,non,non, False
16, 19.24981480904703,19.24981480904703,21.359659355775904,8.239821,2,99.8312717090183,First,non,non, False
17, 19.178701624467962,19.178701624467962,21.359659355775904,9.206212,2,99.7935885446696,First,non,non, False
18, 19.17509756969884,19.17509756969884,21.359659355775904,10.169602,2,99.7562899024061,First,non,non, False
19, 19.150042654197033,19.150042654197033,21.359659355775904,11.129993,2,99.71937578222779,First,non,non, False
