turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 21.62545500768787,20.79370673816141,23.270568672236557,0.060429323,1,99.99316741667727,First,SpeedUp,non, False
2, 21.60812877138245,20.777046895560048,23.270568672236557,0.18128797,1,99.98867654600242,First,SpeedUp,non, False
3, 21.589632640784817,20.759262154600783,23.270568672236557,0.36257595,1,99.98602426138532,First,SpeedUp,non, False
4, 21.63291649416038,20.80088124438498,23.270568672236557,0.6042932,1,99.98475091631154,First,SpeedUp,non, False
5, 21.54848096035404,20.719693231109655,23.270568672236557,0.90643984,1,99.98434717275155,First,SpeedUp,non, False
6, 21.556139993150996,20.727057685722112,23.270568672236557,1.2690158,1,99.9843285384334,First,SpeedUp,non, False
7, 21.5779548613551,20.74803352053375,23.270568672236557,1.6920211,1,99.98419809820633,First,SpeedUp,non, False
8, 21.633104604586784,20.801062119794985,23.270568672236557,2.1754558,1,99.98348378267714,First,SpeedUp,non, False
9, 21.55851523542677,20.72934157252574,23.270568672236557,2.7193198,1,99.98168867669507,First,SpeedUp,non, False
10, 21.56195102621569,20.73264521751509,23.270568672236557,3.3236132,1,99.97832207654879,First,SpeedUp,non, False
11, 21.569629697015316,20.74002855482242,23.270568672236557,3.9883356,1,99.97289327852691,First,SpeedUp,non, False
12, 21.603445537829113,20.772543786374147,23.270568672236557,4.7134876,1,99.96492400179685,First,SpeedUp,non, False
13, 21.581918231806508,20.7518444536601,23.270568672236557,5.4990687,1,99.95391733120786,First,SpeedUp,non, False
14, 21.55220982473646,20.723278677631214,23.270568672236557,6.3450794,1,99.9393825630486,First,SpeedUp,non, False
15, 21.579544883316693,20.749562387804513,23.270568672236557,7.251519,1,99.92084141648645,First,SpeedUp,non, False
16, 21.634070580981575,20.801990943251514,23.270568672236557,8.218389,1,99.8977907649313,First,SpeedUp,non, False
17, 21.65463593311387,20.821765320301797,23.270568672236557,9.2456875,1,99.86975232755057,First,SpeedUp,non, False
18, 21.65578296591291,20.82286823645472,23.270568672236557,10.333415,1,99.83622918919349,First,SpeedUp,non, False
19, 21.60429119037457,20.7733569138217,23.270568672236557,11.418143,1,99.80299798848748,First,SpeedUp,non, False
20, 21.625381389761273,20.79363595169353,23.270568672236557,12.499871,1,99.77005251399314,First,SpeedUp,non, False
21, 21.595625047384164,20.765024084023235,23.270568672236557,13.578599,1,99.7373803428317,First,SpeedUp,non, False
22, 21.614121159721503,20.78280880742452,23.270568672236557,14.657756,1,99.70466469159459,First,SpeedUp,non, False
23, 21.551730522272845,20.722817809877736,23.270568672236557,15.733913,1,99.67224097800852,First,SpeedUp,non, False
24, 21.677990904053516,20.84422202312838,23.270568672236557,16.8105,1,99.63976757290739,First,SpeedUp,non, False
25, 21.554849091977466,20.725816434593717,23.270568672236557,17.887516,1,99.60725068773057,First,SpeedUp,non, False
26, 21.64388110170974,20.811424136259365,23.270568672236557,18.964962,1,99.57470274535683,First,SpeedUp,non, False
27, 21.582658836533355,20.752556573589764,23.270568672236557,20.042837,1,99.54211132290739,First,SpeedUp,non, False
28, 21.573030164385436,20.743298234985996,23.270568672236557,21.121141,1,99.50948263182165,First,SpeedUp,non, False
29, 21.593589579206007,20.7630669030827,23.270568672236557,22.199875,1,99.47681046066022,First,SpeedUp,non, False
30, 21.659507016883286,20.826449054695466,23.270568672236557,23.279037,1,99.4440948094231,First,SpeedUp,non, False
31, 21.664587672494537,20.831334300475515,23.270568672236557,24.35863,1,99.41134810098906,First,SpeedUp,non, False
32, 21.591864721131056,20.76140838570294,23.270568672236557,25.43865,1,99.37855791247932,First,SpeedUp,non, False
33, 21.62394536611918,20.79225515972998,23.270568672236557,26.5191,1,99.34572424389391,First,SpeedUp,non, False
34, 21.55830574618098,20.729140140558634,23.270568672236557,27.59655,1,99.31317009008077,First,SpeedUp,non, False
35, 21.564572567246756,20.735165930044957,23.270568672236557,28.674429,1,99.28057866763135,First,SpeedUp,non, False
36, 21.63779330156577,20.80557048227478,23.270568672236557,29.752739,1,99.24794997654561,First,SpeedUp,non, False
37, 21.66975547700175,20.836303343270913,23.270568672236557,30.831478,1,99.21528401682356,First,SpeedUp,non, False
38, 21.588638630170806,20.758306375164235,23.270568672236557,31.910646,1,99.18256836558643,First,SpeedUp,non, False
39, 21.665553888629557,20.832263354451495,23.270568672236557,32.990242,1,99.14980923427363,First,SpeedUp,non, False
40, 21.643361298648745,20.810924325623795,23.270568672236557,34.070267,1,99.11702525720328,First,SpeedUp,non, False
41, 21.656575039088484,20.823629845277388,23.270568672236557,35.150723,1,99.08419158861786,First,SpeedUp,non, False
42, 21.56227976539449,20.732961312879315,23.270568672236557,36.22818,1,99.05163743480473,First,SpeedUp,non, False
43, 21.663116507243842,20.829919718503692,23.270568672236557,37.306065,1,99.01905222379469,First,SpeedUp,non, False
44, 21.5643055729939,20.734909204801824,23.270568672236557,38.38438,1,98.98641110983017,First,SpeedUp,non, False
45, 21.587584655406094,20.757292937890472,23.270568672236557,39.463123,1,98.95374515010813,First,SpeedUp,non, False
46, 21.58109233682771,20.751050323872796,23.270568672236557,40.542297,1,98.92102328743162,First,SpeedUp,non, False
47, 21.620527721207903,20.788968962699908,23.270568672236557,41.6219,1,98.88827657899759,First,SpeedUp,non, False
48, 21.57870203604781,20.74875195773828,23.270568672236557,42.6985,1,98.85580317389645,First,SpeedUp,non, False
49, 21.60533090106933,20.774356635643585,23.270568672236557,43.77553,1,98.82329250015901,First,SpeedUp,non, False
50, 21.578463729117633,20.74852281645926,23.270568672236557,44.852993,1,98.79073834634589,First,SpeedUp,non, False
51, 21.616570422266154,20.785163867563607,23.270568672236557,45.93088,1,98.75814692389645,First,SpeedUp,non, False
52, 21.654158399171703,20.821306153049715,23.270568672236557,47.0092,1,98.72551823281071,First,SpeedUp,non, False
53, 21.611035121448364,20.779841462931117,23.270568672236557,48.08795,1,98.6928398502099,First,SpeedUp,non, False
54, 21.591340466305553,20.76090429452457,23.270568672236557,49.16713,1,98.66012419897278,First,SpeedUp,non, False
55, 21.55979480681362,20.730571929628482,23.270568672236557,50.24331,1,98.62770048538673,First,SpeedUp,non, False
56, 21.618620342480295,20.78713494469259,23.270568672236557,51.319916,1,98.59522708028558,First,SpeedUp,non, False
57, 21.60425640778905,20.773323469027932,23.270568672236557,52.396954,1,98.56271019510876,First,SpeedUp,non, False
58, 21.671754688523635,20.838225662041957,23.270568672236557,53.47442,1,98.53016225273502,First,SpeedUp,non, False
