turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 20.086906970557187,20.086906970557187,21.625234391176832,0.060221132,8,99.9816190120078,First,non,non, False
2, 20.116235978058626,20.116235978058626,21.625234391176832,0.18066339,8,99.96901419562542,First,non,non, False
3, 20.140082901870827,20.140082901870827,21.625234391176832,0.36132678,8,99.96110821611931,First,non,non, False
4, 20.06550946580718,20.06550946580718,21.625234391176832,0.6022113,8,99.95681545156567,First,non,non, False
5, 20.03648464548686,20.03648464548686,21.625234391176832,0.903317,8,99.95503370566021,First,non,non, False
6, 20.090324830718373,20.090324830718373,21.625234391176832,1.2646438,8,99.95467735647912,First,non,non, False
7, 20.049011423887794,20.049011423887794,21.625234391176832,1.6861917,8,99.9546607820986,First,non,non, False
8, 20.14041281711408,20.14041281711408,21.625234391176832,2.1679606,8,99.95388178621435,First,non,non, False
9, 20.068047828786156,20.068047828786156,21.625234391176832,2.709951,8,99.95126303409283,First,non,non, False
10, 20.038575204382884,20.038575204382884,21.625234391176832,3.3121622,8,99.94571061661999,First,non,non, False
11, 20.0360500943533,20.0360500943533,21.625234391176832,3.9745946,8,99.93613062468177,First,non,non, False
12, 20.122833204515526,20.122833204515526,21.625234391176832,4.697248,8,99.92144572354464,First,non,non, False
13, 20.11444843269033,20.11444843269033,21.625234391176832,5.4801226,8,99.90055371690427,First,non,non, False
14, 20.11879093294289,20.11879093294289,21.625234391176832,6.3232183,8,99.87236898283689,First,non,non, False
15, 20.03141010535081,20.03141010535081,21.625234391176832,7.2265353,8,99.83579761222845,First,non,non, False
16, 20.07174270161553,20.07174270161553,21.625234391176832,8.190073,8,99.78974569596487,First,non,non, False
17, 20.118631040744834,20.118631040744834,21.625234391176832,9.213832,8,99.73314418650288,First,non,non, False
18, 20.096264985335925,20.096264985335925,21.625234391176832,10.2345915,8,99.67708963159792,First,non,non, False
19, 20.748461137349725,20.129825610377026,21.625234391176832,11.254347,7.95,99.62098535355142,First,non,InsideOvertaking, False
20, 21.475074281951613,20.116342615716395,21.625234391176832,12.274323,7.8999996,99.56484792674388,First,non,InsideOvertaking, False
21, 21.34848841187546,20.089542079242886,21.625234391176832,13.294521,7.8499994,99.50866906398507,First,non,InsideOvertaking, False
22, 20.64179180986649,20.04370409055064,21.625234391176832,14.31494,7.799999,99.4524570524652,First,non,InsideOvertaking, False
23, 21.93736153357946,20.038714579697604,21.625234391176832,15.335582,7.749999,99.39618703061355,First,non,InsideOvertaking, False
24, 21.239116039708012,20.09700130934866,21.625234391176832,16.356443,7.699999,99.33989214719111,First,non,InsideOvertaking, False
25, 20.905003276005004,20.02564793897377,21.625234391176832,17.377527,7.6499987,99.28354754062713,First,non,InsideOvertaking, False
26, 22.200625503254606,20.076949110916686,21.625234391176832,18.398832,7.5999985,99.2271697853021,First,non,InsideOvertaking, False
27, 20.542273375602775,20.129383396595152,21.625234391176832,19.420359,7.5499983,99.17075059402579,First,non,InsideOvertaking, False
28, 20.119078427065837,20.119078427065837,21.625234391176832,20.440107,7.5499983,99.11487835730651,First,non,non, False
29, 20.061340263773943,20.061340263773943,21.625234391176832,21.456856,7.5499983,99.05955307514427,First,non,non, False
30, 20.131605402492024,20.131605402492024,21.625234391176832,22.470606,7.5499983,99.00477474753903,First,non,non, False
31, 20.08570484790114,20.08570484790114,21.625234391176832,23.481356,7.5499983,98.95054337449083,First,non,non, False
32, 20.14372828682453,20.14372828682453,21.625234391176832,24.489105,7.5499983,98.8968506688094,First,non,non, False
33, 20.01813690566258,20.01813690566258,21.625234391176832,25.493855,7.5499983,98.84369663049473,First,non,non, False
34, 20.101032283956545,20.101032283956545,21.625234391176832,26.498825,7.5499983,98.79050115622879,First,non,non, False
35, 20.04671620385698,20.04671620385698,21.625234391176832,27.500795,7.5499983,98.73783606213934,First,non,non, False
36, 20.090392832916137,20.090392832916137,21.625234391176832,28.502987,7.5499983,98.68513781928887,First,non,non, False
37, 20.095423424599453,20.095423424599453,21.625234391176832,29.5054,7.5499983,98.6323981404871,First,non,non, False
38, 20.028509475760167,20.028509475760167,21.625234391176832,30.504812,7.5499983,98.5801971290521,First,non,non, False
39, 20.121937396484366,20.121937396484366,21.625234391176832,31.504446,7.5499983,98.52794639447556,First,non,non, False
40, 20.106815083349986,20.106815083349986,21.625234391176832,32.504303,7.5499983,98.47566251113798,First,non,non, False
41, 20.032252029767907,20.032252029767907,21.625234391176832,33.50438,7.5499983,98.42333719184911,First,non,non, False
42, 20.03900930843222,20.03900930843222,21.625234391176832,34.504677,7.5499983,98.37097872379921,First,non,non, False
43, 20.12520289556809,20.12520289556809,21.625234391176832,35.505196,7.5499983,98.31857053260777,First,non,non, False
44, 20.144763477770297,20.144763477770297,21.625234391176832,36.505936,7.5499983,98.2661291926553,First,non,non, False
45, 20.027826000411572,20.027826000411572,21.625234391176832,37.506897,7.5499983,98.21364641675153,First,non,non, False
46, 20.050447550935658,20.050447550935658,21.625234391176832,38.50808,7.5499983,98.16113049208673,First,non,non, False
47, 20.08516128416834,20.08516128416834,21.625234391176832,39.509483,7.5499983,98.10856484428038,First,non,non, False
48, 20.034589168087464,20.034589168087464,21.625234391176832,40.51111,7.5499983,98.05597433490325,First,non,non, False
49, 20.03701504066922,20.03701504066922,21.625234391176832,41.512955,7.5499983,98.00333410238458,First,non,non, False
50, 20.063069430981677,20.063069430981677,21.625234391176832,42.515022,7.5499983,97.95065243391463,First,non,non, False
51, 20.030269439304902,20.030269439304902,21.625234391176832,43.514088,7.5499983,97.89850943281144,First,non,non, False
52, 20.0839501277785,20.0839501277785,21.625234391176832,44.513374,7.5499983,97.84632499575696,First,non,non, False
53, 20.027420962908934,20.027420962908934,21.625234391176832,45.512882,7.5499983,97.79409912275119,First,non,non, False
54, 20.118633773239658,20.118633773239658,21.625234391176832,46.51261,7.5499983,97.74184010098438,First,non,non, False
55, 20.10542205815337,20.10542205815337,21.625234391176832,47.51256,7.5499983,97.68953135607603,First,non,non, False
56, 20.073289529440885,20.073289529440885,21.625234391176832,48.512733,7.5499983,97.63719774959691,First,non,non, False
57, 20.070615890068122,20.070615890068122,21.625234391176832,49.513126,7.5499983,97.58481441997624,First,non,non, False
58, 20.09669840211893,20.09669840211893,21.625234391176832,50.51374,7.5499983,97.53239794159454,First,non,non, False
59, 20.03212220999615,20.03212220999615,21.625234391176832,51.514576,7.5499983,97.47994002726153,First,non,non, False
60, 20.124780934026123,20.124780934026123,21.625234391176832,52.515633,7.5499983,97.42744067697726,First,non,non, False
61, 20.04478984022319,20.04478984022319,21.625234391176832,53.51691,7.5499983,97.37489989074169,First,non,non, False
62, 20.018593502503425,20.018593502503425,21.625234391176832,54.51519,7.5499983,97.32289777187287,First,non,non, False
63, 20.076904210648763,20.076904210648763,21.625234391176832,55.513687,7.5499983,97.27085421705279,First,non,non, False
64, 20.042089780806045,20.042089780806045,21.625234391176832,56.512405,7.5499983,97.2187692262814,First,non,non, False
65, 20.07498984791395,20.07498984791395,21.625234391176832,57.511345,7.5499983,97.16664279955872,First,non,non, False
66, 20.054951880232075,20.054951880232075,21.625234391176832,58.510506,7.5499983,97.11448322407502,First,non,non, False
67, 20.1493228668483,20.1493228668483,21.625234391176832,59.509888,7.5499983,97.06228221264001,First,non,non, False
68, 20.09899386309908,20.09899386309908,21.625234391176832,60.50949,7.5499983,97.01003976525374,First,non,non, False
69, 20.14871117788191,20.14871117788191,21.625234391176832,61.509315,7.5499983,96.95776416910641,First,non,non, False
70, 20.03413293049217,20.03413293049217,21.625234391176832,62.50936,7.5499983,96.9054471370078,First,non,non, False
71, 20.107876930309736,20.107876930309736,21.625234391176832,63.50963,7.5499983,96.85308866895791,First,non,non, False
72, 20.05110939226878,20.05110939226878,21.625234391176832,64.51012,7.5499983,96.80068876495672,First,non,non, False
73, 20.049095066645634,20.049095066645634,21.625234391176832,65.510826,7.5499983,96.74825571219449,First,non,non, False
74, 20.03341149980758,20.03341149980758,21.625234391176832,66.51176,7.5499983,96.69578122348099,First,non,non, False
75, 20.079577222710864,20.079577222710864,21.625234391176832,67.51291,7.5499983,96.64325701162593,First,non,non, False
76, 20.122580522934875,20.122580522934875,21.625234391176832,68.51428,7.5499983,96.5907079382001,First,non,non, False
77, 20.109141252597695,20.109141252597695,21.625234391176832,69.51588,7.5499983,96.53811742882297,First,non,non, False
78, 20.045414503700904,20.045414503700904,21.625234391176832,70.51769,7.5499983,96.4854771963043,First,non,non, False
79, 20.13401613814741,20.13401613814741,21.625234391176832,71.51973,7.5499983,96.43281210221487,First,non,non, False
80, 20.081028929770845,20.081028929770845,21.625234391176832,72.52199,7.5499983,96.38009728498388,First,non,non, False
81, 20.095642415412165,20.095642415412165,21.625234391176832,73.52447,7.5499983,96.32734931899185,First,non,non, False
82, 20.1464559812225,20.1464559812225,21.625234391176832,74.52717,7.5499983,96.27455162985828,First,non,non, False
83, 20.049774191896397,20.049774191896397,21.625234391176832,75.52687,7.5499983,96.22229260809148,First,non,non, False
84, 20.07593724289864,20.07593724289864,21.625234391176832,76.526794,7.5499983,96.17000043756364,First,non,non, False
85, 20.104626887867457,20.104626887867457,21.625234391176832,77.52694,7.5499983,96.11765854389427,First,non,non, False
86, 20.128505386095448,20.128505386095448,21.625234391176832,78.527306,7.5499983,96.06529178865411,First,non,non, False
87, 20.077196307300923,20.077196307300923,21.625234391176832,79.52789,7.5499983,96.0128753102724,First,non,non, False
88, 20.08699700740967,20.08699700740967,21.625234391176832,80.5287,7.5499983,95.9604173959394,First,non,non, False
89, 20.065947846873687,20.065947846873687,21.625234391176832,81.52973,7.5499983,95.90793462003563,First,non,non, False
90, 20.147682592962084,20.147682592962084,21.625234391176832,82.53098,7.5499983,95.85540212099032,First,non,non, False
91, 20.06971332663388,20.06971332663388,21.625234391176832,83.532455,7.5499983,95.80282818599372,First,non,non, False
92, 20.059806002744235,20.059806002744235,21.625234391176832,84.53415,7.5499983,95.75021281504583,First,non,non, False
93, 20.027897092557893,20.027897092557893,21.625234391176832,85.53284,7.5499983,95.69813611146469,First,non,non, False
94, 20.14433626796892,20.14433626796892,21.625234391176832,86.531746,7.5499983,95.64601797193228,First,non,non, False
95, 20.133678803114588,20.133678803114588,21.625234391176832,87.530876,7.5499983,95.59385839644857,First,non,non, False
96, 20.052818213807473,20.052818213807473,21.625234391176832,88.53023,7.5499983,95.54166567220383,First,non,non, False
97, 20.05584267197699,20.05584267197699,21.625234391176832,89.5298,7.5499983,95.4894315120078,First,non,non, False
98, 20.09345815169786,20.09345815169786,21.625234391176832,90.529594,7.5499983,95.43715591586049,First,non,non, False
99, 20.116931764453035,20.116931764453035,21.625234391176832,91.52961,7.5499983,95.38483888376187,First,non,non, False
100, 20.08653836580533,20.08653836580533,21.625234391176832,92.52985,7.5499983,95.33248870290224,First,non,non, False
101, 20.08049132326097,20.08049132326097,21.625234391176832,93.530304,7.5499983,95.2800970860913,First,non,non, False
102, 20.086489488388032,20.086489488388032,21.625234391176832,94.53098,7.5499983,95.22766403332909,First,non,non, False
103, 20.103568965894688,20.103568965894688,21.625234391176832,95.53188,7.5499983,95.17519783180583,First,non,non, False
104, 20.065761760602545,20.065761760602545,21.625234391176832,96.533005,7.5499983,95.1226901943313,First,non,non, False
105, 20.030687448952335,20.030687448952335,21.625234391176832,97.53435,7.5499983,95.0701328337152,First,non,non, False
106, 20.12004827653999,20.12004827653999,21.625234391176832,98.53591,7.5499983,95.01755061152834,First,non,non, False
107, 20.127665361737414,20.127665361737414,21.625234391176832,99.5377,7.5499983,94.96491866619994,First,non,non, False
108, 20.06503121286476,20.06503121286476,21.625234391176832,100.5397,7.5499983,94.91225357211049,First,non,non, False
109, 20.056598912230186,20.056598912230186,21.625234391176832,101.54193,7.5499983,94.85954704206975,First,non,non, False
110, 20.116632321798217,20.116632321798217,21.625234391176832,102.54438,7.5499983,94.80679907607772,First,non,non, False
111, 20.092795803512537,20.092795803512537,21.625234391176832,103.54705,7.5499983,94.75401796132468,First,non,non, False
