turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 20.041919873901207,20.041919873901207,21.63793422644158,0,7,100,First,non,non, False
2, 20.135872946685737,20.135872946685737,21.63793422644158,0.060221132,7,99.9816190120078,First,non,non, False
3, 20.064963590544462,20.064963590544462,21.63793422644158,0.18066339,7,99.96901419562542,First,non,non, False
4, 20.021408994462853,20.021408994462853,21.63793422644158,0.36132678,7,99.96110821611931,First,non,non, False
5, 20.040365796632898,20.040365796632898,21.63793422644158,0.6022113,7,99.95681545156567,First,non,non, False
6, 20.0557377765818,20.0557377765818,21.63793422644158,0.903317,7,99.95503370566021,First,non,non, False
7, 20.06786049866639,20.06786049866639,21.63793422644158,1.2646438,7,99.95467735647912,First,non,non, False
8, 20.110134375136592,20.110134375136592,21.63793422644158,1.6861917,7,99.9546607820986,First,non,non, False
9, 20.136384732001954,20.136384732001954,21.63793422644158,2.1679606,7,99.95388178621435,First,non,non, False
10, 20.14117188601776,20.14117188601776,21.63793422644158,2.709951,7,99.95126303409283,First,non,non, False
11, 20.114055707721278,20.114055707721278,21.63793422644158,3.3121622,7,99.94571061661999,First,non,non, False
12, 20.04127663724025,20.04127663724025,21.63793422644158,3.9745946,7,99.93613062468177,First,non,non, False
13, 20.07448289747846,20.07448289747846,21.63793422644158,4.697248,7,99.92144572354464,First,non,non, False
14, 20.01820098678841,20.01820098678841,21.63793422644158,5.4801226,7,99.90055371690427,First,non,non, False
15, 20.121469816824035,20.121469816824035,21.63793422644158,6.3232183,7,99.87236898283689,First,non,non, False
16, 20.064484018873653,20.064484018873653,21.63793422644158,7.2265353,7,99.83579761222845,First,non,non, False
17, 20.038570186274715,20.038570186274715,21.63793422644158,8.190073,7,99.78974569596487,First,non,non, False
18, 20.069125080618676,20.069125080618676,21.63793422644158,9.213832,7,99.73314418650288,First,non,non, False
19, 20.121616679496007,20.121616679496007,21.63793422644158,10.2345915,7,99.67708963159792,First,non,non, False
20, 20.08700394088167,20.08700394088167,21.63793422644158,11.252351,7,99.62157374405975,First,non,non, False
21, 20.096501725636124,20.096501725636124,21.63793422644158,12.26711,7,99.56661309826883,First,non,non, False
22, 20.118249976645835,20.118249976645835,21.63793422644158,13.27887,7,99.51219940703496,First,non,non, False
23, 20.034129306710476,20.034129306710476,21.63793422644158,14.287629,7,99.45832438316785,First,non,non, False
24, 20.120284965268034,20.120284965268034,21.63793422644158,15.293388,7,99.40498802666751,First,non,non, False
25, 20.0345494531417,20.0345494531417,21.63793422644158,16.296148,7,99.35219033753394,First,non,non, False
26, 20.12487049859029,20.12487049859029,21.63793422644158,17.29913,7,99.29935121244908,First,non,non, False
27, 20.04350933672884,20.04350933672884,21.63793422644158,18.29911,7,99.24704246754074,First,non,non, False
28, 20.135836227225266,20.135836227225266,21.63793422644158,19.299313,7,99.19469228668109,First,non,non, False
29, 20.116427535645546,20.116427535645546,21.63793422644158,20.299736,7,99.14230895706042,First,non,non, False
30, 20.14071419708405,20.14071419708405,21.63793422644158,21.30038,7,99.08988419148845,First,non,non, False
31, 20.096423291212833,20.096423291212833,21.63793422644158,22.301245,7,99.0374179899652,First,non,non, False
32, 20.059708475167316,20.059708475167316,21.63793422644158,23.30233,7,98.98491863968093,First,non,non, False
33, 20.091650841567436,20.091650841567436,21.63793422644158,24.303637,7,98.93237785344535,First,non,non, False
34, 20.145713377900414,20.145713377900414,21.63793422644158,25.305164,7,98.87979563125849,First,non,non, False
35, 20.12042161973306,20.12042161973306,21.63793422644158,26.306913,7,98.82717197312033,First,non,non, False
36, 20.796611413057583,20.05552672430499,21.63793422644158,27.307636,6.95,98.77450687903088,First,non,InsideOvertaking, False
37, 21.120531409502647,20.04908476800804,21.63793422644158,28.30858,6.8999996,98.72180863618041,First,non,InsideOvertaking, False
38, 20.358243032040264,20.076987267393275,21.63793422644158,29.309746,6.8499994,98.66907724456891,First,non,InsideOvertaking, False
39, 20.838824465792452,20.06606633898433,21.63793422644158,30.311132,6.799999,98.61629612981585,First,non,InsideOvertaking, False
40, 22.127001828497647,20.045807958694883,21.63793422644158,31.31274,6.749999,98.5634735791115,First,non,InsideOvertaking, False
41, 21.752211320949222,20.050648774814903,21.63793422644158,32.31457,6.699999,98.51061787964613,First,non,InsideOvertaking, False
42, 22.308241306603254,20.122447865063723,21.63793422644158,33.316624,6.6499987,98.45772074422946,First,non,InsideOvertaking, False
43, 20.36447507791513,20.104737879459826,21.63793422644158,34.318897,6.5999985,98.4047821728615,First,non,InsideOvertaking, False
44, 22.120727954059113,20.056124882517835,21.63793422644158,35.321392,6.5499983,98.35181045273252,First,non,InsideOvertaking, False
45, 21.661289519575398,20.12250374783037,21.63793422644158,36.32411,6.499998,98.29878900946198,First,non,InsideOvertaking, False
46, 21.203763504738365,20.119660204435096,21.63793422644158,37.327045,6.449998,98.24574270462067,First,non,InsideOvertaking, False
47, 21.21915149014849,20.02654460138751,21.63793422644158,38.330204,6.3999977,98.1926466766378,First,non,InsideOvertaking, False
48, 20.820998969082773,20.07189963801798,21.63793422644158,39.333584,6.3499975,98.13950921270366,First,non,InsideOvertaking, False
49, 21.31099495286757,20.132477512065467,21.63793422644158,40.337185,6.2999973,98.08633860000849,First,non,InsideOvertaking, False
50, 21.882390015530948,20.0414731241945,21.63793422644158,41.341007,6.249997,98.03312655136202,First,non,InsideOvertaking, False
51, 21.686474399430985,20.06715733348823,21.63793422644158,42.34505,6.199997,97.97987306676426,First,non,InsideOvertaking, False
52, 21.21415039730977,20.049689831357856,21.63793422644158,43.349316,6.1499968,97.9265781462152,First,non,InsideOvertaking, False
53, 20.7129644267543,20.12672942828511,21.63793422644158,44.3538,6.0999966,97.87325007690512,First,non,InsideOvertaking, False
54, 21.758351092094717,20.071349892048623,21.63793422644158,45.35851,6.0499964,97.81988057164375,First,non,InsideOvertaking, False
