turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 19.845019629347718,19.845019629347718,22.10827426414871,0.060592983,3,99.982067659019,First,non,non, False
2, 19.795300050583787,19.795300050583787,22.10827426414871,0.18177895,3,99.969811975622,First,non,non, False
3, 19.873737897459442,19.873737897459442,22.10827426414871,0.3635579,3,99.96216533641065,First,non,non, False
4, 19.83814583791022,19.83814583791022,22.10827426414871,0.60592985,3,99.95803420717571,First,non,non, False
5, 19.870871784025862,19.870871784025862,22.10827426414871,0.9088948,3,99.95635745472153,First,non,non, False
6, 19.7967899752598,19.7967899752598,22.10827426414871,1.2724527,3,99.95604154483885,First,non,non, False
7, 19.81628570129485,19.81628570129485,22.10827426414871,1.6966035,3,99.95600914382524,First,non,non, False
8, 19.827813317908635,19.827813317908635,22.10827426414871,2.1813474,3,99.95519101823166,First,non,non, False
9, 19.79092277316391,19.79092277316391,22.10827426414871,2.726684,3,99.95249363384885,First,non,non, False
10, 19.86262253389252,19.86262253389252,22.10827426414871,3.332614,3,99.94685585748115,First,non,non, False
11, 19.857402303890428,19.857402303890428,22.10827426414871,3.9991367,3,99.93719225517276,First,non,non, False
12, 19.798507583711835,19.798507583711835,22.10827426414871,4.7262526,3,99.92242549322118,First,non,non, False
13, 19.89792945623482,19.89792945623482,22.10827426414871,5.5139613,3,99.90147013767061,First,non,non, False
14, 19.835169626421553,19.835169626421553,22.10827426414871,6.362263,3,99.87324885481857,First,non,non, False
15, 19.811237482037935,19.811237482037935,22.10827426414871,7.2711577,3,99.83669241121603,First,non,non, False
16, 19.828101538476833,19.828101538476833,22.10827426414871,8.240645,3,99.79070727265375,First,non,non, False
17, 19.789343580857334,19.789343580857334,22.10827426414871,9.270726,3,99.73424040618947,First,non,non, False
18, 19.90105486832643,19.90105486832643,22.10827426414871,10.297807,3,99.67830005619632,First,non,non, False
19, 19.9069595410296,19.9069595410296,22.10827426414871,11.321888,3,99.6229186236879,First,non,non, False
20, 19.89379221729728,19.89379221729728,22.10827426414871,12.342969,3,99.56806370765058,First,non,non, False
21, 19.86269319931301,19.86269319931301,22.10827426414871,13.36105,3,99.5137515085912,First,non,non, False
22, 19.780977822649934,19.780977822649934,22.10827426414871,14.37613,3,99.45997392625632,First,non,non, False
23, 19.829844725012595,19.829844725012595,22.10827426414871,15.38821,3,99.40673096064599,First,non,non, False
24, 19.79458387230749,19.79458387230749,22.10827426414871,16.397291,3,99.35401451150676,First,non,non, False
25, 19.86278446090314,19.86278446090314,22.10827426414871,17.403372,3,99.30182457883866,First,non,non, False
26, 19.86274862350449,19.86274862350449,22.10827426414871,18.406452,3,99.25015306238828,First,non,non, False
27, 19.85665259728742,19.85665259728742,22.10827426414871,19.406532,3,99.19901616266242,First,non,non, False
28, 19.81335782333016,19.81335782333016,22.10827426414871,20.403612,3,99.14838957890088,First,non,non, False
29, 19.782554844857113,19.782554844857113,22.10827426414871,21.397694,3,99.09827331110364,First,non,non, False
30, 19.84938335511506,19.84938335511506,22.10827426414871,22.388775,3,99.04867545952413,First,non,non, False
31, 19.853453294804723,19.853453294804723,22.10827426414871,23.38045,3,98.9989804049038,First,non,non, False
32, 19.801274917033364,19.801274917033364,22.10827426414871,24.369123,3,98.94979566624778,First,non,non, False
33, 19.82665663351925,19.82665663351925,22.10827426414871,25.35839,3,98.90050562429755,First,non,non, False
34, 19.81545284890306,19.81545284890306,22.10827426414871,26.348251,3,98.85111837930648,First,non,non, False
35, 19.89227813235291,19.89227813235291,22.10827426414871,27.338703,3,98.8016339312746,First,non,non, False
36, 19.909989916992767,19.909989916992767,22.10827426414871,28.329748,3,98.75204417994848,First,non,non, False
37, 19.80715630380483,19.80715630380483,22.10827426414871,29.317793,3,98.7029647445867,First,non,non, False
38, 19.897650653852384,19.897650653852384,22.10827426414871,30.30643,3,98.65378000593068,First,non,non, False
39, 19.880795698433214,19.880795698433214,22.10827426414871,31.295662,3,98.60449806423384,First,non,non, False
40, 19.796624676341423,19.796624676341423,22.10827426414871,32.28549,3,98.55511891949618,First,non,non, False
41, 19.841420824994238,19.841420824994238,22.10827426414871,33.275906,3,98.5056344714643,First,non,non, False
42, 19.804723511507117,19.804723511507117,22.10827426414871,34.263325,3,98.45666033939673,First,non,non, False
43, 19.873829454925414,19.873829454925414,22.10827426414871,35.251335,3,98.40758900428834,First,non,non, False
44, 19.90653898500518,19.90653898500518,22.10827426414871,36.239937,3,98.35841236588573,First,non,non, False
45, 19.858037777642917,19.858037777642917,22.10827426414871,37.229134,3,98.30913852444229,First,non,non, False
46, 19.839277277721195,19.839277277721195,22.10827426414871,38.21892,3,98.25975937970463,First,non,non, False
47, 19.784113136826416,19.784113136826416,22.10827426414871,39.20571,3,98.21089865118468,First,non,non, False
48, 19.8732270789136,19.8732270789136,22.10827426414871,40.193092,3,98.16192451911712,First,non,non, False
49, 19.863326183730766,19.863326183730766,22.10827426414871,41.18107,3,98.11286128426212,First,non,non, False
50, 19.86187758081483,19.86187758081483,22.10827426414871,42.169636,3,98.06369274611292,First,non,non, False
51, 19.893589549684766,19.893589549684766,22.10827426414871,43.1588,3,98.01441890466948,First,non,non, False
52, 19.850810270191943,19.850810270191943,22.10827426414871,44.148552,3,97.96505596043862,First,non,non, False
53, 19.87698030295399,19.87698030295399,22.10827426414871,45.1389,3,97.91558771291353,First,non,non, False
54, 19.785402087187602,19.785402087187602,22.10827426414871,46.126247,3,97.86662168109937,First,non,non, False
55, 19.897352648116645,19.897352648116645,22.10827426414871,47.11419,3,97.81755844624439,First,non,non, False
56, 19.86046413348535,19.86046413348535,22.10827426414871,48.102722,3,97.76839800834857,First,non,non, False
57, 19.813792875994192,19.813792875994192,22.10827426414871,49.09185,3,97.71913226715854,First,non,non, False
58, 19.841487454369005,19.841487454369005,22.10827426414871,50.08157,3,97.66976932292768,First,non,non, False
59, 19.889144889746692,19.889144889746692,22.10827426414871,51.07188,3,97.62030107540261,First,non,non, False
60, 19.833907568727888,19.833907568727888,22.10827426414871,52.062786,3,97.5707356248367,First,non,non, False
61, 19.7896174724752,19.7896174724752,22.10827426414871,53.05069,3,97.52168859048851,First,non,non, False
62, 19.823265694001805,19.823265694001805,22.10827426414871,54.03919,3,97.4725281525927,First,non,non, False
63, 19.836735760529688,19.836735760529688,22.10827426414871,55.02828,3,97.42327051165607,First,non,non, False
64, 19.825896690391904,19.825896690391904,22.10827426414871,56.017963,3,97.37391566767862,First,non,non, False
65, 19.852546698563042,19.852546698563042,22.10827426414871,57.00824,3,97.32444742015353,First,non,non, False
66, 19.78395443698797,19.78395443698797,22.10827426414871,57.995518,3,97.27549758884618,First,non,non, False
67, 19.8636243697547,19.8636243697547,22.10827426414871,58.983387,3,97.22645055449799,First,non,non, False
68, 19.891128154827687,19.891128154827687,22.10827426414871,59.97185,3,97.17730631710899,First,non,non, False
69, 19.90328830175225,19.90328830175225,22.10827426414871,60.960907,3,97.12804867617234,First,non,non, False
70, 19.901489603258145,19.901489603258145,22.10827426414871,61.950558,3,97.07869383219489,First,non,non, False
71, 19.788227634029237,19.788227634029237,22.10827426414871,62.937206,3,97.02985740443515,First,non,non, False
72, 19.830283719649394,19.830283719649394,22.10827426414871,63.92445,3,96.9809075731278,First,non,non, False
