turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 18.718413320742478,18.718413320742478,20.064833429986038,0,6,100,First,non,non, False
2, 18.718413320742478,18.718413320742478,20.064833429986038,0,6,100,First,non,non, False
3, 19.519454088036962,18.768705853881695,20.064833429986038,0.0602245,6,99.99645537351054,First,SpeedUp,non, False
4, 19.493069591301495,18.743336145482207,20.064833429986038,0.1806735,6,99.99431606610908,First,SpeedUp,non, False
5, 19.563630317156345,18.811182997265718,20.064833429986038,0.361347,6,99.99323298579286,First,SpeedUp,non, False
6, 19.554125232222678,18.802043492521804,20.064833429986038,0.602245,6,99.99284808948214,First,SpeedUp,non, False
7, 19.52026331288179,18.769483954694028,20.064833429986038,0.90336746,6,99.99280333409716,First,SpeedUp,non, False
8, 19.53373494384712,18.782437446006846,20.064833429986038,1.2647145,6,99.9927496276352,First,SpeedUp,non, False
9, 19.561848331797037,18.80946954980484,20.064833429986038,1.686286,6,99.99234682917049,First,SpeedUp,non, False
10, 19.57836314843161,18.82534918118424,20.064833429986038,2.168082,6,99.9912279445463,First,SpeedUp,non, False
11, 19.521546648558104,18.770717931305867,20.064833429986038,2.7101026,6,99.98904388175986,First,SpeedUp,non, False
12, 19.495708716232617,18.745873765608284,20.064833429986038,3.3123474,6,99.98542764665446,First,SpeedUp,non, False
13, 19.493955315691476,18.744187803549497,20.064833429986038,3.9748168,6,99.98004804938131,First,SpeedUp,non, False
14, 19.456504347932004,18.708177257626925,20.064833429986038,4.6975107,6,99.97253809578369,First,SpeedUp,non, False
15, 19.519050485300593,18.768317774327492,20.064833429986038,5.480429,6,99.96254869385885,First,SpeedUp,non, False
16, 19.566628319044916,18.81406569138934,20.064833429986038,6.323572,6,99.94972180052704,First,SpeedUp,non, False
17, 19.48699899372676,18.73749903242958,20.064833429986038,7.2269397,6,99.93371727486252,First,SpeedUp,non, False
18, 19.560260210121818,18.807942509732516,20.064833429986038,8.190532,6,99.91417707378552,First,SpeedUp,non, False
19, 19.53638032092083,18.78498107780849,20.064833429986038,9.214348,6,99.89073420313933,First,SpeedUp,non, False
20, 19.48145857937598,18.73217171093844,20.064833429986038,10.235165,6,99.86749720726398,First,SpeedUp,non, False
21, 19.515466313105065,18.764871454908715,20.064833429986038,11.252981,6,99.8444481840055,First,SpeedUp,non, False
22, 19.501261466634165,18.751212948686696,20.064833429986038,12.267797,6,99.82162293767186,First,SpeedUp,non, False
23, 19.469888615962613,18.721046746117896,20.064833429986038,13.2796135,6,99.7989856639551,First,SpeedUp,non, False
24, 19.457621050476373,18.709251010073434,20.064833429986038,14.28843,6,99.77654531393217,First,SpeedUp,non, False
25, 19.462164759349076,18.71361996091257,20.064833429986038,15.294247,6,99.75430188760312,First,SpeedUp,non, False
26, 19.567879686239916,18.81526892907684,20.064833429986038,16.297064,6,99.73226433604492,First,SpeedUp,non, False
27, 19.550533549389286,18.798589951335853,20.064833429986038,17.29688,6,99.71041475710358,First,SpeedUp,non, False
28, 19.563013104297948,18.81058952336341,20.064833429986038,18.293697,6,99.68877105293309,First,SpeedUp,non, False
29, 19.49489543451434,18.745091763956097,20.064833429986038,19.287514,6,99.66730637030248,First,SpeedUp,non, False
30, 19.538344077888336,18.78686930566186,20.064833429986038,20.27833,6,99.64604756244272,First,SpeedUp,non, False
31, 19.567302643216554,18.814714080015918,20.064833429986038,21.266146,6,99.62497672719982,First,SpeedUp,non, False
32, 19.546758360743613,18.794959962253472,20.064833429986038,22.250961,6,99.60409386457378,First,SpeedUp,non, False
33, 19.503356783391894,18.75322767633836,20.064833429986038,23.232779,6,99.58339897456463,First,SpeedUp,non, False
34, 19.47893161896714,18.729741941314558,20.064833429986038,24.211596,6,99.5629099593263,First,SpeedUp,non, False
35, 19.504357645581436,18.754190043828302,20.064833429986038,25.187412,6,99.54259996562787,First,SpeedUp,non, False
36, 19.571096663472282,18.818362176415654,20.064833429986038,26.163454,6,99.52228102085243,First,SpeedUp,non, False
37, 19.45546310870386,18.707176066061404,20.064833429986038,27.136496,6,99.50214109761687,First,SpeedUp,non, False
38, 19.57449486726667,18.821629680064103,20.064833429986038,28.10976,6,99.48199222330432,First,SpeedUp,non, False
39, 19.498058319305976,18.748132999332668,20.064833429986038,29.08325,6,99.46182544683776,First,SpeedUp,non, False
40, 19.495131534224353,18.74531878290803,20.064833429986038,30.056965,6,99.44164971929423,First,SpeedUp,non, False
41, 19.491782642963436,18.74209869515715,20.064833429986038,31.030905,6,99.4214560895967,First,SpeedUp,non, False
42, 19.51349751453503,18.762978379360604,20.064833429986038,32.00507,6,99.40125350882218,First,SpeedUp,non, False
43, 19.488727497449542,18.739161055239943,20.064833429986038,32.979458,6,99.38103302589369,First,SpeedUp,non, False
44, 19.49663317822722,18.746762671372327,20.064833429986038,33.95407,6,99.36080359188819,First,SpeedUp,non, False
45, 19.488438705209013,18.738883370393282,20.064833429986038,34.925682,6,99.34076213049954,First,SpeedUp,non, False
46, 19.562833023937657,18.810416369170824,20.064833429986038,35.89752,6,99.32069381587993,First,SpeedUp,non, False
47, 19.508413747062143,18.758090141405905,20.064833429986038,36.86958,6,99.30061655018332,First,SpeedUp,non, False
48, 19.52625880650725,18.77524885241082,20.064833429986038,37.841866,6,99.28053033340971,First,SpeedUp,non, False
49, 19.54325890937104,18.79159510516446,20.064833429986038,38.814377,6,99.26042621448214,First,SpeedUp,non, False
50, 19.49705417337382,18.7471674743979,20.064833429986038,39.787113,6,99.24032209555455,First,SpeedUp,non, False
51, 19.553672591613932,18.801608261167242,20.064833429986038,40.76007,6,99.22018217231899,First,SpeedUp,non, False
52, 19.484602672104714,18.735194877023762,20.064833429986038,41.733253,6,99.20004224908341,First,SpeedUp,non, False
53, 19.470091433437968,18.72124176292112,20.064833429986038,42.70666,6,99.17988442369386,First,SpeedUp,non, False
54, 19.56790993341155,18.81529801289572,20.064833429986038,43.680294,6,99.15970869615033,First,SpeedUp,non, False
55, 19.49995995977493,18.749961499783588,20.064833429986038,44.654152,6,99.1395240175298,First,SpeedUp,non, False
56, 19.498450630082267,18.748510221232948,20.064833429986038,45.628235,6,99.11932143675527,First,SpeedUp,non, False
57, 19.53254890759111,18.781297026529913,20.064833429986038,46.602543,6,99.09911885598076,First,SpeedUp,non, False
58, 19.520814719982287,18.77001415382912,20.064833429986038,47.577072,6,99.07888047089827,First,SpeedUp,non, False
59, 19.49022411818437,18.740600113638816,20.064833429986038,48.548603,6,99.05883900950963,First,SpeedUp,non, False
60, 19.527943920188385,18.776869154027292,20.064833429986038,49.52036,6,99.038788597044,First,SpeedUp,non, False
61, 19.481554834888723,18.73226426431608,20.064833429986038,50.49234,6,99.01872028242438,First,SpeedUp,non, False
62, 19.459874304275363,18.71141760026477,20.064833429986038,51.464546,6,98.99864301672778,First,SpeedUp,non, False
63, 19.521207360967665,18.77039169323814,20.064833429986038,52.436974,6,98.97853889780019,First,SpeedUp,non, False
64, 19.540418504573548,18.788863946705334,20.064833429986038,53.409626,6,98.95842582779561,First,SpeedUp,non, False
65, 19.47683344601894,18.727724467325903,20.064833429986038,54.382504,6,98.93830380671403,First,SpeedUp,non, False
66, 19.482281692625868,18.732963165986412,20.064833429986038,55.355606,6,98.91816388347847,First,SpeedUp,non, False
67, 19.481389904412893,18.73210567732009,20.064833429986038,56.328934,6,98.8980150091659,First,SpeedUp,non, False
68, 19.570765421961227,18.818043674962716,20.064833429986038,57.302486,6,98.87784823269936,First,SpeedUp,non, False
69, 19.541747910449352,18.790142221585914,20.064833429986038,58.276264,6,98.85766355407883,First,SpeedUp,non, False
70, 19.471492900653825,18.722589327551756,20.064833429986038,59.24704,6,98.83767579915217,First,SpeedUp,non, False
71, 19.53670654520987,18.78529475500949,20.064833429986038,60.21804,6,98.8176701420715,First,SpeedUp,non, False
72, 19.466939521683265,18.7182110785416,20.064833429986038,61.189266,6,98.79764658283685,First,SpeedUp,non, False
73, 19.560458405913288,18.80813308260893,20.064833429986038,62.160717,6,98.77761407252521,First,SpeedUp,non, False
74, 19.499874776914194,18.749879593186723,20.064833429986038,63.132393,6,98.75756366005959,First,SpeedUp,non, False
75, 19.553497568929952,18.801439970124953,20.064833429986038,64.104294,6,98.73749534543997,First,SpeedUp,non, False
76, 19.50106816412578,18.75102708089017,20.064833429986038,65.076416,6,98.71741807974335,First,SpeedUp,non, False
77, 19.527299366166158,18.776249390544383,20.064833429986038,66.04877,6,98.69732291189277,First,SpeedUp,non, False
78, 19.576214621818238,18.823283290209844,20.064833429986038,67.02134,6,98.67721879296518,First,SpeedUp,non, False
79, 19.525925834291776,18.774928686819013,20.064833429986038,67.99413,6,98.6570967718836,First,SpeedUp,non, False
80, 19.53450330339157,18.783176253261125,20.064833429986038,68.967155,6,98.63696579972503,First,SpeedUp,non, False
81, 19.46559181355442,18.716915205340786,20.064833429986038,69.9404,6,98.61681692541246,First,SpeedUp,non, False
82, 19.556205664597485,18.804043908266813,20.064833429986038,70.91387,6,98.59665910002292,First,SpeedUp,non, False
83, 19.47288768545696,18.72393046678554,20.064833429986038,71.887566,6,98.57648337247939,First,SpeedUp,non, False
84, 19.513526185407297,18.763005947507015,20.064833429986038,72.86149,6,98.55628974278186,First,SpeedUp,non, False
85, 19.457503814364358,18.709138283042652,20.064833429986038,73.832405,6,98.5362840857012,First,SpeedUp,non, False
